Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,result,Win,Game_Number,Mean_Score,Avg_Score,Opp_Avg_Score,Avg_Threes,Opp_Avg_Threes,Avg_FG_Pct,Opp_Avg_FG_Pct,Avg_Mean_Score,Avg_Result,Pct_Margin,Home,Away,Avg_Result_Fin,Opp_Avg_FG_Pct_Fin,Pct_Margin_Fin,Avg_Result_NC
2019-11-06,@,Missouri,L,42.0,82.0,15.0,56.0,0.268,2.0,12.0,0.167,10.0,19.0,0.526,6.0,33.0,7.0,4.0,0.0,20.0,20.0,,28.0,63.0,0.444,7.0,31.0,0.226,19.0,29.0,0.655,12.0,45.0,16.0,9.0,8.0,14.0,19.0,-40.0,0,1,62.0,,,,,,,,,,0,1,-11.714285714285708,0.4708571428571429,-0.1674323634507401,
2019-11-08,@,Northern Colorado,L,61.0,83.0,22.0,56.0,0.393,5.0,15.0,0.333,12.0,16.0,0.75,5.0,21.0,5.0,4.0,0.0,8.0,20.0,,28.0,55.0,0.509,14.0,32.0,0.438,13.0,15.0,0.867,7.0,35.0,20.0,4.0,3.0,10.0,15.0,-22.0,0,2,72.0,42.0,82.0,-0.17066721924674572,-0.057426801128278804,0.268,0.444,62.0,-40.0,-0.6451612903225806,0,1,-11.714285714285708,0.4708571428571429,-0.1674323634507401,-40.0
2019-11-16,,SIU-Edwardsville,L,55.0,57.0,20.0,53.0,0.377,9.0,24.0,0.375,6.0,11.0,0.545,7.0,29.0,15.0,6.0,7.0,16.0,14.0,,22.0,61.0,0.361,5.0,18.0,0.278,8.0,12.0,0.667,9.0,32.0,13.0,6.0,4.0,14.0,18.0,-2.0,0,3,56.0,51.5,82.5,-0.1096408669582575,0.06829381971429327,0.3305,0.47650000000000003,67.0,-31.0,-0.4626865671641791,1,0,-11.714285714285708,0.4708571428571429,-0.1674323634507401,-31.0
2019-11-22,,Bethune-Cookman,L,58.0,83.0,20.0,57.0,0.351,1.0,10.0,0.1,17.0,22.0,0.773,11.0,33.0,8.0,9.0,2.0,16.0,19.0,,30.0,56.0,0.536,10.0,18.0,0.556,13.0,19.0,0.684,7.0,30.0,14.0,9.0,3.0,14.0,21.0,-25.0,0,4,70.5,52.666666666666664,74.0,-0.009726893749458176,0.037826989247462806,0.34600000000000003,0.438,63.333333333333336,-21.333333333333336,-0.33684210526315794,1,0,-11.714285714285708,0.4708571428571429,-0.1674323634507401,-21.333333333333336
2019-11-24,,Eastern Illinois,L,63.0,72.0,24.0,52.0,0.462,8.0,20.0,0.4,7.0,10.0,0.7,5.0,28.0,14.0,5.0,3.0,20.0,25.0,,23.0,58.0,0.397,3.0,19.0,0.158,23.0,32.0,0.719,14.0,32.0,13.0,12.0,3.0,9.0,13.0,-9.0,0,5,67.5,54.0,76.25,-0.07741325099277746,0.04057399855184912,0.34725,0.4625,65.125,-22.25,-0.3416506717850288,1,0,-11.714285714285708,0.4708571428571429,-0.1674323634507401,-22.25
2019-12-01,@,Portland,L,56.0,65.0,21.0,57.0,0.368,6.0,19.0,0.316,8.0,11.0,0.727,14.0,29.0,10.0,6.0,0.0,12.0,22.0,,21.0,44.0,0.477,8.0,17.0,0.471,15.0,21.0,0.714,5.0,24.0,12.0,3.0,9.0,12.0,14.0,-9.0,0,6,60.5,55.8,75.4,-0.04470715780281326,-0.0031795345176817147,0.3702,0.44939999999999997,65.6,-19.60000000000001,-0.2987804878048782,0,1,-11.714285714285708,0.4708571428571429,-0.1674323634507401,-19.60000000000001
2019-12-03,@,Seattle,L,60.0,81.0,20.0,53.0,0.377,5.0,22.0,0.227,15.0,24.0,0.625,4.0,19.0,8.0,9.0,1.0,8.0,21.0,,23.0,55.0,0.418,7.0,22.0,0.318,28.0,31.0,0.903,15.0,47.0,12.0,6.0,3.0,16.0,21.0,-21.0,0,7,70.5,55.833333333333336,73.66666666666667,-0.03591242180538112,0.00548016278298924,0.3698333333333333,0.45399999999999996,64.75,-17.833333333333336,-0.27541827541827546,0,1,-11.714285714285708,0.4708571428571429,-0.1674323634507401,-17.833333333333336
2019-12-18,@,Central Arkansas,L (1 OT),82.0,88.0,30.0,75.0,0.4,8.0,29.0,0.276,14.0,20.0,0.7,9.0,30.0,16.0,12.0,2.0,9.0,24.0,,30.0,63.0,0.476,6.0,22.0,0.273,22.0,28.0,0.786,10.0,45.0,17.0,3.0,6.0,20.0,14.0,-6.0,0,8,85.0,56.42857142857143,74.71428571428571,-0.04010664058490121,-0.003772928069471715,0.3708571428571429,0.44885714285714284,65.57142857142857,-18.285714285714278,-0.278867102396514,0,1,-11.714285714285708,0.4708571428571429,-0.1674323634507401,-18.285714285714278
2019-12-21,@,Washington State,L,59.0,87.0,22.0,64.0,0.344,5.0,17.0,0.294,10.0,11.0,0.909,7.0,24.0,13.0,7.0,1.0,14.0,23.0,,34.0,69.0,0.493,7.0,18.0,0.389,12.0,16.0,0.75,19.0,47.0,17.0,3.0,4.0,18.0,12.0,-28.0,0,9,73.0,59.625,76.375,-0.0367948023554609,-0.01892534410061525,0.3745,0.45225,68.0,-16.75,-0.24632352941176472,0,1,-11.714285714285708,0.4708571428571429,-0.1674323634507401,-16.75
2020-01-02,@,Nicholls State,L,60.0,76.0,22.0,54.0,0.407,4.0,20.0,0.2,12.0,15.0,0.8,10.0,29.0,11.0,8.0,1.0,19.0,15.0,,26.0,59.0,0.441,8.0,22.0,0.364,16.0,17.0,0.941,11.0,32.0,13.0,11.0,3.0,13.0,12.0,-16.0,0,10,68.0,59.55555555555556,77.55555555555556,-0.03927063076060494,-0.025558746058043258,0.3711111111111111,0.4567777777777777,68.55555555555556,-18.0,-0.2625607779578606,0,1,-11.714285714285708,0.4708571428571429,-0.1674323634507401,-18.0
