Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,result,Win,Game_Number,Mean_Score,Avg_Score,Opp_Avg_Score,Avg_Threes,Opp_Avg_Threes,Avg_FG_Pct,Opp_Avg_FG_Pct,Avg_Mean_Score,Avg_Result,Pct_Margin,Home,Away,Neutral,Avg_Result_Fin,Opp_Avg_FG_Pct_Fin,Pct_Margin_Fin,Avg_Result_NC
2019-11-06,,Charlotte,W,79.0,74.0,29.0,59.0,0.492,9.0,26.0,0.346,12.0,28.0,0.429,8.0,38.0,13.0,4.0,4.0,11.0,20.0,,28.0,69.0,0.406,9.0,33.0,0.273,9.0,13.0,0.692,9.0,39.0,14.0,3.0,0.0,11.0,23.0,5.0,1,1,76.5,,,,,,,,,,1,0,0,-6.448275862068968,0.45389655172413795,-0.08679508006498031,
2019-11-10,@,Virginia,L,34.0,65.0,12.0,53.0,0.226,8.0,31.0,0.258,2.0,6.0,0.333,6.0,35.0,6.0,3.0,1.0,19.0,11.0,,26.0,68.0,0.382,4.0,25.0,0.16,9.0,14.0,0.643,13.0,47.0,11.0,8.0,6.0,10.0,10.0,-31.0,0,2,49.5,79.0,74.0,0.0282477897948456,0.05134050276097629,0.492,0.406,76.5,5.0,0.06535947712418301,0,1,0,-6.448275862068968,0.45389655172413795,-0.08679508006498031,5.0
2019-11-16,@,George Mason,L,70.0,83.0,24.0,72.0,0.333,7.0,32.0,0.219,15.0,18.0,0.833,13.0,42.0,14.0,7.0,2.0,12.0,18.0,,32.0,73.0,0.438,8.0,28.0,0.286,11.0,14.0,0.786,13.0,46.0,14.0,5.0,10.0,8.0,16.0,-13.0,0,3,76.5,56.5,69.5,0.13780307152443,-0.032948822535543265,0.359,0.394,63.0,-13.0,-0.20634920634920634,0,1,0,-6.448275862068968,0.45389655172413795,-0.08679508006498031,-13.0
2019-11-20,@,Old Dominion,W,80.0,78.0,24.0,50.0,0.48,13.0,24.0,0.542,19.0,36.0,0.528,5.0,38.0,18.0,5.0,4.0,16.0,15.0,,32.0,78.0,0.41,7.0,22.0,0.318,7.0,15.0,0.467,13.0,39.0,11.0,6.0,3.0,8.0,23.0,2.0,1,4,79.0,61.0,74.0,0.0799182608469311,-0.029740578320104794,0.35033333333333333,0.4086666666666667,67.5,-13.0,-0.1925925925925926,0,1,0,-6.448275862068968,0.45389655172413795,-0.08679508006498031,-13.0
2019-11-23,,New Hampshire,W,78.0,71.0,24.0,61.0,0.393,9.0,29.0,0.31,21.0,28.0,0.75,4.0,44.0,10.0,5.0,3.0,14.0,18.0,,29.0,80.0,0.363,10.0,35.0,0.286,3.0,7.0,0.429,10.0,43.0,10.0,2.0,2.0,9.0,20.0,7.0,1,5,74.5,65.75,75.0,0.10852886983527493,-0.03352436210388854,0.38275,0.409,70.375,-9.25,-0.13143872113676733,1,0,0,-6.448275862068968,0.45389655172413795,-0.08679508006498031,-9.25
2019-11-26,,Coppin State,L,78.0,94.0,24.0,66.0,0.364,10.0,37.0,0.27,20.0,27.0,0.741,10.0,44.0,16.0,3.0,5.0,17.0,16.0,,37.0,81.0,0.457,13.0,34.0,0.382,7.0,17.0,0.412,13.0,49.0,16.0,11.0,2.0,8.0,22.0,-16.0,0,6,86.0,68.2,74.2,0.09116772000754836,-0.00624673407154358,0.3848,0.3998,71.2,-6.0,-0.08426966292134831,1,0,0,-6.448275862068968,0.45389655172413795,-0.08679508006498031,-6.0
2019-11-30,,East Carolina,W,99.0,89.0,31.0,52.0,0.596,12.0,26.0,0.462,25.0,32.0,0.781,5.0,32.0,19.0,3.0,10.0,11.0,18.0,,30.0,66.0,0.455,13.0,27.0,0.481,16.0,18.0,0.889,5.0,23.0,18.0,5.0,2.0,8.0,23.0,10.0,1,7,94.0,69.83333333333333,77.5,0.08743029183405898,0.015507895960627571,0.3813333333333333,0.4093333333333333,73.66666666666667,-7.666666666666671,-0.10407239819004531,1,0,0,-6.448275862068968,0.45389655172413795,-0.08679508006498031,-7.666666666666671
2019-12-04,@,Radford,L,71.0,94.0,25.0,60.0,0.417,11.0,30.0,0.367,10.0,22.0,0.455,10.0,30.0,10.0,2.0,4.0,12.0,14.0,,38.0,70.0,0.543,9.0,19.0,0.474,9.0,10.0,0.9,10.0,40.0,24.0,4.0,3.0,5.0,16.0,-23.0,0,8,82.5,74.0,79.14285714285714,0.08029803171850519,0.03304603500802478,0.412,0.41585714285714287,76.57142857142857,-5.142857142857139,-0.06716417910447756,0,1,0,-6.448275862068968,0.45389655172413795,-0.08679508006498031,-5.142857142857139
2019-12-16,,Charleston Southern,W,81.0,60.0,29.0,58.0,0.5,12.0,32.0,0.375,11.0,21.0,0.524,11.0,40.0,14.0,8.0,6.0,13.0,19.0,,18.0,56.0,0.321,6.0,30.0,0.2,18.0,23.0,0.783,7.0,30.0,8.0,5.0,2.0,14.0,21.0,21.0,1,9,70.5,73.625,81.0,0.08885254791308939,0.0244386008590744,0.41262499999999996,0.43175,77.3125,-7.375,-0.09539207760711399,1,0,0,-6.448275862068968,0.45389655172413795,-0.08679508006498031,-7.375
2019-12-20,@,Fordham,W,75.0,69.0,23.0,58.0,0.397,7.0,20.0,0.35,22.0,27.0,0.815,10.0,35.0,13.0,8.0,1.0,14.0,19.0,,24.0,51.0,0.471,7.0,21.0,0.333,14.0,20.0,0.7,3.0,26.0,13.0,8.0,3.0,15.0,20.0,6.0,1,10,72.0,74.44444444444444,78.66666666666667,0.0939383244632756,0.021221400607975838,0.4223333333333333,0.4194444444444445,76.55555555555556,-4.2222222222222285,-0.05515239477503637,0,1,0,-6.448275862068968,0.45389655172413795,-0.08679508006498031,-4.2222222222222285
2019-12-28,,Hofstra,L,76.0,82.0,31.0,65.0,0.477,7.0,24.0,0.292,7.0,22.0,0.318,11.0,36.0,13.0,6.0,0.0,9.0,23.0,,25.0,56.0,0.446,7.0,28.0,0.25,25.0,32.0,0.781,7.0,38.0,10.0,3.0,2.0,9.0,19.0,-6.0,0,11,79.0,74.5,77.7,0.08110651037933292,0.018521969942443428,0.41979999999999995,0.42460000000000003,76.1,-3.200000000000003,-0.0420499342969777,1,0,0,-6.448275862068968,0.45389655172413795,-0.08679508006498031,-4.2222222222222285
