Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,result,Win,Game_Number,Mean_Score,Avg_Score,Opp_Avg_Score,Avg_Threes,Opp_Avg_Threes,Avg_FG_Pct,Opp_Avg_FG_Pct,Avg_Mean_Score,Avg_Result,Pct_Margin,Home,Away,Neutral,Avg_Result_Fin,Opp_Avg_FG_Pct_Fin,Pct_Margin_Fin,Avg_Result_NC
2019-11-05,,Loyola (MD),W,88.0,53.0,30.0,58.0,0.517,14.0,23.0,0.609,14.0,20.0,0.7,8.0,43.0,18.0,4.0,11.0,21.0,21.0,,20.0,65.0,0.308,4.0,18.0,0.222,9.0,22.0,0.409,8.0,27.0,12.0,11.0,2.0,9.0,18.0,35.0,1,1,70.5,,,,,,,,,,1,0,0,6.133333333333326,0.41309999999999997,0.0821062025881302,
2019-11-13,,Purdue,W,65.0,55.0,20.0,52.0,0.385,7.0,25.0,0.28,18.0,24.0,0.75,8.0,37.0,13.0,3.0,5.0,9.0,19.0,,20.0,59.0,0.339,6.0,24.0,0.25,9.0,21.0,0.429,11.0,33.0,14.0,4.0,4.0,9.0,22.0,10.0,1,2,60.0,88.0,53.0,0.16374836516883873,-0.08710926776426592,0.517,0.308,70.5,35.0,0.49645390070921985,1,0,0,6.133333333333326,0.41309999999999997,0.0821062025881302,35.0
2019-11-17,@,Wisconsin,L,61.0,77.0,19.0,51.0,0.373,9.0,19.0,0.474,14.0,17.0,0.824,5.0,27.0,9.0,2.0,3.0,15.0,16.0,,24.0,56.0,0.429,11.0,23.0,0.478,18.0,20.0,0.9,9.0,33.0,11.0,6.0,3.0,12.0,19.0,-16.0,0,3,69.0,76.5,54.0,0.09824034377846436,-0.035746584326110775,0.451,0.3235,65.25,22.5,0.3448275862068966,0,1,0,6.133333333333326,0.41309999999999997,0.0821062025881302,22.5
2019-11-23,,Robert Morris,W,66.0,62.0,20.0,47.0,0.426,4.0,16.0,0.25,22.0,28.0,0.786,9.0,35.0,13.0,4.0,6.0,21.0,14.0,,23.0,62.0,0.371,6.0,19.0,0.316,10.0,14.0,0.714,8.0,28.0,13.0,9.0,1.0,12.0,23.0,4.0,1,4,64.0,71.33333333333333,61.666666666666664,0.10703638555966288,0.027016178436651994,0.425,0.3586666666666667,66.5,9.666666666666664,0.14536340852130322,1,0,0,6.133333333333326,0.41309999999999997,0.0821062025881302,9.666666666666664
2019-11-28,N,Davidson,W,73.0,63.0,20.0,52.0,0.385,6.0,17.0,0.353,27.0,38.0,0.711,8.0,33.0,4.0,4.0,1.0,13.0,21.0,,24.0,53.0,0.453,0.0,15.0,0.0,15.0,23.0,0.652,6.0,35.0,8.0,7.0,4.0,17.0,28.0,10.0,1,5,68.0,70.0,61.75,0.0507613521818257,0.014410860568176198,0.42524999999999996,0.36175,65.875,8.25,0.1252371916508539,0,0,1,6.133333333333326,0.41309999999999997,0.0821062025881302,8.25
2019-11-29,N,USC,W,101.0,79.0,32.0,66.0,0.485,14.0,29.0,0.483,23.0,32.0,0.719,8.0,41.0,12.0,6.0,5.0,13.0,31.0,,24.0,60.0,0.4,3.0,12.0,0.25,28.0,37.0,0.757,8.0,31.0,5.0,5.0,5.0,17.0,27.0,22.0,1,6,90.0,70.6,62.0,0.026418980672315406,-0.05223403952324335,0.41719999999999996,0.38,66.3,8.599999999999994,0.12971342383107082,0,0,1,6.133333333333326,0.41309999999999997,0.0821062025881302,8.599999999999994
2019-12-01,N,Maryland,L,63.0,84.0,23.0,59.0,0.39,11.0,29.0,0.379,6.0,11.0,0.545,7.0,30.0,12.0,7.0,1.0,15.0,19.0,,31.0,65.0,0.477,10.0,29.0,0.345,12.0,16.0,0.75,12.0,40.0,13.0,6.0,4.0,10.0,13.0,-21.0,0,7,73.5,75.66666666666667,64.83333333333333,0.04330383172871055,-0.08216189423756465,0.42849999999999994,0.38333333333333336,70.25,10.833333333333343,0.15421115065243193,0,0,1,6.133333333333326,0.41309999999999997,0.0821062025881302,10.833333333333343
2019-12-04,,Jacksonville,W,75.0,56.0,25.0,59.0,0.424,7.0,23.0,0.304,18.0,27.0,0.667,12.0,45.0,17.0,10.0,9.0,13.0,23.0,,18.0,61.0,0.295,5.0,20.0,0.25,15.0,26.0,0.577,12.0,32.0,8.0,8.0,1.0,13.0,20.0,19.0,1,8,65.5,73.85714285714286,67.57142857142857,0.06365165336999928,-0.059824573520379065,0.423,0.39671428571428574,70.71428571428571,6.285714285714292,0.08888888888888899,1,0,0,6.133333333333326,0.41309999999999997,0.0821062025881302,6.285714285714292
2019-12-07,@,Kansas State,W,73.0,65.0,25.0,59.0,0.424,12.0,22.0,0.545,11.0,16.0,0.688,10.0,39.0,18.0,4.0,4.0,17.0,25.0,,20.0,62.0,0.323,7.0,23.0,0.304,18.0,30.0,0.6,14.0,36.0,13.0,10.0,7.0,10.0,20.0,8.0,1,9,69.0,74.0,66.125,0.05134050276097629,-0.058325874391223165,0.423125,0.384,70.0625,7.875,0.11239964317573595,0,1,0,6.133333333333326,0.41309999999999997,0.0821062025881302,7.875
2019-12-17,,Grambling,W,93.0,72.0,29.0,56.0,0.518,16.0,33.0,0.485,19.0,30.0,0.633,6.0,33.0,27.0,7.0,1.0,14.0,20.0,,26.0,62.0,0.419,7.0,19.0,0.368,13.0,20.0,0.65,9.0,31.0,11.0,5.0,3.0,16.0,22.0,21.0,1,10,82.5,73.88888888888889,66.0,0.06542300631716408,-0.05089809947762597,0.42322222222222217,0.37722222222222224,69.94444444444444,7.888888888888886,0.1127879269261318,1,0,0,6.133333333333326,0.41309999999999997,0.0821062025881302,7.888888888888886
