Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,result,Win,Game_Number,Mean_Score,Avg_Score,Opp_Avg_Score,Avg_Threes,Opp_Avg_Threes,Avg_FG_Pct,Opp_Avg_FG_Pct,Avg_Mean_Score,Avg_Result,Pct_Margin,Home,Away,Avg_Result_Fin,Opp_Avg_FG_Pct_Fin,Pct_Margin_Fin,Avg_Result_NC
2019-11-06,@,Colgate,L,75.0,80.0,30.0,65.0,0.462,8.0,26.0,0.308,7.0,9.0,0.778,7.0,26.0,13.0,5.0,2.0,9.0,19.0,,27.0,54.0,0.5,8.0,20.0,0.4,18.0,21.0,0.857,7.0,34.0,13.0,6.0,1.0,11.0,11.0,-5.0,0,1,77.5,,,,,,,,,,0,1,-5.310344827586199,0.44806896551724135,-0.08075511274252742,
2019-11-09,@,Providence,L,47.0,76.0,17.0,52.0,0.327,5.0,26.0,0.192,8.0,10.0,0.8,6.0,29.0,7.0,2.0,1.0,22.0,19.0,,28.0,63.0,0.444,9.0,30.0,0.3,11.0,16.0,0.688,15.0,43.0,19.0,9.0,8.0,16.0,15.0,-29.0,0,2,61.5,75.0,80.0,0.006475637896111441,-0.013524362103888576,0.462,0.5,77.5,-5.0,-0.06451612903225806,0,1,-5.310344827586199,0.44806896551724135,-0.08075511274252742,-5.0
2019-11-13,@,Cornell,W,59.0,58.0,22.0,60.0,0.367,3.0,12.0,0.25,12.0,12.0,1.0,10.0,34.0,9.0,6.0,2.0,10.0,14.0,,23.0,56.0,0.411,6.0,28.0,0.214,6.0,9.0,0.667,6.0,31.0,15.0,6.0,3.0,11.0,14.0,1.0,1,3,58.5,61.0,78.0,0.00614776904365244,0.013398714819188362,0.3945,0.472,69.5,-17.0,-0.2446043165467626,0,1,-5.310344827586199,0.44806896551724135,-0.08075511274252742,-17.0
2019-11-16,,Wagner,W,88.0,69.0,28.0,55.0,0.509,10.0,23.0,0.435,22.0,32.0,0.688,8.0,34.0,17.0,4.0,3.0,4.0,15.0,,23.0,60.0,0.383,6.0,21.0,0.286,17.0,21.0,0.81,8.0,31.0,15.0,2.0,1.0,7.0,24.0,19.0,1,4,78.5,60.333333333333336,71.33333333333333,-0.04833099193814272,0.008905544438167545,0.38533333333333336,0.45166666666666666,65.83333333333333,-10.999999999999993,-0.1670886075949366,1,0,-5.310344827586199,0.44806896551724135,-0.08075511274252742,-10.999999999999993
2019-11-20,,Binghamton,L,75.0,77.0,26.0,59.0,0.441,8.0,22.0,0.364,15.0,23.0,0.652,10.0,32.0,10.0,6.0,1.0,6.0,15.0,,24.0,53.0,0.453,14.0,31.0,0.452,15.0,18.0,0.833,8.0,33.0,11.0,3.0,3.0,12.0,16.0,-2.0,0,5,76.0,67.25,70.75,-0.023561536825078166,-0.006103867404241903,0.41625,0.4345,69.0,-3.5,-0.050724637681159424,1,0,-5.310344827586199,0.44806896551724135,-0.08075511274252742,-3.5
2019-11-23,@,Brown,L,63.0,79.0,21.0,54.0,0.389,5.0,15.0,0.333,16.0,28.0,0.571,8.0,24.0,4.0,8.0,5.0,10.0,24.0,,27.0,52.0,0.519,9.0,15.0,0.6,16.0,22.0,0.727,6.0,33.0,16.0,5.0,6.0,14.0,22.0,-16.0,0,6,71.0,68.8,72.0,-0.01701273419691185,0.044808971229444716,0.42119999999999996,0.4382,70.4,-3.200000000000003,-0.04545454545454549,0,1,-5.310344827586199,0.44806896551724135,-0.08075511274252742,-3.200000000000003
2019-11-26,@,Rutgers,L,58.0,85.0,20.0,56.0,0.357,6.0,20.0,0.3,12.0,14.0,0.857,6.0,22.0,12.0,6.0,4.0,11.0,15.0,,35.0,60.0,0.583,5.0,14.0,0.357,10.0,17.0,0.588,8.0,32.0,22.0,4.0,4.0,10.0,16.0,-27.0,0,7,71.5,67.83333333333333,73.16666666666667,-0.02605507463460105,0.04182871306695424,0.41583333333333333,0.45166666666666666,70.5,-5.333333333333343,-0.07565011820330983,0,1,-5.310344827586199,0.44806896551724135,-0.08075511274252742,-5.333333333333343
2019-12-04,@,Army,L,65.0,75.0,24.0,65.0,0.369,7.0,26.0,0.269,10.0,16.0,0.625,12.0,41.0,9.0,8.0,2.0,16.0,22.0,,26.0,55.0,0.473,9.0,18.0,0.5,14.0,24.0,0.583,4.0,29.0,13.0,10.0,3.0,12.0,12.0,-10.0,0,8,70.0,66.42857142857143,74.85714285714286,-0.02320178145872731,0.012811515758706815,0.4074285714285715,0.4704285714285715,70.64285714285714,-8.42857142857143,-0.11931243680485343,0,1,-5.310344827586199,0.44806896551724135,-0.08075511274252742,-8.42857142857143
2019-12-07,@,UCF,L,65.0,78.0,24.0,64.0,0.375,7.0,22.0,0.318,10.0,15.0,0.667,11.0,37.0,12.0,8.0,1.0,18.0,14.0,,32.0,62.0,0.516,7.0,24.0,0.292,7.0,10.0,0.7,4.0,28.0,16.0,7.0,8.0,15.0,16.0,-13.0,0,9,71.5,66.25,74.875,-0.01918473946237914,0.017026556093106437,0.402625,0.47075,70.5625,-8.625,-0.12223206377325066,0,1,-5.310344827586199,0.44806896551724135,-0.08075511274252742,-8.625
2019-12-11,,UMass-Lowell,L,66.0,72.0,24.0,63.0,0.381,4.0,18.0,0.222,14.0,24.0,0.583,10.0,34.0,8.0,9.0,5.0,12.0,20.0,,25.0,52.0,0.481,4.0,15.0,0.267,18.0,26.0,0.692,5.0,37.0,14.0,5.0,3.0,17.0,19.0,-6.0,0,10,69.0,66.11111111111111,75.22222222222223,-0.016045370507249967,0.009961605399804174,0.39955555555555555,0.4757777777777778,70.66666666666667,-9.111111111111114,-0.12893081761006292,1,0,-5.310344827586199,0.44806896551724135,-0.08075511274252742,-9.111111111111114
2019-12-14,@,St. Francis (NY),L,71.0,73.0,22.0,55.0,0.4,6.0,16.0,0.375,21.0,28.0,0.75,9.0,39.0,10.0,3.0,3.0,16.0,25.0,,24.0,60.0,0.4,8.0,20.0,0.4,17.0,24.0,0.708,6.0,31.0,8.0,4.0,5.0,9.0,22.0,-2.0,0,11,72.0,66.1,74.9,-0.027593953631876444,-0.0051131471506175585,0.39770000000000005,0.4763,70.5,-8.800000000000011,-0.12482269503546116,0,1,-5.310344827586199,0.44806896551724135,-0.08075511274252742,-9.111111111111114
2019-12-29,@,UConn,L,47.0,69.0,17.0,52.0,0.327,3.0,12.0,0.25,10.0,13.0,0.769,7.0,26.0,8.0,3.0,6.0,15.0,12.0,,25.0,63.0,0.397,11.0,25.0,0.44,8.0,16.0,0.5,15.0,40.0,18.0,6.0,11.0,9.0,16.0,-22.0,0,12,58.0,66.54545454545455,74.72727272727273,-0.030737476857986945,-0.0033053840016987746,0.397909090909091,0.46936363636363637,70.63636363636364,-8.181818181818187,-0.11583011583011589,0,1,-5.310344827586199,0.44806896551724135,-0.08075511274252742,-9.111111111111114
2020-01-04,,Liberty,L,38.0,65.0,12.0,51.0,0.235,4.0,17.0,0.235,10.0,15.0,0.667,4.0,27.0,5.0,6.0,1.0,9.0,10.0,,25.0,53.0,0.472,8.0,20.0,0.4,7.0,11.0,0.636,4.0,36.0,12.0,5.0,3.0,7.0,16.0,-27.0,0,13,51.5,64.91666666666667,74.25,-0.03624579984458176,0.009707961128434694,0.39200000000000007,0.4633333333333334,69.58333333333333,-9.333333333333329,-0.13413173652694604,1,0,-5.310344827586199,0.44806896551724135,-0.08075511274252742,-9.111111111111114
2020-01-09,@,Jacksonville,L,52.0,68.0,20.0,58.0,0.345,7.0,22.0,0.318,5.0,10.0,0.5,7.0,24.0,10.0,4.0,4.0,11.0,17.0,,27.0,56.0,0.482,3.0,14.0,0.214,11.0,18.0,0.611,11.0,37.0,11.0,6.0,1.0,11.0,12.0,-16.0,0,14,60.0,62.84615384615385,73.53846153846153,-0.03445459466202816,0.012835470532094717,0.379923076923077,0.464,68.1923076923077,-10.692307692307686,-0.15679639029892828,0,1,-5.310344827586199,0.44806896551724135,-0.08075511274252742,-9.111111111111114
2020-01-11,@,North Florida,W,78.0,66.0,30.0,51.0,0.588,4.0,11.0,0.364,14.0,22.0,0.636,5.0,22.0,16.0,3.0,1.0,6.0,12.0,,25.0,57.0,0.439,6.0,23.0,0.261,10.0,11.0,0.909,11.0,29.0,14.0,3.0,3.0,13.0,15.0,12.0,1,15,72.0,62.07142857142857,73.14285714285714,-0.026988113542323555,-4.779960388850979e-05,0.3774285714285715,0.4652857142857143,67.60714285714286,-11.07142857142857,-0.16376122556788164,0,1,-5.310344827586199,0.44806896551724135,-0.08075511274252742,-9.111111111111114
2020-01-16,,Lipscomb,W,75.0,57.0,32.0,55.0,0.582,6.0,14.0,0.429,5.0,12.0,0.417,6.0,35.0,22.0,7.0,1.0,8.0,11.0,,20.0,53.0,0.377,2.0,15.0,0.133,15.0,17.0,0.882,5.0,23.0,9.0,6.0,0.0,8.0,13.0,18.0,1,16,66.0,63.13333333333333,72.66666666666667,-0.037917181533666855,-0.0025151877919619703,0.39146666666666674,0.46353333333333335,67.9,-9.533333333333339,-0.14040255277368685,1,0,-5.310344827586199,0.44806896551724135,-0.08075511274252742,-9.111111111111114
2020-01-18,,Kennesaw State,W,66.0,48.0,26.0,58.0,0.448,6.0,21.0,0.286,8.0,15.0,0.533,10.0,34.0,16.0,7.0,0.0,9.0,17.0,,17.0,55.0,0.309,3.0,18.0,0.167,11.0,13.0,0.846,8.0,32.0,6.0,7.0,1.0,12.0,16.0,18.0,1,17,57.0,63.875,71.6875,-0.04053023294537583,-0.01273970648052325,0.40337500000000004,0.458125,67.78125,-7.8125,-0.11526048870447211,1,0,-5.310344827586199,0.44806896551724135,-0.08075511274252742,-9.111111111111114
2020-01-23,@,Stetson,L,64.0,65.0,24.0,53.0,0.453,10.0,22.0,0.455,6.0,8.0,0.75,7.0,25.0,15.0,6.0,1.0,12.0,17.0,,26.0,43.0,0.605,6.0,12.0,0.5,7.0,14.0,0.5,2.0,21.0,12.0,8.0,2.0,14.0,10.0,-1.0,0,18,64.5,64.0,70.29411764705883,-0.040546420927418,-0.01729005248045762,0.4060000000000001,0.4493529411764706,67.1470588235294,-6.294117647058826,-0.09373631187034608,0,1,-5.310344827586199,0.44806896551724135,-0.08075511274252742,-9.111111111111114
2020-01-25,@,Florida Gulf Coast,W,56.0,54.0,22.0,48.0,0.458,9.0,25.0,0.36,3.0,6.0,0.5,7.0,28.0,11.0,3.0,2.0,13.0,14.0,,21.0,45.0,0.467,7.0,15.0,0.467,5.0,7.0,0.714,3.0,21.0,11.0,6.0,0.0,8.0,9.0,2.0,1,19,55.0,64.0,70.0,-0.029670195437221936,-0.01828626686579332,0.4086111111111112,0.45799999999999996,67.0,-6.0,-0.08955223880597014,0,1,-5.310344827586199,0.44806896551724135,-0.08075511274252742,-9.111111111111114
2020-01-30,,North Alabama,L,74.0,78.0,25.0,59.0,0.424,5.0,12.0,0.417,19.0,24.0,0.792,5.0,25.0,5.0,7.0,3.0,7.0,27.0,,21.0,47.0,0.447,8.0,19.0,0.421,28.0,36.0,0.778,6.0,34.0,11.0,2.0,2.0,16.0,26.0,-4.0,0,20,76.0,63.578947368421055,69.15789473684211,-0.020478004487994528,-0.01443760411302103,0.4112105263157895,0.4584736842105263,66.36842105263158,-5.578947368421055,-0.08406026962727997,1,0,-5.310344827586199,0.44806896551724135,-0.08075511274252742,-9.111111111111114
2020-02-06,,North Florida,L,75.0,82.0,27.0,66.0,0.409,3.0,15.0,0.2,18.0,26.0,0.692,14.0,33.0,10.0,7.0,4.0,8.0,23.0,,26.0,51.0,0.51,6.0,13.0,0.462,24.0,31.0,0.774,7.0,31.0,17.0,4.0,7.0,15.0,20.0,-7.0,0,21,78.5,64.1,69.6,-0.025692848843358096,-0.013955396586647129,0.4118500000000001,0.4579,66.85,-5.5,-0.08227374719521317,1,0,-5.310344827586199,0.44806896551724135,-0.08075511274252742,-9.111111111111114
2020-02-08,,Jacksonville,L,54.0,65.0,20.0,57.0,0.351,3.0,15.0,0.2,11.0,15.0,0.733,8.0,29.0,7.0,6.0,6.0,14.0,17.0,,23.0,59.0,0.39,4.0,15.0,0.267,15.0,20.0,0.75,12.0,40.0,4.0,9.0,5.0,13.0,17.0,-11.0,0,22,59.5,64.61904761904762,70.19047619047619,-0.03496872466836903,-0.018409029675123256,0.4117142857142858,0.46038095238095234,67.4047619047619,-5.571428571428569,-0.08265630519251146,1,0,-5.310344827586199,0.44806896551724135,-0.08075511274252742,-9.111111111111114
2020-02-13,@,Lipscomb,L,63.0,77.0,22.0,62.0,0.355,4.0,22.0,0.182,15.0,18.0,0.833,10.0,28.0,9.0,6.0,3.0,9.0,14.0,,31.0,55.0,0.564,5.0,16.0,0.313,10.0,13.0,0.769,4.0,33.0,17.0,5.0,2.0,12.0,16.0,-14.0,0,23,70.0,64.13636363636364,69.95454545454545,-0.03925079725626279,-0.023076019023966554,0.4089545454545456,0.4571818181818182,67.04545454545455,-5.818181818181813,-0.08677966101694908,0,1,-5.310344827586199,0.44806896551724135,-0.08075511274252742,-9.111111111111114
2020-02-15,@,Liberty,L,49.0,62.0,19.0,49.0,0.388,5.0,19.0,0.263,6.0,11.0,0.545,2.0,29.0,7.0,4.0,1.0,10.0,17.0,,21.0,55.0,0.382,7.0,18.0,0.389,13.0,16.0,0.813,8.0,35.0,13.0,1.0,1.0,7.0,12.0,-13.0,0,24,55.5,64.08695652173913,70.26086956521739,-0.04283236753129693,-0.027633272994977642,0.40660869565217406,0.4618260869565217,67.17391304347827,-6.173913043478265,-0.09190938511326867,0,1,-5.310344827586199,0.44806896551724135,-0.08075511274252742,-9.111111111111114
