Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,result,Win,Game_Number,Mean_Score,Avg_Score,Opp_Avg_Score,Avg_Threes,Opp_Avg_Threes,Avg_FG_Pct,Opp_Avg_FG_Pct,Avg_Mean_Score,Avg_Result,Pct_Margin,Home,Away,Neutral,Avg_Result_Fin,Opp_Avg_FG_Pct_Fin,Pct_Margin_Fin,Avg_Result_NC
2019-11-05,,UC-Riverside,L,47.0,66.0,16.0,55.0,0.291,6.0,26.0,0.231,9.0,19.0,0.474,9.0,28.0,12.0,6.0,6.0,11.0,11.0,,23.0,55.0,0.418,12.0,25.0,0.48,8.0,9.0,0.889,11.0,46.0,12.0,8.0,2.0,16.0,18.0,-19.0,0,1,56.5,,,,,,,,,,1,0,0,-8.25,0.4528125,-0.11153358681875793,
2019-11-09,,Southern Utah,L (2 OT),78.0,79.0,27.0,73.0,0.37,5.0,26.0,0.192,19.0,29.0,0.655,8.0,40.0,15.0,9.0,5.0,13.0,17.0,,31.0,76.0,0.408,4.0,23.0,0.174,13.0,21.0,0.619,13.0,53.0,10.0,7.0,7.0,16.0,23.0,-1.0,0,2,78.5,47.0,66.0,0.06945436130036675,0.23193018335065685,0.291,0.418,56.5,-19.0,-0.336283185840708,1,0,0,-8.25,0.4528125,-0.11153358681875793,-19.0
2019-11-15,,South Dakota State,W,90.0,73.0,35.0,71.0,0.493,7.0,26.0,0.269,13.0,23.0,0.565,11.0,43.0,16.0,5.0,3.0,11.0,19.0,,29.0,70.0,0.414,3.0,21.0,0.143,12.0,18.0,0.667,11.0,39.0,7.0,5.0,4.0,12.0,20.0,17.0,1,3,81.5,62.5,72.5,-0.04952436210388855,0.01751012065473212,0.3305,0.413,67.5,-10.0,-0.14814814814814814,1,0,0,-8.25,0.4528125,-0.11153358681875793,-10.0
2019-11-22,,Southern,W (1 OT),93.0,86.0,31.0,54.0,0.574,12.0,21.0,0.571,19.0,37.0,0.514,4.0,28.0,19.0,5.0,5.0,9.0,12.0,,34.0,83.0,0.41,9.0,29.0,0.31,9.0,10.0,0.9,18.0,47.0,20.0,5.0,4.0,12.0,25.0,7.0,1,4,89.5,71.66666666666667,72.66666666666667,-0.06236157140621418,-0.0520564721956317,0.38466666666666666,0.41333333333333333,72.16666666666667,-1.0,-0.013856812933025403,1,0,0,-8.25,0.4528125,-0.11153358681875793,-1.0
2019-11-25,N,Washington State,W,82.0,71.0,30.0,57.0,0.526,9.0,18.0,0.5,13.0,25.0,0.52,6.0,39.0,11.0,5.0,2.0,15.0,16.0,,27.0,73.0,0.37,6.0,27.0,0.222,11.0,16.0,0.688,15.0,42.0,9.0,6.0,3.0,13.0,23.0,11.0,1,5,76.5,77.0,76.0,-0.02131656989609637,-0.03720857263020433,0.43199999999999994,0.4125,76.5,1.0,0.013071895424836602,0,0,1,-8.25,0.4528125,-0.11153358681875793,1.0
2019-11-26,N,George Mason,L,66.0,85.0,24.0,61.0,0.393,10.0,30.0,0.333,8.0,13.0,0.615,6.0,25.0,12.0,9.0,4.0,14.0,13.0,,32.0,65.0,0.492,11.0,25.0,0.44,10.0,14.0,0.714,13.0,46.0,14.0,7.0,6.0,19.0,12.0,-19.0,0,6,75.5,78.0,75.0,-0.013524362103888576,-0.0415243621038886,0.4507999999999999,0.404,76.5,3.0,0.0392156862745098,0,0,1,-8.25,0.4528125,-0.11153358681875793,3.0
2019-11-27,N,South Florida,W,74.0,67.0,27.0,49.0,0.551,6.0,14.0,0.429,14.0,19.0,0.737,3.0,24.0,10.0,2.0,1.0,9.0,10.0,,27.0,70.0,0.386,8.0,27.0,0.296,5.0,6.0,0.833,16.0,38.0,12.0,4.0,3.0,8.0,15.0,7.0,1,7,70.5,76.0,76.66666666666667,0.008844058948743017,-0.020046101234323377,0.44116666666666654,0.4186666666666667,76.33333333333333,-0.6666666666666714,-0.008733624454148534,0,0,1,-8.25,0.4528125,-0.11153358681875793,-0.6666666666666714
2019-12-04,@,Georgia Tech,L,56.0,73.0,21.0,65.0,0.323,6.0,26.0,0.231,8.0,18.0,0.444,11.0,39.0,14.0,7.0,2.0,17.0,14.0,,32.0,73.0,0.438,5.0,23.0,0.217,4.0,8.0,0.5,12.0,45.0,19.0,10.0,8.0,16.0,17.0,-17.0,0,8,64.5,75.71428571428571,75.28571428571429,-0.002203607386907447,-0.011816582217740568,0.4568571428571428,0.41400000000000003,75.5,0.4285714285714164,0.005676442762535316,0,1,0,-8.25,0.4528125,-0.11153358681875793,0.4285714285714164
2019-12-07,@,Creighton,L,76.0,95.0,27.0,65.0,0.415,9.0,27.0,0.333,13.0,24.0,0.542,5.0,31.0,9.0,4.0,3.0,12.0,13.0,,35.0,66.0,0.53,13.0,30.0,0.433,12.0,15.0,0.8,5.0,40.0,18.0,6.0,4.0,15.0,22.0,-19.0,0,9,85.5,73.25,75.0,-0.0012376726840933605,-0.023524362103888585,0.44012499999999993,0.41700000000000004,74.125,-1.75,-0.023608768971332208,0,1,0,-8.25,0.4528125,-0.11153358681875793,-1.75
2019-12-13,@,Indiana,L (1 OT),90.0,96.0,33.0,75.0,0.44,12.0,32.0,0.375,12.0,18.0,0.667,8.0,28.0,19.0,5.0,0.0,9.0,23.0,,32.0,68.0,0.471,5.0,25.0,0.2,27.0,38.0,0.711,16.0,50.0,14.0,5.0,6.0,14.0,14.0,-6.0,0,10,93.0,73.55555555555556,77.22222222222223,0.003696181702757928,-0.00704954196000368,0.4373333333333333,0.42955555555555563,75.38888888888889,-3.6666666666666714,-0.04863669859985268,0,1,0,-8.25,0.4528125,-0.11153358681875793,-3.6666666666666714
2019-12-15,,Purdue,W,70.0,56.0,26.0,61.0,0.426,11.0,30.0,0.367,7.0,9.0,0.778,4.0,39.0,22.0,6.0,2.0,10.0,9.0,,24.0,79.0,0.304,6.0,35.0,0.171,2.0,5.0,0.4,18.0,47.0,12.0,5.0,7.0,9.0,15.0,14.0,1,11,63.0,75.2,79.1,0.013603297470579478,-0.025281631383281766,0.43759999999999993,0.4337000000000001,77.15,-3.8999999999999915,-0.05055087491898887,1,0,0,-8.25,0.4528125,-0.11153358681875793,-3.6666666666666714
