Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,result,Win,Game_Number,Mean_Score,Avg_Score,Opp_Avg_Score,Avg_Threes,Opp_Avg_Threes,Avg_FG_Pct,Opp_Avg_FG_Pct,Avg_Mean_Score,Avg_Result,Pct_Margin,Home,Away,Avg_Result_Fin,Opp_Avg_FG_Pct_Fin,Pct_Margin_Fin,Avg_Result_NC
2019-11-06,@,South Carolina,L,55.0,77.0,15.0,61.0,0.246,2.0,21.0,0.095,23.0,33.0,0.697,13.0,35.0,7.0,7.0,6.0,18.0,30.0,,28.0,57.0,0.491,2.0,9.0,0.222,19.0,36.0,0.528,9.0,36.0,13.0,8.0,5.0,20.0,27.0,-22.0,0,1,66.0,,,,,,,,,,0,1,-3.1785714285714306,0.4432857142857144,-0.04603051461080944,
2019-11-12,@,Indiana,L,65.0,91.0,19.0,44.0,0.432,7.0,14.0,0.5,20.0,27.0,0.741,4.0,21.0,7.0,9.0,0.0,21.0,31.0,,23.0,46.0,0.5,8.0,21.0,0.381,37.0,45.0,0.822,7.0,27.0,12.0,6.0,9.0,13.0,23.0,-26.0,0,2,78.0,55.0,77.0,-0.2044334530129795,-0.23560228418181065,0.246,0.491,66.0,-22.0,-0.3333333333333333,0,1,-3.1785714285714306,0.4432857142857144,-0.04603051461080944,-22.0
2019-11-16,,Samford,W,61.0,55.0,24.0,57.0,0.421,4.0,23.0,0.174,9.0,17.0,0.529,10.0,34.0,17.0,10.0,3.0,13.0,23.0,,20.0,51.0,0.392,5.0,12.0,0.417,10.0,21.0,0.476,12.0,39.0,6.0,2.0,2.0,17.0,16.0,6.0,1,3,58.0,60.0,84.0,-0.08852436210388856,-0.13495293353246,0.33899999999999997,0.4955,72.0,-24.0,-0.3333333333333333,1,0,-3.1785714285714306,0.4432857142857144,-0.04603051461080944,-24.0
2019-11-19,@,South Dakota State,L,73.0,78.0,27.0,60.0,0.45,10.0,23.0,0.435,9.0,12.0,0.75,6.0,24.0,12.0,4.0,2.0,10.0,25.0,,23.0,47.0,0.489,7.0,17.0,0.412,25.0,33.0,0.758,9.0,38.0,12.0,3.0,3.0,18.0,14.0,-5.0,0,4,75.5,60.333333333333336,74.33333333333333,-0.09805474884422005,-0.1117306401307944,0.36633333333333334,0.461,67.33333333333333,-13.999999999999993,-0.20792079207920783,0,1,-3.1785714285714306,0.4432857142857144,-0.04603051461080944,-13.999999999999993
2019-11-22,@,Louisiana Tech,L,61.0,82.0,22.0,47.0,0.468,8.0,17.0,0.471,9.0,17.0,0.529,8.0,32.0,6.0,0.0,2.0,16.0,17.0,,34.0,69.0,0.493,6.0,19.0,0.316,8.0,10.0,0.8,10.0,32.0,13.0,7.0,3.0,5.0,17.0,-21.0,0,5,71.5,63.5,75.25,-0.041870818796801934,-0.09425525911385535,0.38725,0.46799999999999997,69.375,-11.75,-0.16936936936936936,0,1,-3.1785714285714306,0.4432857142857144,-0.04603051461080944,-11.75
2019-11-27,,Mississippi Valley State,W,73.0,50.0,28.0,68.0,0.412,7.0,26.0,0.269,10.0,20.0,0.5,13.0,44.0,14.0,7.0,3.0,12.0,17.0,,21.0,66.0,0.318,5.0,27.0,0.185,3.0,15.0,0.2,14.0,43.0,5.0,6.0,2.0,16.0,21.0,23.0,1,6,61.5,63.0,76.6,-0.01828626686579332,-0.0942032132788233,0.4034,0.473,69.8,-13.599999999999994,-0.19484240687679075,1,0,-3.1785714285714306,0.4432857142857144,-0.04603051461080944,-13.599999999999994
2019-11-30,,Morehead State,W,67.0,57.0,22.0,54.0,0.407,5.0,19.0,0.263,18.0,23.0,0.783,7.0,35.0,9.0,4.0,2.0,11.0,9.0,,24.0,63.0,0.381,3.0,24.0,0.125,6.0,10.0,0.6,8.0,27.0,10.0,3.0,4.0,10.0,21.0,10.0,1,7,62.0,64.66666666666667,72.16666666666667,-0.01970992911419789,-0.0848869487089694,0.4048333333333333,0.44716666666666666,68.41666666666667,-7.5,-0.10962241169305724,1,0,-3.1785714285714306,0.4432857142857144,-0.04603051461080944,-7.5
2019-12-04,@,Troy,L,63.0,71.0,21.0,52.0,0.404,8.0,27.0,0.296,13.0,17.0,0.765,6.0,32.0,10.0,7.0,4.0,19.0,20.0,,25.0,64.0,0.391,5.0,21.0,0.238,16.0,21.0,0.762,13.0,37.0,12.0,7.0,5.0,13.0,18.0,-8.0,0,8,67.0,65.0,70.0,-0.030007878587405,-0.09311619883858241,0.40514285714285714,0.4377142857142857,67.5,-5.0,-0.07407407407407407,0,1,-3.1785714285714306,0.4432857142857144,-0.04603051461080944,-5.0
2019-12-17,@,Alabama-Birmingham,L,56.0,63.0,19.0,50.0,0.38,5.0,16.0,0.313,13.0,19.0,0.684,8.0,28.0,7.0,8.0,1.0,14.0,14.0,,23.0,53.0,0.434,6.0,20.0,0.3,11.0,15.0,0.733,8.0,34.0,7.0,5.0,4.0,12.0,16.0,-7.0,0,9,59.5,64.75,70.125,-0.018157566737093178,-0.09427302520549286,0.40499999999999997,0.431875,67.4375,-5.375,-0.07970342910101946,0,1,-3.1785714285714306,0.4432857142857144,-0.04603051461080944,-5.375
2019-12-20,@,Alabama A&M,L,80.0,92.0,28.0,55.0,0.509,6.0,20.0,0.3,18.0,27.0,0.667,8.0,38.0,14.0,2.0,5.0,11.0,23.0,,30.0,66.0,0.455,9.0,18.0,0.5,23.0,30.0,0.767,8.0,29.0,14.0,4.0,3.0,3.0,25.0,-12.0,0,10,86.0,63.77777777777778,69.33333333333333,-0.020841435274620235,-0.08756282364235007,0.4022222222222222,0.4321111111111111,66.55555555555556,-5.55555555555555,-0.08347245409015017,0,1,-3.1785714285714306,0.4432857142857144,-0.04603051461080944,-5.55555555555555
2019-12-28,@,Florida State,L,71.0,88.0,24.0,52.0,0.462,10.0,20.0,0.5,13.0,18.0,0.722,6.0,26.0,10.0,4.0,3.0,18.0,17.0,,32.0,64.0,0.5,7.0,21.0,0.333,17.0,17.0,1.0,8.0,28.0,17.0,9.0,6.0,12.0,15.0,-17.0,0,11,79.5,65.4,71.6,-0.029120692379117907,-0.0788874905955087,0.41289999999999993,0.4344,68.5,-6.199999999999989,-0.09051094890510933,0,1,-3.1785714285714306,0.4432857142857144,-0.04603051461080944,-5.55555555555555
2020-01-02,,Jacksonville,W,62.0,57.0,20.0,55.0,0.364,5.0,20.0,0.25,17.0,28.0,0.607,8.0,27.0,7.0,12.0,0.0,17.0,23.0,,21.0,48.0,0.438,3.0,13.0,0.231,12.0,20.0,0.6,5.0,33.0,4.0,5.0,2.0,26.0,21.0,5.0,1,12,59.5,65.9090909090909,73.0909090909091,-0.015593327621129915,-0.07844973523821691,0.4173636363636363,0.4403636363636364,69.5,-7.181818181818187,-0.10333551340745593,1,0,-3.1785714285714306,0.4432857142857144,-0.04603051461080944,-5.55555555555555
2020-01-04,,North Florida,L,65.0,81.0,21.0,58.0,0.362,4.0,12.0,0.333,19.0,26.0,0.731,8.0,31.0,7.0,5.0,0.0,9.0,20.0,,25.0,52.0,0.481,13.0,28.0,0.464,18.0,26.0,0.692,5.0,33.0,13.0,3.0,6.0,9.0,18.0,-16.0,0,13,73.0,65.58333333333333,71.75,-0.020004667059415837,-0.08355920530946348,0.4129166666666666,0.44016666666666665,68.66666666666667,-6.166666666666671,-0.0898058252427185,1,0,-3.1785714285714306,0.4432857142857144,-0.04603051461080944,-5.55555555555555
2020-01-09,@,Liberty,L,52.0,63.0,17.0,43.0,0.395,6.0,19.0,0.316,12.0,16.0,0.75,2.0,26.0,11.0,2.0,0.0,15.0,14.0,,22.0,52.0,0.423,5.0,19.0,0.263,14.0,19.0,0.737,7.0,28.0,13.0,7.0,3.0,9.0,13.0,-11.0,0,14,57.5,65.53846153846153,72.46153846153847,-0.0283130944982547,-0.06193200541599053,0.4089999999999999,0.4433076923076923,69.0,-6.923076923076934,-0.10033444816053527,0,1,-3.1785714285714306,0.4432857142857144,-0.04603051461080944,-5.55555555555555
2020-01-11,@,Lipscomb,W,82.0,69.0,25.0,59.0,0.424,10.0,22.0,0.455,22.0,27.0,0.815,9.0,37.0,9.0,5.0,4.0,9.0,19.0,,21.0,55.0,0.382,8.0,20.0,0.4,19.0,31.0,0.613,10.0,34.0,13.0,4.0,4.0,10.0,19.0,13.0,1,15,75.5,64.57142857142857,71.78571428571429,-0.024807547944596553,-0.06277809344717217,0.408,0.44185714285714284,68.17857142857143,-7.214285714285722,-0.10581456259821907,0,1,-3.1785714285714306,0.4432857142857144,-0.04603051461080944,-5.55555555555555
2020-01-16,,Stetson,L,49.0,54.0,21.0,59.0,0.356,3.0,24.0,0.125,4.0,10.0,0.4,11.0,36.0,10.0,6.0,2.0,15.0,19.0,,18.0,41.0,0.439,4.0,12.0,0.333,14.0,25.0,0.56,1.0,29.0,5.0,6.0,1.0,16.0,20.0,-5.0,0,16,51.5,65.73333333333333,71.6,-0.018392516262103586,-0.056541121880424816,0.4090666666666667,0.4378666666666666,68.66666666666667,-5.86666666666666,-0.0854368932038834,1,0,-3.1785714285714306,0.4432857142857144,-0.04603051461080944,-5.55555555555555
2020-01-18,,Florida Gulf Coast,W,70.0,65.0,21.0,40.0,0.525,7.0,14.0,0.5,21.0,25.0,0.84,2.0,22.0,11.0,6.0,4.0,18.0,15.0,,26.0,55.0,0.473,7.0,20.0,0.35,6.0,11.0,0.545,6.0,22.0,10.0,4.0,1.0,18.0,20.0,5.0,1,17,67.5,64.6875,70.5,-0.02366928964012044,-0.05820521316771837,0.40575,0.4379375,67.59375,-5.8125,-0.08599167822468794,1,0,-3.1785714285714306,0.4432857142857144,-0.04603051461080944,-5.55555555555555
2020-01-23,@,Kennesaw State,W,78.0,58.0,25.0,52.0,0.481,9.0,23.0,0.391,19.0,25.0,0.76,6.0,38.0,13.0,12.0,2.0,22.0,23.0,,19.0,57.0,0.333,2.0,14.0,0.143,18.0,28.0,0.643,5.0,19.0,6.0,9.0,2.0,16.0,20.0,20.0,1,18,68.0,65.0,70.17647058823529,-0.023026624547327457,-0.05451346520531353,0.412764705882353,0.43999999999999995,67.58823529411765,-5.17647058823529,-0.07658833768494336,0,1,-3.1785714285714306,0.4432857142857144,-0.04603051461080944,-5.55555555555555
2020-01-30,@,NJIT,W,78.0,74.0,21.0,47.0,0.447,8.0,19.0,0.421,28.0,36.0,0.778,6.0,34.0,11.0,2.0,2.0,16.0,26.0,,25.0,59.0,0.424,5.0,12.0,0.417,19.0,24.0,0.792,5.0,25.0,5.0,7.0,3.0,7.0,27.0,4.0,1,19,76.0,65.72222222222223,69.5,-0.019356991013440517,-0.06172580095280944,0.41655555555555557,0.43405555555555553,67.61111111111111,-3.7777777777777715,-0.05587510271158577,0,1,-3.1785714285714306,0.4432857142857144,-0.04603051461080944,-5.55555555555555
2020-02-01,@,Jacksonville,L,83.0,85.0,26.0,61.0,0.426,11.0,25.0,0.44,20.0,25.0,0.8,11.0,34.0,9.0,9.0,5.0,13.0,28.0,,26.0,62.0,0.419,8.0,20.0,0.4,25.0,32.0,0.781,15.0,39.0,11.0,1.0,8.0,16.0,20.0,-2.0,0,20,84.0,66.36842105263158,69.73684210526316,-0.018520396996830668,-0.06446775833030369,0.4181578947368421,0.4335263157894737,68.05263157894737,-3.3684210526315894,-0.04949729311678283,0,1,-3.1785714285714306,0.4432857142857144,-0.04603051461080944,-5.55555555555555
