Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,result,Win,Game_Number,Mean_Score,Avg_Score,Opp_Avg_Score,Avg_Threes,Opp_Avg_Threes,Avg_FG_Pct,Opp_Avg_FG_Pct,Avg_Mean_Score,Avg_Result,Pct_Margin,Home,Away,Neutral,Avg_Result_Fin,Opp_Avg_FG_Pct_Fin,Pct_Margin_Fin,Avg_Result_NC
2019-11-12,@,Gonzaga,L,66.0,97.0,25.0,72.0,0.347,7.0,31.0,0.226,9.0,11.0,0.818,8.0,27.0,8.0,6.0,0.0,5.0,15.0,,41.0,71.0,0.577,7.0,16.0,0.438,8.0,14.0,0.571,12.0,50.0,17.0,1.0,8.0,10.0,12.0,-31.0,0,1,81.5,,,,,,,,,,0,1,0,-4.86666666666666,0.4681999999999999,-0.06538289296909977,
2019-11-17,@,Valparaiso,L,60.0,74.0,24.0,52.0,0.462,5.0,15.0,0.333,7.0,12.0,0.583,6.0,31.0,15.0,5.0,4.0,19.0,14.0,,30.0,68.0,0.441,8.0,24.0,0.333,6.0,13.0,0.462,11.0,32.0,20.0,11.0,3.0,11.0,13.0,-14.0,0,2,67.0,66.0,97.0,0.0046574560779296115,-0.09702951674306382,0.347,0.577,81.5,-31.0,-0.3803680981595092,0,1,0,-4.86666666666666,0.4681999999999999,-0.06538289296909977,-31.0
2019-11-19,@,Milwaukee,L,70.0,79.0,23.0,53.0,0.434,5.0,21.0,0.238,19.0,27.0,0.704,12.0,37.0,8.0,5.0,8.0,20.0,23.0,,28.0,64.0,0.438,8.0,21.0,0.381,15.0,26.0,0.577,14.0,36.0,15.0,6.0,4.0,13.0,25.0,-9.0,0,3,74.5,63.0,85.5,-0.027810076389602867,-0.050366467367046475,0.40449999999999997,0.509,74.25,-22.5,-0.30303030303030304,0,1,0,-4.86666666666666,0.4681999999999999,-0.06538289296909977,-22.5
2019-11-24,@,Minnesota,L,56.0,79.0,24.0,58.0,0.414,6.0,23.0,0.261,2.0,4.0,0.5,4.0,28.0,14.0,7.0,3.0,19.0,14.0,,32.0,63.0,0.508,9.0,20.0,0.45,6.0,9.0,0.667,8.0,37.0,19.0,8.0,4.0,15.0,14.0,-23.0,0,4,67.5,65.33333333333333,83.33333333333333,-0.05332028047123549,-0.03752436210388854,0.4143333333333333,0.48533333333333334,74.33333333333333,-18.0,-0.242152466367713,0,1,0,-4.86666666666666,0.4681999999999999,-0.06538289296909977,-18.0
2019-11-29,@,Florida Gulf Coast,W,78.0,63.0,28.0,57.0,0.491,7.0,19.0,0.368,15.0,17.0,0.882,10.0,36.0,17.0,4.0,4.0,17.0,18.0,,21.0,53.0,0.396,6.0,19.0,0.316,15.0,19.0,0.789,6.0,23.0,11.0,11.0,3.0,13.0,17.0,15.0,1,5,70.5,63.0,82.25,-0.03971483829436473,-0.021731049033979766,0.41424999999999995,0.491,72.625,-19.25,-0.26506024096385544,0,1,0,-4.86666666666666,0.4681999999999999,-0.06538289296909977,-19.25
2019-11-30,N,Georgia Southern,W,80.0,68.0,21.0,54.0,0.389,9.0,24.0,0.375,29.0,32.0,0.906,11.0,42.0,11.0,4.0,0.0,13.0,23.0,,19.0,63.0,0.302,4.0,17.0,0.235,26.0,35.0,0.743,14.0,34.0,3.0,10.0,3.0,10.0,22.0,12.0,1,6,74.0,66.0,78.4,-0.04079708937661586,-0.022708035573276386,0.4295999999999999,0.472,72.2,-12.400000000000006,-0.17174515235457072,0,0,1,-4.86666666666666,0.4681999999999999,-0.06538289296909977,-12.400000000000006
2019-12-01,N,Campbell,L,56.0,58.0,20.0,44.0,0.455,4.0,17.0,0.235,12.0,16.0,0.75,5.0,33.0,10.0,3.0,4.0,17.0,14.0,,22.0,55.0,0.4,7.0,16.0,0.438,7.0,9.0,0.778,3.0,21.0,8.0,9.0,2.0,8.0,16.0,-2.0,0,7,57.0,68.33333333333333,76.66666666666667,-0.02815850844535195,-0.03961131862562772,0.42283333333333334,0.44366666666666665,72.5,-8.333333333333343,-0.11494252873563232,0,0,1,-4.86666666666666,0.4681999999999999,-0.06538289296909977,-8.333333333333343
2019-12-06,@,Montana,L,70.0,77.0,23.0,55.0,0.418,9.0,22.0,0.409,15.0,20.0,0.75,8.0,31.0,15.0,4.0,2.0,17.0,24.0,,27.0,55.0,0.491,2.0,5.0,0.4,21.0,27.0,0.778,7.0,29.0,9.0,8.0,6.0,10.0,18.0,-7.0,0,8,73.5,66.57142857142857,74.0,-0.036700327769124574,-0.029740578320104794,0.42742857142857144,0.4374285714285714,70.28571428571429,-7.428571428571431,-0.10569105691056913,0,1,0,-4.86666666666666,0.4681999999999999,-0.06538289296909977,-7.428571428571431
2019-12-08,@,Eastern Washington,L,82.0,98.0,30.0,66.0,0.455,8.0,26.0,0.308,14.0,18.0,0.778,8.0,35.0,15.0,3.0,3.0,14.0,15.0,,42.0,80.0,0.525,8.0,22.0,0.364,6.0,8.0,0.75,7.0,36.0,18.0,11.0,5.0,6.0,19.0,-16.0,0,9,90.0,67.0,74.375,-0.022479585984485573,-0.05638150496103145,0.42625,0.444125,70.6875,-7.375,-0.10433244916003537,0,1,0,-4.86666666666666,0.4681999999999999,-0.06538289296909977,-7.375
2019-12-21,@,Nebraska,W,75.0,74.0,29.0,61.0,0.475,11.0,31.0,0.355,6.0,8.0,0.75,10.0,33.0,11.0,2.0,1.0,12.0,16.0,,28.0,59.0,0.475,9.0,21.0,0.429,9.0,16.0,0.563,10.0,31.0,14.0,8.0,1.0,11.0,14.0,1.0,1,10,74.5,68.66666666666667,77.0,-0.022262226181558487,-0.0581131066926332,0.42944444444444446,0.45311111111111113,72.83333333333333,-8.333333333333329,-0.11441647597253998,0,1,0,-4.86666666666666,0.4681999999999999,-0.06538289296909977,-8.333333333333329
