Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,result,Win,Game_Number,Mean_Score,Avg_Score,Opp_Avg_Score,Avg_Threes,Opp_Avg_Threes,Avg_FG_Pct,Opp_Avg_FG_Pct,Avg_Mean_Score,Avg_Result,Pct_Margin,Home,Away,Neutral,Avg_Result_Fin,Opp_Avg_FG_Pct_Fin,Pct_Margin_Fin,Avg_Result_NC
2019-11-06,,Oral Roberts,W,80.0,75.0,23.0,61.0,0.377,8.0,24.0,0.333,26.0,34.0,0.765,8.0,44.0,12.0,8.0,12.0,21.0,23.0,,24.0,71.0,0.338,7.0,32.0,0.219,20.0,26.0,0.769,12.0,44.0,12.0,10.0,2.0,17.0,27.0,5.0,1,1,77.5,,,,,,,,,,1,0,0,1.5,0.4011875,0.02244039270687237,
2019-11-09,,UMKC,W,69.0,51.0,28.0,58.0,0.483,2.0,10.0,0.2,11.0,16.0,0.688,9.0,36.0,8.0,5.0,6.0,9.0,12.0,,17.0,48.0,0.354,6.0,21.0,0.286,11.0,16.0,0.688,2.0,21.0,9.0,6.0,5.0,12.0,19.0,18.0,1,2,60.0,80.0,75.0,-0.013524362103888576,-0.03352436210388854,0.377,0.338,77.5,5.0,0.06451612903225806,1,0,0,1.5,0.4011875,0.02244039270687237,5.0
2019-11-13,@,College of Charleston,W,73.0,54.0,28.0,54.0,0.519,9.0,21.0,0.429,8.0,9.0,0.889,6.0,30.0,20.0,10.0,4.0,11.0,15.0,,17.0,52.0,0.327,5.0,27.0,0.185,15.0,16.0,0.938,9.0,26.0,9.0,7.0,1.0,14.0,12.0,19.0,1,3,63.5,74.5,63.0,-0.11218208022469395,-0.004000552580079031,0.43,0.346,68.75,11.5,0.16727272727272727,0,1,0,1.5,0.4011875,0.02244039270687237,11.5
2019-11-17,,Yale,W,64.0,57.0,26.0,65.0,0.4,4.0,19.0,0.211,8.0,15.0,0.533,10.0,35.0,10.0,12.0,2.0,11.0,12.0,,21.0,55.0,0.382,9.0,31.0,0.29,6.0,9.0,0.667,9.0,39.0,13.0,5.0,4.0,20.0,16.0,7.0,1,4,60.5,74.0,60.0,-0.05676760534713182,-0.013524362103888576,0.45966666666666667,0.3396666666666666,67.0,14.0,0.208955223880597,1,0,0,1.5,0.4011875,0.02244039270687237,14.0
2019-11-22,,Western Michigan,W,70.0,63.0,24.0,64.0,0.375,7.0,25.0,0.28,15.0,24.0,0.625,16.0,44.0,12.0,5.0,5.0,9.0,19.0,,23.0,57.0,0.404,9.0,29.0,0.31,8.0,15.0,0.533,6.0,33.0,13.0,5.0,0.0,9.0,19.0,7.0,1,5,66.5,71.5,59.25,-0.07226562084514732,0.0282477897948456,0.44475,0.35024999999999995,65.375,12.25,0.18738049713193117,1,0,0,1.5,0.4011875,0.02244039270687237,12.25
2019-11-27,N,Syracuse,W,86.0,72.0,27.0,55.0,0.491,9.0,26.0,0.346,23.0,28.0,0.821,10.0,36.0,17.0,12.0,2.0,18.0,24.0,,19.0,56.0,0.339,8.0,31.0,0.258,26.0,37.0,0.703,9.0,28.0,14.0,9.0,2.0,17.0,20.0,14.0,1,6,79.0,71.2,60.0,-0.060715373339843615,0.04647563789611148,0.43079999999999996,0.36099999999999993,65.6,11.200000000000003,0.17073170731707324,0,0,1,1.5,0.4011875,0.02244039270687237,11.200000000000003
2019-11-29,N,Ole Miss,W,78.0,37.0,28.0,62.0,0.452,8.0,27.0,0.296,14.0,15.0,0.933,6.0,41.0,11.0,11.0,5.0,13.0,14.0,,15.0,58.0,0.259,1.0,20.0,0.05,6.0,11.0,0.545,8.0,34.0,9.0,7.0,1.0,20.0,12.0,41.0,1,7,57.5,73.66666666666667,62.0,-0.048818479750947386,0.04131434757353081,0.44083333333333335,0.3573333333333333,67.83333333333333,11.666666666666671,0.17199017199017208,0,0,1,1.5,0.4011875,0.02244039270687237,11.666666666666671
2019-12-04,,Georgetown,L,74.0,81.0,25.0,62.0,0.403,12.0,32.0,0.375,12.0,16.0,0.75,7.0,25.0,12.0,7.0,5.0,12.0,17.0,,29.0,64.0,0.453,9.0,22.0,0.409,14.0,14.0,1.0,11.0,39.0,16.0,3.0,7.0,15.0,14.0,-7.0,0,8,77.5,74.28571428571429,58.42857142857143,-0.04237051595004243,0.016548987529363235,0.44242857142857145,0.34328571428571425,66.35714285714286,15.857142857142861,0.23896663078579122,1,0,0,1.5,0.4011875,0.02244039270687237,15.857142857142861
2019-12-08,,Wichita State,L,61.0,80.0,20.0,52.0,0.385,3.0,16.0,0.188,18.0,26.0,0.692,10.0,30.0,9.0,6.0,2.0,18.0,18.0,,28.0,63.0,0.444,11.0,26.0,0.423,13.0,20.0,0.65,12.0,39.0,18.0,10.0,4.0,16.0,20.0,-19.0,0,9,70.5,74.25,61.25,-0.01554456412409061,0.01708788279407064,0.4375,0.35699999999999993,67.75,13.0,0.1918819188191882,1,0,0,1.5,0.4011875,0.02244039270687237,13.0
2019-12-15,@,Houston,W,61.0,55.0,21.0,51.0,0.412,4.0,14.0,0.286,15.0,19.0,0.789,9.0,34.0,12.0,3.0,3.0,9.0,18.0,,19.0,61.0,0.311,7.0,29.0,0.241,10.0,16.0,0.625,16.0,38.0,9.0,4.0,5.0,9.0,16.0,6.0,1,10,58.0,72.77777777777777,63.333333333333336,-0.029554896455033564,0.02858090105400618,0.43166666666666664,0.3666666666666666,68.05555555555556,9.444444444444436,0.1387755102040815,0,1,0,1.5,0.4011875,0.02244039270687237,9.444444444444436
