Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,result,Win,Game_Number,Mean_Score,Avg_Score,Opp_Avg_Score,Avg_Threes,Opp_Avg_Threes,Avg_FG_Pct,Opp_Avg_FG_Pct,Avg_Mean_Score,Avg_Result,Pct_Margin,Home,Away,Neutral,Avg_Result_Fin,Opp_Avg_FG_Pct_Fin,Pct_Margin_Fin,Avg_Result_NC
2019-11-08,N,South Dakota,L,62.0,72.0,22.0,51.0,0.431,6.0,15.0,0.4,12.0,16.0,0.75,7.0,23.0,11.0,9.0,1.0,12.0,17.0,,22.0,47.0,0.468,10.0,21.0,0.476,18.0,20.0,0.9,8.0,22.0,14.0,5.0,1.0,14.0,16.0,-10.0,0,1,67.0,,,,,,,,,,0,0,1,3.6129032258064484,0.4251290322580645,0.05361416945907128,
2019-11-10,N,Florida A&M,W,76.0,54.0,31.0,59.0,0.525,6.0,18.0,0.333,8.0,18.0,0.444,12.0,38.0,14.0,9.0,2.0,9.0,17.0,,18.0,46.0,0.391,5.0,17.0,0.294,13.0,22.0,0.591,3.0,18.0,8.0,3.0,1.0,15.0,16.0,22.0,1,2,65.0,62.0,72.0,-0.023201781458727255,0.10314230456277812,0.431,0.468,67.0,-10.0,-0.14925373134328357,0,0,1,3.6129032258064484,0.4251290322580645,0.05361416945907128,-10.0
2019-11-11,@,Hawaii,L,67.0,72.0,26.0,53.0,0.491,7.0,19.0,0.368,8.0,9.0,0.889,7.0,25.0,10.0,4.0,2.0,9.0,17.0,,23.0,48.0,0.479,10.0,23.0,0.435,16.0,17.0,0.941,5.0,18.0,14.0,6.0,2.0,7.0,11.0,-5.0,0,3,69.5,69.0,63.0,-0.05265479688649727,0.043618495038968585,0.478,0.4295,66.0,6.0,0.09090909090909091,0,1,0,3.6129032258064484,0.4251290322580645,0.05361416945907128,6.0
2019-11-17,,UC-Riverside,W,58.0,51.0,22.0,51.0,0.431,4.0,10.0,0.4,10.0,17.0,0.588,6.0,35.0,13.0,7.0,4.0,6.0,13.0,,19.0,54.0,0.352,8.0,23.0,0.348,5.0,9.0,0.556,5.0,30.0,9.0,4.0,4.0,9.0,16.0,7.0,1,4,54.5,68.33333333333333,66.0,-0.03547558161608366,0.06526351668399022,0.48233333333333334,0.446,67.16666666666667,2.3333333333333286,0.03473945409429273,1,0,0,3.6129032258064484,0.4251290322580645,0.05361416945907128,2.3333333333333286
2019-11-19,,Coppin State,W,64.0,60.0,22.0,58.0,0.379,3.0,23.0,0.13,17.0,24.0,0.708,14.0,44.0,11.0,2.0,3.0,19.0,19.0,,20.0,56.0,0.357,7.0,26.0,0.269,13.0,23.0,0.565,7.0,31.0,8.0,7.0,0.0,13.0,23.0,4.0,1,5,62.0,65.75,62.25,-0.05116694765521934,0.08406599934189457,0.46950000000000003,0.4225,64.0,3.5,0.0546875,1,0,0,3.6129032258064484,0.4251290322580645,0.05361416945907128,3.5
2019-11-23,,Boise State,L (3 OT),76.0,82.0,25.0,59.0,0.424,3.0,12.0,0.25,23.0,35.0,0.657,14.0,48.0,7.0,8.0,7.0,21.0,25.0,,25.0,64.0,0.391,11.0,23.0,0.478,21.0,28.0,0.75,8.0,33.0,10.0,10.0,0.0,18.0,25.0,-6.0,0,6,79.0,65.4,61.8,-0.07499225201214543,0.07482515245921822,0.4514,0.40939999999999993,63.6,3.6000000000000085,0.056603773584905794,1,0,0,3.6129032258064484,0.4251290322580645,0.05361416945907128,3.6000000000000085
2019-11-26,,SIU-Edwardsville,W,78.0,50.0,31.0,55.0,0.564,5.0,15.0,0.333,11.0,17.0,0.647,10.0,33.0,18.0,10.0,5.0,15.0,13.0,,20.0,53.0,0.377,2.0,21.0,0.095,8.0,10.0,0.8,5.0,20.0,9.0,8.0,4.0,18.0,15.0,28.0,1,7,64.0,67.16666666666667,65.16666666666667,-0.09764346880364044,0.07777998572219835,0.44683333333333336,0.40633333333333327,66.16666666666667,2.0,0.030226700251889168,1,0,0,3.6129032258064484,0.4251290322580645,0.05361416945907128,2.0
2019-11-29,,Longwood,W,69.0,51.0,25.0,57.0,0.439,12.0,25.0,0.48,7.0,14.0,0.5,10.0,36.0,12.0,4.0,4.0,10.0,16.0,,15.0,48.0,0.313,9.0,29.0,0.31,12.0,15.0,0.8,4.0,25.0,8.0,3.0,4.0,13.0,19.0,18.0,1,8,60.0,68.71428571428571,63.0,-0.10146615004567652,0.047019855583186276,0.4635714285714286,0.4021428571428571,65.85714285714286,5.714285714285708,0.08676789587852485,1,0,0,3.6129032258064484,0.4251290322580645,0.05361416945907128,5.714285714285708
2019-12-04,,Cal State Fullerton,W,62.0,59.0,24.0,48.0,0.5,4.0,9.0,0.444,10.0,19.0,0.526,8.0,33.0,11.0,5.0,4.0,10.0,20.0,,23.0,48.0,0.479,5.0,15.0,0.333,8.0,15.0,0.533,5.0,25.0,5.0,3.0,2.0,9.0,20.0,3.0,1,9,60.5,68.75,61.5,-0.06261527119479765,0.06452441838391632,0.4605,0.39099999999999996,65.125,7.25,0.11132437619961612,1,0,0,3.6129032258064484,0.4251290322580645,0.05361416945907128,7.25
2019-12-07,@,Long Beach State,W,65.0,46.0,26.0,57.0,0.456,7.0,19.0,0.368,6.0,7.0,0.857,11.0,36.0,12.0,6.0,4.0,13.0,16.0,,17.0,54.0,0.315,3.0,10.0,0.3,9.0,14.0,0.643,12.0,30.0,3.0,7.0,1.0,15.0,10.0,19.0,1,10,55.5,68.0,61.22222222222222,-0.06842632288820233,0.051266926462354645,0.4648888888888889,0.40077777777777773,64.61111111111111,6.777777777777779,0.10490111779879623,0,1,0,3.6129032258064484,0.4251290322580645,0.05361416945907128,6.777777777777779
