Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,result,Win,Game_Number,Mean_Score,Avg_Score,Opp_Avg_Score,Avg_Threes,Opp_Avg_Threes,Avg_FG_Pct,Opp_Avg_FG_Pct,Avg_Mean_Score,Avg_Result,Pct_Margin,Home,Away,Neutral,Avg_Result_Fin,Opp_Avg_FG_Pct_Fin,Pct_Margin_Fin,Avg_Result_NC
2019-11-08,,Saint Francis (PA),W (1 OT),100.0,98.0,35.0,68.0,0.515,13.0,29.0,0.448,17.0,24.0,0.708,7.0,31.0,22.0,8.0,6.0,8.0,18.0,,35.0,72.0,0.486,14.0,28.0,0.5,14.0,22.0,0.636,13.0,41.0,12.0,5.0,2.0,10.0,19.0,2.0,1,1,99.0,,,,,,,,,,1,0,0,8.548387096774192,0.4144193548387097,0.12031782065834278,
2019-11-14,,Vanderbilt,W (1 OT),93.0,92.0,32.0,70.0,0.457,9.0,28.0,0.321,20.0,23.0,0.87,8.0,31.0,16.0,11.0,1.0,11.0,15.0,,33.0,66.0,0.5,15.0,35.0,0.429,11.0,16.0,0.688,8.0,37.0,15.0,7.0,5.0,16.0,21.0,1.0,1,2,92.5,100.0,98.0,0.07647563789611145,0.11504706646753998,0.515,0.486,99.0,2.0,0.020202020202020204,1,0,0,8.548387096774192,0.4144193548387097,0.12031782065834278,2.0
2019-11-17,,Cal State Northridge,W,90.0,62.0,34.0,62.0,0.548,15.0,30.0,0.5,7.0,9.0,0.778,10.0,36.0,22.0,6.0,3.0,10.0,21.0,,20.0,55.0,0.364,5.0,18.0,0.278,17.0,21.0,0.81,8.0,24.0,9.0,4.0,1.0,14.0,12.0,28.0,1,3,76.0,96.5,95.0,0.028444549813209874,0.14437037473821668,0.486,0.493,95.75,1.5,0.015665796344647518,1,0,0,8.548387096774192,0.4144193548387097,0.12031782065834278,1.5
2019-11-22,,McNeese State,W,87.0,57.0,31.0,55.0,0.564,16.0,28.0,0.571,9.0,10.0,0.9,8.0,34.0,22.0,10.0,5.0,17.0,16.0,,21.0,55.0,0.382,4.0,20.0,0.2,11.0,14.0,0.786,9.0,25.0,10.0,12.0,3.0,14.0,9.0,30.0,1,4,72.0,94.33333333333333,84.0,0.07870178630600544,0.0912375426580162,0.5066666666666667,0.45,89.16666666666667,10.333333333333329,0.11588785046728967,1,0,0,8.548387096774192,0.4144193548387097,0.12031782065834278,10.333333333333329
2019-11-25,N,Wisconsin,W,62.0,52.0,26.0,56.0,0.464,6.0,17.0,0.353,4.0,6.0,0.667,4.0,31.0,12.0,7.0,3.0,10.0,16.0,,17.0,50.0,0.34,7.0,27.0,0.259,11.0,14.0,0.786,6.0,34.0,7.0,6.0,2.0,13.0,14.0,10.0,1,5,57.0,92.5,77.25,0.11620536762584116,0.055407676731062894,0.521,0.43300000000000005,84.875,15.25,0.1796759941089838,0,0,1,8.548387096774192,0.4144193548387097,0.12031782065834278,15.25
2019-11-26,N,Auburn,L,65.0,79.0,28.0,65.0,0.431,2.0,18.0,0.111,7.0,9.0,0.778,9.0,30.0,7.0,5.0,2.0,12.0,21.0,,26.0,60.0,0.433,5.0,19.0,0.263,22.0,31.0,0.71,16.0,41.0,12.0,7.0,4.0,13.0,17.0,-14.0,0,6,72.0,86.4,72.2,0.0961978601183337,0.060436856732676514,0.5096,0.4144,79.3,14.200000000000003,0.17906683480453978,0,0,1,8.548387096774192,0.4144193548387097,0.12031782065834278,14.200000000000003
2019-11-30,,Boston College,W,64.0,44.0,25.0,58.0,0.431,9.0,24.0,0.375,5.0,5.0,1.0,3.0,35.0,18.0,11.0,2.0,13.0,13.0,,16.0,55.0,0.291,7.0,28.0,0.25,5.0,11.0,0.455,10.0,39.0,11.0,2.0,3.0,16.0,6.0,20.0,1,7,54.0,82.83333333333333,73.33333333333333,0.054684893429310655,0.027384728805202374,0.4965,0.4175,78.08333333333333,9.5,0.1216648879402348,1,0,0,8.548387096774192,0.4144193548387097,0.12031782065834278,9.5
2019-12-03,@,Hampton,W,80.0,63.0,26.0,57.0,0.456,15.0,29.0,0.517,13.0,18.0,0.722,11.0,33.0,22.0,6.0,1.0,6.0,14.0,,25.0,54.0,0.463,5.0,19.0,0.263,8.0,18.0,0.444,11.0,31.0,12.0,3.0,3.0,9.0,15.0,17.0,1,8,71.5,80.14285714285714,69.14285714285714,0.06080718869825047,0.039781423020078366,0.48714285714285716,0.3994285714285714,74.64285714285714,11.0,0.1473684210526316,0,1,0,8.548387096774192,0.4144193548387097,0.12031782065834278,11.0
2019-12-08,,South Alabama,W,75.0,57.0,30.0,58.0,0.517,11.0,25.0,0.44,4.0,4.0,1.0,5.0,36.0,22.0,9.0,3.0,12.0,9.0,,20.0,59.0,0.339,7.0,22.0,0.318,10.0,15.0,0.667,11.0,33.0,10.0,8.0,2.0,12.0,9.0,18.0,1,9,66.0,80.125,68.375,0.08429155053261689,0.026512200967409416,0.48325,0.407375,74.25,11.75,0.15824915824915825,1,0,0,8.548387096774192,0.4144193548387097,0.12031782065834278,11.75
2019-12-14,,College of Charleston,W,78.0,71.0,31.0,59.0,0.525,9.0,25.0,0.36,7.0,9.0,0.778,7.0,33.0,19.0,7.0,3.0,10.0,9.0,,27.0,61.0,0.443,6.0,26.0,0.231,11.0,14.0,0.786,9.0,30.0,6.0,8.0,1.0,11.0,11.0,7.0,1,10,74.5,79.55555555555556,67.11111111111111,0.08871027476761978,0.02919086968419088,0.487,0.3997777777777778,73.33333333333333,12.444444444444443,0.16969696969696968,1,0,0,8.548387096774192,0.4144193548387097,0.12031782065834278,12.444444444444443
2019-12-18,@,Old Dominion,W,62.0,59.0,21.0,51.0,0.412,5.0,19.0,0.263,15.0,19.0,0.789,4.0,28.0,14.0,8.0,3.0,12.0,17.0,,21.0,52.0,0.404,5.0,22.0,0.227,12.0,16.0,0.75,4.0,31.0,9.0,7.0,3.0,14.0,14.0,3.0,1,11,60.5,79.4,67.5,0.08320107870215676,0.01980897122944475,0.4908,0.40409999999999996,73.45,11.900000000000006,0.16201497617426827,0,1,0,8.548387096774192,0.4144193548387097,0.12031782065834278,12.444444444444443
2019-12-22,N,Radford,L,58.0,73.0,20.0,55.0,0.364,7.0,24.0,0.292,11.0,15.0,0.733,5.0,26.0,11.0,6.0,1.0,10.0,19.0,,23.0,50.0,0.46,8.0,18.0,0.444,19.0,23.0,0.826,6.0,37.0,15.0,6.0,1.0,12.0,14.0,-15.0,0,12,65.5,77.81818181818181,66.72727272727273,0.07198965658770023,0.013451114735348435,0.48363636363636364,0.40409090909090906,72.27272727272727,11.09090909090908,0.1534591194968552,0,0,1,8.548387096774192,0.4144193548387097,0.12031782065834278,12.444444444444443
2019-12-29,@,Alabama,L,78.0,90.0,27.0,69.0,0.391,6.0,24.0,0.25,18.0,22.0,0.818,10.0,33.0,11.0,9.0,2.0,10.0,18.0,,31.0,66.0,0.47,12.0,30.0,0.4,16.0,21.0,0.762,15.0,46.0,14.0,4.0,6.0,15.0,19.0,-12.0,0,13,84.0,76.16666666666667,67.25,0.07050189610180069,0.01361318436451292,0.4736666666666667,0.40874999999999995,71.70833333333333,8.916666666666671,0.12434631028471826,0,1,0,8.548387096774192,0.4144193548387097,0.12031782065834278,12.444444444444443
2020-01-02,,St. Joseph's,W,84.0,52.0,31.0,65.0,0.477,8.0,25.0,0.32,14.0,14.0,1.0,6.0,34.0,16.0,9.0,3.0,8.0,9.0,,22.0,60.0,0.367,6.0,30.0,0.2,2.0,6.0,0.333,8.0,36.0,9.0,4.0,4.0,21.0,18.0,32.0,1,14,68.0,76.3076923076923,69.0,0.05845144434772437,0.02092379843122849,0.4673076923076923,0.4134615384615384,72.65384615384616,7.307692307692307,0.10058231868713603,1,0,0,8.548387096774192,0.4144193548387097,0.12031782065834278,12.444444444444443
2020-01-05,@,Rhode Island,W,69.0,61.0,28.0,66.0,0.424,8.0,19.0,0.421,5.0,8.0,0.625,8.0,41.0,13.0,7.0,2.0,8.0,14.0,,23.0,66.0,0.348,4.0,17.0,0.235,11.0,17.0,0.647,13.0,46.0,9.0,4.0,6.0,9.0,12.0,8.0,1,15,65.0,76.85714285714286,67.78571428571429,0.05171727358384376,0.02156520586239169,0.468,0.4101428571428571,72.32142857142857,9.07142857142857,0.12543209876543207,0,1,0,8.548387096774192,0.4144193548387097,0.12031782065834278,12.444444444444443
2020-01-11,,Saint Louis,L,58.0,74.0,23.0,58.0,0.397,4.0,21.0,0.19,8.0,9.0,0.889,4.0,28.0,6.0,7.0,1.0,15.0,18.0,,28.0,55.0,0.509,2.0,11.0,0.182,16.0,23.0,0.696,7.0,37.0,9.0,8.0,4.0,12.0,14.0,-16.0,0,16,66.0,76.33333333333333,67.33333333333333,0.050667777634102795,0.01320831116343818,0.46506666666666674,0.4059999999999999,71.83333333333333,9.0,0.12529002320185614,1,0,0,8.548387096774192,0.4144193548387097,0.12031782065834278,12.444444444444443
2020-01-14,@,Davidson,W,70.0,64.0,23.0,50.0,0.46,9.0,22.0,0.409,15.0,16.0,0.938,3.0,28.0,15.0,6.0,2.0,8.0,20.0,,19.0,57.0,0.333,8.0,33.0,0.242,18.0,21.0,0.857,13.0,36.0,13.0,3.0,3.0,12.0,13.0,6.0,1,17,67.0,75.1875,67.75,0.04308411669910395,-0.003561262472892235,0.46081250000000007,0.41243749999999996,71.46875,7.4375,0.10406646261477918,0,1,0,8.548387096774192,0.4144193548387097,0.12031782065834278,12.444444444444443
2020-01-18,@,George Mason,W,97.0,87.0,33.0,49.0,0.673,5.0,14.0,0.357,26.0,33.0,0.788,1.0,21.0,12.0,11.0,6.0,10.0,17.0,,32.0,59.0,0.542,8.0,22.0,0.364,15.0,21.0,0.714,6.0,26.0,14.0,7.0,1.0,15.0,23.0,10.0,1,18,92.0,74.88235294117646,67.52941176470588,0.044684593119992067,6.448807032743975e-05,0.460764705882353,0.4077647058823529,71.20588235294117,7.35294117647058,0.10326311441553065,0,1,0,8.548387096774192,0.4144193548387097,0.12031782065834278,12.444444444444443
2020-01-22,,La Salle,W,75.0,57.0,24.0,40.0,0.6,5.0,16.0,0.313,22.0,29.0,0.759,2.0,33.0,14.0,8.0,3.0,20.0,21.0,,19.0,58.0,0.328,7.0,29.0,0.241,12.0,21.0,0.571,10.0,29.0,9.0,11.0,2.0,14.0,21.0,18.0,1,19,66.0,76.11111111111111,68.61111111111111,0.030271258334067574,-0.0025931880148197806,0.47255555555555556,0.41522222222222216,72.36111111111111,7.5,0.10364683301343569,1,0,0,8.548387096774192,0.4144193548387097,0.12031782065834278,12.444444444444443
2020-01-25,,Dayton,L,79.0,87.0,27.0,69.0,0.391,10.0,19.0,0.526,15.0,20.0,0.75,9.0,31.0,15.0,7.0,2.0,4.0,17.0,,29.0,54.0,0.537,7.0,19.0,0.368,22.0,29.0,0.759,6.0,41.0,16.0,3.0,8.0,14.0,17.0,-8.0,0,20,83.0,76.05263157894737,68.0,0.02280781782690733,-5.6869843826634625e-05,0.47926315789473684,0.4106315789473684,72.02631578947368,8.05263157894737,0.11180124223602486,1,0,0,8.548387096774192,0.4144193548387097,0.12031782065834278,12.444444444444443
2020-01-28,@,VCU,L,68.0,87.0,22.0,52.0,0.423,3.0,14.0,0.214,21.0,25.0,0.84,5.0,31.0,11.0,9.0,1.0,13.0,14.0,,32.0,65.0,0.492,10.0,21.0,0.476,13.0,20.0,0.65,12.0,37.0,14.0,9.0,5.0,12.0,17.0,-19.0,0,21,77.5,76.2,68.95,0.02505831506146572,-0.00460485521483861,0.47485,0.41695000000000004,72.575,7.25,0.09989665862900447,0,1,0,8.548387096774192,0.4144193548387097,0.12031782065834278,12.444444444444443
2020-02-01,,George Washington,W,76.0,54.0,30.0,58.0,0.517,4.0,15.0,0.267,12.0,16.0,0.75,3.0,26.0,17.0,13.0,1.0,4.0,9.0,,23.0,53.0,0.434,5.0,22.0,0.227,3.0,4.0,0.75,6.0,32.0,9.0,3.0,3.0,18.0,17.0,22.0,1,22,65.0,75.80952380952381,69.80952380952381,0.016249507242845074,-0.0024738846141204585,0.4723809523809524,0.4205238095238095,72.80952380952381,6.0,0.08240680183126226,1,0,0,8.548387096774192,0.4144193548387097,0.12031782065834278,12.444444444444443
2020-02-08,@,Fordham,W,59.0,53.0,18.0,49.0,0.367,7.0,24.0,0.292,16.0,27.0,0.593,4.0,35.0,11.0,6.0,3.0,7.0,11.0,,20.0,51.0,0.392,8.0,24.0,0.333,5.0,8.0,0.625,2.0,32.0,12.0,4.0,1.0,11.0,24.0,6.0,1,23,56.0,75.81818181818181,69.0909090909091,0.008418083939276955,-0.0036559410512569945,0.4744090909090909,0.4211363636363636,72.45454545454545,6.7272727272727195,0.09284818067754068,0,1,0,8.548387096774192,0.4144193548387097,0.12031782065834278,12.444444444444443
2020-02-12,@,La Salle,W,74.0,47.0,30.0,63.0,0.476,4.0,19.0,0.211,10.0,16.0,0.625,10.0,43.0,16.0,10.0,4.0,13.0,10.0,,17.0,57.0,0.298,9.0,31.0,0.29,4.0,6.0,0.667,3.0,27.0,10.0,8.0,1.0,17.0,14.0,27.0,1,24,60.5,75.08695652173913,68.3913043478261,0.0095792858405237,0.0011609525814260668,0.46973913043478255,0.4198695652173912,71.73913043478261,6.695652173913032,0.09333333333333317,0,1,0,8.548387096774192,0.4144193548387097,0.12031782065834278,12.444444444444443
2020-02-15,,VCU,W,77.0,59.0,29.0,58.0,0.5,11.0,22.0,0.5,8.0,14.0,0.571,10.0,39.0,17.0,10.0,1.0,16.0,11.0,,24.0,70.0,0.343,4.0,21.0,0.19,7.0,9.0,0.778,17.0,39.0,7.0,9.0,3.0,16.0,17.0,18.0,1,25,68.0,75.04166666666667,67.5,0.00296647631920971,0.008697860118333678,0.4699999999999999,0.4147916666666666,71.27083333333333,7.541666666666671,0.10581701256942422,1,0,0,8.548387096774192,0.4144193548387097,0.12031782065834278,12.444444444444443
2020-02-19,,George Mason,W,65.0,50.0,26.0,55.0,0.473,3.0,16.0,0.188,10.0,12.0,0.833,9.0,26.0,10.0,10.0,4.0,9.0,14.0,,18.0,46.0,0.391,4.0,17.0,0.235,10.0,12.0,0.833,9.0,29.0,9.0,5.0,2.0,18.0,16.0,15.0,1,26,57.5,75.12,67.16,0.0075618998769420576,0.004522094120054276,0.4711999999999999,0.41191999999999995,71.14,7.960000000000008,0.11189204385718313,1,0,0,8.548387096774192,0.4144193548387097,0.12031782065834278,12.444444444444443
2020-02-22,@,St. Bonaventure,L,71.0,75.0,25.0,63.0,0.397,11.0,35.0,0.314,10.0,15.0,0.667,5.0,28.0,18.0,6.0,2.0,8.0,16.0,,26.0,52.0,0.5,7.0,21.0,0.333,16.0,21.0,0.762,4.0,31.0,17.0,5.0,2.0,10.0,13.0,-4.0,0,27,73.0,74.73076923076923,66.5,0.0014524778343512623,0.0022651115803219435,0.4712692307692307,0.41111538461538455,70.61538461538461,8.230769230769226,0.11655773420479297,0,1,0,8.548387096774192,0.4144193548387097,0.12031782065834278,12.444444444444443
2020-02-26,@,George Washington,W,73.0,70.0,25.0,59.0,0.424,9.0,21.0,0.429,14.0,20.0,0.7,8.0,35.0,17.0,7.0,3.0,7.0,17.0,,25.0,51.0,0.49,8.0,24.0,0.333,12.0,24.0,0.5,7.0,33.0,14.0,2.0,6.0,14.0,19.0,3.0,1,28,71.5,74.5925925925926,66.81481481481481,0.006733830547551334,0.0007771900025416167,0.46851851851851845,0.41440740740740734,70.70370370370371,7.777777777777786,0.11000523834468318,0,1,0,8.548387096774192,0.4144193548387097,0.12031782065834278,12.444444444444443
2020-02-29,,UMass,W,95.0,71.0,32.0,58.0,0.552,10.0,24.0,0.417,21.0,23.0,0.913,7.0,42.0,18.0,7.0,1.0,12.0,20.0,,26.0,64.0,0.406,9.0,22.0,0.409,10.0,15.0,0.667,6.0,26.0,16.0,3.0,2.0,10.0,21.0,24.0,1,29,83.0,74.53571428571429,66.92857142857143,0.008468929702532102,0.0018438342675095032,0.46692857142857136,0.4171071428571428,70.73214285714286,7.607142857142861,0.10754859883867715,1,0,0,8.548387096774192,0.4144193548387097,0.12031782065834278,12.444444444444443
2020-03-03,,Davidson,W,80.0,63.0,27.0,55.0,0.491,8.0,19.0,0.421,18.0,22.0,0.818,8.0,34.0,14.0,6.0,1.0,8.0,15.0,,21.0,51.0,0.412,7.0,26.0,0.269,14.0,21.0,0.667,5.0,25.0,9.0,1.0,4.0,9.0,15.0,17.0,1,30,71.5,75.24137931034483,67.06896551724138,0.00819882763030022,0.004213427099196254,0.4698620689655172,0.41672413793103447,71.15517241379311,8.172413793103445,0.11485340440998298,1,0,0,8.548387096774192,0.4144193548387097,0.12031782065834278,12.444444444444443
