Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,result,Win,Game_Number,Mean_Score,Avg_Score,Opp_Avg_Score,Avg_Threes,Opp_Avg_Threes,Avg_FG_Pct,Opp_Avg_FG_Pct,Avg_Mean_Score,Avg_Result,Pct_Margin,Home,Away,Neutral,Avg_Result_Fin,Opp_Avg_FG_Pct_Fin,Pct_Margin_Fin,Avg_Result_NC
2019-11-05,@,Coppin State,W,91.0,84.0,30.0,62.0,0.484,7.0,19.0,0.368,24.0,35.0,0.686,10.0,46.0,17.0,7.0,0.0,24.0,19.0,,28.0,74.0,0.378,10.0,39.0,0.256,18.0,24.0,0.75,10.0,36.0,15.0,11.0,3.0,14.0,28.0,7.0,1,1,87.5,,,,,,,,,,0,1,0,2.4000000000000057,0.42216666666666663,0.03402646502835547,
2019-11-08,@,Delaware State,W,81.0,54.0,30.0,58.0,0.517,8.0,20.0,0.4,13.0,21.0,0.619,9.0,45.0,14.0,4.0,2.0,14.0,16.0,,20.0,62.0,0.323,6.0,29.0,0.207,8.0,13.0,0.615,4.0,26.0,8.0,6.0,0.0,11.0,14.0,27.0,1,2,67.5,91.0,84.0,-0.08275513133465778,0.043618495038968585,0.484,0.378,87.5,7.0,0.08,0,1,0,2.4000000000000057,0.42216666666666663,0.03402646502835547,7.0
2019-11-17,@,Arizona State,L,55.0,92.0,23.0,60.0,0.383,3.0,21.0,0.143,6.0,14.0,0.429,9.0,40.0,10.0,7.0,3.0,29.0,22.0,,35.0,82.0,0.427,10.0,32.0,0.313,12.0,20.0,0.6,13.0,39.0,15.0,16.0,6.0,7.0,18.0,-37.0,0,3,73.5,86.0,69.0,-0.05189645512714436,0.034301724852633164,0.5005,0.35050000000000003,77.5,17.0,0.21935483870967742,0,1,0,2.4000000000000057,0.42216666666666663,0.03402646502835547,17.0
2019-11-20,@,UMass,L,72.0,82.0,25.0,64.0,0.391,4.0,17.0,0.235,18.0,30.0,0.6,17.0,39.0,18.0,1.0,3.0,12.0,22.0,,29.0,54.0,0.537,11.0,22.0,0.5,13.0,24.0,0.542,6.0,29.0,20.0,4.0,3.0,9.0,19.0,-10.0,0,4,77.0,75.66666666666667,76.66666666666667,-0.0756388995488225,0.025606072678720115,0.4613333333333333,0.37600000000000006,76.16666666666667,-1.0,-0.01312910284463895,0,1,0,2.4000000000000057,0.42216666666666663,0.03402646502835547,-1.0
2019-11-23,N,Columbia,W,87.0,63.0,32.0,62.0,0.516,6.0,15.0,0.4,17.0,25.0,0.68,7.0,37.0,12.0,8.0,4.0,11.0,8.0,,25.0,70.0,0.357,12.0,33.0,0.364,1.0,3.0,0.333,7.0,30.0,16.0,5.0,4.0,16.0,23.0,24.0,1,5,75.0,74.75,78.0,-0.09278857615071132,0.04224486866534222,0.44375,0.41625,76.375,-3.25,-0.0425531914893617,0,0,1,2.4000000000000057,0.42216666666666663,0.03402646502835547,-3.25
2019-11-24,N,Vermont,W,72.0,67.0,25.0,53.0,0.472,8.0,19.0,0.421,14.0,28.0,0.5,7.0,41.0,10.0,7.0,5.0,8.0,16.0,,24.0,67.0,0.358,9.0,34.0,0.265,10.0,14.0,0.714,8.0,31.0,9.0,3.0,3.0,7.0,22.0,5.0,1,6,69.5,77.2,75.0,-0.09590778179300777,0.07847563789611145,0.4582,0.40440000000000004,76.1,2.200000000000003,0.02890932982917218,0,0,1,2.4000000000000057,0.42216666666666663,0.03402646502835547,2.200000000000003
2019-12-03,,Bucknell,W,89.0,69.0,31.0,59.0,0.525,7.0,17.0,0.412,20.0,26.0,0.769,6.0,29.0,18.0,4.0,4.0,12.0,17.0,,22.0,55.0,0.4,7.0,20.0,0.35,18.0,25.0,0.72,10.0,29.0,12.0,7.0,2.0,14.0,19.0,20.0,1,7,79.0,76.33333333333333,73.66666666666667,-0.07771650184187981,0.08014079626715215,0.46049999999999996,0.3966666666666667,75.0,2.666666666666657,0.03555555555555543,1,0,0,2.4000000000000057,0.42216666666666663,0.03402646502835547,2.666666666666657
2019-12-14,,LIU,W,89.0,74.0,31.0,79.0,0.392,5.0,20.0,0.25,22.0,29.0,0.759,21.0,52.0,16.0,10.0,6.0,13.0,20.0,,26.0,62.0,0.419,8.0,24.0,0.333,14.0,20.0,0.7,8.0,32.0,10.0,6.0,4.0,16.0,24.0,15.0,1,8,81.5,78.14285714285714,73.0,-0.07769255223185928,0.06808033456930129,0.4697142857142857,0.3971428571428572,75.57142857142857,5.142857142857139,0.06805293005671072,1,0,0,2.4000000000000057,0.42216666666666663,0.03402646502835547,5.142857142857139
2019-12-16,,Marist,W,74.0,64.0,16.0,40.0,0.4,5.0,16.0,0.313,37.0,48.0,0.771,6.0,26.0,7.0,10.0,1.0,11.0,17.0,,25.0,48.0,0.521,6.0,16.0,0.375,8.0,13.0,0.615,6.0,29.0,8.0,4.0,1.0,19.0,32.0,10.0,1,9,69.0,79.5,73.125,-0.08710926776426592,0.060834612255085796,0.45999999999999996,0.39987500000000004,76.3125,6.375,0.08353808353808354,1,0,0,2.4000000000000057,0.42216666666666663,0.03402646502835547,6.375
2019-12-21,@,Temple,L,66.0,78.0,24.0,73.0,0.329,8.0,24.0,0.333,10.0,13.0,0.769,18.0,42.0,10.0,8.0,1.0,12.0,16.0,,30.0,58.0,0.517,11.0,24.0,0.458,7.0,15.0,0.467,8.0,37.0,20.0,5.0,3.0,15.0,14.0,-12.0,0,10,72.0,78.88888888888889,72.11111111111111,-0.08958070013205754,0.05165283358178169,0.45333333333333337,0.41333333333333333,75.5,6.7777777777777715,0.08977189109639433,0,1,0,2.4000000000000057,0.42216666666666663,0.03402646502835547,6.7777777777777715
