Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,result,Win,Game_Number,Mean_Score,Avg_Score,Opp_Avg_Score,Avg_Threes,Opp_Avg_Threes,Avg_FG_Pct,Opp_Avg_FG_Pct,Avg_Mean_Score,Avg_Result,Pct_Margin,Home,Away,Neutral,Avg_Result_Fin,Opp_Avg_FG_Pct_Fin,Pct_Margin_Fin,Avg_Result_NC
2019-11-07,@,Marshall,L,60.0,67.0,24.0,64.0,0.375,7.0,22.0,0.318,5.0,8.0,0.625,12.0,35.0,11.0,8.0,1.0,14.0,16.0,,26.0,59.0,0.441,4.0,20.0,0.2,11.0,20.0,0.55,14.0,40.0,11.0,9.0,9.0,16.0,10.0,-7.0,0,1,63.5,,,,,,,,,,0,1,0,1.6060606060605949,0.447060606060606,0.023613276899086492,
2019-11-09,@,Notre Dame,L,57.0,92.0,21.0,62.0,0.339,11.0,30.0,0.367,4.0,8.0,0.5,7.0,27.0,12.0,6.0,1.0,14.0,21.0,,31.0,54.0,0.574,8.0,22.0,0.364,22.0,25.0,0.88,5.0,39.0,18.0,5.0,5.0,11.0,12.0,-35.0,0,2,74.5,60.0,67.0,0.03647563789611141,-0.13441988449194828,0.375,0.441,63.5,-7.0,-0.11023622047244094,0,1,0,1.6060606060605949,0.447060606060606,0.023613276899086492,-7.0
2019-11-12,,Pitt,L,57.0,71.0,22.0,58.0,0.379,7.0,20.0,0.35,6.0,6.0,1.0,6.0,22.0,16.0,5.0,3.0,11.0,19.0,,22.0,50.0,0.44,5.0,12.0,0.417,22.0,27.0,0.815,10.0,36.0,13.0,7.0,5.0,11.0,11.0,-14.0,0,3,64.0,58.5,79.5,0.148014099434573,-0.08710926776426592,0.357,0.5075,69.0,-21.0,-0.30434782608695654,1,0,0,1.6060606060605949,0.447060606060606,0.023613276899086492,-21.0
2019-11-15,N,Howard,W,85.0,65.0,32.0,55.0,0.582,9.0,17.0,0.529,12.0,20.0,0.6,8.0,30.0,19.0,4.0,1.0,10.0,16.0,,26.0,57.0,0.456,6.0,21.0,0.286,7.0,14.0,0.5,9.0,26.0,15.0,3.0,1.0,12.0,17.0,20.0,1,4,75.0,58.0,76.66666666666667,0.1175101206547321,-0.09178523166910596,0.36433333333333334,0.48499999999999993,67.33333333333333,-18.66666666666667,-0.2772277227722773,0,0,1,1.6060606060605949,0.447060606060606,0.023613276899086492,-18.66666666666667
2019-11-16,@,Toledo,L,56.0,70.0,23.0,68.0,0.338,8.0,26.0,0.308,2.0,5.0,0.4,12.0,39.0,17.0,7.0,2.0,9.0,18.0,,24.0,52.0,0.462,9.0,20.0,0.45,13.0,21.0,0.619,5.0,37.0,17.0,5.0,2.0,10.0,9.0,-14.0,0,5,63.0,64.75,73.75,0.08029803171850525,-0.0796260570191428,0.41874999999999996,0.47774999999999995,69.25,-9.0,-0.1299638989169675,0,1,0,1.6060606060605949,0.447060606060606,0.023613276899086492,-9.0
2019-11-21,@,UIC,L,62.0,72.0,22.0,61.0,0.361,6.0,23.0,0.261,12.0,18.0,0.667,10.0,27.0,15.0,8.0,1.0,15.0,18.0,,28.0,55.0,0.509,9.0,24.0,0.375,7.0,12.0,0.583,9.0,33.0,18.0,10.0,10.0,18.0,17.0,-10.0,0,6,67.0,63.0,73.0,0.08647563789611146,-0.05051066347375155,0.40259999999999996,0.47459999999999997,68.0,-10.0,-0.14705882352941177,0,1,0,1.6060606060605949,0.447060606060606,0.023613276899086492,-10.0
2019-11-23,@,Marquette,L,62.0,66.0,23.0,62.0,0.371,6.0,19.0,0.316,10.0,14.0,0.714,8.0,28.0,13.0,9.0,1.0,12.0,23.0,,20.0,47.0,0.426,4.0,16.0,0.25,22.0,28.0,0.786,9.0,35.0,13.0,4.0,6.0,21.0,14.0,-4.0,0,7,64.0,62.833333333333336,72.83333333333333,0.06843850261759682,-0.032059831211440015,0.3956666666666666,0.4803333333333333,67.83333333333333,-9.999999999999993,-0.14742014742014733,0,1,0,1.6060606060605949,0.447060606060606,0.023613276899086492,-9.999999999999993
2019-11-30,@,Cleveland State,L,59.0,70.0,23.0,57.0,0.404,6.0,29.0,0.207,7.0,13.0,0.538,11.0,29.0,11.0,4.0,3.0,17.0,21.0,,25.0,45.0,0.556,1.0,9.0,0.111,19.0,24.0,0.792,3.0,25.0,15.0,12.0,2.0,15.0,14.0,-11.0,0,8,64.5,62.714285714285715,71.85714285714286,0.05549613903506356,-0.04513470007605558,0.39214285714285707,0.47257142857142853,67.28571428571429,-9.142857142857146,-0.1358811040339703,0,1,0,1.6060606060605949,0.447060606060606,0.023613276899086492,-9.142857142857146
2019-12-04,@,Youngstown State,L,70.0,81.0,28.0,69.0,0.406,10.0,28.0,0.357,4.0,9.0,0.444,7.0,30.0,15.0,6.0,0.0,13.0,20.0,,28.0,61.0,0.459,8.0,19.0,0.421,17.0,23.0,0.739,9.0,39.0,15.0,6.0,2.0,12.0,15.0,-11.0,0,9,75.5,62.25,71.625,0.04792142102864155,-0.07268666576881003,0.39362499999999995,0.483,66.9375,-9.375,-0.1400560224089636,0,1,0,1.6060606060605949,0.447060606060606,0.023613276899086492,-9.375
2019-12-07,@,Florida Gulf Coast,W,64.0,59.0,20.0,52.0,0.385,8.0,20.0,0.4,16.0,23.0,0.696,7.0,32.0,12.0,5.0,1.0,12.0,14.0,,22.0,57.0,0.386,8.0,35.0,0.229,7.0,9.0,0.778,8.0,31.0,17.0,4.0,6.0,11.0,21.0,5.0,1,10,61.5,63.111111111111114,72.66666666666667,0.056193947755266316,-0.06581794008553996,0.39499999999999996,0.4803333333333333,67.88888888888889,-9.555555555555557,-0.14075286415711952,0,1,0,1.6060606060605949,0.447060606060606,0.023613276899086492,-9.555555555555557
