Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,result,Win,Game_Number,Mean_Score,Avg_Score,Opp_Avg_Score,Avg_Threes,Opp_Avg_Threes,Avg_FG_Pct,Opp_Avg_FG_Pct,Avg_Mean_Score,Avg_Result,Pct_Margin,Home,Away,Neutral,Avg_Result_Fin,Opp_Avg_FG_Pct_Fin,Pct_Margin_Fin,Avg_Result_NC
2019-11-07,,Bryant,W,73.0,71.0,26.0,69.0,0.377,3.0,26.0,0.115,18.0,32.0,0.563,11.0,42.0,15.0,11.0,7.0,15.0,13.0,,26.0,66.0,0.394,13.0,35.0,0.371,6.0,9.0,0.667,8.0,38.0,16.0,8.0,9.0,21.0,25.0,2.0,1,1,72.0,,,,,,,,,,1,0,0,6.0333333333333385,0.3885666666666666,0.09125283589614328,
2019-11-10,,Niagara,W,86.0,39.0,35.0,59.0,0.593,9.0,19.0,0.474,7.0,8.0,0.875,7.0,35.0,22.0,7.0,6.0,9.0,12.0,,16.0,52.0,0.308,5.0,19.0,0.263,2.0,3.0,0.667,6.0,21.0,10.0,3.0,4.0,15.0,16.0,47.0,1,2,62.5,73.0,71.0,-0.19023669087101186,0.2357714125439988,0.377,0.394,72.0,2.0,0.027777777777777776,1,0,0,6.0333333333333385,0.3885666666666666,0.09125283589614328,2.0
2019-11-13,,Drexel,W,62.0,57.0,19.0,51.0,0.373,4.0,17.0,0.235,20.0,25.0,0.8,7.0,37.0,8.0,7.0,8.0,13.0,13.0,,21.0,65.0,0.323,9.0,27.0,0.333,6.0,8.0,0.75,10.0,33.0,10.0,7.0,5.0,11.0,21.0,5.0,1,3,59.5,79.5,55.0,-0.08710926776426592,0.17738472880520234,0.485,0.351,67.25,24.5,0.3643122676579926,1,0,0,6.0333333333333385,0.3885666666666666,0.09125283589614328,24.5
2019-11-16,N,St. Bonaventure,L,74.0,80.0,24.0,56.0,0.429,7.0,25.0,0.28,19.0,30.0,0.633,18.0,35.0,18.0,4.0,5.0,13.0,16.0,,29.0,59.0,0.492,11.0,24.0,0.458,11.0,13.0,0.846,9.0,27.0,16.0,6.0,2.0,9.0,25.0,-6.0,0,4,77.0,73.66666666666667,55.666666666666664,-0.09632979196814198,0.1715055780158719,0.44766666666666666,0.3416666666666666,64.66666666666667,18.000000000000007,0.2783505154639176,0,0,1,6.0333333333333385,0.3885666666666666,0.09125283589614328,18.000000000000007
2019-11-20,,Stephen F. Austin,W,69.0,57.0,22.0,45.0,0.489,8.0,20.0,0.4,17.0,28.0,0.607,6.0,31.0,12.0,9.0,7.0,19.0,22.0,,20.0,51.0,0.392,2.0,13.0,0.154,15.0,24.0,0.625,9.0,29.0,7.0,9.0,2.0,17.0,27.0,12.0,1,5,63.0,73.75,61.75,-0.0796260570191428,0.148014099434573,0.443,0.37925,67.75,12.0,0.17712177121771217,1,0,0,6.0333333333333385,0.3885666666666666,0.09125283589614328,12.0
2019-11-26,,NJIT,W,85.0,58.0,35.0,60.0,0.583,5.0,14.0,0.357,10.0,17.0,0.588,8.0,32.0,22.0,4.0,4.0,10.0,16.0,,20.0,56.0,0.357,6.0,20.0,0.3,12.0,14.0,0.857,6.0,22.0,12.0,6.0,4.0,11.0,15.0,27.0,1,6,71.5,72.8,60.8,-0.058029856609383035,0.0812124800013746,0.45220000000000005,0.3818,66.8,12.0,0.17964071856287425,1,0,0,6.0333333333333385,0.3885666666666666,0.09125283589614328,12.0
2019-11-29,,UMass,W,82.0,57.0,31.0,58.0,0.534,3.0,13.0,0.231,17.0,24.0,0.708,9.0,37.0,12.0,11.0,5.0,14.0,18.0,,22.0,61.0,0.361,7.0,23.0,0.304,6.0,12.0,0.5,8.0,29.0,8.0,5.0,2.0,19.0,20.0,25.0,1,7,69.5,74.83333333333333,60.333333333333336,-0.07298984094575939,0.06769110750937107,0.47400000000000003,0.37766666666666665,67.58333333333333,14.499999999999993,0.21454993834771877,1,0,0,6.0333333333333385,0.3885666666666666,0.09125283589614328,14.499999999999993
2019-12-03,@,Pitt,L,60.0,71.0,25.0,60.0,0.417,4.0,23.0,0.174,6.0,10.0,0.6,16.0,40.0,9.0,6.0,2.0,20.0,20.0,,27.0,58.0,0.466,5.0,16.0,0.313,12.0,17.0,0.706,9.0,29.0,18.0,9.0,5.0,12.0,16.0,-11.0,0,8,65.5,75.85714285714286,59.857142857142854,-0.09318537905304111,0.06595057823024036,0.4825714285714286,0.3752857142857143,67.85714285714286,16.000000000000007,0.2357894736842106,0,1,0,6.0333333333333385,0.3885666666666666,0.09125283589614328,16.000000000000007
2019-12-08,@,Michigan State,L,65.0,77.0,24.0,60.0,0.4,4.0,14.0,0.286,13.0,19.0,0.684,6.0,28.0,14.0,3.0,2.0,11.0,23.0,,24.0,55.0,0.436,7.0,21.0,0.333,22.0,27.0,0.815,5.0,33.0,17.0,8.0,3.0,11.0,16.0,-12.0,0,9,71.0,73.875,61.25,-0.09525025042876167,0.04157767871243795,0.474375,0.386625,67.5625,12.625,0.1868640148011101,0,1,0,6.0333333333333385,0.3885666666666666,0.09125283589614328,12.625
2019-12-11,,Wisconsin,W,72.0,65.0,29.0,63.0,0.46,5.0,19.0,0.263,9.0,13.0,0.692,11.0,34.0,10.0,8.0,3.0,11.0,19.0,,23.0,48.0,0.479,8.0,23.0,0.348,11.0,16.0,0.688,3.0,22.0,9.0,5.0,4.0,14.0,17.0,7.0,1,10,68.5,72.88888888888889,63.0,-0.09858533771364464,0.030390981811455386,0.46611111111111114,0.3921111111111111,67.94444444444444,9.888888888888886,0.14554374488961566,1,0,0,6.0333333333333385,0.3885666666666666,0.09125283589614328,9.888888888888886
