Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,result,Win,Game_Number,Mean_Score,Avg_Score,Opp_Avg_Score,Avg_Threes,Opp_Avg_Threes,Avg_FG_Pct,Opp_Avg_FG_Pct,Avg_Mean_Score,Avg_Result,Pct_Margin,Home,Away,Avg_Result_Fin,Opp_Avg_FG_Pct_Fin,Pct_Margin_Fin,Avg_Result_NC
2019-11-09,,North Carolina Central,W,94.0,64.0,35.0,59.0,0.593,11.0,19.0,0.579,13.0,17.0,0.765,9.0,32.0,19.0,11.0,3.0,22.0,15.0,,21.0,47.0,0.447,7.0,18.0,0.389,15.0,19.0,0.789,4.0,18.0,12.0,10.0,1.0,30.0,17.0,30.0,1,1,79.0,,,,,,,,,,1,0,10.92857142857143,0.4353928571428572,0.14934114202049784,
2019-11-13,,Niagara,W,89.0,80.0,28.0,64.0,0.438,7.0,22.0,0.318,26.0,33.0,0.788,15.0,29.0,13.0,8.0,2.0,14.0,27.0,,25.0,45.0,0.556,8.0,18.0,0.444,22.0,30.0,0.733,6.0,25.0,16.0,6.0,1.0,21.0,28.0,9.0,1,2,84.5,94.0,64.0,0.037539467683345484,0.014600637896111435,0.593,0.447,79.0,30.0,0.379746835443038,1,0,10.92857142857143,0.4353928571428572,0.14934114202049784,30.0
2019-11-16,,Drexel,W,82.0,67.0,29.0,61.0,0.475,5.0,18.0,0.278,19.0,25.0,0.76,11.0,33.0,15.0,17.0,5.0,20.0,25.0,,20.0,40.0,0.5,5.0,14.0,0.357,22.0,30.0,0.733,4.0,26.0,11.0,6.0,1.0,30.0,20.0,15.0,1,3,74.5,91.5,72.0,-0.018442394890773817,-0.0010243621038885653,0.5155,0.5015000000000001,81.75,19.5,0.23853211009174313,1,0,10.92857142857143,0.4353928571428572,0.14934114202049784,19.5
2019-11-20,@,Rutgers,L,57.0,69.0,20.0,51.0,0.392,2.0,13.0,0.154,15.0,24.0,0.625,9.0,29.0,7.0,9.0,2.0,17.0,27.0,,22.0,45.0,0.489,8.0,20.0,0.4,17.0,28.0,0.607,6.0,31.0,12.0,9.0,7.0,19.0,22.0,-12.0,0,4,63.0,88.33333333333333,70.33333333333333,-0.05314700361332253,-0.029164172530428856,0.5019999999999999,0.501,79.33333333333333,18.0,0.22689075630252103,0,1,10.92857142857143,0.4353928571428572,0.14934114202049784,18.0
2019-11-26,@,Duke,W (1 OT),85.0,83.0,36.0,74.0,0.486,2.0,10.0,0.2,11.0,17.0,0.647,8.0,28.0,17.0,13.0,2.0,14.0,29.0,,27.0,54.0,0.5,5.0,15.0,0.333,24.0,40.0,0.6,10.0,35.0,21.0,8.0,14.0,20.0,18.0,2.0,1,5,84.0,80.5,70.0,-0.08060510744550348,-0.013524362103888576,0.4744999999999999,0.498,75.25,10.5,0.13953488372093023,0,1,10.92857142857143,0.4353928571428572,0.14934114202049784,10.5
2019-11-30,@,Arkansas State,W,76.0,57.0,29.0,58.0,0.5,5.0,13.0,0.385,13.0,22.0,0.591,7.0,41.0,12.0,11.0,1.0,14.0,26.0,,15.0,53.0,0.283,4.0,17.0,0.235,23.0,35.0,0.657,11.0,39.0,9.0,5.0,4.0,20.0,22.0,19.0,1,6,66.5,81.4,72.6,-0.11450716308668954,-0.04079708937661586,0.4767999999999999,0.4984,77.0,8.800000000000011,0.11428571428571443,0,1,10.92857142857143,0.4353928571428572,0.14934114202049784,8.800000000000011
2019-12-06,@,Alabama,L,68.0,78.0,24.0,61.0,0.393,4.0,13.0,0.308,16.0,21.0,0.762,11.0,33.0,6.0,12.0,0.0,19.0,27.0,,21.0,47.0,0.447,11.0,32.0,0.344,25.0,35.0,0.714,7.0,30.0,13.0,11.0,8.0,20.0,19.0,-10.0,0,7,73.0,80.5,70.0,-0.1147665981287333,-0.049238647818174275,0.4806666666666666,0.46249999999999997,75.25,10.5,0.13953488372093023,0,1,10.92857142857143,0.4353928571428572,0.14934114202049784,10.5
2019-12-14,,Louisiana-Monroe,W,66.0,59.0,22.0,53.0,0.415,8.0,29.0,0.276,14.0,19.0,0.737,11.0,30.0,15.0,5.0,1.0,9.0,16.0,,18.0,41.0,0.439,10.0,19.0,0.526,13.0,18.0,0.722,4.0,25.0,8.0,6.0,1.0,17.0,17.0,7.0,1,8,62.5,78.71428571428571,71.14285714285714,-0.11751710257575784,-0.02436773559786448,0.468142857142857,0.4602857142857143,74.92857142857143,7.571428571428569,0.10104861773117252,1,0,10.92857142857143,0.4353928571428572,0.14934114202049784,7.571428571428569
2019-12-18,,Houston Baptist,W,96.0,68.0,32.0,65.0,0.492,5.0,16.0,0.313,27.0,35.0,0.771,14.0,46.0,20.0,9.0,9.0,14.0,20.0,,21.0,63.0,0.333,9.0,20.0,0.45,17.0,20.0,0.85,8.0,28.0,13.0,7.0,3.0,21.0,28.0,28.0,1,9,82.0,77.125,69.625,-0.09958595043452065,-0.001136570362416378,0.4614999999999999,0.457625,73.375,7.5,0.10221465076660988,1,0,10.92857142857143,0.4353928571428572,0.14934114202049784,7.5
2019-12-21,@,McNeese State,W,81.0,73.0,30.0,56.0,0.536,6.0,14.0,0.429,15.0,21.0,0.714,10.0,36.0,17.0,4.0,0.0,17.0,29.0,,22.0,49.0,0.449,8.0,19.0,0.421,21.0,36.0,0.583,8.0,27.0,13.0,8.0,5.0,16.0,19.0,8.0,1,10,77.0,79.22222222222223,69.44444444444444,-0.10735325410949864,0.008075637896111487,0.4648888888888888,0.4437777777777778,74.33333333333333,9.777777777777786,0.13153961136023928,0,1,10.92857142857143,0.4353928571428572,0.14934114202049784,9.777777777777786
