Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,result,Win,Game_Number,Mean_Score,Avg_Score,Opp_Avg_Score,Avg_Threes,Opp_Avg_Threes,Avg_FG_Pct,Opp_Avg_FG_Pct,Avg_Mean_Score,Avg_Result,Pct_Margin,Home,Away,Neutral,Avg_Result_Fin,Opp_Avg_FG_Pct_Fin,Pct_Margin_Fin,Avg_Result_NC
2019-11-09,@,Oklahoma State,L,51.0,69.0,17.0,48.0,0.354,6.0,21.0,0.286,11.0,16.0,0.688,2.0,21.0,9.0,6.0,5.0,12.0,19.0,,28.0,58.0,0.483,2.0,10.0,0.2,11.0,16.0,0.688,9.0,36.0,8.0,5.0,6.0,9.0,12.0,-18.0,0,1,60.0,,,,,,,,,,0,1,0,-2.444444444444443,0.4484074074074074,-0.036363636363636334,
2019-11-13,@,Drake,L,58.0,76.0,22.0,57.0,0.386,5.0,16.0,0.313,9.0,12.0,0.75,3.0,17.0,10.0,10.0,2.0,11.0,18.0,,27.0,45.0,0.6,6.0,11.0,0.545,16.0,20.0,0.8,4.0,32.0,17.0,5.0,8.0,16.0,12.0,-18.0,0,2,67.0,51.0,69.0,0.03941681436669969,-0.22656784036475813,0.354,0.483,60.0,-18.0,-0.3,0,1,0,-2.444444444444443,0.4484074074074074,-0.036363636363636334,-18.0
2019-11-15,@,Milwaukee,L,52.0,61.0,20.0,52.0,0.385,7.0,22.0,0.318,5.0,10.0,0.5,4.0,24.0,11.0,8.0,2.0,11.0,20.0,,21.0,48.0,0.438,7.0,20.0,0.35,12.0,16.0,0.75,8.0,36.0,14.0,2.0,1.0,16.0,13.0,-9.0,0,3,56.5,54.5,72.5,-0.010772068525906897,-0.14800712072457822,0.37,0.5415,63.5,-18.0,-0.28346456692913385,0,1,0,-2.444444444444443,0.4484074074074074,-0.036363636363636334,-18.0
2019-11-22,N,George Washington,W,74.0,68.0,25.0,59.0,0.424,4.0,13.0,0.308,20.0,27.0,0.741,13.0,32.0,9.0,12.0,3.0,14.0,22.0,,22.0,49.0,0.449,8.0,17.0,0.471,16.0,19.0,0.842,2.0,24.0,13.0,7.0,7.0,19.0,21.0,6.0,1,4,71.0,53.666666666666664,68.66666666666667,0.02187936460418599,-0.095077760162141,0.375,0.507,61.166666666666664,-15.000000000000007,-0.24523160762942792,0,0,1,-2.444444444444443,0.4484074074074074,-0.036363636363636334,-15.000000000000007
2019-11-23,N,East Carolina,W,74.0,68.0,28.0,59.0,0.475,8.0,16.0,0.5,10.0,17.0,0.588,8.0,32.0,15.0,6.0,6.0,14.0,27.0,,16.0,54.0,0.296,4.0,19.0,0.211,32.0,35.0,0.914,12.0,36.0,8.0,5.0,6.0,8.0,22.0,6.0,1,5,71.0,58.75,68.5,-0.032673298274101314,-0.061699544585640365,0.38725,0.4925,63.625,-9.75,-0.15324165029469547,0,0,1,-2.444444444444443,0.4484074074074074,-0.036363636363636334,-9.75
2019-11-24,N,Liberty,L,49.0,62.0,20.0,48.0,0.417,5.0,16.0,0.313,4.0,6.0,0.667,2.0,22.0,7.0,4.0,1.0,13.0,16.0,,20.0,47.0,0.426,5.0,14.0,0.357,17.0,19.0,0.895,6.0,28.0,11.0,6.0,1.0,9.0,12.0,-13.0,0,6,55.5,61.8,68.4,-0.02226222618155843,-0.07668225684073066,0.4048,0.4532,65.1,-6.6000000000000085,-0.10138248847926282,0,0,1,-2.444444444444443,0.4484074074074074,-0.036363636363636334,-6.6000000000000085
2019-11-30,,Western Illinois,W,68.0,67.0,25.0,59.0,0.424,5.0,22.0,0.227,13.0,17.0,0.765,12.0,36.0,10.0,4.0,3.0,16.0,19.0,,23.0,55.0,0.418,6.0,15.0,0.4,15.0,16.0,0.938,4.0,27.0,5.0,6.0,3.0,14.0,17.0,1.0,1,7,67.5,59.666666666666664,67.33333333333333,-0.02022827271841371,-0.07590059972765092,0.4068333333333333,0.4486666666666667,63.5,-7.666666666666664,-0.1207349081364829,1,0,0,-2.444444444444443,0.4484074074074074,-0.036363636363636334,-7.666666666666664
2019-12-04,@,Iowa State,L,61.0,79.0,25.0,55.0,0.455,4.0,18.0,0.222,7.0,10.0,0.7,3.0,23.0,9.0,8.0,0.0,16.0,27.0,,26.0,52.0,0.5,5.0,21.0,0.238,22.0,26.0,0.846,8.0,36.0,15.0,10.0,5.0,15.0,15.0,-18.0,0,8,70.0,60.857142857142854,67.28571428571429,-0.03183422125881813,-0.07148614554337904,0.40928571428571425,0.44428571428571434,64.07142857142857,-6.428571428571438,-0.10033444816053526,0,1,0,-2.444444444444443,0.4484074074074074,-0.036363636363636334,-6.428571428571438
2019-12-10,@,McNeese State,L,73.0,82.0,24.0,57.0,0.421,8.0,21.0,0.381,17.0,23.0,0.739,7.0,25.0,9.0,10.0,3.0,13.0,30.0,,27.0,42.0,0.643,4.0,8.0,0.5,24.0,38.0,0.632,3.0,26.0,12.0,5.0,12.0,18.0,17.0,-9.0,0,9,77.5,60.875,68.75,-0.042477134177810516,-0.07897890755843401,0.415,0.45125000000000004,64.8125,-7.875,-0.12150433944069432,0,1,0,-2.444444444444443,0.4484074074074074,-0.036363636363636334,-7.875
2019-12-14,N,Kansas,L,57.0,98.0,22.0,52.0,0.423,9.0,18.0,0.5,4.0,6.0,0.667,4.0,22.0,11.0,5.0,0.0,22.0,13.0,,38.0,66.0,0.576,8.0,23.0,0.348,14.0,18.0,0.778,11.0,38.0,20.0,10.0,9.0,10.0,10.0,-41.0,0,10,77.5,62.22222222222222,70.22222222222223,-0.034952933532459984,-0.09042309628110376,0.41566666666666663,0.47255555555555556,66.22222222222223,-8.000000000000007,-0.12080536912751687,0,0,1,-2.444444444444443,0.4484074074074074,-0.036363636363636334,-8.000000000000007
