Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,result,Win,Game_Number,Mean_Score,Avg_Score,Opp_Avg_Score,Avg_Threes,Opp_Avg_Threes,Avg_FG_Pct,Opp_Avg_FG_Pct,Avg_Mean_Score,Avg_Result,Pct_Margin,Home,Away,Neutral,Avg_Result_Fin,Opp_Avg_FG_Pct_Fin,Pct_Margin_Fin,Avg_Result_NC
2019-11-05,@,Tennessee,L,63.0,78.0,24.0,64.0,0.375,5.0,20.0,0.25,10.0,14.0,0.714,9.0,26.0,4.0,13.0,3.0,14.0,18.0,,33.0,65.0,0.508,6.0,17.0,0.353,6.0,12.0,0.5,16.0,44.0,19.0,5.0,7.0,17.0,17.0,-15.0,0,1,70.5,,,,,,,,,,0,1,0,-2.0,0.5138275862068964,-0.026715799170888992,
2019-11-09,@,Citadel,W,91.0,76.0,33.0,58.0,0.569,11.0,23.0,0.478,14.0,20.0,0.7,12.0,36.0,14.0,6.0,0.0,16.0,21.0,,27.0,51.0,0.529,9.0,15.0,0.6,13.0,23.0,0.565,6.0,23.0,16.0,6.0,3.0,20.0,21.0,15.0,1,2,83.5,63.0,78.0,-0.07542912400865048,-0.08275513133465778,0.375,0.508,70.5,-15.0,-0.2127659574468085,0,1,0,-2.0,0.5138275862068964,-0.026715799170888992,-15.0
2019-11-13,@,Wake Forest,L,79.0,98.0,25.0,53.0,0.472,6.0,19.0,0.316,23.0,30.0,0.767,4.0,18.0,9.0,7.0,3.0,11.0,30.0,,33.0,47.0,0.702,4.0,8.0,0.5,28.0,40.0,0.7,7.0,33.0,23.0,3.0,2.0,17.0,23.0,-19.0,0,3,88.5,77.0,77.0,-0.0018360504155768842,-0.02131656989609637,0.472,0.5185,77.0,0.0,0.0,0,1,0,-2.0,0.5138275862068964,-0.026715799170888992,0.0
2019-12-03,@,Charlotte,W,83.0,75.0,30.0,60.0,0.5,9.0,24.0,0.375,14.0,22.0,0.636,11.0,29.0,12.0,11.0,2.0,17.0,24.0,,28.0,52.0,0.538,4.0,12.0,0.333,15.0,27.0,0.556,10.0,27.0,12.0,8.0,6.0,21.0,22.0,8.0,1,4,79.0,77.66666666666667,84.0,-0.030262559528781263,-0.08733388591341237,0.472,0.5796666666666667,80.83333333333333,-6.333333333333329,-0.07835051546391747,0,1,0,-2.0,0.5138275862068964,-0.026715799170888992,-6.333333333333329
2019-12-07,@,Western Carolina,L,77.0,78.0,31.0,63.0,0.492,7.0,24.0,0.292,8.0,14.0,0.571,6.0,24.0,6.0,11.0,4.0,15.0,23.0,,28.0,53.0,0.528,6.0,20.0,0.3,16.0,25.0,0.64,7.0,34.0,16.0,5.0,2.0,21.0,14.0,-1.0,0,5,77.5,79.0,81.75,-0.01922056463553412,-0.10251518779196195,0.479,0.56925,80.375,-2.75,-0.03421461897356143,0,1,0,-2.0,0.5138275862068964,-0.026715799170888992,-2.75
2019-12-11,@,South Carolina State,L (1 OT),85.0,90.0,31.0,68.0,0.456,7.0,29.0,0.241,16.0,26.0,0.615,8.0,29.0,7.0,6.0,0.0,12.0,29.0,,29.0,56.0,0.518,1.0,7.0,0.143,31.0,38.0,0.816,6.0,35.0,9.0,1.0,3.0,19.0,22.0,-5.0,0,6,87.5,78.6,81.0,-0.023448026226025986,-0.09870954728907377,0.4816,0.561,79.8,-2.4000000000000057,-0.030075187969924883,0,1,0,-2.0,0.5138275862068964,-0.026715799170888992,-2.4000000000000057
2019-12-14,,UT-Martin,W,91.0,72.0,36.0,75.0,0.48,13.0,31.0,0.419,6.0,11.0,0.545,17.0,41.0,15.0,4.0,1.0,7.0,21.0,,29.0,57.0,0.509,4.0,12.0,0.333,10.0,20.0,0.5,7.0,31.0,11.0,2.0,2.0,12.0,17.0,19.0,1,7,81.5,79.66666666666667,82.5,-0.031097583861210754,-0.13170618028570674,0.47733333333333333,0.5538333333333334,81.08333333333333,-2.8333333333333286,-0.0349434737923946,1,0,0,-2.0,0.5138275862068964,-0.026715799170888992,-2.8333333333333286
2019-12-17,,Stetson,W,78.0,76.0,26.0,60.0,0.433,11.0,33.0,0.333,15.0,26.0,0.577,8.0,24.0,14.0,11.0,0.0,8.0,24.0,,28.0,44.0,0.636,5.0,13.0,0.385,15.0,29.0,0.517,8.0,37.0,10.0,4.0,1.0,20.0,21.0,2.0,1,8,77.0,81.28571428571429,81.0,-0.007724713597737409,-0.1336301822097087,0.4777142857142857,0.5474285714285715,81.14285714285714,0.2857142857142918,0.0035211267605634554,1,0,0,-2.0,0.5138275862068964,-0.026715799170888992,0.2857142857142918
2019-12-21,,Chattanooga,L,64.0,68.0,24.0,54.0,0.444,8.0,18.0,0.444,8.0,11.0,0.727,3.0,26.0,11.0,11.0,3.0,10.0,13.0,,23.0,55.0,0.418,10.0,22.0,0.455,12.0,15.0,0.8,6.0,33.0,15.0,3.0,1.0,14.0,14.0,-4.0,0,9,66.0,80.875,80.375,0.00641381409394759,-0.1315647975626755,0.47212499999999996,0.5585,80.625,0.5,0.006201550387596899,1,0,0,-2.0,0.5138275862068964,-0.026715799170888992,0.5
2020-01-02,@,Presbyterian,L,77.0,79.0,26.0,57.0,0.456,12.0,25.0,0.48,13.0,19.0,0.684,5.0,15.0,14.0,10.0,2.0,13.0,15.0,,32.0,49.0,0.653,6.0,14.0,0.429,9.0,13.0,0.692,5.0,28.0,17.0,7.0,4.0,20.0,15.0,-2.0,0,10,78.0,79.0,79.0,0.011370152664043898,-0.10677330725156786,0.46900000000000003,0.5428888888888889,79.0,0.0,0.0,0,1,0,-2.0,0.5138275862068964,-0.026715799170888992,0.0
2020-01-08,,Campbell,L,62.0,64.0,23.0,58.0,0.397,5.0,16.0,0.313,11.0,18.0,0.611,10.0,29.0,8.0,12.0,2.0,14.0,13.0,,26.0,48.0,0.542,7.0,15.0,0.467,5.0,10.0,0.5,4.0,35.0,18.0,8.0,0.0,25.0,18.0,-2.0,0,11,63.0,78.8,79.0,0.02530812520575615,-0.10466360261021768,0.46770000000000006,0.5539,78.9,-0.20000000000000284,-0.0025348542458808977,1,0,0,-2.0,0.5138275862068964,-0.026715799170888992,0.0
2020-01-11,@,Charleston Southern,W,71.0,69.0,29.0,67.0,0.433,11.0,24.0,0.458,2.0,4.0,0.5,7.0,28.0,12.0,7.0,3.0,6.0,12.0,,28.0,60.0,0.467,6.0,19.0,0.316,7.0,10.0,0.7,9.0,42.0,10.0,2.0,4.0,15.0,11.0,2.0,1,12,70.0,77.27272727272727,77.63636363636364,0.01824034377846434,-0.0957257672561134,0.46127272727272733,0.5528181818181818,77.45454545454545,-0.36363636363637397,-0.004694835680751307,0,1,0,-2.0,0.5138275862068964,-0.026715799170888992,0.0
