Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,result,Win,Game_Number,Mean_Score,Avg_Score,Opp_Avg_Score,Avg_Threes,Opp_Avg_Threes,Avg_FG_Pct,Opp_Avg_FG_Pct,Avg_Mean_Score,Avg_Result,Pct_Margin,Home,Away,Neutral,Avg_Result_Fin,Opp_Avg_FG_Pct_Fin,Pct_Margin_Fin,Avg_Result_NC
2019-11-05,,North Carolina A&T,W,83.0,50.0,27.0,63.0,0.429,11.0,34.0,0.324,18.0,27.0,0.667,14.0,40.0,17.0,12.0,6.0,10.0,20.0,,15.0,46.0,0.326,4.0,17.0,0.235,16.0,26.0,0.615,8.0,32.0,8.0,6.0,4.0,18.0,22.0,33.0,1,1,66.5,,,,,,,,,,1,0,0,7.400000000000006,0.4308333333333334,0.10850439882697956,
2019-11-08,@,Kansas,L,62.0,74.0,24.0,62.0,0.387,8.0,31.0,0.258,6.0,13.0,0.462,8.0,32.0,11.0,5.0,3.0,9.0,18.0,,27.0,59.0,0.458,10.0,26.0,0.385,10.0,19.0,0.526,10.0,40.0,15.0,5.0,2.0,10.0,12.0,-12.0,0,2,68.0,83.0,50.0,0.08406599934189457,-0.07352436210388857,0.429,0.326,66.5,33.0,0.49624060150375937,0,1,0,7.400000000000006,0.4308333333333334,0.10850439882697956,33.0
2019-11-15,,Tennessee Tech,W,64.0,30.0,27.0,62.0,0.435,7.0,26.0,0.269,3.0,13.0,0.231,9.0,38.0,15.0,14.0,6.0,11.0,10.0,,11.0,49.0,0.224,3.0,22.0,0.136,5.0,9.0,0.556,8.0,35.0,3.0,3.0,2.0,25.0,11.0,34.0,1,3,47.0,72.5,62.0,0.07957908617197351,0.02518531531546625,0.40800000000000003,0.392,67.25,10.5,0.15613382899628253,1,0,0,7.400000000000006,0.4308333333333334,0.10850439882697956,10.5
2019-11-16,,Montana State,L,66.0,67.0,25.0,69.0,0.362,11.0,38.0,0.289,5.0,10.0,0.5,9.0,24.0,14.0,12.0,5.0,9.0,21.0,,21.0,40.0,0.525,7.0,14.0,0.5,18.0,23.0,0.783,3.0,28.0,12.0,6.0,1.0,21.0,13.0,-1.0,0,4,66.5,69.66666666666667,51.333333333333336,0.05968137952290564,0.017644469064942603,0.41700000000000004,0.336,60.5,18.333333333333336,0.3030303030303031,1,0,0,7.400000000000006,0.4308333333333334,0.10850439882697956,18.333333333333336
2019-11-18,,Appalachian State,W,55.0,41.0,22.0,67.0,0.328,9.0,29.0,0.31,2.0,6.0,0.333,11.0,41.0,11.0,9.0,7.0,11.0,18.0,,16.0,55.0,0.291,5.0,18.0,0.278,4.0,18.0,0.222,14.0,44.0,4.0,6.0,6.0,14.0,10.0,14.0,1,5,48.0,68.75,55.25,0.09011200153247506,0.012267493099731352,0.40325,0.38325,62.0,13.5,0.21774193548387097,1,0,0,7.400000000000006,0.4308333333333334,0.10850439882697956,13.5
2019-11-24,,VMI,W,74.0,63.0,25.0,54.0,0.463,7.0,20.0,0.35,17.0,25.0,0.68,10.0,32.0,11.0,4.0,6.0,11.0,12.0,,22.0,52.0,0.423,9.0,23.0,0.391,10.0,11.0,0.909,4.0,24.0,13.0,6.0,2.0,15.0,21.0,11.0,1,6,68.5,66.0,52.4,0.10465745607792959,0.01853670659840151,0.3882,0.36479999999999996,59.2,13.600000000000001,0.22972972972972974,1,0,0,7.400000000000006,0.4308333333333334,0.10850439882697956,13.600000000000001
2019-11-30,@,Georgetown,W,65.0,61.0,24.0,63.0,0.381,7.0,25.0,0.28,10.0,13.0,0.769,13.0,37.0,13.0,14.0,3.0,16.0,18.0,,21.0,57.0,0.368,5.0,16.0,0.313,14.0,20.0,0.7,13.0,34.0,11.0,9.0,6.0,18.0,14.0,4.0,1,7,63.0,67.33333333333333,54.166666666666664,0.08003999433175502,0.03724486866534221,0.40066666666666667,0.3745,60.75,13.166666666666664,0.21673525377229078,0,1,0,7.400000000000006,0.4308333333333334,0.10850439882697956,13.166666666666664
2019-12-04,,Kennesaw State,W,72.0,54.0,27.0,56.0,0.482,6.0,24.0,0.25,12.0,15.0,0.8,11.0,28.0,10.0,5.0,8.0,16.0,28.0,,15.0,38.0,0.395,3.0,8.0,0.375,21.0,34.0,0.618,11.0,29.0,4.0,7.0,0.0,19.0,20.0,18.0,1,8,63.0,67.0,55.142857142857146,0.07027094706455494,0.0206725290878213,0.39785714285714285,0.37357142857142855,61.07142857142857,11.857142857142854,0.1941520467836257,1,0,0,7.400000000000006,0.4308333333333334,0.10850439882697956,11.857142857142854
2019-12-07,@,Radford,W,60.0,58.0,25.0,60.0,0.417,9.0,30.0,0.3,1.0,7.0,0.143,9.0,31.0,12.0,2.0,3.0,7.0,18.0,,22.0,46.0,0.478,8.0,21.0,0.381,6.0,17.0,0.353,6.0,31.0,11.0,2.0,2.0,11.0,15.0,2.0,1,9,59.0,67.625,55.0,0.05246454732309852,0.00011200153247509226,0.40837500000000004,0.37625,61.3125,12.625,0.20591233435270132,0,1,0,7.400000000000006,0.4308333333333334,0.10850439882697956,12.625
2019-12-15,,NC State,L,77.0,80.0,28.0,65.0,0.431,11.0,24.0,0.458,10.0,13.0,0.769,15.0,34.0,11.0,4.0,3.0,10.0,10.0,,30.0,53.0,0.566,13.0,28.0,0.464,7.0,7.0,1.0,0.0,20.0,17.0,10.0,5.0,12.0,14.0,-3.0,0,10,78.5,66.77777777777777,55.333333333333336,0.06085167782955575,0.011776842715388536,0.4093333333333333,0.3875555555555555,61.05555555555556,11.444444444444436,0.1874431301182892,1,0,0,7.400000000000006,0.4308333333333334,0.10850439882697956,11.444444444444436
