Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,result,Win,Game_Number,Mean_Score,Avg_Score,Opp_Avg_Score,Avg_Threes,Opp_Avg_Threes,Avg_FG_Pct,Opp_Avg_FG_Pct,Avg_Mean_Score,Avg_Result,Pct_Margin,Home,Away,Neutral,Avg_Result_Fin,Opp_Avg_FG_Pct_Fin,Pct_Margin_Fin,Avg_Result_NC
2019-11-05,,Army,W,97.0,54.0,36.0,69.0,0.522,12.0,30.0,0.4,13.0,16.0,0.813,12.0,50.0,22.0,9.0,4.0,17.0,14.0,,20.0,64.0,0.313,7.0,30.0,0.233,7.0,10.0,0.7,4.0,22.0,11.0,9.0,3.0,17.0,16.0,43.0,1,1,75.5,,,,,,,,,,1,0,0,6.806451612903217,0.433483870967742,0.09752715507279858,
2019-11-13,@,Ohio State,L,51.0,76.0,19.0,62.0,0.306,10.0,30.0,0.333,3.0,7.0,0.429,8.0,26.0,10.0,0.0,4.0,12.0,16.0,,30.0,50.0,0.6,9.0,16.0,0.563,7.0,12.0,0.583,2.0,34.0,18.0,6.0,6.0,10.0,11.0,-25.0,0,2,63.5,97.0,54.0,0.05760965851466815,0.07536452678500033,0.522,0.313,75.5,43.0,0.5695364238410596,0,1,0,6.806451612903217,0.433483870967742,0.09752715507279858,43.0
2019-11-16,,Ohio,W,78.0,54.0,23.0,59.0,0.39,14.0,31.0,0.452,18.0,23.0,0.783,6.0,33.0,18.0,7.0,1.0,5.0,15.0,,23.0,58.0,0.397,3.0,20.0,0.15,5.0,10.0,0.5,5.0,31.0,11.0,2.0,1.0,15.0,20.0,24.0,1,3,66.0,74.0,65.0,0.13242158384205738,0.055706407126880686,0.41400000000000003,0.4565,69.5,9.0,0.12949640287769784,1,0,0,6.806451612903217,0.433483870967742,0.09752715507279858,9.0
2019-11-21,N,Middle Tennessee,W,98.0,69.0,38.0,67.0,0.567,18.0,38.0,0.474,4.0,6.0,0.667,7.0,34.0,27.0,6.0,4.0,10.0,21.0,,26.0,60.0,0.433,4.0,18.0,0.222,13.0,21.0,0.619,10.0,29.0,12.0,6.0,1.0,14.0,13.0,29.0,1,4,83.5,75.33333333333333,61.333333333333336,0.16435174409080172,-0.0037417534082364035,0.40599999999999997,0.4366666666666667,68.33333333333333,13.999999999999993,0.2048780487804877,0,0,1,6.806451612903217,0.433483870967742,0.09752715507279858,13.999999999999993
2019-11-22,N,Mississippi State,W,83.0,76.0,31.0,53.0,0.585,10.0,24.0,0.417,11.0,16.0,0.688,7.0,31.0,20.0,4.0,5.0,13.0,18.0,,28.0,67.0,0.418,8.0,22.0,0.364,12.0,13.0,0.923,10.0,27.0,9.0,7.0,1.0,6.0,19.0,7.0,1,5,79.5,81.0,63.25,0.18647563789611143,-0.04079708937661586,0.44625,0.43575,72.125,17.75,0.24610051993067592,0,0,1,6.806451612903217,0.433483870967742,0.09752715507279858,17.75
2019-11-24,N,Baylor,L,78.0,87.0,28.0,54.0,0.519,8.0,25.0,0.32,14.0,19.0,0.737,9.0,27.0,16.0,3.0,4.0,12.0,17.0,,31.0,59.0,0.525,11.0,19.0,0.579,14.0,18.0,0.778,8.0,25.0,10.0,6.0,3.0,5.0,19.0,-9.0,0,6,82.5,81.4,65.8,0.1582201096405832,-0.03084959006741439,0.47400000000000003,0.43220000000000003,73.6,15.600000000000009,0.21195652173913057,0,0,1,6.806451612903217,0.433483870967742,0.09752715507279858,15.600000000000009
2019-12-01,,La Salle,W,83.0,72.0,27.0,55.0,0.491,6.0,16.0,0.375,23.0,30.0,0.767,10.0,35.0,16.0,12.0,8.0,18.0,16.0,,26.0,66.0,0.394,11.0,26.0,0.423,9.0,13.0,0.692,9.0,28.0,16.0,8.0,6.0,17.0,24.0,11.0,1,7,77.5,80.83333333333333,69.33333333333333,0.1318364626383795,-0.010639746719273147,0.48150000000000004,0.44766666666666666,75.08333333333333,11.5,0.15316315205327416,1,0,0,6.806451612903217,0.433483870967742,0.09752715507279858,11.5
2019-12-04,,Penn,W,80.0,69.0,30.0,59.0,0.508,4.0,10.0,0.4,16.0,21.0,0.762,9.0,36.0,16.0,9.0,1.0,11.0,16.0,,29.0,60.0,0.483,7.0,19.0,0.368,4.0,9.0,0.444,5.0,26.0,20.0,5.0,4.0,13.0,16.0,11.0,1,8,74.5,81.14285714285714,69.71428571428571,0.09844746888202699,0.012295310027259032,0.48285714285714293,0.44,75.42857142857143,11.42857142857143,0.15151515151515155,1,0,0,6.806451612903217,0.433483870967742,0.09752715507279858,11.42857142857143
2019-12-07,@,St. Joseph's,W,78.0,66.0,27.0,55.0,0.491,4.0,17.0,0.235,20.0,22.0,0.909,10.0,34.0,8.0,2.0,7.0,8.0,13.0,,25.0,65.0,0.385,5.0,24.0,0.208,11.0,13.0,0.846,10.0,26.0,10.0,8.0,0.0,10.0,21.0,12.0,1,9,72.0,81.0,69.625,0.06610526752574108,0.009635422456255038,0.48600000000000004,0.445375,75.3125,11.375,0.15103734439834024,0,1,0,6.806451612903217,0.433483870967742,0.09752715507279858,11.375
2019-12-14,N,Delaware,W,78.0,70.0,27.0,57.0,0.474,10.0,31.0,0.323,14.0,17.0,0.824,9.0,29.0,14.0,10.0,1.0,13.0,14.0,,27.0,47.0,0.574,9.0,17.0,0.529,7.0,16.0,0.438,1.0,23.0,12.0,8.0,3.0,15.0,18.0,8.0,1,10,74.0,80.66666666666667,69.22222222222223,0.04184753872255764,-0.000522756967451965,0.48655555555555563,0.4386666666666667,74.94444444444444,11.444444444444443,0.15270570793180133,0,0,1,6.806451612903217,0.433483870967742,0.09752715507279858,11.444444444444443
