Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,result,Win,Game_Number,Mean_Score,Avg_Score,Opp_Avg_Score,Avg_Threes,Opp_Avg_Threes,Avg_FG_Pct,Opp_Avg_FG_Pct,Avg_Mean_Score,Avg_Result,Pct_Margin,Home,Away,Neutral,Avg_Result_Fin,Opp_Avg_FG_Pct_Fin,Pct_Margin_Fin,Avg_Result_NC
2019-11-05,,Idaho State,W,54.0,40.0,19.0,37.0,0.514,1.0,10.0,0.1,15.0,23.0,0.652,3.0,28.0,4.0,6.0,2.0,10.0,20.0,,15.0,47.0,0.319,4.0,24.0,0.167,6.0,18.0,0.333,7.0,24.0,9.0,7.0,1.0,14.0,22.0,14.0,1,1,47.0,,,,,,,,,,1,0,0,-7.875,0.43315625,-0.11920529801324503,
2019-11-10,@,South Carolina,L,32.0,66.0,9.0,39.0,0.231,4.0,17.0,0.235,10.0,18.0,0.556,3.0,21.0,5.0,2.0,2.0,14.0,12.0,,25.0,59.0,0.424,9.0,27.0,0.333,7.0,12.0,0.583,9.0,39.0,14.0,9.0,5.0,10.0,20.0,-34.0,0,2,49.0,54.0,40.0,-0.257968806548333,-0.013524362103888576,0.514,0.319,47.0,14.0,0.2978723404255319,0,1,0,-7.875,0.43315625,-0.11920529801324503,14.0
2019-11-13,,Cal State Fullerton,L,53.0,60.0,21.0,54.0,0.389,6.0,21.0,0.286,5.0,8.0,0.625,5.0,33.0,7.0,0.0,4.0,15.0,16.0,,21.0,54.0,0.389,9.0,24.0,0.375,9.0,16.0,0.563,7.0,29.0,13.0,8.0,4.0,11.0,18.0,-7.0,0,3,56.5,43.0,53.0,-0.13910575745272577,0.0544001661979982,0.3725,0.3715,48.0,-10.0,-0.20833333333333334,1,0,0,-7.875,0.43315625,-0.11920529801324503,-10.0
2019-11-16,,Oregon State,L,63.0,83.0,20.0,48.0,0.417,5.0,24.0,0.208,18.0,20.0,0.9,1.0,25.0,8.0,4.0,0.0,15.0,23.0,,27.0,55.0,0.491,8.0,22.0,0.364,21.0,26.0,0.808,4.0,32.0,9.0,4.0,3.0,11.0,19.0,-20.0,0,4,73.0,46.333333333333336,55.333333333333336,-0.07611429016144253,0.08406599934189457,0.37799999999999995,0.37733333333333335,50.833333333333336,-9.0,-0.17704918032786884,1,0,0,-7.875,0.43315625,-0.11920529801324503,-9.0
2019-11-19,,Detroit,W,76.0,49.0,26.0,55.0,0.473,9.0,26.0,0.346,15.0,16.0,0.938,0.0,40.0,16.0,3.0,4.0,11.0,14.0,,19.0,67.0,0.284,9.0,33.0,0.273,2.0,5.0,0.4,8.0,34.0,9.0,5.0,1.0,10.0,19.0,27.0,1,5,62.5,50.5,62.25,-0.07590059972765095,0.04792142102864155,0.38775,0.40575000000000006,56.375,-11.75,-0.20842572062084258,1,0,0,-7.875,0.43315625,-0.11920529801324503,-11.75
2019-11-21,,Louisiana,W (1 OT),69.0,61.0,24.0,53.0,0.453,7.0,28.0,0.25,14.0,22.0,0.636,2.0,35.0,11.0,6.0,1.0,15.0,22.0,,22.0,57.0,0.386,4.0,23.0,0.174,13.0,28.0,0.464,7.0,37.0,4.0,8.0,1.0,15.0,21.0,8.0,1,6,65.0,55.6,59.6,-0.043740189442018074,0.07909308756054095,0.4048,0.3814000000000001,57.6,-4.0,-0.06944444444444445,1,0,0,-7.875,0.43315625,-0.11920529801324503,-4.0
2019-11-24,N,Colorado,L,41.0,56.0,15.0,47.0,0.319,6.0,18.0,0.333,5.0,7.0,0.714,2.0,25.0,7.0,5.0,0.0,18.0,19.0,,21.0,56.0,0.375,5.0,18.0,0.278,9.0,20.0,0.45,13.0,41.0,12.0,4.0,4.0,13.0,14.0,-15.0,0,7,48.5,57.833333333333336,59.833333333333336,-0.03686730158515661,0.04580711421923117,0.41283333333333333,0.3821666666666667,58.833333333333336,-2.0,-0.03399433427762039,0,0,1,-7.875,0.43315625,-0.11920529801324503,-2.0
2019-11-26,N,TCU,L,47.0,64.0,16.0,48.0,0.333,6.0,18.0,0.333,9.0,14.0,0.643,3.0,25.0,10.0,4.0,1.0,13.0,15.0,,25.0,59.0,0.424,9.0,26.0,0.346,5.0,9.0,0.556,9.0,37.0,12.0,9.0,5.0,8.0,18.0,-17.0,0,8,55.5,55.42857142857143,59.285714285714285,-0.01970992911419789,0.033463589703340346,0.3994285714285714,0.38114285714285717,57.357142857142854,-3.857142857142854,-0.06724782067247816,0,0,1,-7.875,0.43315625,-0.11920529801324503,-3.857142857142854
2019-12-04,,Air Force,L,77.0,86.0,29.0,56.0,0.518,14.0,31.0,0.452,5.0,7.0,0.714,4.0,26.0,16.0,6.0,3.0,11.0,16.0,,32.0,60.0,0.533,17.0,30.0,0.567,5.0,11.0,0.455,7.0,30.0,21.0,7.0,1.0,10.0,12.0,-9.0,0,9,81.5,54.375,59.875,-0.010076086241819604,0.04346937484809471,0.391125,0.3865,57.125,-5.5,-0.0962800875273523,1,0,0,-7.875,0.43315625,-0.11920529801324503,-5.5
2019-12-07,,New Mexico,L,65.0,79.0,24.0,64.0,0.375,10.0,28.0,0.357,7.0,12.0,0.583,6.0,26.0,12.0,9.0,0.0,12.0,17.0,,29.0,60.0,0.483,5.0,17.0,0.294,16.0,20.0,0.8,11.0,44.0,15.0,10.0,4.0,19.0,15.0,-14.0,0,10,72.0,56.888888888888886,62.77777777777778,0.02631938789611149,0.07939599187841229,0.40522222222222226,0.4027777777777778,59.833333333333336,-5.888888888888893,-0.09842154131847732,1,0,0,-7.875,0.43315625,-0.11920529801324503,-5.888888888888893
2019-12-14,,Northern Colorado,L,53.0,74.0,20.0,45.0,0.444,2.0,11.0,0.182,11.0,18.0,0.611,3.0,24.0,7.0,2.0,3.0,8.0,15.0,,26.0,55.0,0.473,11.0,31.0,0.355,11.0,14.0,0.786,8.0,32.0,10.0,4.0,3.0,6.0,19.0,-21.0,0,11,63.5,57.7,64.4,0.0400284975148289,0.05448806025635988,0.4022,0.41079999999999994,61.05,-6.700000000000003,-0.1097461097461098,1,0,0,-7.875,0.43315625,-0.11920529801324503,-5.888888888888893
2019-12-18,,Utah Valley,L,67.0,69.0,25.0,52.0,0.481,8.0,21.0,0.381,9.0,13.0,0.692,3.0,25.0,11.0,2.0,2.0,10.0,19.0,,23.0,49.0,0.469,6.0,15.0,0.4,17.0,18.0,0.944,4.0,23.0,8.0,6.0,3.0,8.0,18.0,-2.0,0,12,68.0,57.27272727272727,65.27272727272727,0.01980897122944475,0.06252020614123682,0.406,0.4164545454545454,61.27272727272727,-7.999999999999993,-0.13056379821958444,1,0,0,-7.875,0.43315625,-0.11920529801324503,-5.888888888888893
2019-12-21,@,Denver,W (1 OT),72.0,66.0,22.0,55.0,0.4,7.0,27.0,0.259,21.0,28.0,0.75,4.0,32.0,11.0,3.0,6.0,10.0,22.0,,21.0,58.0,0.362,8.0,22.0,0.364,16.0,34.0,0.471,14.0,44.0,13.0,6.0,3.0,14.0,25.0,6.0,1,13,69.0,58.083333333333336,65.58333333333333,0.0222001716120368,0.05242227067883065,0.41225,0.42083333333333334,61.833333333333336,-7.499999999999993,-0.12129380053908344,0,1,0,-7.875,0.43315625,-0.11920529801324503,-5.888888888888893
2020-01-01,@,Boise State,L,54.0,65.0,18.0,43.0,0.419,8.0,22.0,0.364,10.0,12.0,0.833,2.0,22.0,8.0,5.0,0.0,22.0,25.0,,20.0,51.0,0.392,3.0,15.0,0.2,22.0,26.0,0.846,9.0,31.0,3.0,9.0,1.0,14.0,20.0,-11.0,0,14,59.5,59.15384615384615,65.61538461538461,0.018075117740064595,0.05224351597348542,0.4113076923076923,0.4163076923076923,62.38461538461539,-6.46153846153846,-0.10357583230579528,0,1,0,-7.875,0.43315625,-0.11920529801324503,-5.888888888888893
2020-01-04,@,Colorado State,L,61.0,72.0,21.0,55.0,0.382,10.0,26.0,0.385,9.0,12.0,0.75,4.0,23.0,10.0,11.0,0.0,13.0,22.0,,26.0,51.0,0.51,5.0,23.0,0.217,15.0,25.0,0.6,9.0,39.0,15.0,8.0,4.0,16.0,16.0,-11.0,0,15,66.5,58.785714285714285,65.57142857142857,0.025479283096597527,0.036148840510490554,0.41185714285714287,0.4145714285714286,62.17857142857143,-6.785714285714285,-0.10913268236645604,0,1,0,-7.875,0.43315625,-0.11920529801324503,-5.888888888888893
2020-01-08,,San Diego State,L,52.0,72.0,17.0,51.0,0.333,5.0,22.0,0.227,13.0,18.0,0.722,7.0,26.0,7.0,4.0,2.0,11.0,14.0,,25.0,48.0,0.521,8.0,23.0,0.348,14.0,15.0,0.933,3.0,28.0,13.0,8.0,0.0,9.0,14.0,-20.0,0,16,62.0,58.93333333333333,66.0,0.03602314920832861,0.025869577290050794,0.40986666666666666,0.4209333333333333,62.46666666666667,-7.06666666666667,-0.1131270010672359,1,0,0,-7.875,0.43315625,-0.11920529801324503,-5.888888888888893
2020-01-11,,UNLV,L (1 OT),69.0,78.0,17.0,51.0,0.333,10.0,33.0,0.303,25.0,38.0,0.658,3.0,25.0,12.0,9.0,2.0,6.0,22.0,,22.0,57.0,0.386,11.0,32.0,0.344,23.0,33.0,0.697,11.0,47.0,11.0,4.0,2.0,14.0,29.0,-9.0,0,17,73.5,58.5,66.375,0.03262948404995758,0.025458688743569047,0.4050625,0.4271875,62.4375,-7.875,-0.12612612612612611,1,0,0,-7.875,0.43315625,-0.11920529801324503,-5.888888888888893
2020-01-14,@,Nevada,L,67.0,68.0,23.0,54.0,0.426,8.0,25.0,0.32,13.0,16.0,0.813,5.0,28.0,15.0,6.0,4.0,11.0,13.0,,25.0,60.0,0.417,6.0,25.0,0.24,12.0,13.0,0.923,8.0,36.0,11.0,5.0,2.0,12.0,15.0,-1.0,0,18,67.5,59.11764705882353,67.05882352941177,0.03871444386626072,0.031212480001374554,0.4008235294117647,0.42476470588235293,63.088235294117645,-7.941176470588239,-0.12587412587412594,0,1,0,-7.875,0.43315625,-0.11920529801324503,-5.888888888888893
2020-01-18,,Fresno State,L,50.0,65.0,19.0,55.0,0.345,10.0,32.0,0.313,2.0,3.0,0.667,10.0,25.0,10.0,3.0,3.0,13.0,21.0,,20.0,53.0,0.377,7.0,23.0,0.304,18.0,25.0,0.72,15.0,38.0,8.0,5.0,6.0,10.0,10.0,-15.0,0,19,57.5,59.55555555555556,67.11111111111111,0.03908757819461889,0.026707425975581622,0.40222222222222226,0.42433333333333334,63.333333333333336,-7.555555555555557,-0.11929824561403511,1,0,0,-7.875,0.43315625,-0.11920529801324503,-5.888888888888893
2020-01-21,@,San Diego State,L,55.0,72.0,18.0,42.0,0.429,6.0,20.0,0.3,13.0,16.0,0.813,4.0,21.0,11.0,5.0,1.0,15.0,18.0,,25.0,46.0,0.543,9.0,20.0,0.45,13.0,17.0,0.765,3.0,21.0,14.0,8.0,2.0,10.0,16.0,-17.0,0,20,63.5,59.05263157894737,67.0,0.050112001532475026,0.025831490213471975,0.39921052631578946,0.4218421052631579,63.026315789473685,-7.94736842105263,-0.12609603340292272,0,1,0,-7.875,0.43315625,-0.11920529801324503,-5.888888888888893
2020-01-28,,Utah State,L,45.0,68.0,15.0,50.0,0.3,7.0,30.0,0.233,8.0,9.0,0.889,4.0,21.0,9.0,6.0,2.0,10.0,19.0,,24.0,51.0,0.471,7.0,23.0,0.304,13.0,14.0,0.929,7.0,38.0,13.0,6.0,1.0,11.0,16.0,-23.0,0,21,56.5,58.85,67.25,0.04841276618837986,0.027739578416557553,0.40069999999999995,0.4279,63.05,-8.399999999999999,-0.1332275971451229,1,0,0,-7.875,0.43315625,-0.11920529801324503,-5.888888888888893
2020-02-01,@,San Jose State,W,71.0,66.0,29.0,61.0,0.475,5.0,26.0,0.192,8.0,12.0,0.667,4.0,28.0,18.0,9.0,0.0,8.0,19.0,,21.0,57.0,0.368,9.0,31.0,0.29,15.0,17.0,0.882,5.0,34.0,16.0,2.0,3.0,14.0,15.0,5.0,1,22,68.5,58.19047619047619,67.28571428571429,0.05226941858350914,0.02617839798103705,0.3959047619047619,0.429952380952381,62.73809523809524,-9.095238095238102,-0.14497153700189763,0,1,0,-7.875,0.43315625,-0.11920529801324503,-5.888888888888893
2020-02-04,,Boise State,L,62.0,67.0,22.0,49.0,0.449,5.0,19.0,0.263,13.0,17.0,0.765,4.0,27.0,8.0,5.0,2.0,16.0,19.0,,23.0,54.0,0.426,8.0,22.0,0.364,13.0,14.0,0.929,5.0,29.0,12.0,4.0,1.0,16.0,17.0,-5.0,0,23,64.5,58.77272727272727,67.22727272727273,0.04378422258288639,0.029274826537085075,0.39949999999999997,0.42713636363636365,63.0,-8.45454545454546,-0.1341991341991343,1,0,0,-7.875,0.43315625,-0.11920529801324503,-5.888888888888893
