Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,result,Win,Game_Number,Mean_Score,Avg_Score,Opp_Avg_Score,Avg_Threes,Opp_Avg_Threes,Avg_FG_Pct,Opp_Avg_FG_Pct,Avg_Mean_Score,Avg_Result,Pct_Margin,Home,Away,Avg_Result_Fin,Opp_Avg_FG_Pct_Fin,Pct_Margin_Fin,Avg_Result_NC
2019-11-10,@,Louisville,L,55.0,78.0,21.0,67.0,0.313,5.0,27.0,0.185,8.0,16.0,0.5,17.0,42.0,5.0,4.0,1.0,11.0,13.0,,33.0,65.0,0.508,7.0,22.0,0.318,5.0,6.0,0.833,6.0,38.0,22.0,3.0,5.0,6.0,11.0,-23.0,0,1,66.5,,,,,,,,,,0,1,-0.7741935483871032,0.4428709677419355,-0.010815682739973052,
2019-11-15,@,Louisiana,L,61.0,73.0,23.0,67.0,0.343,8.0,31.0,0.258,7.0,11.0,0.636,11.0,29.0,9.0,8.0,2.0,15.0,25.0,,21.0,48.0,0.438,3.0,13.0,0.231,28.0,32.0,0.875,5.0,34.0,7.0,9.0,3.0,15.0,14.0,-12.0,0,2,67.0,55.0,78.0,-0.04079708937661586,-0.04429359287311935,0.313,0.508,66.5,-23.0,-0.3458646616541353,0,1,-0.7741935483871032,0.4428709677419355,-0.010815682739973052,-23.0
2019-11-19,,North Carolina Central,W,66.0,60.0,24.0,62.0,0.387,5.0,22.0,0.227,13.0,15.0,0.867,15.0,39.0,8.0,7.0,5.0,11.0,15.0,,20.0,49.0,0.408,5.0,13.0,0.385,15.0,18.0,0.833,6.0,26.0,10.0,4.0,6.0,12.0,16.0,6.0,1,3,63.0,58.0,75.5,0.02268253444783558,-0.11484886541514686,0.328,0.473,66.75,-17.5,-0.26217228464419473,1,0,-0.7741935483871032,0.4428709677419355,-0.010815682739973052,-17.5
2019-11-21,@,Akron,L,60.0,82.0,22.0,68.0,0.324,4.0,19.0,0.211,12.0,21.0,0.571,14.0,41.0,7.0,7.0,3.0,12.0,19.0,,31.0,64.0,0.484,13.0,32.0,0.406,7.0,12.0,0.583,7.0,36.0,14.0,5.0,4.0,12.0,20.0,-22.0,0,4,71.0,60.666666666666664,70.33333333333333,-0.01682106540059186,-0.10025421992379377,0.34766666666666673,0.4513333333333333,65.5,-9.666666666666664,-0.14758269720101777,0,1,-0.7741935483871032,0.4428709677419355,-0.010815682739973052,-9.666666666666664
2019-11-23,@,USC Upstate,W,66.0,61.0,18.0,50.0,0.36,5.0,17.0,0.294,25.0,32.0,0.781,6.0,32.0,8.0,6.0,5.0,13.0,14.0,,20.0,55.0,0.364,8.0,22.0,0.364,13.0,17.0,0.765,4.0,29.0,13.0,4.0,2.0,16.0,21.0,5.0,1,5,63.5,60.5,73.25,-0.04079708937661586,-0.02683494230866673,0.34175000000000005,0.45949999999999996,66.875,-12.75,-0.19065420560747665,0,1,-0.7741935483871032,0.4428709677419355,-0.010815682739973052,-12.75
2019-11-30,@,Central Michigan,L,72.0,88.0,27.0,65.0,0.415,10.0,27.0,0.37,8.0,13.0,0.615,13.0,35.0,11.0,3.0,2.0,12.0,20.0,,30.0,67.0,0.448,11.0,29.0,0.379,17.0,21.0,0.81,15.0,39.0,14.0,7.0,4.0,11.0,14.0,-16.0,0,6,80.0,61.6,70.8,-0.05053734911687552,-0.008439616341176681,0.34540000000000004,0.4404,66.2,-9.199999999999996,-0.13897280966767364,0,1,-0.7741935483871032,0.4428709677419355,-0.010815682739973052,-9.199999999999996
2019-12-04,,Robert Morris,W,81.0,70.0,28.0,61.0,0.459,8.0,19.0,0.421,17.0,23.0,0.739,9.0,39.0,15.0,6.0,2.0,12.0,15.0,,28.0,69.0,0.406,10.0,28.0,0.357,4.0,9.0,0.444,7.0,30.0,15.0,6.0,0.0,13.0,20.0,11.0,1,7,75.5,63.333333333333336,73.66666666666667,-0.021419098945993864,0.00548016278298924,0.35700000000000004,0.44166666666666665,68.5,-10.333333333333336,-0.15085158150851585,1,0,-0.7741935483871032,0.4428709677419355,-0.010815682739973052,-10.333333333333336
2019-12-07,@,Western Michigan,L,64.0,66.0,23.0,51.0,0.451,7.0,21.0,0.333,11.0,19.0,0.579,8.0,32.0,7.0,3.0,2.0,9.0,21.0,,23.0,54.0,0.426,7.0,19.0,0.368,13.0,20.0,0.65,9.0,31.0,9.0,2.0,2.0,7.0,15.0,-2.0,0,8,65.0,65.85714285714286,73.14285714285714,-0.020682713513866913,0.020460012896111435,0.3715714285714286,0.43657142857142855,69.5,-7.285714285714278,-0.10483042137718385,0,1,-0.7741935483871032,0.4428709677419355,-0.010815682739973052,-7.285714285714278
2019-12-15,,Southeast Missouri State,W,65.0,50.0,26.0,51.0,0.51,5.0,18.0,0.278,8.0,15.0,0.533,7.0,39.0,14.0,6.0,4.0,16.0,16.0,,20.0,59.0,0.339,7.0,19.0,0.368,3.0,14.0,0.214,9.0,30.0,12.0,6.0,0.0,13.0,17.0,15.0,1,9,57.5,65.625,72.25,-0.016381504961031412,0.018655568691959168,0.38150000000000006,0.43525,68.9375,-6.625,-0.09610154125113328,1,0,-0.7741935483871032,0.4428709677419355,-0.010815682739973052,-6.625
2019-12-18,,Binghamton,W,73.0,55.0,30.0,69.0,0.435,6.0,25.0,0.24,7.0,15.0,0.467,14.0,45.0,17.0,7.0,2.0,6.0,13.0,,21.0,57.0,0.368,5.0,28.0,0.179,8.0,10.0,0.8,2.0,23.0,7.0,5.0,2.0,11.0,14.0,18.0,1,10,64.0,65.55555555555556,69.77777777777777,-0.02369385362931231,0.025647612418404464,0.3957777777777778,0.4245555555555556,67.66666666666667,-4.222222222222214,-0.06239737274220021,1,0,-0.7741935483871032,0.4428709677419355,-0.010815682739973052,-4.222222222222214
2019-12-21,,West Virginia,L,64.0,75.0,20.0,55.0,0.364,7.0,24.0,0.292,17.0,24.0,0.708,13.0,36.0,10.0,8.0,1.0,16.0,22.0,,30.0,64.0,0.469,5.0,17.0,0.294,10.0,20.0,0.5,13.0,37.0,15.0,12.0,2.0,12.0,20.0,-11.0,0,11,69.5,66.3,68.3,-0.028456488800721158,0.020297014177224126,0.39970000000000006,0.4189,67.3,-2.0,-0.02971768202080238,1,0,-0.7741935483871032,0.4428709677419355,-0.010815682739973052,-4.222222222222214
2019-12-28,@,IUPUI,W,83.0,73.0,31.0,59.0,0.525,9.0,22.0,0.409,12.0,14.0,0.857,10.0,33.0,15.0,9.0,3.0,19.0,25.0,,26.0,58.0,0.448,9.0,25.0,0.36,12.0,28.0,0.429,14.0,30.0,18.0,9.0,3.0,14.0,16.0,10.0,1,12,78.0,66.0909090909091,68.9090909090909,-0.02466604023318708,0.007056112830148398,0.3964545454545455,0.4234545454545455,67.5,-2.818181818181813,-0.04175084175084168,0,1,-0.7741935483871032,0.4428709677419355,-0.010815682739973052,-4.222222222222214
2019-12-30,@,UIC,W,70.0,64.0,24.0,56.0,0.429,4.0,18.0,0.222,18.0,26.0,0.692,10.0,32.0,7.0,11.0,2.0,11.0,16.0,,22.0,58.0,0.379,4.0,14.0,0.286,16.0,18.0,0.889,11.0,29.0,10.0,5.0,5.0,16.0,20.0,6.0,1,13,67.0,67.5,69.25,-0.020931769511295995,0.011385385188530217,0.40716666666666673,0.42550000000000004,68.375,-1.75,-0.025594149908592323,0,1,-0.7741935483871032,0.4428709677419355,-0.010815682739973052,-4.222222222222214
2020-01-04,@,Cleveland State,L,74.0,82.0,25.0,57.0,0.439,11.0,21.0,0.524,13.0,17.0,0.765,11.0,25.0,15.0,2.0,5.0,11.0,19.0,,29.0,55.0,0.527,3.0,5.0,0.6,21.0,28.0,0.75,12.0,32.0,17.0,6.0,3.0,8.0,15.0,-8.0,0,14,78.0,67.6923076923077,68.84615384615384,-0.030569816649343107,0.0015594367787930552,0.40884615384615397,0.421923076923077,68.26923076923077,-1.1538461538461462,-0.016901408450704113,0,1,-0.7741935483871032,0.4428709677419355,-0.010815682739973052,-4.222222222222214
2020-01-09,,Oakland,W,61.0,60.0,22.0,62.0,0.355,9.0,27.0,0.333,8.0,10.0,0.8,19.0,38.0,12.0,5.0,4.0,14.0,11.0,,24.0,56.0,0.429,9.0,23.0,0.391,3.0,6.0,0.5,8.0,27.0,15.0,8.0,1.0,13.0,15.0,1.0,1,15,60.5,68.14285714285714,69.78571428571429,-0.017926877827159016,-0.01567379915608924,0.4110000000000001,0.42942857142857155,68.96428571428571,-1.642857142857153,-0.023821853961678036,1,0,-0.7741935483871032,0.4428709677419355,-0.010815682739973052,-4.222222222222214
2020-01-11,,Detroit,W,69.0,67.0,21.0,51.0,0.412,8.0,22.0,0.364,19.0,25.0,0.76,6.0,32.0,14.0,7.0,0.0,13.0,16.0,,23.0,57.0,0.404,9.0,24.0,0.375,12.0,18.0,0.667,7.0,26.0,11.0,5.0,1.0,11.0,18.0,2.0,1,16,68.0,67.66666666666667,69.13333333333334,-0.009090864566942802,-0.006870553039279137,0.4072666666666668,0.4294000000000001,68.4,-1.4666666666666686,-0.02144249512670568,1,0,-0.7741935483871032,0.4428709677419355,-0.010815682739973052,-4.222222222222214
2020-01-16,@,Northern Kentucky,L,63.0,88.0,20.0,60.0,0.333,5.0,18.0,0.278,18.0,29.0,0.621,15.0,33.0,11.0,5.0,4.0,9.0,18.0,,30.0,59.0,0.508,11.0,27.0,0.407,17.0,19.0,0.895,7.0,34.0,15.0,4.0,3.0,9.0,22.0,-25.0,0,17,75.5,67.75,69.0,-0.006328790148169006,-0.0010243621038885653,0.4075625000000001,0.4278125000000001,68.375,-1.25,-0.018281535648994516,0,1,-0.7741935483871032,0.4428709677419355,-0.010815682739973052,-4.222222222222214
2020-01-18,@,Wright State,L,72.0,79.0,26.0,69.0,0.377,4.0,21.0,0.19,16.0,18.0,0.889,15.0,42.0,14.0,5.0,1.0,11.0,22.0,,27.0,66.0,0.409,5.0,13.0,0.385,20.0,30.0,0.667,14.0,38.0,12.0,6.0,7.0,6.0,14.0,-7.0,0,18,75.5,67.47058823529412,70.11764705882354,-0.01012418773597229,0.003589731855842937,0.4031764705882354,0.432529411764706,68.79411764705883,-2.64705882352942,-0.0384779820436085,0,1,-0.7741935483871032,0.4428709677419355,-0.010815682739973052,-4.222222222222214
