Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,result,Win,Game_Number,Mean_Score,Home,Away,Neutral,Comb_Loc,Avg_Score,Opp_Avg_Score,Avg_Threes,Opp_Avg_Threes,Avg_FG_Pct,Opp_Avg_FG_Pct,Avg_Mean_Score,Home_Pct,Avg_Result,Pct_Margin,Avg_Result_Fin,Opp_Avg_FG_Pct_Fin,Pct_Margin_Fin,Conference,Avg_Result_NC,Avg_Result_NC2,result2,Mean_Score2,Opp_Avg_Score2,Avg_Score2,Avg_Mean_Score2,Avg_Result2,Pct_Margin2,Home2,Away2,Neutral2,Date2,Loc2,Opp_name2,Win2,Opp_score2,Score2,Threes2,Opp_Threes2,W2,Avg_Threes2,Opp_Avg_Threes2,Game_Number2,Home_Pct2,Avg_Result_Fin2,Opp_Avg_FG_Pct2,Comb_Loc2,Avg_FG_Pct2,Opp_Avg_FG_Pct_Fin2,Pct_Margin_Fin2,Scoring_Pace_Diff,Matchup_Comp,Opp_Matchup_Comp,SOS,SOS_NC,Opp_SOS,Opp_SOS_NC,Prev_SOS,SOS_Fin,SOS_All,SOS_All_Fin,Opp_Prev_SOS
2020-11-25,@,Northern Kentucky,L,73.0,74.0,28.0,64.0,0.438,6.0,23.0,0.261,11.0,21.0,0.524,13.0,35.0,11.0,7.0,4.0,9.0,21.0,,27.0,65.0,0.415,8.0,28.0,0.286,12.0,23.0,0.522,17.0,38.0,16.0,5.0,0.0,9.0,20.0,-1.0,0,1,73.5,0,1,0,-1,,,,,,,,,,,-0.7391304347826093,0.4323043478260871,-0.00984081041968163,MAC,,,1.0,73.5,,,,,,1,0,0.0,2020-11-25,,Ball State,1,73.0,74.0,8.0,6.0,W,,,1,,0.12000000000000455,,1,,0.45236000000000004,0.0016830294530154916,,,,,,,,,0.4395899961205739,,0.13750135759809046,
2020-12-02,@,Michigan,L,65.0,84.0,24.0,61.0,0.393,7.0,20.0,0.35,10.0,16.0,0.625,7.0,26.0,7.0,5.0,1.0,13.0,18.0,,33.0,59.0,0.559,4.0,15.0,0.267,14.0,19.0,0.737,9.0,40.0,12.0,4.0,4.0,12.0,18.0,-19.0,0,2,74.5,0,1,0,-1,73.0,74.0,-0.06694901963813515,0.010799962220435777,0.438,0.415,73.5,2.0,-1.0,-0.013605442176870748,-0.7391304347826093,0.4323043478260871,-0.00984081041968163,MAC,-1.0,12.0,19.0,74.5,76.5,88.5,82.5,12.0,0.14545454545454545,1,0,0.0,2020-12-02,,Ball State,1,65.0,84.0,4.0,7.0,W,-0.008439616341176681,0.07863250064120947,3,3.0,10.875,0.34950000000000003,1,0.5045000000000001,0.3961666666666667,0.15357458075904679,-4.5,-0.07255597032377148,-0.009547121955839915,1.0,1.0,-12.766666666666662,-12.766666666666662,-1.0,0.4395899961205739,0.12000000000000455,0.13750135759809046,5.366666666666667
2020-12-05,,UIC,W,68.0,66.0,20.0,52.0,0.385,2.0,18.0,0.111,26.0,34.0,0.765,8.0,35.0,9.0,5.0,2.0,10.0,17.0,,23.0,54.0,0.426,5.0,18.0,0.278,15.0,21.0,0.714,5.0,32.0,9.0,2.0,2.0,13.0,27.0,2.0,1,3,67.0,1,0,0,1,69.0,79.0,-0.030915666451714674,-0.08567626083806579,0.4155,0.487,74.0,3.0,-10.0,-0.13513513513513514,-0.7391304347826093,0.4323043478260871,-0.00984081041968163,MAC,-10.0,7.333333333333333,-2.0,67.0,61.0,68.33333333333333,64.66666666666667,7.333333333333329,0.11340206185567002,0,1,,2020-12-05,@,Ball State,0,68.0,66.0,5.0,2.0,L,0.08159758911562365,-0.21516370636618365,4,0.4444444444444444,-4.636363636363626,0.38966666666666666,-1,0.417,0.4405454545454546,-0.06623376623376609,4.666666666666664,0.08155936107236011,-0.083612058513276,9.666666666666664,9.666666666666664,-10.888888888888888,-10.888888888888888,-13.006666666666666,0.4395899961205739,5.497500000000002,0.13750135759809046,5.703703703703702
2020-12-08,@,Northern Illinois,W (1 OT),79.0,70.0,22.0,54.0,0.407,10.0,29.0,0.345,25.0,39.0,0.641,10.0,32.0,13.0,4.0,1.0,9.0,22.0,,25.0,60.0,0.417,5.0,19.0,0.263,15.0,21.0,0.714,12.0,33.0,10.0,3.0,1.0,13.0,28.0,9.0,1,4,74.5,0,1,0,-1,68.66666666666667,74.66666666666667,-0.095077760162141,-0.08584579067531714,0.4053333333333333,0.4666666666666666,71.66666666666667,0.4444444444444444,-6.0,-0.08372093023255814,-0.7391304347826093,0.4323043478260871,-0.00984081041968163,MAC,-6.0,-18.0,-9.0,74.5,75.66666666666667,57.666666666666664,66.66666666666667,-18.000000000000007,-0.2700000000000001,1,0,,2020-12-08,,Ball State,0,79.0,70.0,5.0,10.0,L (1 OT),-0.10543187655475561,0.12259898591373253,4,0.4444444444444444,-15.105263157894733,0.47000000000000003,1,0.395,0.464421052631579,-0.21619585687382292,2.5,-0.10796498033541972,0.09513612776030686,7.416666666666667,7.416666666666667,2.2222222222222237,2.2222222222222237,-7.928787878787879,0.4395899961205739,2.1195454545454595,0.13750135759809046,-3.3541666666666683
2020-12-12,,Illinois State,W,82.0,66.0,30.0,65.0,0.462,9.0,28.0,0.321,13.0,20.0,0.65,8.0,38.0,16.0,10.0,1.0,12.0,13.0,,28.0,65.0,0.431,9.0,25.0,0.36,1.0,5.0,0.2,8.0,39.0,11.0,6.0,3.0,19.0,21.0,16.0,1,5,74.0,1,0,0,1,71.25,73.5,-0.050366467367046475,-0.08903456618552122,0.40575,0.45425,72.375,1.25,-2.25,-0.031088082901554404,-0.7391304347826093,0.4323043478260871,-0.00984081041968163,MAC,-6.0,-9.333333333333334,-16.0,74.0,80.66666666666667,71.33333333333333,76.0,-9.333333333333343,-0.12280701754385977,0,1,0.0,2020-12-12,@,Ball State,0,82.0,66.0,9.0,9.0,L,-0.005113147150617503,-0.06559047780636793,4,1.7777777777777777,-5.833333333333343,0.4716666666666667,-1,0.41733333333333333,0.4519999999999999,-0.08274231678487011,-1.8125,0.057476609677532445,0.021336514204479684,1.375,7.083333333333333,4.333333333333333,4.333333333333333,-3.481372549019607,0.4395899961205739,-2.1866566985645886,0.13750135759809046,0.29702380952380736
2020-12-19,@,Indiana State,L,57.0,67.0,21.0,58.0,0.362,5.0,20.0,0.25,10.0,16.0,0.625,8.0,35.0,6.0,9.0,5.0,18.0,22.0,,21.0,55.0,0.382,4.0,18.0,0.222,21.0,28.0,0.75,7.0,35.0,11.0,9.0,2.0,19.0,17.0,-10.0,0,6,62.0,0,1,0,-1,73.4,72.0,-0.035595206790537126,-0.055191028770555206,0.417,0.44959999999999994,72.7,0.24000000000000005,1.4000000000000057,0.019257221458046845,-0.7391304347826093,0.4323043478260871,-0.00984081041968163,MAC,-0.5,-15.5,10.0,62.0,79.0,63.5,71.25,-15.5,-0.21754385964912282,1,0,0.0,2020-12-19,,Ball State,1,57.0,67.0,4.0,5.0,W,-0.006437747930660209,-0.08567626083806579,3,3.0,0.125,0.5615,1,0.39949999999999997,0.45225,0.0018981335020563112,0.7250000000000014,0.055223765007204544,0.018849560505716036,-1.6866666666666674,2.3083333333333336,17.035714285714278,17.035714285714278,-1.8491622574955888,0.4395899961205739,-2.9159920255183396,0.13750135759809046,-2.360062358276645
2020-12-22,@,Western Michigan,W,76.0,68.0,29.0,56.0,0.518,9.0,20.0,0.45,9.0,12.0,0.75,6.0,29.0,14.0,9.0,4.0,13.0,19.0,,23.0,52.0,0.442,6.0,19.0,0.316,16.0,21.0,0.762,8.0,29.0,9.0,6.0,2.0,16.0,14.0,8.0,1,7,72.0,0,1,0,-1,70.66666666666667,71.16666666666667,-0.037580965877473504,-0.06762272275962627,0.4078333333333333,0.4383333333333333,70.91666666666667,0.7777777777777777,-0.5,-0.007050528789659224,-0.7391304347826093,0.4323043478260871,-0.00984081041968163,MAC,-2.4,-10.0,-8.0,72.0,68.8,63.8,66.3,-5.0,-0.07541478129713425,1,0,,2020-12-22,,Ball State,0,76.0,68.0,6.0,9.0,L,0.025033631626519004,-0.025733664429470005,6,0.24000000000000005,-10.300000000000004,0.4142,1,0.4354,0.43985,-0.15080527086383608,2.308333333333337,0.031098166583036144,-0.04114416521387579,-1.8769841269841265,1.2809523809523824,-1.3304761904761875,-0.36309523809523725,-1.9185574229691875,0.4395899961205739,-2.409160021265283,0.13750135759809046,-0.6370039682539682
2021-01-02,,Ohio,L,68.0,78.0,26.0,56.0,0.464,9.0,25.0,0.36,7.0,9.0,0.778,6.0,23.0,18.0,5.0,1.0,11.0,14.0,,31.0,56.0,0.554,7.0,18.0,0.389,9.0,13.0,0.692,7.0,27.0,13.0,8.0,3.0,11.0,13.0,-10.0,0,8,73.0,1,0,0,1,71.42857142857143,70.71428571428571,-0.025524362103888587,-0.06503951361904009,0.42357142857142854,0.4388571428571429,71.07142857142857,1.4693877551020407,0.7142857142857224,0.010050251256281522,-0.7391304347826093,0.4323043478260871,-0.00984081041968163,MAC,-2.4,14.8,10.0,73.0,72.85714285714286,79.42857142857143,76.14285714285714,6.571428571428569,0.08630393996247653,0,1,0.0,2021-01-02,@,Ball State,1,68.0,78.0,7.0,9.0,W,0.03179937890330564,-0.031171420927418036,8,0.6530612244897959,7.045454545454547,0.4367142857142857,-1,0.47628571428571426,0.444,0.09168884945282463,-2.5357142857142847,0.02820692530291362,-0.04547764436795912,-3.5467687074829937,-0.1797619047619065,-2.192723149866008,-5.031717171717173,0.1273522395971381,0.4395899961205739,-3.536422875370243,0.13750135759809046,2.2299757291083817
2021-01-09,@,Buffalo,L,69.0,86.0,26.0,60.0,0.433,5.0,17.0,0.294,12.0,17.0,0.706,7.0,35.0,12.0,6.0,4.0,19.0,18.0,,32.0,82.0,0.39,11.0,29.0,0.379,11.0,20.0,0.55,23.0,50.0,19.0,12.0,4.0,14.0,17.0,-17.0,0,9,77.5,0,1,0,-1,71.0,71.625,-0.012468024075719564,-0.06221546158032837,0.428625,0.45325000000000004,71.3125,0.5625,-0.625,-0.008764241893076249,-0.7391304347826093,0.4323043478260871,-0.00984081041968163,MAC,-2.4,-2.0,17.0,77.5,79.6,82.4,81.0,2.8000000000000114,0.034567901234568044,1,0,0.0,2021-01-09,,Ball State,1,69.0,86.0,11.0,5.0,W,-0.06595154656990801,-0.12508215104861217,6,2.16,8.521739130434781,0.4178,1,0.46799999999999997,0.41647826086956524,0.10998877665544331,-4.84375,0.03949085046839188,0.06405627144771502,-2.665426587301588,-0.3364285714285728,0.39555555555556055,-0.22222222222221907,0.49477265890309535,0.4395899961205739,-2.2136881977671443,0.13750135759809046,1.594225402683738
2021-01-12,@,Bowling Green State,W,88.0,64.0,31.0,56.0,0.554,12.0,26.0,0.462,14.0,19.0,0.737,7.0,39.0,16.0,8.0,2.0,16.0,20.0,,21.0,54.0,0.389,5.0,24.0,0.208,17.0,26.0,0.654,5.0,24.0,10.0,11.0,2.0,14.0,19.0,24.0,1,10,76.0,0,1,0,-1,70.77777777777777,73.22222222222223,-0.021530641538739403,-0.04493559123894175,0.42911111111111105,0.44622222222222224,72.0,1.1111111111111112,-2.444444444444457,-0.033950617283950796,-0.7391304347826093,0.4323043478260871,-0.00984081041968163,MAC,-2.4,2.6,-24.0,76.0,72.9,83.3,78.1,10.399999999999991,0.13316261203585136,1,0,0.0,2021-01-12,,Ball State,0,88.0,64.0,5.0,12.0,L,-0.0038004725480662582,-0.013112839470143745,11,0.44000000000000006,2.3333333333333286,0.43810000000000004,1,0.44819999999999993,0.4480000000000001,0.030319436924742767,-3.049999999999997,0.016802614266437782,0.013068147570896374,-2.142031425364757,-0.5789898989898973,-1.7507692307692289,0.42512820512820754,0.4590669705127535,0.4395899961205739,-1.0208629390780415,0.13750135759809046,-0.563811100936103
