Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,result,Win,Game_Number,Mean_Score,Home,Away,Neutral,Comb_Loc,Avg_Score,Opp_Avg_Score,Avg_Threes,Opp_Avg_Threes,Avg_FG_Pct,Opp_Avg_FG_Pct,Avg_Mean_Score,Home_Pct,Avg_Result,Pct_Margin,Avg_Result_Fin,Opp_Avg_FG_Pct_Fin,Pct_Margin_Fin,Conference,Avg_Result_NC,Avg_Result_NC2,result2,Mean_Score2,Opp_Avg_Score2,Avg_Score2,Avg_Mean_Score2,Avg_Result2,Pct_Margin2,Home2,Away2,Neutral2,Date2,Loc2,Opp_name2,Win2,Opp_score2,Score2,Threes2,Opp_Threes2,W2,Avg_Threes2,Opp_Avg_Threes2,Game_Number2,Home_Pct2,Avg_Result_Fin2,Opp_Avg_FG_Pct2,Comb_Loc2,Avg_FG_Pct2,Opp_Avg_FG_Pct_Fin2,Pct_Margin_Fin2,Scoring_Pace_Diff,Matchup_Comp,Opp_Matchup_Comp,SOS,SOS_NC,Opp_SOS,Opp_SOS_NC,Prev_SOS,SOS_Fin,SOS_All,SOS_All_Fin,Opp_Prev_SOS
2020-11-25,@,Louisville,L,44.0,79.0,14.0,47.0,0.298,6.0,26.0,0.231,10.0,21.0,0.476,3.0,18.0,6.0,3.0,0.0,9.0,16.0,,31.0,53.0,0.585,6.0,16.0,0.375,11.0,16.0,0.688,9.0,46.0,19.0,2.0,3.0,12.0,20.0,-35.0,0,1,61.5,0,1,0,-1,,,,,,,,,,,-4.839999999999989,0.5161199999999999,-0.072045251562965,MVC,,,35.0,61.5,,,,,,1,0,0.0,2020-11-25,,Evansville,1,44.0,79.0,6.0,6.0,W,,,1,,1.4500000000000028,,1,,0.42035,0.02156935663815549,,,,,,,,,1.1543269992534666,,0.8488592710619187,
2020-11-27,N,Prairie View,L,61.0,64.0,20.0,56.0,0.357,7.0,27.0,0.259,14.0,22.0,0.636,16.0,40.0,10.0,6.0,4.0,14.0,23.0,,23.0,57.0,0.404,5.0,16.0,0.313,13.0,22.0,0.591,17.0,42.0,9.0,7.0,4.0,15.0,23.0,-3.0,0,2,62.5,0,0,1,0,44.0,79.0,0.09556654698702055,-0.08567626083806579,0.298,0.585,61.5,2.0,-35.0,-0.5691056910569106,-4.839999999999989,0.5161199999999999,-0.072045251562965,MVC,-35.0,-5.0,3.0,62.5,71.0,66.0,68.5,-5.0,-0.072992700729927,0,0,1.0,2020-11-27,N,Evansville,1,61.0,64.0,5.0,7.0,W,0.05011200153247508,-0.14451027759684631,2,0.0,7.047619047619051,0.431,0,0.491,0.4211428571428571,0.10400562192550954,-3.5,-0.11751743799992577,-0.06552410941335934,35.0,35.0,5.0,5.0,-35.0,1.1543269992534666,1.4500000000000028,0.8488592710619187,-5.0
2020-12-02,@,UT-Martin,L (2 OT),87.0,93.0,26.0,61.0,0.426,15.0,34.0,0.441,20.0,29.0,0.69,8.0,37.0,19.0,4.0,5.0,17.0,23.0,,31.0,66.0,0.47,10.0,21.0,0.476,21.0,28.0,0.75,7.0,35.0,14.0,8.0,4.0,14.0,23.0,-6.0,0,3,90.0,0,1,0,-1,52.5,71.5,0.057904209324682876,-0.08275513133465778,0.3275,0.4945,62.0,0.75,-19.0,-0.3064516129032258,-4.839999999999989,0.5161199999999999,-0.072045251562965,MVC,-19.0,,6.0,90.0,,,,,,1,0,,2020-12-02,,Evansville,1,87.0,93.0,10.0,15.0,W (2 OT),,,1,,-13.521739130434781,,1,,0.49317391304347824,-0.19062212687710692,,,,5.875,5.875,,,-2.404761904761906,1.1543269992534666,4.248809523809527,0.8488592710619187,
2020-12-09,,Eastern Illinois,W,68.0,65.0,23.0,47.0,0.489,9.0,20.0,0.45,13.0,17.0,0.765,2.0,26.0,13.0,3.0,2.0,8.0,12.0,,24.0,52.0,0.462,11.0,18.0,0.611,6.0,11.0,0.545,3.0,24.0,12.0,5.0,1.0,9.0,19.0,3.0,1,4,66.5,1,0,0,1,64.0,78.66666666666667,0.12397563789611143,-0.046575209561515674,0.36033333333333334,0.48633333333333334,71.33333333333333,1.7777777777777777,-14.666666666666671,-0.2056074766355141,-4.839999999999989,0.5161199999999999,-0.072045251562965,MVC,-14.666666666666666,-2.8,-3.0,66.5,73.0,70.2,71.6,-2.799999999999997,-0.039106145251396614,0,1,,2020-12-09,@,Evansville,0,68.0,65.0,11.0,9.0,L,-0.06566111424064072,0.039900295430357946,6,2.16,-5.518518518518519,0.4528,-1,0.40259999999999996,0.45196296296296296,-0.0764690787785476,-0.13333333333333286,0.07033252859255044,0.05530081514589512,5.916666666666667,5.916666666666667,-3.8933333333333335,-3.8933333333333335,-2.8729166666666686,1.1543269992534666,-1.674706694271909,0.8488592710619187,3.0141904761904774
2020-12-15,,Southeast Missouri State,W (1 OT),66.0,63.0,21.0,54.0,0.389,8.0,23.0,0.348,16.0,22.0,0.727,5.0,31.0,8.0,4.0,4.0,7.0,17.0,,23.0,55.0,0.418,8.0,16.0,0.5,9.0,15.0,0.6,8.0,38.0,9.0,4.0,0.0,16.0,24.0,3.0,1,5,64.5,1,0,0,1,65.0,75.25,0.11339871481918834,0.0054125149725233745,0.39249999999999996,0.48025,70.125,0.3125,-10.25,-0.14616755793226383,-4.839999999999989,0.5161199999999999,-0.072045251562965,MVC,-10.25,-1.0,-3.0,64.5,77.5,76.5,77.0,-1.0,-0.012987012987012988,0,1,0.0,2020-12-15,@,Evansville,0,66.0,63.0,8.0,8.0,L (1 OT),0.00020112809218986172,-0.003846942749049842,5,0.3125,-2.6666666666666714,0.47875,-1,0.4615,0.45522222222222225,-0.037894736842105335,-3.4375,-0.02088632001395285,0.0010433641791688499,3.9732142857142847,3.9732142857142847,-5.3125,-5.3125,-4.065714285714287,1.1543269992534666,-2.6356596503335616,0.8488592710619187,3.8949404761904756
2020-12-21,,Belmont,L,63.0,72.0,20.0,50.0,0.4,11.0,26.0,0.423,12.0,14.0,0.857,2.0,19.0,10.0,5.0,4.0,11.0,15.0,,26.0,47.0,0.553,4.0,13.0,0.308,16.0,19.0,0.842,4.0,31.0,9.0,6.0,2.0,13.0,20.0,-9.0,0,6,67.5,1,0,0,1,65.2,72.8,0.10058606734396419,0.0161459675664411,0.3918,0.4678,69.0,0.0,-7.599999999999994,-0.1101449275362318,-4.839999999999989,0.5161199999999999,-0.072045251562965,MVC,-7.6,7.0,9.0,67.5,70.28571428571429,81.0,75.64285714285714,10.714285714285708,0.1416430594900849,0,1,0.0,2020-12-21,@,Evansville,1,63.0,72.0,4.0,11.0,W,0.014517965938439514,-0.008646313323400767,8,0.16326530612244897,12.172413793103459,0.43142857142857144,-1,0.4724285714285714,0.4297931034482758,0.1612240237497147,-3.3214285714285694,-0.029490653675776742,0.015310343143533427,-1.2580952380952382,-1.2580952380952382,-9.209523809523814,-7.160000000000002,-2.765459656084655,1.1543269992534666,-2.6418610536001834,0.8488592710619187,4.456590136054419
2020-12-27,@,Southern Illinois,L,57.0,63.0,19.0,49.0,0.388,10.0,29.0,0.345,9.0,14.0,0.643,6.0,29.0,13.0,5.0,5.0,11.0,23.0,,20.0,48.0,0.417,2.0,13.0,0.154,21.0,29.0,0.724,4.0,30.0,8.0,5.0,1.0,9.0,18.0,-6.0,0,7,60.0,0,1,0,-1,64.83333333333333,72.66666666666667,0.11835224457991611,-0.010772068525906953,0.39316666666666666,0.482,68.75,0.19444444444444442,-7.833333333333343,-0.11393939393939408,-4.839999999999989,0.5161199999999999,-0.072045251562965,MVC,-7.833333333333333,9.6,6.0,60.0,66.4,76.0,71.2,9.599999999999994,0.13483146067415722,1,0,0.0,2020-12-27,,Evansville,1,57.0,63.0,2.0,10.0,W,0.025949322106637696,0.03888527645032824,6,0.24000000000000005,-4.280000000000001,0.4168,1,0.48979999999999996,0.4618,-0.06463304137722745,-1.2250000000000014,0.06783921984373714,-0.016719087174051503,-2.1488095238095255,-2.1488095238095255,-4.9885714285714275,-4.9885714285714275,-3.4054804804804824,1.1543269992534666,-0.17281524581624316,0.8488592710619187,0.8427583774250433
2020-12-28,@,Southern Illinois,W,84.0,72.0,26.0,47.0,0.553,17.0,29.0,0.586,15.0,17.0,0.882,3.0,27.0,17.0,4.0,3.0,12.0,13.0,,26.0,53.0,0.491,10.0,22.0,0.455,10.0,14.0,0.714,3.0,18.0,17.0,6.0,3.0,9.0,18.0,12.0,1,8,78.0,0,1,0,-1,63.714285714285715,71.28571428571429,0.13042182623691861,-0.03697125589146372,0.3924285714285714,0.4727142857142857,67.5,0.0,-7.5714285714285765,-0.11216931216931224,-4.839999999999989,0.5161199999999999,-0.072045251562965,MVC,-7.833333333333333,9.6,-12.0,78.0,64.83333333333333,73.83333333333333,69.33333333333333,9.0,0.12980769230769232,1,0,0.0,2020-12-28,,Evansville,0,84.0,72.0,10.0,17.0,L,-0.008783955783346786,0.0643676687444405,7,0.7777777777777777,-4.280000000000001,0.412,1,0.47766666666666663,0.4618,-0.06463304137722745,-0.9166666666666643,0.09162395379082348,0.018020928860783415,-0.5561224489795933,-2.1488095238095255,-5.4190476190476184,-4.9885714285714275,-3.720164267257292,1.1543269992534666,-0.7595559249853514,0.8488592710619187,0.27849290333417315
2021-01-02,,Northern Iowa,W,65.0,61.0,22.0,55.0,0.4,11.0,33.0,0.333,10.0,13.0,0.769,1.0,22.0,14.0,10.0,5.0,9.0,14.0,,23.0,51.0,0.451,0.0,11.0,0.0,15.0,17.0,0.882,5.0,38.0,12.0,7.0,2.0,16.0,17.0,4.0,1,9,63.0,1,0,0,1,66.25,71.375,0.15628695865082842,-0.01930369660476422,0.4125,0.475,68.8125,0.140625,-5.125,-0.07447774750227067,-4.839999999999989,0.5161199999999999,-0.072045251562965,MVC,-7.833333333333333,-7.25,-4.0,63.0,78.83333333333333,72.33333333333333,75.58333333333333,-6.5,-0.08599779492833518,0,1,0.0,2021-01-02,@,Evansville,0,65.0,61.0,0.0,11.0,L,0.06665996969334648,-0.002742121089089389,7,0.19444444444444442,-4.173913043478265,0.45566666666666666,-1,0.43799999999999994,0.4577826086956522,-0.05933250927070464,-3.3854166666666643,-0.020701636777464675,-0.0358717692711572,0.026240079365080327,-1.9650132275132262,8.706144781144781,7.434217171717172,-3.476989280560708,1.1543269992534666,-1.1996114343621826,0.8488592710619187,-4.840246061808561
2021-01-03,,Northern Iowa,W,70.0,64.0,24.0,52.0,0.462,12.0,32.0,0.375,10.0,14.0,0.714,6.0,27.0,12.0,4.0,1.0,5.0,10.0,,25.0,57.0,0.439,7.0,18.0,0.389,7.0,10.0,0.7,10.0,34.0,7.0,3.0,2.0,9.0,10.0,6.0,1,10,67.0,1,0,0,1,66.11111111111111,70.22222222222223,0.16042521772804424,-0.04770157729376201,0.4111111111111111,0.47233333333333327,68.16666666666667,0.0,-4.111111111111114,-0.060309698451507784,-4.839999999999989,0.5161199999999999,-0.072045251562965,MVC,-7.833333333333333,-7.25,-6.0,67.0,76.85714285714286,70.71428571428571,73.78571428571429,-6.142857142857153,-0.08325266214908048,0,1,0.0,2021-01-03,@,Evansville,0,70.0,64.0,7.0,12.0,L,0.01980897122944475,0.02104812860243116,8,0.0,-4.173913043478265,0.4477142857142857,-1,0.43985714285714284,0.4577826086956522,-0.05933250927070464,-2.80952380952381,0.0581089546783703,-0.030739537605684094,-0.43593474426808065,-1.6300925925925955,6.699855699855699,7.252525252525253,-2.5224503437738734,1.1543269992534666,-1.5300893909306363,0.8488592710619187,-3.5590319032418627
2021-01-09,,Illinois State,W,57.0,48.0,22.0,57.0,0.386,7.0,25.0,0.28,6.0,6.0,1.0,8.0,30.0,12.0,5.0,2.0,5.0,10.0,,18.0,42.0,0.429,6.0,13.0,0.462,6.0,15.0,0.4,5.0,30.0,7.0,4.0,4.0,15.0,14.0,9.0,1,11,52.5,1,0,0,1,66.5,69.6,0.1646711266179159,-0.041972637965957516,0.4162,0.469,68.05,0.11000000000000001,-3.0999999999999943,-0.04555473916238052,-4.839999999999989,0.5161199999999999,-0.072045251562965,MVC,-7.833333333333333,-3.0,-9.0,52.5,80.28571428571429,69.42857142857143,74.85714285714286,-10.857142857142861,-0.14503816793893134,0,1,0.0,2021-01-09,@,Evansville,0,57.0,48.0,6.0,7.0,L,0.08153736629117314,-0.025268134345881488,8,2.6122448979591835,-5.833333333333343,0.4881428571428571,-1,0.43057142857142855,0.4519999999999999,-0.08274231678487011,-3.403571428571432,-0.0645052877698345,-0.05850075517492982,-2.4097330447330476,-1.7152958152958178,-0.242738610595753,-6.111262626262629,-0.1337803023849521,1.1543269992534666,-1.7944717561853991,0.8488592710619187,-1.1165759103896882
2021-01-10,,Illinois State,L,68.0,73.0,27.0,60.0,0.45,13.0,31.0,0.419,1.0,1.0,1.0,5.0,27.0,20.0,4.0,0.0,7.0,12.0,,30.0,48.0,0.625,7.0,11.0,0.636,6.0,15.0,0.4,1.0,26.0,7.0,3.0,0.0,7.0,10.0,-5.0,0,12,70.5,1,0,0,1,65.63636363636364,67.63636363636364,0.15600472376868763,-0.03529855565227569,0.41345454545454546,0.46536363636363637,66.63636363636364,0.39669421487603307,-2.0,-0.03001364256480218,-4.839999999999989,0.5161199999999999,-0.072045251562965,MVC,-7.833333333333333,-3.0,5.0,70.5,77.375,66.75,72.0625,-10.625,-0.1474414570685169,0,1,0.0,2021-01-10,@,Evansville,1,68.0,73.0,7.0,13.0,W,0.07973406486240359,-0.017886236094195485,9,3.515625,-5.833333333333343,0.475375,-1,0.43037499999999995,0.4519999999999999,-0.08274231678487011,-2.71306818181818,-0.052823643580659004,-0.05305183621636213,-3.1761937557392113,-1.7512626262626252,-0.512175324675324,-6.190909090909093,-0.16079006903749052,1.1543269992534666,-2.1616409904715757,0.8488592710619187,-1.3001914274523174
2021-01-16,@,Bradley,L,60.0,69.0,20.0,53.0,0.377,14.0,34.0,0.412,6.0,11.0,0.545,8.0,18.0,15.0,6.0,3.0,7.0,15.0,,27.0,44.0,0.614,3.0,11.0,0.273,12.0,16.0,0.75,9.0,37.0,12.0,4.0,5.0,16.0,18.0,-9.0,0,13,64.5,0,1,0,-1,65.83333333333333,68.08333333333333,0.16495665055433933,-0.034454594662028104,0.41650000000000004,0.47866666666666663,66.95833333333333,0.8125,-2.25,-0.03360298693217175,-4.839999999999989,0.5161199999999999,-0.072045251562965,MVC,-7.833333333333333,4.857142857142857,9.0,64.5,65.66666666666667,69.0,67.33333333333333,3.3333333333333286,0.04950495049504944,1,0,0.0,2021-01-16,,Evansville,1,60.0,69.0,3.0,14.0,W,-0.009176536016932024,0.12302386124636516,10,0.12345679012345678,-0.8461538461538538,0.39266666666666666,1,0.4314444444444445,0.43073076923076914,-0.01250710631040375,-0.1875,0.14245562147371438,0.017781277481241184,-3.076923076923079,-1.4316239316239343,-1.8972883597883592,-1.1536564625850332,-0.49113681004985327,1.1543269992534666,-2.4676153523767232,0.8488592710619187,2.4561007611338304
