Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,result,Win,Game_Number,Mean_Score,Home,Away,Neutral,Comb_Loc,Avg_Score,Opp_Avg_Score,Avg_Threes,Opp_Avg_Threes,Avg_FG_Pct,Opp_Avg_FG_Pct,Avg_Mean_Score,Home_Pct,Avg_Result,Pct_Margin,Avg_Result_Fin,Opp_Avg_FG_Pct_Fin,Pct_Margin_Fin,Conference,Avg_Result_NC,Avg_Result_NC2,result2,Mean_Score2,Opp_Avg_Score2,Avg_Score2,Avg_Mean_Score2,Avg_Result2,Pct_Margin2,Home2,Away2,Neutral2,Date2,Loc2,Opp_name2,Win2,Opp_score2,Score2,Threes2,Opp_Threes2,W2,Avg_Threes2,Opp_Avg_Threes2,Game_Number2,Home_Pct2,Avg_Result_Fin2,Opp_Avg_FG_Pct2,Comb_Loc2,Avg_FG_Pct2,Opp_Avg_FG_Pct_Fin2,Pct_Margin_Fin2,Scoring_Pace_Diff,Matchup_Comp,Opp_Matchup_Comp,SOS,SOS_NC,Opp_SOS,Opp_SOS_NC,Prev_SOS,SOS_Fin,SOS_All,SOS_All_Fin,Opp_Prev_SOS
2020-12-02,@,Alabama-Birmingham,L,48.0,73.0,18.0,57.0,0.316,3.0,20.0,0.15,9.0,13.0,0.692,12.0,36.0,4.0,4.0,6.0,18.0,16.0,,27.0,64.0,0.422,6.0,17.0,0.353,13.0,22.0,0.591,15.0,45.0,7.0,12.0,4.0,8.0,14.0,-25.0,0,1,60.5,0,1,0,-1,,,,,,,,,,,-10.476190476190482,0.47171428571428575,-0.15536723163841815,A-Sun,,37.0,25.0,60.5,54.5,91.5,73.0,37.0,0.5068493150684932,1,0,0.0,2020-12-02,,Kennesaw State,1,48.0,73.0,6.0,3.0,W,-0.11680305062847873,-0.12086381164517296,3,3.0,9.629629629629626,0.34950000000000003,1,0.532,0.4149259259259259,0.14697569248162798,,,,,,-38.166666666666664,-38.166666666666664,,0.8569020831872471,,0.7794135879097073,28.77777777777778
2020-12-04,@,Creighton,L,58.0,93.0,23.0,63.0,0.365,5.0,23.0,0.217,7.0,10.0,0.7,6.0,26.0,13.0,1.0,2.0,14.0,19.0,,34.0,61.0,0.557,7.0,22.0,0.318,18.0,21.0,0.857,5.0,36.0,15.0,9.0,4.0,7.0,13.0,-35.0,0,2,75.5,0,1,0,-1,48.0,73.0,-0.12602436210388857,-0.06694901963813515,0.316,0.422,60.5,2.0,-25.0,-0.4132231404958678,-10.476190476190482,0.47171428571428575,-0.15536723163841815,A-Sun,-25.0,19.0,35.0,75.5,62.5,81.5,72.0,19.0,0.2638888888888889,1,0,0.0,2020-12-04,,Kennesaw State,1,58.0,93.0,7.0,5.0,W,0.036168889429853746,-0.025524362103888587,3,3.0,8.678571428571416,0.378,1,0.5025,0.4075357142857143,0.11949840177034653,-5.75,0.0567158835975534,-0.049208451395352994,32.99999999999999,32.99999999999999,-14.333333333333336,-14.333333333333336,-31.416666666666668,0.8569020831872471,9.629629629629626,0.7794135879097073,11.308333333333332
2020-12-16,@,Belmont,L,53.0,64.0,19.0,62.0,0.306,7.0,27.0,0.259,8.0,12.0,0.667,9.0,36.0,6.0,8.0,4.0,14.0,20.0,,25.0,52.0,0.481,6.0,16.0,0.375,8.0,13.0,0.615,2.0,35.0,12.0,3.0,3.0,16.0,14.0,-11.0,0,3,58.5,0,1,0,-1,53.0,83.0,-0.08710926776426592,-0.07858460306774398,0.3405,0.48950000000000005,68.0,3.0,-30.0,-0.4411764705882353,-10.476190476190482,0.47171428571428575,-0.15536723163841815,A-Sun,-30.0,6.0,11.0,58.5,75.2,83.0,79.1,7.799999999999997,0.09860935524652335,1,0,0.0,2020-12-16,,Kennesaw State,1,53.0,64.0,6.0,7.0,W,0.03346358970334029,-0.02629031955069705,6,0.24000000000000005,12.172413793103459,0.462,1,0.462,0.4297931034482758,0.1612240237497147,-5.549999999999997,0.047855307807491795,-0.05128082403841461,20.083333333333332,20.083333333333332,-6.000000000000003,-5.2500000000000036,-12.52683982683983,0.8569020831872471,9.154100529100521,0.7794135879097073,3.2825396825396806
2020-12-19,,Samford,L,63.0,65.0,21.0,51.0,0.412,6.0,23.0,0.261,15.0,26.0,0.577,7.0,35.0,8.0,6.0,5.0,16.0,16.0,,24.0,66.0,0.364,6.0,21.0,0.286,11.0,17.0,0.647,12.0,36.0,11.0,9.0,2.0,15.0,23.0,-2.0,0,4,64.0,1,0,0,1,53.0,76.66666666666667,-0.03050549417936027,-0.06569827514736684,0.329,0.48666666666666664,64.83333333333333,4.0,-23.66666666666667,-0.36503856041131116,-10.476190476190482,0.47171428571428575,-0.15536723163841815,A-Sun,-23.666666666666668,-0.25,2.0,64.0,79.75,79.5,79.625,-0.25,-0.0031397174254317113,0,1,0.0,2020-12-19,@,Kennesaw State,1,63.0,65.0,6.0,6.0,W,-0.002203607386907447,-0.05960586680608293,5,1.25,-7.294117647058826,0.40599999999999997,-1,0.45125,0.44799999999999995,-0.09604957397366386,-7.395833333333336,0.04264160436602599,0.012032173719732255,18.03968253968254,18.03968253968254,4.261904761904761,4.261904761904761,-11.166388888888891,0.8569020831872471,10.160204950434833,0.7794135879097073,-2.468353174603175
2020-12-22,,Mercer,L,71.0,81.0,24.0,58.0,0.414,5.0,16.0,0.313,18.0,23.0,0.783,8.0,31.0,9.0,3.0,4.0,13.0,19.0,,30.0,62.0,0.484,5.0,19.0,0.263,16.0,20.0,0.8,7.0,30.0,17.0,6.0,4.0,10.0,19.0,-10.0,0,5,76.0,1,0,0,1,55.5,73.75,-0.029740578320104794,-0.059287073968295356,0.34975,0.45599999999999996,64.625,1.25,-18.25,-0.28239845261121854,-10.476190476190482,0.47171428571428575,-0.15536723163841815,A-Sun,-18.25,5.5,10.0,76.0,76.25,81.75,79.0,5.5,0.06962025316455696,0,1,0.0,2020-12-22,@,Kennesaw State,1,71.0,81.0,5.0,5.0,W,0.07179673881354265,-0.09713091948093774,5,1.25,2.884615384615387,0.43374999999999997,-1,0.46675,0.44257692307692315,0.03897116134060798,-7.1875,0.05374690426551674,-0.06524276637851038,12.000892857142855,12.000892857142855,1.8410714285714214,1.8410714285714214,-7.078741496598643,0.8569020831872471,5.796624301061419,0.7794135879097073,0.3836309523809526
2021-01-01,,Jacksonville,L,57.0,62.0,21.0,50.0,0.42,9.0,23.0,0.391,6.0,11.0,0.545,4.0,27.0,9.0,6.0,1.0,18.0,18.0,,24.0,58.0,0.414,6.0,23.0,0.261,8.0,16.0,0.5,10.0,37.0,5.0,8.0,0.0,13.0,16.0,-5.0,0,6,59.5,1,0,0,1,58.6,75.2,-0.047312758008325406,-0.074162659976229,0.3626,0.46159999999999995,66.9,0.24000000000000005,-16.6,-0.24813153961136025,-10.476190476190482,0.47171428571428575,-0.15536723163841815,A-Sun,-16.6,-3.875,5.0,59.5,70.625,66.75,68.6875,-3.875,-0.056414922656960874,0,1,,2021-01-01,@,Kennesaw State,1,57.0,62.0,6.0,9.0,W,0.006700356997235035,-0.02148896387380006,9,0.0,-4.4090909090909065,0.44450000000000006,-1,0.4295,0.4471363636363636,-0.06494810847003678,-0.8937499999999972,0.03188576716359118,-0.022291619450037468,10.519047619047617,10.519047619047617,-5.477777777777778,-5.477777777777778,-5.096964821964823,0.8569020831872471,5.214222517772212,0.7794135879097073,-0.46024329891889426
2021-01-02,,Jacksonville,L,66.0,72.0,22.0,54.0,0.407,6.0,20.0,0.3,16.0,21.0,0.762,10.0,29.0,11.0,6.0,2.0,14.0,14.0,,28.0,50.0,0.56,6.0,17.0,0.353,10.0,12.0,0.833,3.0,24.0,13.0,8.0,1.0,15.0,21.0,-6.0,0,7,69.0,1,0,0,1,58.333333333333336,73.0,-0.013524362103888576,-0.06694901963813515,0.3721666666666667,0.45366666666666666,65.66666666666667,0.0,-14.666666666666664,-0.22335025380710655,-10.476190476190482,0.47171428571428575,-0.15536723163841815,A-Sun,-16.6,-3.875,6.0,69.0,69.11111111111111,66.22222222222223,67.66666666666667,-2.8888888888888857,-0.04269293924466333,0,1,,2021-01-02,@,Kennesaw State,1,66.0,72.0,6.0,6.0,W,0.003589731855842937,-0.004842690078165124,10,0.12345679012345678,-4.4090909090909065,0.4417777777777778,-1,0.4277777777777778,0.4471363636363636,-0.06494810847003678,-1.0,0.008092854513335428,-0.015502549097244238,8.284391534391533,10.519047619047617,-6.276543209876543,-5.227777777777778,-5.12203243616287,0.8569020831872471,3.6103369466283595,0.7794135879097073,0.751685626738537
2021-01-08,@,Liberty,L,63.0,69.0,25.0,65.0,0.385,7.0,23.0,0.304,6.0,6.0,1.0,8.0,35.0,9.0,5.0,2.0,7.0,21.0,,21.0,48.0,0.438,4.0,14.0,0.286,23.0,31.0,0.742,3.0,31.0,9.0,2.0,3.0,7.0,12.0,-6.0,0,8,66.0,0,1,0,-1,59.42857142857143,72.85714285714286,-0.017851285180811693,-0.06646553857447682,0.37714285714285717,0.46885714285714286,66.14285714285714,0.16326530612244897,-13.42857142857143,-0.2030237580993521,-10.476190476190482,0.47171428571428575,-0.15536723163841815,A-Sun,-16.6,11.25,6.0,66.0,64.3,74.2,69.25,9.900000000000006,0.14296028880866435,1,0,0.0,2021-01-08,,Kennesaw State,1,63.0,69.0,4.0,7.0,W,0.15143520662926507,-0.06624597952224007,11,0.0,10.999999999999993,0.4459999999999999,1,0.47940000000000005,0.4233333333333333,0.16246153846153838,-1.5535714285714306,0.034388600909803224,-0.10032558281789987,6.759508348794063,10.263311688311688,-6.283383838383841,-6.048674242424244,-4.66463944042069,0.8569020831872471,2.4647043958113213,0.7794135879097073,4.527553283136617
2021-01-09,@,Liberty,L,47.0,76.0,15.0,47.0,0.319,5.0,16.0,0.313,12.0,19.0,0.632,7.0,27.0,8.0,1.0,3.0,12.0,13.0,,30.0,64.0,0.469,8.0,19.0,0.421,8.0,9.0,0.889,9.0,32.0,15.0,5.0,2.0,3.0,20.0,-29.0,0,9,61.5,0,1,0,-1,59.875,72.375,-0.012898057302218435,-0.07518239319197148,0.37812500000000004,0.465,66.125,0.0,-12.5,-0.1890359168241966,-10.476190476190482,0.47171428571428575,-0.15536723163841815,A-Sun,-16.6,11.25,29.0,61.5,64.18181818181819,73.72727272727273,68.95454545454545,9.545454545454547,0.13843111404087016,1,0,0.0,2021-01-09,,Kennesaw State,1,47.0,76.0,8.0,5.0,W,0.12667292519574147,-0.05856685502173564,12,0.09917355371900827,10.999999999999993,0.4404545454545454,1,0.47563636363636363,0.4233333333333333,0.16246153846153838,-1.4147727272727266,0.027484516588091302,-0.09758879889025904,6.997362012987015,9.977597402597402,-6.673428087064451,-6.11346361971362,-5.024783976707053,0.8569020831872471,3.5316163463349053,0.7794135879097073,4.5652701829686775
2021-01-15,,North Alabama,L,43.0,66.0,17.0,49.0,0.347,2.0,18.0,0.111,7.0,16.0,0.438,7.0,30.0,5.0,6.0,4.0,19.0,10.0,,27.0,62.0,0.435,6.0,18.0,0.333,6.0,6.0,1.0,8.0,37.0,7.0,6.0,2.0,10.0,17.0,-23.0,0,10,54.5,1,0,0,1,58.44444444444444,72.77777777777777,-0.011242993282595759,-0.06619611782907939,0.3715555555555556,0.46544444444444444,65.61111111111111,0.12345679012345678,-14.333333333333329,-0.2184589331075359,-10.476190476190482,0.47171428571428575,-0.15536723163841815,A-Sun,-16.6,-20.0,23.0,54.5,75.25,64.75,70.0,-10.5,-0.15,0,1,0.0,2021-01-15,@,Kennesaw State,1,43.0,66.0,6.0,2.0,W,0.010799962220435777,0.09511351165026427,5,1.25,-3.75,0.43475,-1,0.37875000000000003,0.43615000000000004,-0.05328596802841918,-2.194444444444443,-0.03270107907344977,-0.026737905147815388,7.232312440645773,9.251495726495722,-7.712301587301592,-4.091269841269842,-5.517014691257115,0.8569020831872471,4.361436752297693,0.7794135879097073,-0.09005500672167299
