Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,result,Win,Game_Number,Mean_Score,Home,Away,Neutral,Comb_Loc,Avg_Score,Opp_Avg_Score,Avg_Threes,Opp_Avg_Threes,Avg_FG_Pct,Opp_Avg_FG_Pct,Avg_Mean_Score,Home_Pct,Avg_Result,Pct_Margin,Avg_Result_Fin,Opp_Avg_FG_Pct_Fin,Pct_Margin_Fin,Conference,Avg_Result_NC,Avg_Result_NC2,result2,Mean_Score2,Opp_Avg_Score2,Avg_Score2,Avg_Mean_Score2,Avg_Result2,Pct_Margin2,Home2,Away2,Neutral2,Date2,Loc2,Opp_name2,Win2,Opp_score2,Score2,Threes2,Opp_Threes2,W2,Avg_Threes2,Opp_Avg_Threes2,Game_Number2,Home_Pct2,Avg_Result_Fin2,Opp_Avg_FG_Pct2,Comb_Loc2,Avg_FG_Pct2,Opp_Avg_FG_Pct_Fin2,Pct_Margin_Fin2,Scoring_Pace_Diff,Matchup_Comp,Opp_Matchup_Comp,SOS,SOS_NC,Opp_SOS,Opp_SOS_NC,Prev_SOS,SOS_Fin,SOS_All,SOS_All_Fin,Opp_Prev_SOS
2020-11-25,,Evansville,W,79.0,44.0,31.0,53.0,0.585,6.0,16.0,0.375,11.0,16.0,0.688,9.0,46.0,19.0,2.0,3.0,12.0,20.0,,14.0,47.0,0.298,6.0,26.0,0.231,10.0,21.0,0.476,3.0,18.0,6.0,3.0,0.0,9.0,16.0,35.0,1,1,61.5,1,0,0,1,,,,,,,,,,,1.4500000000000028,0.42035,0.02156935663815549,ACC,,,-35.0,61.5,,,,,,0,1,0,2020-11-25,@,Louisville,0,79.0,44.0,6.0,6.0,L,,,1,,-4.839999999999989,,-1,,0.5161199999999999,-0.072045251562965,,,,,,,,,2.392176609728095,,2.252147790515185,
2020-11-27,,Seton Hall,W,71.0,70.0,25.0,58.0,0.431,2.0,14.0,0.143,19.0,24.0,0.792,8.0,39.0,9.0,3.0,2.0,8.0,21.0,,22.0,66.0,0.333,6.0,23.0,0.261,20.0,27.0,0.741,14.0,39.0,10.0,2.0,4.0,9.0,20.0,1.0,1,2,70.5,1,0,0,1,79.0,44.0,-0.08567626083806579,0.09556654698702055,0.585,0.298,61.5,2.0,35.0,0.5691056910569106,1.4500000000000028,0.42035,0.02156935663815549,ACC,35.0,,-1.0,70.5,,,,,,0,1,0,2020-11-27,@,Louisville,0,71.0,70.0,6.0,2.0,L,,,1,,1.592592592592581,,-1,,0.4340740740740742,0.022601839684625327,,,,-35.0,-35.0,,,35.0,2.392176609728095,-4.839999999999989,2.252147790515185,
2020-11-29,,Prairie View,W,86.0,64.0,28.0,46.0,0.609,6.0,17.0,0.353,24.0,32.0,0.75,8.0,33.0,16.0,3.0,3.0,11.0,17.0,,22.0,56.0,0.393,9.0,23.0,0.391,11.0,20.0,0.55,15.0,27.0,13.0,8.0,0.0,9.0,27.0,22.0,1,3,75.0,1,0,0,1,75.0,57.0,-0.15352436210388856,0.0022651115803219435,0.508,0.3155,66.0,3.0,18.0,0.2727272727272727,1.4500000000000028,0.42035,0.02156935663815549,ACC,18.0,-1.0,-22.0,75.0,66.0,65.0,65.5,-1.0,-0.015267175572519083,0,1,0,2020-11-29,@,Louisville,0,86.0,64.0,9.0,6.0,L,-0.013524362103888576,-0.06352436210388857,3,0.0,7.047619047619051,0.394,-1,0.4475,0.4211428571428571,0.10400562192550954,0.25,0.09875493491494956,-0.005534816096130499,-10.0,-10.0,-10.0,-10.0,11.666666666666666,2.392176609728095,-1.623703703703704,2.252147790515185,5.75
2020-12-01,,Western Kentucky,W,75.0,54.0,26.0,55.0,0.473,8.0,18.0,0.444,15.0,20.0,0.75,8.0,33.0,16.0,9.0,1.0,11.0,18.0,,23.0,53.0,0.434,3.0,18.0,0.167,5.0,11.0,0.455,7.0,29.0,7.0,5.0,6.0,19.0,17.0,21.0,1,4,64.5,1,0,0,1,78.66666666666667,59.333333333333336,-0.1355582604089733,0.04040822216577433,0.5416666666666666,0.3413333333333333,69.0,4.0,19.333333333333336,0.28019323671497587,1.4500000000000028,0.42035,0.02156935663815549,ACC,19.333333333333332,2.0,-21.0,64.5,75.33333333333333,77.33333333333333,76.33333333333333,2.0,0.026200873362445417,0,1,0,2020-12-01,@,Louisville,0,75.0,54.0,3.0,8.0,L,-0.08076574141423337,0.13780307152443005,4,0.0,5.107142857142847,0.436,-1,0.447,0.4227857142857143,0.07253360385493264,-3.6666666666666643,-0.1366760573577723,-0.057127926817361604,-5.5,-5.5,0.7777777777777809,0.7777777777777809,1.6666666666666663,2.392176609728095,1.266737213403881,2.252147790515185,0.6666666666666682
2020-12-19,@,Wisconsin,L,48.0,85.0,17.0,47.0,0.362,5.0,14.0,0.357,9.0,12.0,0.75,5.0,25.0,8.0,4.0,2.0,18.0,18.0,,31.0,57.0,0.544,16.0,25.0,0.64,7.0,11.0,0.636,6.0,28.0,22.0,9.0,3.0,9.0,15.0,-37.0,0,5,66.5,0,1,0,-1,77.75,58.0,-0.10130571258620369,-0.003179534517681659,0.5245,0.3645,67.875,5.0,19.75,0.29097605893186,1.4500000000000028,0.42035,0.02156935663815549,ACC,19.75,17.833333333333332,37.0,66.5,59.833333333333336,77.66666666666667,68.75,17.833333333333336,0.25939393939393945,1,0,0,2020-12-19,,Louisville,1,48.0,85.0,16.0,5.0,W,0.00836404991327877,-0.046114891351799414,7,3.1111111111111107,5.310344827586206,0.36966666666666664,1,0.4503333333333333,0.4241034482758622,0.07929969104016477,-0.4375,0.0683498495187034,-0.00515691626913625,-1.730357142857141,-1.730357142857141,-5.726190476190477,-5.726190476190477,1.6967391304347814,2.392176609728095,2.2268386243386225,2.252147790515185,2.46102843915344
2020-12-22,@,Pitt,W,64.0,54.0,24.0,51.0,0.471,4.0,17.0,0.235,12.0,21.0,0.571,13.0,42.0,11.0,4.0,5.0,17.0,18.0,,21.0,52.0,0.404,4.0,14.0,0.286,8.0,19.0,0.421,7.0,24.0,6.0,8.0,2.0,12.0,20.0,10.0,1,6,59.0,0,1,0,-1,71.8,63.4,-0.08789762115681332,0.0650245337951651,0.492,0.4004,67.6,2.16,8.399999999999999,0.1242603550295858,1.4500000000000028,0.42035,0.02156935663815549,ACC,8.4,9.4,-10.0,59.0,64.66666666666667,75.0,69.83333333333333,10.333333333333329,0.1479713603818615,1,0,0,2020-12-22,,Louisville,0,64.0,54.0,4.0,4.0,L,-0.04019102877055525,-0.02744188787708446,7,0.7777777777777777,1.0454545454545467,0.38033333333333336,1,0.45149999999999996,0.4372727272727273,0.01479575426182054,-1.1166666666666671,0.04911289712944776,-0.05112145252781285,1.4670634920634895,1.4670634920634895,0.3273809523809514,-0.7404761904761912,-0.09561157796451943,2.392176609728095,2.843539864988139,2.252147790515185,-1.7067076089695157
2020-12-26,,Kentucky,W,62.0,59.0,22.0,52.0,0.423,6.0,20.0,0.3,12.0,15.0,0.8,7.0,34.0,9.0,5.0,2.0,12.0,17.0,,20.0,58.0,0.345,5.0,17.0,0.294,14.0,22.0,0.636,15.0,35.0,6.0,7.0,5.0,11.0,15.0,3.0,1,7,60.5,1,0,0,1,70.5,61.833333333333336,-0.09366620607551976,0.042270786144089856,0.4885,0.40099999999999997,66.16666666666667,0.7777777777777777,8.666666666666664,0.13098236775818636,1.4500000000000028,0.42035,0.02156935663815549,ACC,8.4,-1.5,-3.0,60.5,67.33333333333333,65.83333333333333,66.58333333333333,-1.5,-0.022528160200250315,0,1,0,2020-12-26,@,Louisville,0,62.0,59.0,5.0,6.0,L,-0.12365094438236957,-0.053623372004878656,7,0.7777777777777777,0.28000000000000114,0.40950000000000003,-1,0.42683333333333334,0.41376000000000007,0.0039829302987197885,-0.2083333333333286,0.0708709941560948,-0.07229676774588123,2.5473544973544953,1.571111111111108,2.1994047619047614,2.1994047619047614,-0.627962962962964,2.392176609728095,2.543858978399207,2.252147790515185,0.9046792328042318
2021-01-02,@,Boston College,W,76.0,64.0,26.0,60.0,0.433,8.0,17.0,0.471,16.0,19.0,0.842,12.0,42.0,13.0,4.0,1.0,13.0,26.0,,17.0,51.0,0.333,8.0,33.0,0.242,22.0,28.0,0.786,6.0,29.0,6.0,9.0,3.0,13.0,21.0,12.0,1,8,70.0,0,1,0,-1,69.28571428571429,61.42857142857143,-0.08465838272244527,0.02833610301239048,0.47914285714285715,0.3929999999999999,65.35714285714286,1.4693877551020407,7.857142857142861,0.12021857923497273,1.4500000000000028,0.42035,0.02156935663815549,ACC,7.5,-2.8333333333333335,-12.0,70.0,81.75,74.5,78.125,-7.25,-0.0928,1,0,0,2021-01-02,,Louisville,0,76.0,64.0,8.0,8.0,L,0.05392530232564163,-0.04746931623232892,9,0.0,-8.150000000000006,0.500625,1,0.44200000000000006,0.4896000000000001,-0.10805435863440511,-6.383928571428569,0.06339302438888118,0.03909006167395597,2.2906771799628975,1.4343614718614752,7.753589466089465,4.98097643097643,0.692321520287623,2.392176609728095,2.2204505529136065,2.252147790515185,-0.1545669193220603
2021-01-06,,Virginia Tech,W,73.0,71.0,26.0,55.0,0.473,6.0,16.0,0.375,15.0,20.0,0.75,9.0,36.0,8.0,7.0,1.0,12.0,17.0,,23.0,54.0,0.426,9.0,30.0,0.3,16.0,20.0,0.8,6.0,29.0,10.0,7.0,1.0,10.0,18.0,2.0,1,9,72.0,1,0,0,1,70.125,61.75,-0.07288265087394205,0.03262948404995758,0.473375,0.38549999999999995,65.9375,0.5625,8.375,0.12701421800947868,1.4500000000000028,0.42035,0.02156935663815549,ACC,7.5,13.428571428571429,-2.0,72.0,64.22222222222223,75.55555555555556,69.88888888888889,11.333333333333329,0.1621621621621621,0,1,0,2021-01-06,@,Louisville,0,73.0,71.0,9.0,6.0,L,0.03941681436669969,0.029036191529329403,10,6.049382716049383,6.61904761904762,0.42033333333333334,-1,0.45588888888888884,0.41809523809523813,0.09616049809754412,-1.9756944444444429,-0.04600255003737324,0.035862937911977685,1.3619678932178951,1.8741582491582527,0.9725789642456301,-0.7384302205730771,1.4335980460980458,2.392176609728095,0.9241442337994048,2.252147790515185,1.139606705179095
2021-01-13,@,Wake Forest,W,77.0,65.0,29.0,57.0,0.509,7.0,16.0,0.438,12.0,17.0,0.706,7.0,34.0,15.0,5.0,5.0,10.0,18.0,,21.0,57.0,0.368,7.0,29.0,0.241,16.0,18.0,0.889,8.0,26.0,12.0,4.0,1.0,11.0,18.0,12.0,1,10,71.0,0,1,0,-1,70.44444444444444,62.77777777777778,-0.07219944096824188,0.03691811577221765,0.47333333333333333,0.38999999999999996,66.61111111111111,1.1111111111111112,7.666666666666664,0.11509591326105083,1.4500000000000028,0.42035,0.02156935663815549,ACC,7.5,35.5,-12.0,71.0,66.0,73.0,69.5,7.0,0.10071942446043165,1,0,0,2021-01-13,,Louisville,0,77.0,65.0,7.0,7.0,L,0.007023583101590847,0.013748365168838705,6,0.24000000000000005,-6.333333333333329,0.46440000000000003,1,0.4838000000000001,0.4750476190476191,-0.09144035751117216,-1.4444444444444429,-0.03150594038300401,0.01610271573618321,2.150474525474528,1.2465451215451229,-0.752442002442001,-12.950549450549453,1.5030238463406778,2.392176609728095,1.5569112766047621,2.252147790515185,-0.32676637973341266
