Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,result,Win,Game_Number,Mean_Score,Home,Away,Neutral,Comb_Loc,Avg_Score,Opp_Avg_Score,Avg_Threes,Opp_Avg_Threes,Avg_FG_Pct,Opp_Avg_FG_Pct,Avg_Mean_Score,Home_Pct,Avg_Result,Pct_Margin,Avg_Result_Fin,Opp_Avg_FG_Pct_Fin,Pct_Margin_Fin,Conference,Avg_Result_NC,Avg_Result_NC2,result2,Mean_Score2,Opp_Avg_Score2,Avg_Score2,Avg_Mean_Score2,Avg_Result2,Pct_Margin2,Home2,Away2,Neutral2,Date2,Loc2,Opp_name2,Win2,Opp_score2,Score2,Threes2,Opp_Threes2,W2,Avg_Threes2,Opp_Avg_Threes2,Game_Number2,Home_Pct2,Avg_Result_Fin2,Opp_Avg_FG_Pct2,Comb_Loc2,Avg_FG_Pct2,Opp_Avg_FG_Pct_Fin2,Pct_Margin_Fin2,Scoring_Pace_Diff,Matchup_Comp,Opp_Matchup_Comp,SOS,SOS_NC,Opp_SOS,Opp_SOS_NC,Prev_SOS,SOS_Fin,SOS_All,SOS_All_Fin,Opp_Prev_SOS
2020-11-25,@,Nebraska,L,55.0,102.0,21.0,55.0,0.382,7.0,22.0,0.318,6.0,14.0,0.429,9.0,30.0,10.0,3.0,5.0,25.0,26.0,,36.0,72.0,0.5,10.0,24.0,0.417,20.0,29.0,0.69,14.0,40.0,19.0,16.0,4.0,9.0,15.0,-47.0,0,1,78.5,0,1,0,-1,,,,,,,,,,,-6.888888888888886,0.4769444444444444,-0.09226190476190471,Southland,,,47.0,78.5,,,,,,1,0,0.0,2020-11-25,,McNeese State,1,55.0,102.0,10.0,7.0,W,,,1,,-6.192307692307693,,1,,0.42857692307692297,-0.08658241462758808,,,,,,,,,-5.814469622449162,,-5.711125886721526,
2020-12-04,@,Stephen F. Austin,L,76.0,86.0,24.0,45.0,0.533,8.0,18.0,0.444,20.0,27.0,0.741,5.0,24.0,15.0,9.0,5.0,26.0,29.0,,31.0,55.0,0.564,2.0,6.0,0.333,22.0,32.0,0.688,7.0,24.0,16.0,8.0,3.0,16.0,22.0,-10.0,0,2,81.0,0,1,0,-1,55.0,102.0,0.06829381971429327,-0.019406715045065026,0.382,0.5,78.5,2.0,-47.0,-0.5987261146496815,-6.888888888888886,0.4769444444444444,-0.09226190476190471,Southland,-47.0,,10.0,81.0,,,,,,1,0,,2020-12-04,,McNeese State,1,76.0,86.0,2.0,8.0,W,,,1,,6.833333333333329,,1,,0.4542222222222223,0.09189391109450872,,,,18.25,18.25,,,-19.25,-5.814469622449162,-6.192307692307693,-5.711125886721526,
2020-12-19,@,Louisiana,L,65.0,75.0,23.0,63.0,0.365,2.0,15.0,0.133,17.0,26.0,0.654,8.0,36.0,8.0,7.0,1.0,7.0,21.0,,28.0,56.0,0.5,7.0,18.0,0.389,12.0,24.0,0.5,6.0,40.0,16.0,3.0,9.0,17.0,24.0,-10.0,0,3,70.0,0,1,0,-1,65.5,94.0,0.02998708827779084,-0.1220350004017609,0.4575,0.532,79.75,3.0,-28.5,-0.3573667711598746,-6.888888888888886,0.4769444444444444,-0.09226190476190471,Southland,-47.0,-3.0,10.0,70.0,73.5,70.5,72.0,-3.0,-0.041666666666666664,1,0,0.0,2020-12-19,,McNeese State,1,65.0,75.0,7.0,2.0,W,-0.1113967025294205,0.002802168508356351,5,0.3125,0.6666666666666572,0.43249999999999994,1,0.43025,0.43191666666666656,0.00913242009132407,3.875,0.00916672648382875,0.1165945823695624,-2.1666666666666714,6.333333333333329,1.0833333333333321,1.0833333333333321,-3.14920634920635,-5.814469622449162,0.3205128205128176,-5.711125886721526,-0.8973356009070281
2021-01-02,,Central Arkansas,L,67.0,81.0,18.0,56.0,0.321,9.0,23.0,0.391,22.0,33.0,0.667,9.0,28.0,13.0,7.0,1.0,13.0,21.0,,29.0,59.0,0.492,6.0,17.0,0.353,17.0,23.0,0.739,11.0,44.0,13.0,7.0,4.0,18.0,26.0,-14.0,0,4,74.0,1,0,0,1,65.33333333333333,87.66666666666667,-0.05332028047123549,-0.09679432408107488,0.4266666666666667,0.5213333333333333,76.5,4.0,-22.333333333333343,-0.2919389978213509,-6.888888888888886,0.4769444444444444,-0.09226190476190471,Southland,-28.5,-19.285714285714285,14.0,74.0,85.85714285714286,66.57142857142857,76.21428571428571,-19.285714285714292,-0.253045923149016,0,1,,2021-01-02,@,McNeese State,1,67.0,81.0,6.0,9.0,W,0.02767735463430887,0.00594319197265053,8,8.0,-12.869565217391298,0.4564285714285714,-1,0.4024285714285714,0.4646086956521739,-0.1684689812179851,0.1428571428571459,-0.01780147923280876,-0.0517591618380759,-4.1851851851851904,-0.94444444444445,16.21740362811791,16.21740362811791,1.3186227352894013,-5.814469622449162,0.4358974358974308,-5.711125886721526,-6.06334791877309
2021-01-09,,Northwestern State,L,75.0,78.0,30.0,60.0,0.5,7.0,19.0,0.368,8.0,17.0,0.471,12.0,34.0,22.0,5.0,0.0,12.0,21.0,,28.0,53.0,0.528,6.0,14.0,0.429,16.0,23.0,0.696,3.0,24.0,15.0,9.0,4.0,8.0,22.0,-3.0,0,5,76.5,1,0,0,1,65.75,86.0,-0.016946415335827747,-0.09550110628993508,0.40025,0.514,75.875,1.25,-20.25,-0.26688632619439867,-6.888888888888886,0.4769444444444444,-0.09226190476190471,Southland,-28.5,-20.0,3.0,76.5,86.66666666666667,68.83333333333333,77.75,-17.833333333333343,-0.22936763129689186,0,1,0.0,2021-01-09,@,McNeese State,1,75.0,78.0,6.0,7.0,W,0.03151195750870228,-0.030832054411580878,13,4.423611111111112,-8.535714285714292,0.47924999999999995,-1,0.3821666666666667,0.47928571428571415,-0.11124040027926467,-0.9375,0.022858101402248823,-0.05485824280308744,-5.5,-1.875,4.863404882154879,8.616085858585855,3.247890192245031,-5.814469622449162,-2.8904682274247513,-5.711125886721526,-1.460324900852049
2021-01-13,@,Incarnate Word,L,61.0,83.0,23.0,48.0,0.479,5.0,17.0,0.294,10.0,13.0,0.769,3.0,20.0,17.0,2.0,0.0,14.0,14.0,,30.0,52.0,0.577,16.0,27.0,0.593,7.0,9.0,0.778,5.0,25.0,24.0,8.0,3.0,12.0,11.0,-22.0,0,6,72.0,0,1,0,-1,67.6,84.4,-0.0206249538198649,-0.09314521518445729,0.4202,0.5168,76.0,0.24000000000000005,-16.80000000000001,-0.22105263157894753,-6.888888888888886,0.4769444444444444,-0.09226190476190471,Southland,-28.5,-15.5,22.0,72.0,77.66666666666667,65.0,71.33333333333333,-12.666666666666671,-0.177570093457944,1,0,0.0,2021-01-13,,McNeese State,1,61.0,83.0,16.0,5.0,W,0.017244868665342195,-0.06888916897084138,7,3.1111111111111107,-7.578947368421055,0.4765000000000001,1,0.43050000000000005,0.47273684210526323,-0.10992366412213744,2.3333333333333357,0.03769397735331831,-0.040078385729230705,-7.724840714840715,-2.1717171717171695,0.2679487179487173,6.634615384615383,3.359722133658303,-5.814469622449162,-4.01951743908266,-5.711125886721526,-4.220617357081033
2021-01-16,@,New Orleans,L,84.0,99.0,30.0,56.0,0.536,8.0,22.0,0.364,16.0,23.0,0.696,4.0,31.0,19.0,1.0,6.0,15.0,15.0,,41.0,83.0,0.494,11.0,30.0,0.367,6.0,9.0,0.667,14.0,37.0,28.0,7.0,4.0,8.0,21.0,-15.0,0,7,91.5,0,1,0,-1,66.5,84.16666666666667,-0.027810076389602867,-0.03431644131180939,0.43,0.5268333333333334,75.33333333333333,0.7777777777777777,-17.66666666666667,-0.23451327433628327,-6.888888888888886,0.4769444444444444,-0.09226190476190471,Southland,-28.5,-13.428571428571429,15.0,91.5,76.1,67.4,71.75,-8.699999999999989,-0.1212543554006967,1,0,0.0,2021-01-16,,McNeese State,1,84.0,99.0,11.0,8.0,W,-0.08652139474483816,-0.06516693766236425,11,2.75,-1.1666666666666572,0.49060000000000004,1,0.4417,0.46425,-0.015225666122892752,1.7916666666666643,0.042571087776410395,0.05448950692543595,-6.875757575757575,-2.377272727272725,-1.611964701964699,0.6563769563769617,2.0606427576255166,-5.814469622449162,-4.612755760639058,-5.711125886721526,-1.0236858450268773
2021-01-20,,Southeastern Louisiana,L,88.0,92.0,32.0,50.0,0.64,9.0,16.0,0.563,15.0,20.0,0.75,5.0,21.0,21.0,5.0,3.0,14.0,18.0,,32.0,59.0,0.542,11.0,26.0,0.423,17.0,22.0,0.773,8.0,23.0,17.0,5.0,1.0,9.0,17.0,-4.0,0,8,90.0,1,0,0,1,69.0,86.28571428571429,-0.02781007638960281,-0.02544489190521304,0.4451428571428572,0.5221428571428571,77.64285714285714,1.4693877551020407,-17.285714285714292,-0.22263109475620985,-6.888888888888886,0.4769444444444444,-0.09226190476190471,Southland,-28.5,-14.625,4.0,90.0,76.6923076923077,62.38461538461539,69.53846153846153,-14.307692307692307,-0.20575221238938052,0,1,0.0,2021-01-20,@,McNeese State,1,88.0,92.0,11.0,9.0,W,-0.021292549526823246,0.011450562670434428,14,6.710059171597632,-9.384615384615387,0.46553846153846157,-1,0.37100000000000005,0.48407692307692307,-0.128624143384291,4.052197802197803,-0.017844915874520556,0.023276310298163936,-6.2269635126777985,-1.5454545454545467,0.8772317426163553,3.680777555777553,0.9449130397760531,-5.814469622449162,-4.120457318643001,-5.711125886721526,-2.211275594264272
2021-01-23,@,Houston Baptist,W,74.0,71.0,29.0,60.0,0.483,7.0,21.0,0.333,9.0,10.0,0.9,9.0,29.0,15.0,10.0,0.0,17.0,14.0,,27.0,59.0,0.458,10.0,28.0,0.357,7.0,8.0,0.875,6.0,26.0,20.0,11.0,7.0,17.0,15.0,3.0,1,9,72.5,0,1,0,-1,71.375,87.0,-0.02455763706010572,-0.016110569000440278,0.46950000000000003,0.524625,79.1875,0.5625,-15.625,-0.19731649565903708,-6.888888888888886,0.4769444444444444,-0.09226190476190471,Southland,-28.5,-22.285714285714285,-3.0,72.5,85.41666666666667,70.83333333333333,78.125,-14.583333333333343,-0.1866666666666668,1,0,0.0,2021-01-23,,McNeese State,0,74.0,71.0,10.0,7.0,L,0.0747109320137585,-0.02669509381120566,13,1.4444444444444444,-11.0,0.49074999999999996,1,0.427,0.4752499999999999,-0.14545454545454545,0.53125,0.02560407047914575,-0.03469345219626982,-6.498484848484848,-1.018939393939391,1.3997576497576514,5.3116724545296,0.633041393893043,-5.814469622449162,-4.7784770768895495,-5.711125886721526,-1.44051089322221
2021-01-27,@,Nicholls State,L,69.0,76.0,28.0,61.0,0.459,8.0,22.0,0.364,5.0,10.0,0.5,8.0,31.0,20.0,7.0,0.0,18.0,18.0,,27.0,59.0,0.458,11.0,27.0,0.407,11.0,20.0,0.55,10.0,30.0,12.0,13.0,3.0,14.0,11.0,-7.0,0,10,72.5,0,1,0,-1,71.66666666666667,85.22222222222223,-0.025152269080632728,-0.004528273446782971,0.471,0.5172222222222222,78.44444444444444,1.1111111111111112,-13.555555555555557,-0.1728045325779037,-6.888888888888886,0.4769444444444444,-0.09226190476190471,Southland,-28.5,-4.833333333333333,7.0,72.5,72.23076923076923,75.3076923076923,73.76923076923077,3.07692307692308,0.04171011470281547,1,0,0.0,2021-01-27,,McNeese State,1,69.0,76.0,11.0,8.0,W,-0.013217926965992777,-0.010009985107083452,14,0.7455621301775149,3.5,0.4318461538461538,1,0.446,0.42954166666666665,0.04633204633204633,2.3376068376068346,0.015867382862541926,0.007736561749357507,-6.744925753259088,-0.9580419580419601,-5.891258100873486,0.18472222222222356,0.356358426946661,-5.814469622449162,-5.469757401679599,-5.711125886721526,0.4292037262065321
