Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,result,Win,Game_Number,Mean_Score,Home,Away,Neutral,Comb_Loc,Avg_Score,Opp_Avg_Score,Avg_Threes,Opp_Avg_Threes,Avg_FG_Pct,Opp_Avg_FG_Pct,Avg_Mean_Score,Home_Pct,Avg_Result,Pct_Margin,Avg_Result_Fin,Opp_Avg_FG_Pct_Fin,Pct_Margin_Fin,Conference,Avg_Result_NC,Avg_Result_NC2,result2,Mean_Score2,Opp_Avg_Score2,Avg_Score2,Avg_Mean_Score2,Avg_Result2,Pct_Margin2,Home2,Away2,Neutral2,Date2,Loc2,Opp_name2,Win2,Opp_score2,Score2,Threes2,Opp_Threes2,W2,Avg_Threes2,Opp_Avg_Threes2,Game_Number2,Home_Pct2,Avg_Result_Fin2,Opp_Avg_FG_Pct2,Comb_Loc2,Avg_FG_Pct2,Opp_Avg_FG_Pct_Fin2,Pct_Margin_Fin2,Scoring_Pace_Diff,Matchup_Comp,Opp_Matchup_Comp,SOS,SOS_NC,Opp_SOS,Opp_SOS_NC,Prev_SOS,SOS_Fin,SOS_All,SOS_All_Fin,Opp_Prev_SOS
2020-11-29,,North Florida,W,77.0,59.0,29.0,59.0,0.492,5.0,16.0,0.313,14.0,23.0,0.609,8.0,44.0,18.0,11.0,6.0,16.0,11.0,,21.0,67.0,0.313,12.0,40.0,0.3,5.0,8.0,0.625,9.0,30.0,15.0,8.0,6.0,15.0,17.0,18.0,1,1,68.0,1,0,0,1,,,,,,,,,,,-4.518518518518519,0.4485185185185185,-0.06576819407008086,ACC,,-24.0,-18.0,68.0,83.0,59.0,71.0,-24.0,-0.3380281690140845,0,1,0.0,2020-11-29,@,Miami (FL),0,77.0,59.0,12.0,5.0,L,0.11867902772661992,-0.07858460306774398,3,0.75,-6.857142857142861,0.4555,-1,0.382,0.45557142857142857,-0.09542743538767401,,,,,,23.0,23.0,,1.6836452566385662,,1.4969413693577585,-23.0
2020-12-04,,Stetson,W,82.0,60.0,28.0,64.0,0.438,8.0,23.0,0.348,18.0,23.0,0.783,10.0,45.0,18.0,6.0,3.0,9.0,12.0,,23.0,59.0,0.39,11.0,31.0,0.355,3.0,8.0,0.375,4.0,28.0,16.0,5.0,1.0,14.0,17.0,22.0,1,2,71.0,1,0,0,1,77.0,59.0,-0.11871916729869375,0.2966451294215352,0.492,0.313,68.0,2.0,18.0,0.2647058823529412,-4.518518518518519,0.4485185185185185,-0.06576819407008086,ACC,18.0,,-22.0,71.0,,,,,,0,1,0.0,2020-12-04,@,Miami (FL),0,82.0,60.0,11.0,8.0,L,,,1,,-2.818181818181813,,-1,,0.4694545454545454,-0.039616613418530275,,,,-23.5,-23.5,,,22.145833333333332,1.6836452566385662,-6.857142857142861,1.4969413693577585,
2020-12-08,,Purdue,W,58.0,54.0,20.0,47.0,0.426,1.0,17.0,0.059,17.0,29.0,0.586,6.0,32.0,12.0,7.0,5.0,13.0,14.0,,21.0,60.0,0.35,4.0,25.0,0.16,8.0,10.0,0.8,11.0,36.0,11.0,8.0,2.0,13.0,23.0,4.0,1,3,56.0,1,0,0,1,79.5,59.5,-0.06824134323596404,0.26630757066922073,0.46499999999999997,0.35150000000000003,69.5,3.0,20.0,0.28776978417266186,-4.518518518518519,0.4485185185185185,-0.06576819407008086,ACC,20.0,13.0,-4.0,56.0,64.0,77.0,70.5,13.0,0.18439716312056736,0,1,0.0,2020-12-08,@,Miami (FL),0,58.0,54.0,4.0,1.0,L,0.08582628724676078,0.061475637896111435,5,1.25,4.814814814814824,0.41050000000000003,-1,0.48375,0.4154444444444444,0.07008086253369285,-0.5,-0.06477021002218827,0.1511826380780663,-25.91666666666667,-25.91666666666667,-2.8249999999999975,-2.8249999999999975,16.333333333333336,1.6836452566385662,-4.837662337662337,1.4969413693577585,3.8888888888888884
2020-12-12,,Florida Gulf Coast,L,62.0,66.0,25.0,59.0,0.424,3.0,19.0,0.158,9.0,13.0,0.692,11.0,36.0,8.0,7.0,8.0,15.0,15.0,,21.0,56.0,0.375,13.0,30.0,0.433,11.0,16.0,0.688,7.0,24.0,15.0,8.0,3.0,12.0,13.0,-4.0,0,4,64.0,1,0,0,1,72.33333333333333,57.666666666666664,-0.11997597500711435,0.1546837303816606,0.45199999999999996,0.351,65.0,4.0,14.666666666666664,0.22564102564102562,-4.518518518518519,0.4485185185185185,-0.06576819407008086,ACC,14.666666666666666,-5.0,4.0,64.0,66.0,61.0,63.5,-5.0,-0.07874015748031496,0,1,0.0,2020-12-12,@,Miami (FL),1,62.0,66.0,13.0,3.0,W,0.00614776904365244,-0.018069816649343096,3,0.0,-2.5,0.476,-1,0.46199999999999997,0.4300625,-0.03606853020739405,0.75,0.046561184163471686,0.030837636893851862,-10.958730158730157,-10.958730158730157,-7.166666666666664,-7.166666666666664,8.233333333333336,1.6836452566385662,-1.6201699535032834,1.4969413693577585,1.269444444444443
2020-12-16,,Pitt,L,55.0,70.0,17.0,52.0,0.327,5.0,24.0,0.208,16.0,31.0,0.516,6.0,28.0,7.0,6.0,5.0,13.0,14.0,,26.0,54.0,0.481,7.0,17.0,0.412,11.0,16.0,0.688,5.0,34.0,16.0,8.0,2.0,15.0,23.0,-15.0,0,5,62.5,1,0,0,1,69.75,59.75,-0.13072866317915738,0.18856768810531643,0.44499999999999995,0.357,64.75,5.0,10.0,0.15444015444015444,-4.518518518518519,0.4485185185185185,-0.06576819407008086,ACC,10.0,9.4,15.0,62.5,66.6,76.0,71.3,9.400000000000006,0.13183730715287525,0,1,0.0,2020-12-16,@,Miami (FL),1,55.0,70.0,7.0,5.0,W,-0.045103309472309616,-0.025236073815600224,6,2.16,1.0454545454545467,0.39099999999999996,-1,0.44559999999999994,0.4372727272727273,0.01479575426182054,-3.2749999999999986,0.057437602611912296,-0.09222270215674687,-5.8125,-5.8125,-1.9599999999999995,-1.9599999999999995,3.4664399092970504,1.6836452566385662,-1.8401274651274626,1.4969413693577585,-0.5081904761904732
2020-12-19,,Jacksonville,W,73.0,64.0,23.0,60.0,0.383,6.0,20.0,0.3,21.0,25.0,0.84,17.0,46.0,9.0,4.0,5.0,16.0,20.0,,25.0,58.0,0.431,10.0,28.0,0.357,4.0,10.0,0.4,4.0,22.0,14.0,6.0,2.0,10.0,21.0,9.0,1,6,68.5,1,0,0,1,66.8,61.8,-0.11591957168472686,0.142786317507762,0.42139999999999994,0.3818,64.3,6.0,5.0,0.07776049766718507,-4.518518518518519,0.4485185185185185,-0.06576819407008086,ACC,10.0,0.3333333333333333,-9.0,68.5,70.33333333333333,70.66666666666667,70.5,0.3333333333333428,0.00472813238770699,0,1,,2020-12-19,@,Miami (FL),0,73.0,64.0,10.0,6.0,L,-0.037580965877473504,-0.04338218200910182,7,0.7777777777777777,-4.4090909090909065,0.45383333333333337,-1,0.44416666666666665,0.4471363636363636,-0.06494810847003678,-3.1000000000000014,0.07091434239449694,-0.07325331204818865,-3.3690476190476217,-6.794642857142859,-5.48611111111111,-5.48611111111111,2.3297208538587832,1.6836452566385662,-1.2630110630110607,1.4969413693577585,-2.6450286596119894
2020-12-29,@,Virginia Tech,L,78.0,80.0,30.0,56.0,0.536,10.0,25.0,0.4,8.0,10.0,0.8,4.0,32.0,20.0,7.0,2.0,19.0,19.0,,29.0,62.0,0.468,9.0,23.0,0.391,13.0,21.0,0.619,8.0,27.0,14.0,12.0,4.0,11.0,11.0,-2.0,0,7,79.0,0,1,0,-1,67.83333333333333,62.166666666666664,-0.10713615571568216,0.14492067811058867,0.415,0.38999999999999996,65.0,7.0,5.666666666666664,0.08717948717948715,-4.518518518518519,0.4485185185185185,-0.06576819407008086,ACC,9.8,13.428571428571429,2.0,79.0,62.5,75.0,68.75,12.5,0.18181818181818182,1,0,0.0,2020-12-29,,Miami (FL),1,78.0,80.0,9.0,10.0,W,0.04147563789611142,0.022475637896111456,9,5.0625,6.61904761904762,0.405875,1,0.454375,0.41809523809523813,0.09616049809754412,-1.875,-0.04907090218700981,0.07752855969882129,-3.8327380952380943,-6.084999999999999,-0.27182539682539897,-2.1882086167800474,1.2832070707070702,1.6836452566385662,-1.7873577040243684,1.4969413693577585,2.1484444072241686
2021-01-02,,Clemson,L,65.0,66.0,23.0,49.0,0.469,7.0,17.0,0.412,12.0,18.0,0.667,7.0,31.0,17.0,7.0,3.0,15.0,13.0,,26.0,59.0,0.441,9.0,21.0,0.429,5.0,7.0,0.714,6.0,25.0,18.0,6.0,5.0,11.0,19.0,-1.0,0,8,65.5,1,0,0,1,69.28571428571429,64.71428571428571,-0.07847281571213602,0.12356173061134323,0.4322857142857143,0.40114285714285713,67.0,4.081632653061225,4.571428571428584,0.06823027718550125,-4.518518518518519,0.4485185185185185,-0.06576819407008086,ACC,9.8,16.333333333333332,1.0,65.5,55.125,67.875,61.5,12.75,0.2073170731707317,0,1,0.0,2021-01-02,@,Miami (FL),1,65.0,66.0,9.0,7.0,W,0.040066798117105895,-0.014204634212732103,9,1.265625,3.3043478260869534,0.380375,-1,0.42025,0.4191739130434783,0.05191256830601088,2.75,0.03338678844743873,0.07036137374586225,-1.674634096062667,-6.096868686868686,1.150468975468974,-1.4501683501683509,0.6248802036537903,1.6836452566385662,-0.5864426578712271,1.4969413693577585,2.1965080402952433
2021-01-05,,UNC,L,65.0,67.0,22.0,63.0,0.349,3.0,16.0,0.188,18.0,22.0,0.818,9.0,31.0,9.0,14.0,7.0,14.0,17.0,,21.0,61.0,0.344,9.0,20.0,0.45,16.0,22.0,0.727,13.0,43.0,13.0,9.0,6.0,20.0,23.0,-2.0,0,9,66.0,1,0,0,1,68.75,64.875,-0.06806981664934311,0.12000164945680508,0.43687499999999996,0.40612499999999996,66.8125,5.0625,3.875,0.057998129092609915,-4.518518518518519,0.4485185185185185,-0.06576819407008086,ACC,9.8,7.571428571428571,2.0,66.0,68.2,72.8,70.5,4.599999999999994,0.06524822695035452,0,1,0.0,2021-01-05,@,Miami (FL),1,65.0,67.0,9.0,3.0,W,-0.11984304342256985,0.06917358511018762,11,0.0,6.285714285714292,0.42610000000000003,-1,0.42869999999999997,0.42171428571428576,0.0866568193008371,-1.84375,-0.06861948160273583,-0.11992232021868113,-0.06378968253968242,-6.1433333333333335,3.328520923520922,1.8570707070707044,0.6715341516122765,1.6836452566385662,-0.10009384737645455,1.4969413693577585,0.8578131513548172
2021-01-09,@,NC State,W,64.0,59.0,22.0,48.0,0.458,5.0,11.0,0.455,15.0,20.0,0.75,4.0,26.0,6.0,6.0,4.0,12.0,15.0,,22.0,59.0,0.373,7.0,23.0,0.304,8.0,12.0,0.667,15.0,37.0,11.0,6.0,4.0,15.0,19.0,5.0,1,10,61.5,0,1,0,-1,68.33333333333333,65.11111111111111,-0.07937802064047392,0.11650976758894416,0.42711111111111105,0.39922222222222215,66.72222222222223,6.049382716049383,3.2222222222222143,0.04829308909242286,-4.518518518518519,0.4485185185185185,-0.06576819407008086,ACC,9.8,21.6,-5.0,61.5,65.875,79.625,72.75,13.75,0.18900343642611683,1,0,0.0,2021-01-09,,Miami (FL),0,64.0,59.0,7.0,5.0,L,-0.030949793815034543,-0.06874257842267414,9,1.265625,2.9565217391304373,0.43325,1,0.48475000000000007,0.4530869565217391,0.04121212121212125,-3.0138888888888857,0.07386913976021668,-0.06004959020938791,0.8838837088837097,-4.796736596736594,-1.192591089466088,-3.500873015873013,0.8446817071817063,1.6836452566385662,0.6094403896336283,1.4969413693577585,2.595799869497786
