Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,result,Win,Game_Number,Mean_Score,Home,Away,Neutral,Comb_Loc,Avg_Score,Opp_Avg_Score,Avg_Threes,Opp_Avg_Threes,Avg_FG_Pct,Opp_Avg_FG_Pct,Avg_Mean_Score,Home_Pct,Avg_Result,Pct_Margin,Avg_Result_Fin,Opp_Avg_FG_Pct_Fin,Pct_Margin_Fin,Conference,Avg_Result_NC,Avg_Result_NC2,result2,Mean_Score2,Opp_Avg_Score2,Avg_Score2,Avg_Mean_Score2,Avg_Result2,Pct_Margin2,Home2,Away2,Neutral2,Date2,Loc2,Opp_name2,Win2,Opp_score2,Score2,Threes2,Opp_Threes2,W2,Avg_Threes2,Opp_Avg_Threes2,Game_Number2,Home_Pct2,Avg_Result_Fin2,Opp_Avg_FG_Pct2,Comb_Loc2,Avg_FG_Pct2,Opp_Avg_FG_Pct_Fin2,Pct_Margin_Fin2,Scoring_Pace_Diff,Matchup_Comp,Opp_Matchup_Comp,SOS,SOS_NC,Opp_SOS,Opp_SOS_NC,Prev_SOS,SOS_Fin,SOS_All,SOS_All_Fin,Opp_Prev_SOS
2020-11-25,,North Dakota,W,81.0,67.0,29.0,57.0,0.509,5.0,14.0,0.357,18.0,22.0,0.818,6.0,27.0,10.0,8.0,3.0,9.0,22.0,,21.0,54.0,0.389,7.0,27.0,0.259,18.0,24.0,0.75,13.0,32.0,8.0,3.0,2.0,17.0,18.0,14.0,1,1,74.0,1,0,0,1,,,,,,,,,,,0.045454545454546746,0.44818181818181824,0.0006315124723713472,MAC,,,-14.0,74.0,,,,,,0,1,0.0,2020-11-25,@,Miami (OH),0,81.0,67.0,7.0,5.0,L,,,1,,-7.0,,-1,,0.47223076923076934,-0.09691160809371673,,,,,,,,,-0.44442240216731055,,-0.8138144237441413,
2020-12-05,@,Wright State,L,47.0,71.0,18.0,66.0,0.273,6.0,20.0,0.3,5.0,9.0,0.556,13.0,36.0,7.0,4.0,4.0,14.0,14.0,,29.0,62.0,0.468,7.0,22.0,0.318,6.0,9.0,0.667,10.0,46.0,19.0,9.0,5.0,14.0,14.0,-24.0,0,2,59.0,0,1,0,-1,81.0,67.0,-0.1283391769187034,-9.152628299302634e-05,0.509,0.389,74.0,2.0,14.0,0.1891891891891892,0.045454545454546746,0.44818181818181824,0.0006315124723713472,MAC,14.0,-16.0,24.0,59.0,80.0,64.0,72.0,-16.0,-0.2222222222222222,1,0,,2020-12-05,,Miami (OH),1,47.0,71.0,7.0,6.0,W,0.014600637896111435,-0.08852436210388856,2,2.0,14.541666666666657,0.433,1,0.377,0.40091666666666675,0.19470013947001383,1.0,0.10658866623457823,-0.0011560026453076133,-8.0,-8.0,15.0,15.0,9.75,-0.44442240216731055,-7.0,-0.8138144237441413,-16.5
2020-12-09,,Western Illinois,W,67.0,57.0,22.0,60.0,0.367,7.0,27.0,0.259,16.0,21.0,0.762,10.0,40.0,10.0,6.0,7.0,9.0,17.0,,24.0,68.0,0.353,7.0,25.0,0.28,2.0,10.0,0.2,13.0,41.0,11.0,3.0,3.0,8.0,20.0,10.0,1,3,62.0,1,0,0,1,64.0,69.0,-0.055711862103888565,-0.009176536016932024,0.391,0.4285,66.5,0.0,-5.0,-0.07518796992481203,0.045454545454546746,0.44818181818181824,0.0006315124723713472,MAC,-5.0,-23.5,-10.0,62.0,89.0,65.5,77.25,-23.5,-0.3042071197411003,0,1,0.0,2020-12-09,@,Miami (OH),0,67.0,57.0,7.0,7.0,L,-0.01581443843976643,-0.07756930592411329,3,0.0,-7.857142857142847,0.4895,-1,0.3705,0.47652380952380957,-0.1025800435188062,-5.375,0.06573834858846507,0.012046649489798854,-2.0,-2.0,11.208333333333336,11.208333333333336,3.680000000000001,-0.44442240216731055,3.7708333333333286,-0.8138144237441413,-6.520833333333333
2020-12-15,,Buffalo,L,62.0,90.0,22.0,65.0,0.338,6.0,25.0,0.24,12.0,16.0,0.75,7.0,29.0,12.0,5.0,3.0,9.0,21.0,,31.0,61.0,0.508,11.0,26.0,0.423,17.0,25.0,0.68,10.0,43.0,17.0,6.0,7.0,13.0,17.0,-28.0,0,4,76.0,1,0,0,1,65.0,65.0,-0.03660128518081163,0.00955256097303453,0.383,0.4033333333333333,65.0,0.4444444444444444,0.0,0.0,0.045454545454546746,0.44818181818181824,0.0006315124723713472,MAC,0.0,2.5,28.0,76.0,76.33333333333333,75.33333333333333,75.83333333333333,-1.0,-0.013186813186813187,0,1,0.0,2020-12-15,@,Miami (OH),1,62.0,90.0,11.0,6.0,W,-0.12768365413928678,-0.10391737520432523,4,0.4444444444444444,8.521739130434781,0.42366666666666664,-1,0.446,0.41647826086956524,0.10998877665544331,-5.416666666666664,0.061672599143338454,-0.034924287987379066,-4.027777777777781,-4.027777777777781,-4.127777777777777,-6.291666666666668,3.567124542124542,-0.44442240216731055,-0.10515873015872994,-0.8138144237441413,2.965277777777777
2020-12-19,@,Bradley,L,68.0,69.0,25.0,50.0,0.5,13.0,24.0,0.542,5.0,9.0,0.556,5.0,26.0,11.0,4.0,2.0,10.0,13.0,,27.0,60.0,0.45,6.0,23.0,0.261,9.0,10.0,0.9,10.0,31.0,14.0,5.0,5.0,9.0,13.0,-1.0,0,5,68.5,0,1,0,-1,64.25,71.25,-0.03336872008054226,0.023317743159269322,0.37175,0.4295,67.75,1.25,-7.0,-0.1033210332103321,0.045454545454546746,0.44818181818181824,0.0006315124723713472,MAC,0.0,6.8,1.0,68.5,63.6,70.4,67.0,6.800000000000004,0.1014925373134329,1,0,0.0,2020-12-19,,Miami (OH),1,68.0,69.0,6.0,13.0,W,0.0018165469870205508,0.13930582657535667,6,0.24000000000000005,-0.8461538461538538,0.3658,1,0.4298,0.43073076923076914,-0.01250710631040375,0.375,-0.06817959469358587,0.006508285187366158,-2.1458333333333357,-4.944444444444447,-5.65357142857143,-5.65357142857143,0.920614035087719,-0.44442240216731055,2.051565734989648,-0.8138144237441413,2.714115646258503
2021-01-09,,Northern Illinois,W,70.0,58.0,25.0,47.0,0.532,10.0,18.0,0.556,10.0,15.0,0.667,3.0,24.0,13.0,6.0,1.0,13.0,19.0,,21.0,44.0,0.477,6.0,17.0,0.353,10.0,19.0,0.526,7.0,25.0,9.0,6.0,6.0,16.0,15.0,12.0,1,6,64.0,1,0,0,1,65.0,70.8,0.028014099434573003,0.008509536201196155,0.39740000000000003,0.43360000000000004,67.9,0.24000000000000005,-5.799999999999997,-0.08541973490427093,0.045454545454546746,0.44818181818181824,0.0006315124723713472,MAC,-0.25,-19.4,-12.0,64.0,76.44444444444444,58.888888888888886,67.66666666666667,-17.555555555555557,-0.2594417077175698,0,1,,2021-01-09,@,Miami (OH),0,70.0,58.0,6.0,10.0,L,-0.11541115455671874,0.07455703324494867,10,0.12345679012345678,-15.105263157894733,0.4705555555555556,-1,0.3911111111111112,0.464421052631579,-0.21619585687382292,0.11666666666666714,0.04570173019559279,-0.031338401326842485,-0.2207936507936495,-0.9759920634920647,0.8335944919278278,-2.6111111111111116,-2.06730175509245,-0.44442240216731055,1.4720218187609475,-0.8138144237441413,-1.4353115951264104
2021-01-12,@,Ohio,L,61.0,78.0,23.0,57.0,0.404,8.0,23.0,0.348,7.0,10.0,0.7,8.0,26.0,16.0,5.0,2.0,12.0,8.0,,31.0,54.0,0.574,11.0,23.0,0.478,5.0,5.0,1.0,3.0,28.0,23.0,5.0,2.0,14.0,12.0,-17.0,0,7,69.5,0,1,0,-1,65.83333333333333,68.66666666666667,0.043437663212567146,0.00686398741067451,0.41983333333333334,0.44083333333333335,67.25,0.7777777777777777,-2.833333333333343,-0.04213135068153669,0.045454545454546746,0.44818181818181824,0.0006315124723713472,MAC,-0.25,14.8,17.0,69.5,74.6,78.8,76.7,4.200000000000003,0.05475880052151242,1,0,0.0,2021-01-12,,Miami (OH),1,61.0,78.0,11.0,8.0,W,0.021501018606771394,0.004170007869301828,11,0.99,7.045454545454547,0.45970000000000005,1,0.48139999999999994,0.444,0.09168884945282463,-4.725000000000001,0.013458655111878288,0.012148362895203503,-2.875641025641027,-1.3551282051282083,-1.9192268842268874,-3.987257187257191,-1.3125114057317462,-0.44442240216731055,-1.2908590106816658,-0.8138144237441413,-0.07569730918740145
2021-01-19,,Ball State,W,81.0,71.0,23.0,56.0,0.411,8.0,22.0,0.364,27.0,38.0,0.711,10.0,30.0,14.0,10.0,5.0,8.0,17.0,,22.0,51.0,0.431,8.0,19.0,0.421,19.0,19.0,1.0,7.0,32.0,14.0,3.0,5.0,17.0,26.0,10.0,1,8,76.0,1,0,0,1,65.14285714285714,70.0,0.048317743159269344,0.02321033177366244,0.4175714285714286,0.45985714285714285,67.57142857142857,0.16326530612244897,-4.857142857142861,-0.07188160676532776,0.045454545454546746,0.44818181818181824,0.0006315124723713472,MAC,-0.25,-2.4,-10.0,76.0,71.0,73.0,72.0,2.0,0.027777777777777776,0,1,0.0,2021-01-19,@,Miami (OH),0,81.0,71.0,8.0,8.0,L,-0.0071731790403767315,-0.03695586018327396,12,0.8925619834710743,-0.7391304347826093,0.4321818181818182,-1,0.4436363636363636,0.4323043478260871,-0.00984081041968163,-2.2142857142857153,-0.04225664161484322,-0.012903172687328707,-1.1464035964036003,-0.36037296037296684,-2.312160062160061,-0.17564102564102485,-1.2852490021880005,-0.44442240216731055,-0.09995707409077832,-0.8138144237441413,0.5064084656572155
2021-01-21,,Bowling Green State,W,96.0,77.0,37.0,63.0,0.587,11.0,23.0,0.478,11.0,14.0,0.786,10.0,33.0,20.0,4.0,2.0,9.0,25.0,,25.0,59.0,0.424,6.0,22.0,0.273,21.0,29.0,0.724,14.0,27.0,9.0,3.0,3.0,10.0,19.0,19.0,1,9,86.5,1,0,0,1,67.125,70.125,0.038430945158681284,0.023374033618036583,0.41675,0.45625,68.625,0.5625,-3.0,-0.04371584699453552,0.045454545454546746,0.44818181818181824,0.0006315124723713472,MAC,-0.25,2.6,-19.0,86.5,73.46153846153847,79.23076923076923,76.34615384615384,5.769230769230759,0.0755667506297228,0,1,0.0,2021-01-21,@,Miami (OH),0,96.0,77.0,6.0,11.0,L,-0.010611740744665255,-0.0025295977059828223,14,0.08284023668639054,2.3333333333333286,0.43507692307692314,-1,0.4241538461538461,0.4480000000000001,0.030319436924742767,-3.86057692307692,-0.009859758146737263,-0.015749259821073947,-1.21175213675214,-0.8054487179487246,-0.9042090388244234,-0.04495504495504434,-1.3174102144845186,-0.44442240216731055,-0.1798537441772572,-0.8138144237441413,-0.7290346600957942
2021-01-23,@,Eastern Michigan,W,85.0,63.0,28.0,55.0,0.509,8.0,19.0,0.421,21.0,25.0,0.84,7.0,36.0,10.0,3.0,2.0,12.0,15.0,,21.0,63.0,0.333,5.0,24.0,0.208,16.0,19.0,0.842,11.0,30.0,9.0,7.0,2.0,12.0,22.0,22.0,1,10,74.0,0,1,0,-1,70.33333333333333,70.88888888888889,0.0371865383700451,0.010927048554418672,0.4356666666666667,0.45266666666666666,70.61111111111111,1.1111111111111112,-0.5555555555555571,-0.00786782061369003,0.045454545454546746,0.44818181818181824,0.0006315124723713472,MAC,-0.25,-16.0,-22.0,74.0,83.28571428571429,68.0,75.64285714285714,-15.285714285714292,-0.202077431539188,1,0,,2021-01-23,,Miami (OH),0,85.0,63.0,5.0,8.0,L,-0.04251595874254399,0.05697306499731214,8,0.16326530612244897,-13.0,0.5274285714285714,1,0.41171428571428575,0.5011333333333333,-0.17591339648173207,-2.5158730158730123,0.04602858967621777,-0.021553977487170188,-0.3764069264069284,-0.5010822510822557,2.9690476190476187,4.666666666666671,-1.0616360286714275,-0.44442240216731055,0.09938926443503011,-0.8138144237441413,-1.8764224158972067
