Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,result,Win,Game_Number,Mean_Score,Home,Away,Neutral,Comb_Loc,Avg_Score,Opp_Avg_Score,Avg_Threes,Opp_Avg_Threes,Avg_FG_Pct,Opp_Avg_FG_Pct,Avg_Mean_Score,Home_Pct,Avg_Result,Pct_Margin,Avg_Result_Fin,Opp_Avg_FG_Pct_Fin,Pct_Margin_Fin,Conference,Avg_Result_NC,Avg_Result_NC2,result2,Mean_Score2,Opp_Avg_Score2,Avg_Score2,Avg_Mean_Score2,Avg_Result2,Pct_Margin2,Home2,Away2,Neutral2,Date2,Loc2,Opp_name2,Win2,Opp_score2,Score2,Threes2,Opp_Threes2,W2,Avg_Threes2,Opp_Avg_Threes2,Game_Number2,Home_Pct2,Avg_Result_Fin2,Opp_Avg_FG_Pct2,Comb_Loc2,Avg_FG_Pct2,Opp_Avg_FG_Pct_Fin2,Pct_Margin_Fin2,Scoring_Pace_Diff,Matchup_Comp,Opp_Matchup_Comp,SOS,SOS_NC,Opp_SOS,Opp_SOS_NC,Prev_SOS,SOS_Fin,SOS_All,SOS_All_Fin,Opp_Prev_SOS
2020-12-19,,Northwestern State,W,94.0,67.0,33.0,65.0,0.508,12.0,34.0,0.353,16.0,28.0,0.571,8.0,40.0,21.0,2.0,7.0,7.0,19.0,,23.0,62.0,0.371,7.0,17.0,0.412,14.0,21.0,0.667,8.0,36.0,7.0,2.0,0.0,11.0,28.0,27.0,1,1,80.5,1,0,0,1,,,,,,,,,,,5.181818181818187,0.4235454545454545,0.07412223667100137,MVC,,-18.0,-27.0,80.5,86.66666666666667,68.66666666666667,77.66666666666667,-18.0,-0.2317596566523605,0,1,0,2020-12-19,@,Missouri State,0,94.0,67.0,7.0,12.0,L,0.028708647604849258,-0.030832054411580878,7,1.75,-8.535714285714292,0.4766666666666666,-1,0.37566666666666665,0.47928571428571415,-0.11124040027926467,,,,,,4.408333333333331,4.408333333333331,,-0.494591495461062,,-0.6417138340533806,-3.427185374149662
2020-12-21,,Little Rock,W,85.0,77.0,25.0,50.0,0.5,13.0,32.0,0.406,22.0,28.0,0.786,7.0,30.0,17.0,6.0,1.0,12.0,23.0,,30.0,63.0,0.476,7.0,20.0,0.35,10.0,19.0,0.526,9.0,30.0,13.0,6.0,1.0,12.0,27.0,8.0,1,2,81.0,1,0,0,1,94.0,67.0,0.06945436130036675,-9.152628299302634e-05,0.508,0.371,80.5,2.0,27.0,0.33540372670807456,5.181818181818187,0.4235454545454545,0.07412223667100137,MVC,27.0,1.2,-8.0,81.0,74.4,75.6,75.0,1.1999999999999886,0.015999999999999848,0,1,0,2020-12-21,@,Missouri State,0,85.0,77.0,7.0,13.0,L,-0.09923864781817424,-0.055459845974856314,6,0.24000000000000005,-0.960000000000008,0.4600000000000001,-1,0.4882000000000001,0.44180000000000014,-0.01395348837209314,2.75,-0.06206390400224886,0.003013792389009484,-19.285714285714278,-19.285714285714278,-1.1438095238095258,-1.1438095238095258,7.830952380952381,-0.494591495461062,-8.535714285714292,-0.6417138340533806,1.6880204081632642
2020-12-27,@,Northern Iowa,W,79.0,59.0,33.0,64.0,0.516,11.0,25.0,0.44,2.0,2.0,1.0,7.0,39.0,15.0,6.0,9.0,14.0,15.0,,22.0,67.0,0.328,4.0,20.0,0.2,11.0,16.0,0.688,11.0,32.0,10.0,6.0,5.0,10.0,12.0,20.0,1,3,69.0,0,1,0,-1,89.5,72.0,0.10547005130393267,-0.02185769543722188,0.504,0.4235,80.75,3.0,17.5,0.21671826625386997,5.181818181818187,0.4235454545454545,0.07412223667100137,MVC,17.5,-7.25,-20.0,69.0,79.75,72.5,76.125,-7.25,-0.09523809523809523,1,0,0,2020-12-27,,Missouri State,0,79.0,59.0,4.0,11.0,L,0.1416480516892149,-0.03139270066188232,5,0.3125,-4.173913043478265,0.45725,1,0.44375,0.4577826086956522,-0.05933250927070464,2.3125,-0.05754120045130906,-0.05564260933042879,-10.166666666666671,-10.166666666666671,6.34672619047619,6.34672619047619,6.278720238095236,-0.494591495461062,-4.74785714285715,-0.6417138340533806,-4.044212411816578
2020-12-28,@,Northern Iowa,L,75.0,85.0,21.0,54.0,0.389,8.0,30.0,0.267,25.0,38.0,0.658,7.0,31.0,9.0,3.0,1.0,9.0,21.0,,31.0,59.0,0.525,7.0,22.0,0.318,16.0,25.0,0.64,6.0,37.0,16.0,7.0,2.0,9.0,27.0,-10.0,0,4,80.0,0,1,0,-1,86.0,67.66666666666667,0.10508028905890215,-0.04751450988713979,0.508,0.39166666666666666,76.83333333333333,0.4444444444444444,18.33333333333333,0.23861171366594355,5.181818181818187,0.4235454545454545,0.07412223667100137,MVC,17.5,-7.25,10.0,80.0,79.6,69.8,74.7,-9.799999999999997,-0.13119143239625164,1,0,0,2020-12-28,,Missouri State,1,75.0,85.0,7.0,8.0,W,0.09908308775284491,-0.004479135973235293,6,0.0,-4.173913043478265,0.469,1,0.4206,0.4577826086956522,-0.05933250927070464,1.0666666666666629,-0.021694904996373957,-0.06861402446060783,-10.044444444444446,-10.166666666666671,8.744047619047617,6.34672619047619,6.9450680272108825,-0.494591495461062,-4.556542443064188,-0.6417138340533806,-5.284365961199294
2021-01-02,,Indiana State,W,84.0,74.0,32.0,55.0,0.582,8.0,22.0,0.364,12.0,15.0,0.8,4.0,34.0,16.0,7.0,2.0,18.0,17.0,,25.0,66.0,0.379,9.0,23.0,0.391,15.0,18.0,0.833,10.0,29.0,10.0,7.0,2.0,14.0,17.0,10.0,1,5,79.0,1,0,0,1,83.25,72.0,0.08287203429250783,-0.05310769543722188,0.47825,0.42500000000000004,77.625,0.0,11.25,0.14492753623188406,5.181818181818187,0.4235454545454545,0.07412223667100137,MVC,17.5,-3.75,-10.0,79.0,72.5,65.83333333333333,69.16666666666667,-6.666666666666671,-0.09638554216867476,0,1,0,2021-01-02,@,Missouri State,0,84.0,74.0,9.0,8.0,L,-0.0552965140026227,-0.06524850003492305,7,0.7777777777777777,0.125,0.48366666666666663,-1,0.41733333333333333,0.45225,0.0018981335020563112,4.229166666666664,-0.07353418206812967,0.05419105483741169,-8.0,-9.5,10.979527417027414,5.635957792207794,6.664529531770912,-0.494591495461062,-4.4608850931677075,-0.6417138340533806,-5.764122863651633
2021-01-03,,Indiana State,W,70.0,66.0,21.0,48.0,0.438,6.0,21.0,0.286,22.0,27.0,0.815,6.0,29.0,10.0,7.0,2.0,17.0,16.0,,23.0,52.0,0.442,5.0,12.0,0.417,15.0,19.0,0.789,6.0,28.0,8.0,7.0,4.0,14.0,21.0,4.0,1,6,68.0,1,0,0,1,83.4,72.4,0.06057635732057187,-0.031756406302783646,0.499,0.41580000000000006,77.9,0.24000000000000005,11.0,0.14120667522464697,5.181818181818187,0.4235454545454545,0.07412223667100137,MVC,17.5,-3.75,-4.0,68.0,74.14285714285714,67.0,70.57142857142857,-7.142857142857139,-0.10121457489878537,0,1,0,2021-01-03,@,Missouri State,0,70.0,66.0,5.0,6.0,L,-0.038471057199837344,-0.05918910198828159,8,0.16326530612244897,0.125,0.49771428571428566,-1,0.41185714285714287,0.45225,0.0018981335020563112,3.664285714285718,-0.0598787123402459,0.034952861447035556,-7.131168831168836,-8.113636363636367,10.742063492063489,5.215277777777775,5.784293831168831,-0.494591495461062,-3.543708074534166,-0.6417138340533806,-5.2088676700283845
2021-01-09,@,Valparaiso,W,81.0,68.0,29.0,53.0,0.547,9.0,22.0,0.409,14.0,18.0,0.778,5.0,38.0,15.0,2.0,0.0,12.0,18.0,,23.0,56.0,0.411,11.0,27.0,0.407,11.0,19.0,0.579,3.0,23.0,11.0,9.0,5.0,5.0,14.0,13.0,1,7,74.5,0,1,0,-1,81.16666666666667,71.33333333333333,0.04376516561685062,-0.04015987612258015,0.4888333333333334,0.42016666666666674,76.25,0.7777777777777777,9.833333333333343,0.1289617486338799,5.181818181818187,0.4235454545454545,0.07412223667100137,MVC,17.5,-4.333333333333333,-13.0,74.5,70.66666666666667,66.33333333333333,68.5,-4.333333333333343,-0.06326034063260355,1,0,0,2021-01-09,,Missouri State,0,81.0,68.0,11.0,9.0,L,-0.027092201299868446,-0.002203607386907447,7,3.1111111111111107,-5.346153846153847,0.41083333333333333,1,0.42150000000000004,0.44546153846153846,-0.0809787357995922,3.875,-0.00982045020569423,0.032985139807051325,-6.930555555555557,-7.916666666666671,1.3624847374847395,1.3624847374847395,5.843673674334054,-0.494591495461062,-2.9322567287784715,-0.6417138340533806,-2.734058432198314
2021-01-10,@,Valparaiso,W,78.0,68.0,27.0,50.0,0.54,7.0,22.0,0.318,17.0,22.0,0.773,4.0,37.0,17.0,4.0,3.0,15.0,17.0,,23.0,65.0,0.354,7.0,26.0,0.269,15.0,19.0,0.789,10.0,31.0,13.0,4.0,3.0,8.0,18.0,10.0,1,8,73.0,0,1,0,-1,81.14285714285714,70.85714285714286,0.04034887733273118,-0.011105007265178879,0.4971428571428572,0.41885714285714293,76.0,0.16326530612244897,10.285714285714278,0.13533834586466154,5.181818181818187,0.4235454545454545,0.07412223667100137,MVC,17.5,-4.333333333333333,-10.0,73.0,72.14285714285714,66.57142857142857,69.35714285714286,-5.571428571428569,-0.08032955715756948,1,0,0,2021-01-10,,Missouri State,0,78.0,68.0,7.0,7.0,L,0.0019262816729354593,0.0013271230446263438,8,1.4693877551020407,-5.346153846153847,0.43028571428571427,1,0.42000000000000004,0.44546153846153846,-0.0809787357995922,3.3214285714285694,0.0073176447667995664,-0.004625080753103582,-6.507456828885402,-7.11538461538462,1.5096807953950824,0.047008547008549804,4.941238779142005,-0.494591495461062,-3.277099174117811,-0.6417138340533806,-2.595747530058754
2021-01-26,,Drake,L,61.0,68.0,24.0,59.0,0.407,2.0,16.0,0.125,11.0,14.0,0.786,9.0,45.0,9.0,2.0,1.0,16.0,16.0,,25.0,68.0,0.368,4.0,14.0,0.286,14.0,21.0,0.667,9.0,36.0,6.0,8.0,4.0,5.0,16.0,-7.0,0,9,64.5,1,0,0,1,80.75,70.5,0.03012888867010527,-0.010332872742186416,0.5025000000000001,0.41075000000000006,75.625,0.0,10.25,0.13553719008264462,5.181818181818187,0.4235454545454545,0.07412223667100137,MVC,17.5,24.285714285714285,7.0,64.5,60.0,82.18181818181819,71.0909090909091,22.181818181818187,0.3120204603580563,0,1,0,2021-01-26,@,Missouri State,1,61.0,68.0,4.0,2.0,W,-0.01485179573220713,-0.04079708937661586,12,0.39669421487603307,11.18518518518519,0.3983636363636363,-1,0.525,0.4303333333333332,0.15836392239119043,2.2670454545454533,-0.03505953456468573,0.012387966552015049,-6.547275641025639,-6.875,-7.811075852252322,-11.065756559033868,4.047514406627812,-0.494591495461062,-3.5357310081223154,-0.6417138340533806,3.019840134697117
2021-01-27,,Drake,L,73.0,78.0,20.0,56.0,0.357,5.0,18.0,0.278,28.0,32.0,0.875,9.0,31.0,7.0,7.0,2.0,9.0,15.0,,32.0,67.0,0.478,4.0,15.0,0.267,10.0,13.0,0.769,12.0,38.0,10.0,3.0,1.0,10.0,22.0,-5.0,0,10,75.5,1,0,0,1,78.55555555555556,70.22222222222223,0.008965029692433957,-0.023967400078572176,0.49188888888888893,0.406,74.38888888888889,0.12345679012345678,8.333333333333329,0.11202389843166537,5.181818181818187,0.4235454545454545,0.07412223667100137,MVC,17.5,24.285714285714285,5.0,75.5,60.083333333333336,81.0,70.54166666666667,20.916666666666664,0.29651506202008265,0,1,0,2021-01-27,@,Missouri State,1,73.0,78.0,4.0,5.0,W,-0.023400905313765097,-0.05554932742982477,13,0.09027777777777778,11.18518518518519,0.3990833333333333,-1,0.5119166666666667,0.4303333333333332,0.15836392239119043,1.9236111111111072,-0.022315944295572952,0.023682458906452125,-3.253968253968252,-6.875,-6.45105640546817,-11.065756559033868,2.6093084984971813,-0.494591495461062,-1.9000736533103704,-0.6417138340533806,2.119170962682947
