Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,result,Win,Game_Number,Mean_Score,Home,Away,Neutral,Comb_Loc,Avg_Score,Opp_Avg_Score,Avg_Threes,Opp_Avg_Threes,Avg_FG_Pct,Opp_Avg_FG_Pct,Avg_Mean_Score,Home_Pct,Avg_Result,Pct_Margin,Avg_Result_Fin,Opp_Avg_FG_Pct_Fin,Pct_Margin_Fin,Conference,Avg_Result_NC,Avg_Result_NC2,result2,Mean_Score2,Opp_Avg_Score2,Avg_Score2,Avg_Mean_Score2,Avg_Result2,Pct_Margin2,Home2,Away2,Neutral2,Date2,Loc2,Opp_name2,Win2,Opp_score2,Score2,Threes2,Opp_Threes2,W2,Avg_Threes2,Opp_Avg_Threes2,Game_Number2,Home_Pct2,Avg_Result_Fin2,Opp_Avg_FG_Pct2,Comb_Loc2,Avg_FG_Pct2,Opp_Avg_FG_Pct_Fin2,Pct_Margin_Fin2,Scoring_Pace_Diff,Matchup_Comp,Opp_Matchup_Comp,SOS,SOS_NC,Opp_SOS,Opp_SOS_NC,Prev_SOS,SOS_Fin,SOS_All,SOS_All_Fin,Opp_Prev_SOS
2020-12-15,,Hofstra,L,88.0,96.0,32.0,69.0,0.464,15.0,30.0,0.5,9.0,13.0,0.692,6.0,21.0,17.0,13.0,2.0,10.0,23.0,,28.0,51.0,0.549,11.0,24.0,0.458,29.0,32.0,0.906,8.0,39.0,14.0,7.0,2.0,23.0,16.0,-8.0,0,1,92.0,1,0,0,1,,,,,,,,,,,1.75,0.42375000000000007,0.02327901563019621,MAAC,,-0.5,8.0,92.0,69.25,68.75,69.0,-0.5,-0.007246376811594203,0,1,0,2020-12-15,@,Monmouth,1,88.0,96.0,11.0,15.0,W,-0.029887998467524934,-0.021105589540711678,5,1.25,0.1739130434782652,0.40725,-1,0.39025,0.4496086956521738,0.0023795359904819156,,,,,,-1.6083333333333307,-1.6083333333333307,,0.023756481250759378,,-0.06827982803753305,-1.4200793650793655
2020-12-18,,St. Peter's,W,78.0,76.0,27.0,61.0,0.443,9.0,20.0,0.45,15.0,23.0,0.652,11.0,35.0,13.0,9.0,2.0,22.0,22.0,,26.0,69.0,0.377,11.0,27.0,0.407,13.0,22.0,0.591,18.0,42.0,16.0,11.0,8.0,19.0,23.0,2.0,1,2,77.0,1,0,0,1,88.0,96.0,0.1978392742597478,0.030225637896111435,0.464,0.549,92.0,2.0,-8.0,-0.08695652173913043,1.75,0.42375000000000007,0.02327901563019621,MAAC,-8.0,-2.25,-2.0,77.0,64.66666666666667,66.5,65.58333333333333,1.8333333333333286,0.02795425667090209,0,1,0,2020-12-18,@,Monmouth,0,78.0,76.0,11.0,9.0,L,0.01730270556528435,0.0266818234631217,7,0.19444444444444442,1.720000000000006,0.4033333333333333,-1,0.41999999999999993,0.38791999999999993,0.027590632017966087,13.208333333333336,0.0726547492588799,0.022868872141828873,1.2000000000000028,1.2000000000000028,-6.383333333333333,-1.2416666666666671,-2.8866666666666645,0.023756481250759378,0.1739130434782652,-0.06827982803753305,3.516477072310405
2020-12-19,,St. Peter's,L,76.0,78.0,23.0,62.0,0.371,5.0,21.0,0.238,25.0,34.0,0.735,13.0,38.0,14.0,8.0,6.0,13.0,23.0,,25.0,58.0,0.431,10.0,25.0,0.4,18.0,26.0,0.692,9.0,36.0,14.0,7.0,7.0,12.0,24.0,-2.0,0,3,77.0,1,0,0,1,83.0,86.0,0.12021057765514759,0.07019656812866959,0.4535,0.463,84.5,3.0,-3.0,-0.03550295857988166,1.75,0.42375000000000007,0.02327901563019621,MAAC,-8.0,-2.25,2.0,77.0,66.57142857142857,67.85714285714286,67.21428571428571,1.2857142857142918,0.019128586609989465,0,1,0,2020-12-19,@,Monmouth,1,76.0,78.0,10.0,5.0,W,0.03384405894874298,0.02767735463430887,8,0.0,1.720000000000006,0.409,-1,0.41385714285714276,0.38791999999999993,0.027590632017966087,8.642857142857146,0.057681112927514204,0.048741530441156096,1.2428571428571473,1.2000000000000028,-3.4952380952380957,-1.2416666666666671,-2.5972222222222214,0.023756481250759378,0.9469565217391356,-0.06827982803753305,1.605884353741499
2020-12-27,,Canisius,W,84.0,66.0,33.0,61.0,0.541,5.0,19.0,0.263,13.0,16.0,0.813,5.0,34.0,15.0,3.0,3.0,15.0,20.0,,22.0,65.0,0.338,8.0,32.0,0.25,14.0,23.0,0.609,10.0,32.0,12.0,7.0,3.0,14.0,19.0,18.0,1,4,75.0,1,0,0,1,80.66666666666667,83.33333333333333,0.04597977012751636,0.07047563789611144,0.426,0.4523333333333333,82.0,4.0,-2.666666666666657,-0.03252032520325192,1.75,0.42375000000000007,0.02327901563019621,MAAC,-8.0,,-18.0,75.0,64.0,66.5,65.25,2.5,0.038314176245210725,0,1,0,2020-12-27,@,Monmouth,0,84.0,66.0,8.0,5.0,L,0.02482150255776555,-0.10258686210388857,3,3.0,-0.7692307692307736,0.435,-1,0.42400000000000004,0.4506153846153846,-0.010869565217391365,8.375,-0.06867983938274766,0.04182476809617107,1.4021164021164054,0.4285714285714164,4.833333333333336,,-0.6168095238095236,0.023756481250759378,1.2046376811594257,-0.06827982803753305,-5.083333333333333
2020-12-28,,Canisius,W,97.0,69.0,37.0,63.0,0.587,13.0,22.0,0.591,10.0,16.0,0.625,6.0,36.0,19.0,8.0,4.0,13.0,22.0,,22.0,61.0,0.361,6.0,30.0,0.2,19.0,26.0,0.731,10.0,33.0,16.0,7.0,3.0,18.0,19.0,28.0,1,5,83.0,1,0,0,1,81.5,79.0,-0.0006409265210664539,0.06622247333914943,0.45475,0.42375,80.25,5.0,2.5,0.03115264797507788,1.75,0.42375000000000007,0.02327901563019621,MAAC,-8.0,,-28.0,83.0,70.66666666666667,66.33333333333333,68.5,-4.333333333333343,-0.06326034063260355,0,1,0,2020-12-28,@,Monmouth,0,97.0,69.0,6.0,13.0,L,0.03320930623781998,-0.11541115455671877,4,0.4444444444444444,-0.7692307692307736,0.4703333333333333,-1,0.39533333333333337,0.4506153846153846,-0.010869565217391365,5.875,0.0086005854325331,0.04689565435033062,-0.03174603174603163,0.4285714285714164,4.055555555555557,,1.0532312925170058,0.023756481250759378,0.7111705685618759,-0.06827982803753305,-4.843915343915347
2021-01-03,@,Siena,L,77.0,78.0,29.0,61.0,0.475,8.0,19.0,0.421,11.0,20.0,0.55,9.0,37.0,12.0,6.0,2.0,15.0,13.0,,28.0,65.0,0.431,9.0,23.0,0.391,13.0,18.0,0.722,6.0,31.0,17.0,9.0,4.0,10.0,18.0,-1.0,0,6,77.5,0,1,0,-1,84.6,77.0,0.019808971229444805,0.04491719633766983,0.48119999999999996,0.4112,80.8,6.0,7.599999999999994,0.09405940594059399,1.75,0.42375000000000007,0.02327901563019621,MAAC,-8.0,,1.0,77.5,,,,,,1,0,0,2021-01-03,,Monmouth,1,77.0,78.0,9.0,8.0,W,,,1,,4.588235294117652,,1,,0.40817647058823525,0.07027027027027034,,,,-1.460606060606068,1.0,,,1.5649350649350613,0.023756481250759378,0.415090301003346,-0.06827982803753305,
2021-01-04,@,Siena,L,62.0,76.0,23.0,61.0,0.377,4.0,17.0,0.235,12.0,18.0,0.667,7.0,36.0,8.0,5.0,1.0,10.0,28.0,,25.0,58.0,0.431,5.0,22.0,0.227,21.0,34.0,0.618,12.0,43.0,10.0,5.0,4.0,8.0,20.0,-14.0,0,7,69.0,0,1,0,-1,83.33333333333333,77.16666666666667,0.01647563789611145,0.04284712817688896,0.48016666666666663,0.41450000000000004,80.25,3.1111111111111107,6.166666666666657,0.07684319833852532,1.75,0.42375000000000007,0.02327901563019621,MAAC,-8.0,,14.0,69.0,77.0,78.0,77.5,1.0,0.012903225806451613,1,0,0,2021-01-04,,Monmouth,1,62.0,76.0,5.0,4.0,W,0.03262948404995758,-0.0018360504155768842,2,2.0,4.588235294117652,0.475,1,0.431,0.40817647058823525,0.07027027027027034,1.375,-0.0055000092550876395,0.037390903779318925,-0.9023569023569067,1.8888888888889,6.166666666666657,,1.1389315230224275,0.023756481250759378,1.110614466522397,-0.06827982803753305,-0.9023569023569067
2021-01-09,,Marist,W,80.0,64.0,27.0,54.0,0.5,8.0,15.0,0.533,18.0,23.0,0.783,7.0,32.0,13.0,8.0,4.0,9.0,16.0,,26.0,55.0,0.473,9.0,27.0,0.333,3.0,10.0,0.3,6.0,27.0,13.0,4.0,3.0,14.0,19.0,16.0,1,8,72.0,1,0,0,1,80.28571428571429,77.0,0.0014222571131932704,0.02042740041930252,0.4654285714285714,0.41685714285714287,78.64285714285714,1.4693877551020407,3.285714285714292,0.04178019981834704,1.75,0.42375000000000007,0.02327901563019621,MAAC,-8.0,3.5,-16.0,72.0,63.875,66.0,64.9375,2.125,0.032723772858517804,0,1,0,2021-01-09,@,Monmouth,0,80.0,64.0,9.0,8.0,L,0.0046574560779296115,0.05046781010746171,9,0.5625,-0.1904761904761898,0.38599999999999995,-1,0.443375,0.39199999999999996,-0.0029985007496251765,6.852678571428569,0.008472201715765782,0.009753959208402628,1.1567099567099521,1.4000000000000057,-4.472222222222225,-7.666666666666657,0.6144240019240014,0.023756481250759378,1.6074174418931477,-0.06827982803753305,-0.7132986612153298
2021-01-10,,Marist,W,72.0,62.0,22.0,51.0,0.431,10.0,25.0,0.4,18.0,24.0,0.75,6.0,33.0,11.0,7.0,2.0,17.0,22.0,,20.0,56.0,0.357,3.0,27.0,0.111,19.0,28.0,0.679,7.0,31.0,11.0,10.0,7.0,13.0,22.0,10.0,1,9,67.0,1,0,0,1,80.25,75.375,-0.00044024995435587577,0.029759219985663665,0.46975,0.423875,77.8125,2.25,4.875,0.06265060240963856,1.75,0.42375000000000007,0.02327901563019621,MAAC,-8.0,3.5,-10.0,67.0,65.66666666666667,65.77777777777777,65.72222222222223,0.11111111111110006,0.0016906170752322915,0,1,0,2021-01-10,@,Monmouth,0,72.0,62.0,3.0,10.0,L,0.015867529788003376,0.04180558713469007,10,1.1111111111111112,-0.1904761904761898,0.3986666666666666,-1,0.4466666666666667,0.39199999999999996,-0.0029985007496251765,6.045138888888886,-0.004290094151398999,0.02173028553862704,1.5934343434343372,0.2727272727272805,-3.094312169312169,-8.5,-0.08735088985089116,0.023756481250759378,1.3826807378469805,-0.06827982803753305,-0.8828440107805228
2021-01-15,,Quinnipiac,W (1 OT),92.0,80.0,28.0,81.0,0.346,10.0,32.0,0.313,26.0,36.0,0.722,12.0,47.0,19.0,13.0,8.0,17.0,23.0,,27.0,65.0,0.415,9.0,26.0,0.346,17.0,25.0,0.68,2.0,42.0,13.0,12.0,7.0,27.0,28.0,12.0,1,10,86.0,1,0,0,1,79.33333333333333,73.88888888888889,0.010005049660817333,0.011287667971299431,0.46544444444444444,0.41644444444444445,76.61111111111111,3.08641975308642,5.444444444444443,0.07106598984771571,1.75,0.42375000000000007,0.02327901563019621,MAAC,-8.0,-1.5,-12.0,86.0,64.0,63.333333333333336,63.666666666666664,-0.6666666666666643,-0.010471204188481638,0,1,0,2021-01-15,@,Monmouth,0,92.0,80.0,9.0,10.0,L (1 OT),-0.060892783156520136,-0.06352436210388857,7,3.1111111111111107,-1.5,0.3625,-1,0.4015,0.3935454545454546,-0.02197802197802198,6.472222222222225,-0.02521040256563048,-0.026217122613268105,1.0188552188552176,0.2727272727272805,-1.9993386243386222,-0.7847222222222214,-0.7064217365587235,0.023756481250759378,1.2078855235888506,-0.06827982803753305,-3.7124673827054764
