Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,result,Win,Game_Number,Mean_Score,Home,Away,Neutral,Comb_Loc,Avg_Score,Opp_Avg_Score,Avg_Threes,Opp_Avg_Threes,Avg_FG_Pct,Opp_Avg_FG_Pct,Avg_Mean_Score,Home_Pct,Avg_Result,Pct_Margin,Avg_Result_Fin,Opp_Avg_FG_Pct_Fin,Pct_Margin_Fin,Conference,Avg_Result_NC,Avg_Result_NC2,result2,Mean_Score2,Opp_Avg_Score2,Avg_Score2,Avg_Mean_Score2,Avg_Result2,Pct_Margin2,Home2,Away2,Neutral2,Date2,Loc2,Opp_name2,Win2,Opp_score2,Score2,Threes2,Opp_Threes2,W2,Avg_Threes2,Opp_Avg_Threes2,Game_Number2,Home_Pct2,Avg_Result_Fin2,Opp_Avg_FG_Pct2,Comb_Loc2,Avg_FG_Pct2,Opp_Avg_FG_Pct_Fin2,Pct_Margin_Fin2,Scoring_Pace_Diff,Matchup_Comp,Opp_Matchup_Comp,SOS,SOS_NC,Opp_SOS,Opp_SOS_NC,Prev_SOS,SOS_Fin,SOS_All,SOS_All_Fin,Opp_Prev_SOS
2020-11-27,@,James Madison,W,83.0,73.0,24.0,49.0,0.49,10.0,22.0,0.455,25.0,31.0,0.806,4.0,32.0,14.0,8.0,5.0,9.0,21.0,,21.0,58.0,0.362,9.0,28.0,0.321,22.0,26.0,0.846,10.0,31.0,12.0,2.0,1.0,12.0,22.0,10.0,1,1,78.0,0,1,0,-1,,,,,,,,,,,4.571428571428569,0.4044761904761904,0.06274509803921566,MEAC,,,-10.0,78.0,,,,,,1,0,0.0,2020-11-27,,Norfolk State,0,83.0,73.0,9.0,10.0,L,,,1,,3.058823529411768,,1,,0.4230588235294118,0.0416333066453163,,,,,,,,,-3.7974614226769434,,-3.938397095191564,
2020-11-28,N,Radford,W,57.0,54.0,19.0,53.0,0.358,9.0,18.0,0.5,10.0,13.0,0.769,6.0,30.0,12.0,4.0,4.0,13.0,19.0,,16.0,49.0,0.327,7.0,25.0,0.28,15.0,25.0,0.6,6.0,35.0,7.0,8.0,2.0,15.0,19.0,3.0,1,2,55.5,0,0,1,0,83.0,73.0,0.04792142102864155,0.05633865159474155,0.49,0.362,78.0,2.0,10.0,0.1282051282051282,4.571428571428569,0.4044761904761904,0.06274509803921566,MEAC,10.0,-15.0,-3.0,55.5,77.0,62.0,69.5,-15.0,-0.2158273381294964,0,0,1.0,2020-11-28,N,Norfolk State,0,57.0,54.0,7.0,9.0,L,-0.023201781458727255,0.11504706646753998,2,2.0,0.3999999999999915,0.483,0,0.396,0.4244,0.006064281382656026,4.25,0.07425105326055041,-0.036154627393745455,-10.0,-10.0,15.0,15.0,10.0,-3.7974614226769434,3.058823529411768,-3.938397095191564,-15.0
2020-12-02,,Old Dominion,L,66.0,80.0,23.0,55.0,0.418,8.0,19.0,0.421,12.0,19.0,0.632,2.0,25.0,11.0,6.0,4.0,12.0,23.0,,25.0,60.0,0.417,7.0,22.0,0.318,23.0,27.0,0.852,9.0,37.0,14.0,6.0,5.0,9.0,18.0,-14.0,0,3,73.0,1,0,0,1,70.0,63.5,0.09361849503896857,0.06442839380162324,0.424,0.34450000000000003,66.75,0.75,6.5,0.09737827715355805,4.571428571428569,0.4044761904761904,0.06274509803921566,MEAC,6.5,-5.0,14.0,73.0,81.5,76.5,79.0,-5.0,-0.06329113924050633,0,1,0.0,2020-12-02,@,Norfolk State,1,66.0,80.0,7.0,8.0,W,-0.05862240131957486,0.09138361335623413,3,0.0,-0.22727272727273373,0.4925,-1,0.4435,0.423090909090909,-0.0033411293017040714,-6.125,0.09249430443888763,-0.06145687233999438,-4.833333333333332,-4.833333333333332,7.0,7.0,3.4000000000000012,-3.7974614226769434,1.7294117647058798,-3.938397095191564,-4.694444444444445
2020-12-07,,Hampton,W,76.0,64.0,29.0,52.0,0.558,5.0,12.0,0.417,13.0,24.0,0.542,8.0,37.0,12.0,6.0,4.0,14.0,15.0,,22.0,64.0,0.344,8.0,33.0,0.242,12.0,17.0,0.706,10.0,27.0,12.0,5.0,6.0,10.0,15.0,12.0,1,4,70.0,1,0,0,1,68.66666666666667,69.0,0.07967952139125706,0.01980897122944475,0.422,0.3686666666666667,68.83333333333333,0.0,-0.3333333333333286,-0.004842615012106469,4.571428571428569,0.4044761904761904,0.06274509803921566,MEAC,-0.3333333333333333,4.0,-12.0,70.0,78.0,82.0,80.0,4.0,0.05,0,1,,2020-12-07,@,Norfolk State,0,76.0,64.0,8.0,5.0,L,0.05232929643269679,-0.19813974671927317,2,2.0,-4.3999999999999915,0.466,-1,0.397,0.43276,-0.06193693693693681,-5.583333333333336,-0.1256490357590403,0.032196110440430165,-3.1388888888888857,-3.1388888888888857,1.6666666666666714,1.6666666666666714,3.1111111111111125,-3.7974614226769434,1.0771836007130087,-3.938397095191564,-4.055555555555553
2020-12-13,@,UNC Greensboro,L,47.0,64.0,16.0,47.0,0.34,2.0,11.0,0.182,13.0,22.0,0.591,4.0,27.0,4.0,7.0,2.0,13.0,23.0,,22.0,61.0,0.361,4.0,23.0,0.174,16.0,25.0,0.64,14.0,40.0,12.0,7.0,5.0,13.0,19.0,-17.0,0,5,55.5,0,1,0,-1,70.5,67.75,0.026901169811005043,0.029649069630428793,0.456,0.36250000000000004,69.125,0.3125,2.75,0.039783001808318265,4.571428571428569,0.4044761904761904,0.06274509803921566,MEAC,2.75,-5.0,17.0,55.5,78.0,73.0,75.5,-5.0,-0.06622516556291391,1,0,0.0,2020-12-13,,Norfolk State,1,47.0,64.0,4.0,2.0,W,-0.025853129227176253,-0.05390897748850393,5,0.3125,6.172413793103445,0.47450000000000003,1,0.40425,0.414448275862069,0.08750916646296746,-3.1875,-0.038081682706465225,-0.027686119782682126,-4.875,-4.875,-0.09166666666667211,-0.09166666666667211,2.9053571428571434,-3.7974614226769434,-0.2921122994652414,-3.938397095191564,-2.907500000000002
2020-12-18,,UNC Wilmington,L,72.0,80.0,27.0,59.0,0.458,4.0,13.0,0.308,14.0,23.0,0.609,10.0,28.0,8.0,5.0,2.0,8.0,22.0,,22.0,57.0,0.386,8.0,25.0,0.32,28.0,31.0,0.903,16.0,40.0,12.0,3.0,6.0,14.0,24.0,-8.0,0,6,76.0,1,0,0,1,65.8,67.0,-0.0034939669671104623,-9.152628299302634e-05,0.4328,0.3622,66.4,0.0,-1.2000000000000028,-0.018072289156626547,4.571428571428569,0.4044761904761904,0.06274509803921566,MEAC,-1.2,-4.2,8.0,76.0,76.4,72.2,74.3,-4.200000000000003,-0.0565275908479139,0,1,0.0,2020-12-18,@,Norfolk State,1,72.0,80.0,8.0,4.0,W,0.0188856101952804,-0.03080184901488331,6,2.16,-0.375,0.4584,-1,0.4306,0.4702500000000001,-0.005067567567567568,-3.9499999999999957,0.010374036966577968,-0.0013147356020239268,-3.9499999999999984,-3.9499999999999984,4.220000000000001,4.220000000000001,0.4090909090909078,-3.7974614226769434,1.0007929190484959,-3.938397095191564,-3.47691798941799
2020-12-26,@,George Mason,W,68.0,65.0,22.0,49.0,0.449,7.0,17.0,0.412,17.0,25.0,0.68,4.0,26.0,6.0,10.0,1.0,18.0,18.0,,25.0,62.0,0.403,6.0,31.0,0.194,9.0,17.0,0.529,14.0,37.0,16.0,10.0,2.0,17.0,20.0,3.0,1,7,66.5,0,1,0,-1,66.83333333333333,69.16666666666667,-0.029235085295908514,-0.002680988609912671,0.43700000000000006,0.3661666666666667,68.0,0.19444444444444442,-2.333333333333343,-0.03431372549019622,4.571428571428569,0.4044761904761904,0.06274509803921566,MEAC,-2.3333333333333335,2.75,-3.0,66.5,69.5,72.25,70.875,2.75,0.03880070546737213,1,0,0.0,2020-12-26,,Norfolk State,0,68.0,65.0,6.0,7.0,L,0.0705586828788104,0.010216645090356025,5,1.25,1.4285714285714306,0.42900000000000005,1,0.42125,0.44152380952380954,0.020161290322580672,-1.4375,-0.017282490869506725,-0.01375380038856646,-1.3303571428571435,-1.3303571428571435,-4.604166666666668,-4.604166666666668,-2.4870231620231644,-3.7974614226769434,0.7714940992070799,-3.938397095191564,0.4222222222222223
2021-01-09,,Morgan State,L,74.0,78.0,22.0,63.0,0.349,10.0,29.0,0.345,20.0,27.0,0.741,11.0,36.0,11.0,4.0,7.0,11.0,17.0,,27.0,71.0,0.38,8.0,26.0,0.308,16.0,18.0,0.889,14.0,40.0,19.0,5.0,5.0,11.0,24.0,-4.0,0,8,76.0,1,0,0,1,67.0,68.57142857142857,-0.02567788022755596,-0.007274362103888543,0.4387142857142857,0.37142857142857144,67.78571428571429,0.0,-1.5714285714285694,-0.02318229715489986,4.571428571428569,0.4044761904761904,0.06274509803921566,MEAC,-1.5714285714285714,4.25,4.0,76.0,66.5,70.75,68.625,4.25,0.061930783242258654,0,1,0.0,2021-01-09,@,Norfolk State,1,74.0,78.0,8.0,10.0,W,0.025698252737100857,-0.04284767037456527,5,1.25,4.6842105263157805,0.41000000000000003,-1,0.41875000000000007,0.4187368421052632,0.061698440207972154,-0.4196428571428541,0.03316982586490144,-0.013672541674718586,-0.5536796536796535,-0.5536796536796535,-2.383928571428573,-2.383928571428573,-1.4417830377507794,-3.7974614226769434,0.8653622891162728,-3.938397095191564,-0.4132353674764382
2021-01-10,,Morgan State,W,89.0,85.0,28.0,60.0,0.467,9.0,20.0,0.45,24.0,34.0,0.706,11.0,36.0,17.0,3.0,4.0,12.0,16.0,,31.0,63.0,0.492,13.0,29.0,0.448,10.0,18.0,0.556,7.0,30.0,19.0,4.0,1.0,14.0,27.0,4.0,1,9,87.0,1,0,0,1,67.875,69.75,-0.009656958788971437,-0.0070727492006627535,0.4275,0.3725,68.8125,0.140625,-1.875,-0.027247956403269755,4.571428571428569,0.4044761904761904,0.06274509803921566,MEAC,-1.5714285714285714,4.25,-4.0,87.0,68.0,72.2,70.1,4.200000000000003,0.05991440798858778,0,1,0.0,2021-01-10,@,Norfolk State,0,89.0,85.0,13.0,9.0,L,0.0188856101952804,-0.013524362103888576,6,2.16,4.6842105263157805,0.39780000000000004,-1,0.41100000000000003,0.4187368421052632,0.061698440207972154,-0.6437499999999972,0.011428219786317511,-0.011557386573646215,0.10107323232323129,-0.4844877344877361,-2.2726190476190498,-2.372023809523812,-1.6994884359467695,-3.7974614226769434,1.3427183187662113,-3.938397095191564,-0.6864781316567019
2021-01-16,@,Delaware State,W,87.0,76.0,30.0,53.0,0.566,13.0,23.0,0.565,14.0,23.0,0.609,8.0,31.0,20.0,8.0,3.0,15.0,18.0,,25.0,55.0,0.455,12.0,29.0,0.414,14.0,18.0,0.778,5.0,21.0,16.0,4.0,1.0,12.0,18.0,11.0,1,10,81.5,0,1,0,-1,70.22222222222223,71.44444444444444,-0.009726893749458232,0.013069728098288713,0.4318888888888889,0.3857777777777778,70.83333333333333,0.49382716049382713,-1.2222222222222143,-0.017254901960784202,4.571428571428569,0.4044761904761904,0.06274509803921566,MEAC,-1.5714285714285714,-28.8,-11.0,81.5,89.42857142857143,67.14285714285714,78.28571428571429,-22.285714285714292,-0.28467153284671537,1,0,,2021-01-16,,Norfolk State,0,87.0,76.0,12.0,13.0,L,0.04392244640674975,-0.04036142280676397,8,4.081632653061225,-17.764705882352942,0.477,1,0.3727142857142857,0.47882352941176476,-0.2253731343283582,-3.7261904761904816,0.019813916100012974,0.023959433047296367,1.039601139601138,0.5271062271062265,-0.8180787466501727,3.8365079365079398,-1.7191402266983653,-3.7974614226769434,1.7139952307161634,-3.938397095191564,-2.539734964839325
