Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,result,Win,Game_Number,Mean_Score,Home,Away,Comb_Loc,Avg_Score,Opp_Avg_Score,Avg_Threes,Opp_Avg_Threes,Avg_FG_Pct,Opp_Avg_FG_Pct,Avg_Mean_Score,Home_Pct,Avg_Result,Pct_Margin,Avg_Result_Fin,Opp_Avg_FG_Pct_Fin,Pct_Margin_Fin,Conference,Avg_Result_NC,Avg_Result_NC2,result2,Mean_Score2,Opp_Avg_Score2,Avg_Score2,Avg_Mean_Score2,Avg_Result2,Pct_Margin2,Home2,Away2,Neutral2,Date2,Loc2,Opp_name2,Win2,Opp_score2,Score2,Threes2,Opp_Threes2,W2,Avg_Threes2,Opp_Avg_Threes2,Game_Number2,Home_Pct2,Avg_Result_Fin2,Opp_Avg_FG_Pct2,Comb_Loc2,Avg_FG_Pct2,Opp_Avg_FG_Pct_Fin2,Pct_Margin_Fin2,Scoring_Pace_Diff,Matchup_Comp,Opp_Matchup_Comp,SOS,SOS_NC,Opp_SOS,Opp_SOS_NC,Prev_SOS,SOS_Fin,SOS_All,SOS_All_Fin,Opp_Prev_SOS
2020-12-18,,Bowling Green State,L,65.0,85.0,24.0,51.0,0.471,4.0,17.0,0.235,13.0,21.0,0.619,7.0,30.0,13.0,5.0,2.0,14.0,19.0,,34.0,66.0,0.515,8.0,15.0,0.533,9.0,12.0,0.75,12.0,35.0,18.0,4.0,1.0,9.0,18.0,-20.0,0,1,75.0,1,0,1,,,,,,,,,,,-7.666666666666657,0.4755555555555555,-0.10087719298245601,Horizon,,-1.75,20.0,75.0,82.6,82.8,82.7,0.20000000000000284,0.002418379685610675,0,1,0.0,2020-12-18,@,Robert Morris,1,65.0,85.0,8.0,4.0,W,0.01256259441785057,0.020616073731462514,6,0.24000000000000005,2.3333333333333286,0.47520000000000007,-1,0.42139999999999994,0.4480000000000001,0.030319436924742767,,,,,,0.04999999999999716,-1.5000000000000036,,0.6874097593749499,,0.6343338758428291,-0.9570833333333321
2020-12-20,@,Marshall,L,71.0,85.0,28.0,69.0,0.406,9.0,17.0,0.529,6.0,8.0,0.75,13.0,34.0,13.0,15.0,6.0,23.0,13.0,,30.0,66.0,0.455,11.0,29.0,0.379,14.0,16.0,0.875,12.0,38.0,18.0,15.0,6.0,19.0,8.0,-14.0,0,2,78.0,0,1,-1,65.0,85.0,-0.12890897748850394,-0.03117142092741798,0.471,0.515,75.0,2.0,-20.0,-0.26666666666666666,-7.666666666666657,0.4755555555555555,-0.10087719298245601,Horizon,-20.0,9.4,14.0,78.0,71.0,80.4,75.7,9.400000000000006,0.12417437252311764,1,0,0.0,2020-12-20,,Robert Morris,1,71.0,85.0,11.0,9.0,W,-0.02247958598448563,0.016053102684843834,6,0.24000000000000005,7.36363636363636,0.39899999999999997,1,0.484,0.4355909090909091,0.09660107334525933,-0.3500000000000014,-0.04549053805596474,0.026471128366514475,3.5,3.5,2.7388888888888885,2.7388888888888885,-2.9222222222222207,0.6874097593749499,2.3333333333333286,0.6343338758428291,-2.752029100529099
2020-12-26,@,Purdue-Fort Wayne,W,102.0,88.0,39.0,65.0,0.6,13.0,24.0,0.542,11.0,18.0,0.611,9.0,23.0,23.0,4.0,2.0,12.0,25.0,,31.0,62.0,0.5,6.0,22.0,0.273,20.0,29.0,0.69,11.0,27.0,15.0,4.0,4.0,10.0,19.0,14.0,1,3,95.0,0,1,-1,68.0,85.0,-0.026759656221535644,0.021769755543170233,0.4385,0.485,76.5,0.0,-17.0,-0.2222222222222222,-7.666666666666657,0.4755555555555555,-0.10087719298245601,Horizon,-17.0,4.0,-14.0,95.0,71.66666666666667,69.33333333333333,70.5,-2.333333333333343,-0.03309692671394812,1,0,,2020-12-26,,Robert Morris,0,102.0,88.0,6.0,13.0,L,0.09032179174226529,-0.04840808303412114,4,4.0,-3.5217391304347814,0.4413333333333333,1,0.4666666666666666,0.4622608695652174,-0.04580152671755723,3.0,0.035991438708901785,0.04434279339926892,7.607142857142854,7.607142857142854,-12.741666666666665,-14.625,-2.250549450549452,0.6874097593749499,4.848484848484844,0.6343338758428291,5.5311904761904715
2020-12-27,@,Purdue-Fort Wayne,L,82.0,87.0,32.0,64.0,0.5,9.0,25.0,0.36,9.0,15.0,0.6,11.0,25.0,18.0,5.0,2.0,14.0,15.0,,34.0,53.0,0.642,11.0,17.0,0.647,8.0,13.0,0.615,7.0,31.0,21.0,7.0,1.0,21.0,14.0,-5.0,0,4,84.5,0,1,-1,79.33333333333333,86.0,0.014206730333086226,-0.022826687685283897,0.4923333333333333,0.49,82.66666666666667,0.4444444444444444,-6.666666666666671,-0.08064516129032263,-7.666666666666657,0.4755555555555555,-0.10087719298245601,Horizon,-17.0,4.0,5.0,84.5,79.25,74.0,76.625,-5.25,-0.06851549755301795,1,0,,2020-12-27,,Robert Morris,1,82.0,87.0,11.0,9.0,W,0.031070232490706007,-0.010685245384645659,5,5.0,-3.5217391304347814,0.481,1,0.475,0.4622608695652174,-0.04580152671755723,3.0208333333333357,-0.012320811650314076,-0.026631381739866716,3.3214285714285694,7.607142857142854,-8.73958333333334,-14.625,-2.530322128851542,0.6874097593749499,2.058410188844969,0.6343338758428291,3.6075810185185175
2021-01-01,,Milwaukee,W,67.0,64.0,24.0,60.0,0.4,4.0,14.0,0.286,15.0,20.0,0.75,16.0,46.0,7.0,7.0,4.0,15.0,18.0,,19.0,56.0,0.339,12.0,35.0,0.343,14.0,19.0,0.737,7.0,28.0,14.0,4.0,1.0,13.0,16.0,3.0,1,5,65.5,1,0,1,80.0,86.25,0.014600637896111435,-0.00048088384301897547,0.49424999999999997,0.528,83.125,1.25,-6.25,-0.07518796992481203,-7.666666666666657,0.4755555555555555,-0.10087719298245601,Horizon,-17.0,3.5,-3.0,65.5,66.5,72.0,69.25,5.5,0.07942238267148015,0,1,0.0,2021-01-01,@,Robert Morris,0,67.0,64.0,12.0,4.0,L,-0.06352436210388857,0.0812124800013746,5,5.0,-0.7272727272727195,0.43475,-1,0.44199999999999995,0.4549545454545454,-0.009580838323353191,6.9375,0.034434779121482136,0.005527009984959943,2.3642857142857103,7.9285714285714235,-10.180555555555557,-4.361111111111114,-3.190459656084657,0.6874097593749499,0.6633728590250314,0.6343338758428291,4.619540394019562
2021-01-15,@,UIC,L,53.0,67.0,18.0,60.0,0.3,1.0,14.0,0.071,16.0,23.0,0.696,11.0,36.0,11.0,4.0,2.0,11.0,18.0,,22.0,53.0,0.415,7.0,17.0,0.412,16.0,23.0,0.696,5.0,34.0,11.0,5.0,7.0,12.0,21.0,-14.0,0,6,60.0,0,1,-1,77.4,81.8,-0.011198780708539746,0.03855387750491335,0.47539999999999993,0.4902,79.6,0.24000000000000005,-4.3999999999999915,-0.05527638190954764,-7.666666666666657,0.4755555555555555,-0.10087719298245601,Horizon,-17.0,1.8,14.0,60.0,73.0,71.66666666666667,72.33333333333333,-1.3333333333333286,-0.018433179723502238,1,0,,2021-01-15,,Robert Morris,1,53.0,67.0,7.0,1.0,W,0.07717331231471608,-0.11717733014041826,10,0.12345679012345678,-4.636363636363626,0.43377777777777776,1,0.43233333333333335,0.4405454545454546,-0.06623376623376609,3.633333333333333,0.036224897850162516,0.054546589532527,5.400577200577203,8.19191919191919,-4.817031425364754,-3.150656565656564,-2.2504964171630815,0.6874097593749499,0.3852437417654812,0.6343338758428291,-0.5156960373458669
2021-01-16,@,UIC,L (1 OT),62.0,66.0,19.0,57.0,0.333,2.0,13.0,0.154,22.0,33.0,0.667,7.0,35.0,13.0,5.0,4.0,9.0,26.0,,22.0,55.0,0.4,4.0,19.0,0.211,18.0,34.0,0.529,7.0,38.0,11.0,3.0,3.0,12.0,26.0,-4.0,0,7,64.0,0,1,-1,73.33333333333333,79.33333333333333,-0.0407970893766158,0.033114293358296354,0.4461666666666666,0.4776666666666667,76.33333333333333,0.7777777777777777,-6.0,-0.07860262008733625,-7.666666666666657,0.4755555555555555,-0.10087719298245601,Horizon,-17.0,1.8,4.0,64.0,71.0,71.2,71.1,0.20000000000000284,0.0028129395218003217,1,0,,2021-01-16,,Robert Morris,1,62.0,66.0,4.0,2.0,W (1 OT),0.06990260418824623,-0.12760886914614208,11,0.44000000000000006,-4.636363636363626,0.4204,1,0.4306,0.4405454545454546,-0.06623376623376609,2.616666666666667,0.07215310415916995,0.048112112213022425,4.150000000000001,7.324999999999996,-4.382828282828281,-3.150656565656564,-2.1564353239353236,0.6874097593749499,-0.45169082125603666,0.6343338758428291,0.13669325105310054
2021-01-22,,Northern Kentucky,L,76.0,81.0,26.0,57.0,0.456,9.0,25.0,0.36,15.0,18.0,0.833,7.0,25.0,18.0,5.0,0.0,8.0,12.0,,32.0,55.0,0.582,9.0,23.0,0.391,8.0,14.0,0.571,6.0,29.0,16.0,3.0,1.0,12.0,12.0,-5.0,0,8,78.5,1,0,1,71.71428571428571,77.42857142857143,-0.06252834616763359,0.013043903578768223,0.43,0.4665714285714286,74.57142857142857,1.4693877551020407,-5.714285714285722,-0.07662835249042156,-7.666666666666657,0.4755555555555555,-0.10087719298245601,Horizon,-17.0,-4.4,5.0,78.5,70.46153846153847,68.0,69.23076923076923,-2.461538461538467,-0.03555555555555564,0,1,0.0,2021-01-22,@,Robert Morris,1,76.0,81.0,9.0,9.0,W,-0.02506282364235013,-0.018764536776377683,14,0.7455621301775149,0.12000000000000455,0.4544615384615385,-1,0.4338461538461539,0.45236000000000004,0.0016830294530154916,2.6703296703296715,0.034253692519619475,-0.018080847740150008,3.023088023088028,5.272727272727273,-1.7599910772987664,0.3387085137085137,-2.1171599181780185,0.6874097593749499,-1.0495012234142638,0.6343338758428291,-0.5966488330724581
2021-01-23,,Northern Kentucky,L (1 OT),74.0,79.0,25.0,56.0,0.446,8.0,17.0,0.471,16.0,26.0,0.615,9.0,29.0,16.0,7.0,0.0,12.0,15.0,,27.0,61.0,0.443,9.0,30.0,0.3,16.0,19.0,0.842,11.0,30.0,15.0,9.0,3.0,11.0,18.0,-5.0,0,9,76.5,1,0,1,72.25,77.875,-0.048818479750947386,0.013923470961922035,0.43324999999999997,0.481,75.0625,0.5625,-5.625,-0.0749375520399667,-7.666666666666657,0.4755555555555555,-0.10087719298245601,Horizon,-17.0,-4.4,5.0,76.5,70.85714285714286,68.92857142857143,69.89285714285714,-1.9285714285714306,-0.027593254982115515,0,1,0.0,2021-01-23,@,Robert Morris,1,74.0,79.0,9.0,8.0,W (1 OT),-0.021296382829277205,-0.014129200813566,15,0.3061224489795918,0.12000000000000455,0.4545714285714286,-1,0.44442857142857145,0.45236000000000004,0.0016830294530154916,2.5848214285714306,0.026263398557957823,-0.01721974354969946,1.861011904761904,5.541666666666664,-2.514661925376213,0.3387085137085137,-2.4528776212449688,0.6874097593749499,-0.9033135704874802,0.6343338758428291,-0.044793758144098916
2021-01-29,@,Wright State,L,70.0,79.0,29.0,65.0,0.446,10.0,25.0,0.4,2.0,2.0,1.0,7.0,32.0,13.0,3.0,3.0,10.0,18.0,,30.0,64.0,0.469,5.0,17.0,0.294,14.0,17.0,0.824,8.0,29.0,17.0,2.0,3.0,6.0,7.0,-9.0,0,10,74.5,0,1,-1,72.44444444444444,78.0,-0.04205196946585177,0.015535466955940491,0.43466666666666665,0.47677777777777774,75.22222222222223,0.12345679012345678,-5.555555555555557,-0.0738552437223043,-7.666666666666657,0.4755555555555555,-0.10087719298245601,Horizon,-17.0,8.666666666666666,9.0,74.5,65.26666666666667,81.66666666666667,73.46666666666667,16.400000000000006,0.2232304900181489,1,0,,2021-01-29,,Robert Morris,1,70.0,79.0,5.0,10.0,W,-0.041687627410010974,-0.046925792134532074,16,0.07111111111111111,14.541666666666657,0.3811333333333333,1,0.49006666666666665,0.40091666666666675,0.19470013947001383,0.87777777777778,0.04442208885230691,-0.025448708377829015,1.1248899248899198,5.6230769230769155,-4.261636609005029,3.9911421911421883,-2.599693235914867,0.6874097593749499,-0.7896120626555374,0.6343338758428291,0.5915047411070382
