Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,result,Win,Game_Number,Mean_Score,Home,Away,Neutral,Comb_Loc,Avg_Score,Opp_Avg_Score,Avg_Threes,Opp_Avg_Threes,Avg_FG_Pct,Opp_Avg_FG_Pct,Avg_Mean_Score,Home_Pct,Avg_Result,Pct_Margin,Avg_Result_Fin,Opp_Avg_FG_Pct_Fin,Pct_Margin_Fin,Conference,Avg_Result_NC,Avg_Result_NC2,result2,Mean_Score2,Opp_Avg_Score2,Avg_Score2,Avg_Mean_Score2,Avg_Result2,Pct_Margin2,Home2,Away2,Neutral2,Date2,Loc2,Opp_name2,Win2,Opp_score2,Score2,Threes2,Opp_Threes2,W2,Avg_Threes2,Opp_Avg_Threes2,Game_Number2,Home_Pct2,Avg_Result_Fin2,Opp_Avg_FG_Pct2,Comb_Loc2,Avg_FG_Pct2,Opp_Avg_FG_Pct_Fin2,Pct_Margin_Fin2,Scoring_Pace_Diff,Matchup_Comp,Opp_Matchup_Comp,SOS,SOS_NC,Opp_SOS,Opp_SOS_NC,Prev_SOS,SOS_Fin,SOS_All,SOS_All_Fin,Opp_Prev_SOS
2020-11-25,,Florida Atlantic,W,68.0,66.0,23.0,41.0,0.561,8.0,15.0,0.533,14.0,20.0,0.7,3.0,29.0,7.0,8.0,2.0,16.0,11.0,,23.0,61.0,0.377,13.0,36.0,0.361,7.0,10.0,0.7,11.0,28.0,13.0,10.0,3.0,12.0,18.0,2.0,1,1,67.0,1,0,0,1,,,,,,,,,,,-0.1666666666666572,0.4149166666666666,-0.0023350846468183145,Sun Belt,,,-2.0,67.0,,,,,,0,1,0.0,2020-11-25,@,South Alabama,0,68.0,66.0,13.0,8.0,L,,,1,,2.89473684210526,,-1,,0.4348421052631579,0.0410907732536421,,,,,,,,,-0.3316184753013381,,-0.2659835053606786,
2020-11-29,,Jacksonville State,L,73.0,77.0,28.0,56.0,0.5,8.0,17.0,0.471,9.0,17.0,0.529,6.0,24.0,11.0,6.0,0.0,8.0,15.0,,27.0,58.0,0.466,15.0,37.0,0.405,8.0,11.0,0.727,13.0,40.0,19.0,4.0,3.0,15.0,16.0,-4.0,0,2,75.0,1,0,0,1,68.0,66.0,0.03941681436669969,0.2773847288052024,0.561,0.377,67.0,2.0,2.0,0.029850746268656716,-0.1666666666666572,0.4149166666666666,-0.0023350846468183145,Sun Belt,2.0,-7.0,4.0,75.0,65.5,58.5,62.0,-7.0,-0.11290322580645161,0,1,0.0,2020-11-29,@,South Alabama,1,73.0,77.0,15.0,8.0,W,0.07109102251149607,-0.061615965157323704,3,0.75,3.0400000000000063,0.35850000000000004,-1,0.3415,0.4160000000000001,0.04274465691788535,2.5,-0.04928189384176774,0.1404263650453001,-6.0,-6.0,9.0,9.0,-2.5,-0.3316184753013381,2.89473684210526,-0.2659835053606786,-4.75
2020-12-04,@,Auburn,L,81.0,90.0,30.0,58.0,0.517,7.0,23.0,0.304,14.0,18.0,0.778,4.0,20.0,9.0,12.0,1.0,11.0,18.0,,30.0,54.0,0.556,22.0,41.0,0.537,8.0,14.0,0.571,8.0,32.0,24.0,6.0,4.0,17.0,15.0,-9.0,0,3,85.5,0,1,0,-1,70.5,71.5,0.026901169811005043,0.27388822530869883,0.5305,0.4215,71.0,3.0,-1.0,-0.014084507042253521,-0.1666666666666572,0.4149166666666666,-0.0023350846468183145,Sun Belt,-1.0,-8.666666666666666,9.0,85.5,81.33333333333333,72.66666666666667,77.0,-8.666666666666657,-0.11255411255411243,1,0,0.0,2020-12-04,,South Alabama,1,81.0,90.0,22.0,7.0,W,0.05803527092363436,-0.006147312923560688,4,0.4444444444444444,0.7407407407407476,0.44300000000000006,1,0.37399999999999994,0.4360370370370371,0.009643201542912337,-3.0,-0.01285962319969337,0.1260760776617981,-4.666666666666664,-4.666666666666664,2.6111111111111094,2.6111111111111094,-0.5166666666666657,-0.3316184753013381,2.967368421052633,-0.2659835053606786,-3.5092592592592546
2020-12-12,@,Southern Miss,W,76.0,75.0,26.0,48.0,0.542,10.0,23.0,0.435,14.0,19.0,0.737,3.0,21.0,10.0,7.0,0.0,13.0,15.0,,27.0,53.0,0.509,15.0,34.0,0.441,6.0,9.0,0.667,6.0,27.0,21.0,4.0,2.0,17.0,17.0,1.0,1,4,75.5,0,1,0,-1,74.0,77.66666666666667,-0.002713551293077765,0.3302524619304461,0.5259999999999999,0.4663333333333333,75.83333333333333,0.4444444444444444,-3.6666666666666714,-0.048351648351648416,-0.1666666666666572,0.4149166666666666,-0.0023350846468183145,Sun Belt,-3.6666666666666665,-17.5,-1.0,75.5,62.0,44.5,53.25,-17.5,-0.3286384976525822,1,0,0.0,2020-12-12,,South Alabama,0,76.0,75.0,15.0,10.0,L,-0.043861440755573966,0.0009917669283694974,3,3.0,-4.782608695652165,0.392,1,0.27649999999999997,0.4298260869565218,-0.0730411686586984,11.291666666666664,-0.0016404909115593455,-0.12035509458824213,-3.694444444444443,-3.694444444444443,5.166666666666668,5.166666666666668,-1.8538961038961062,-0.3316184753013381,2.225159194282005,-0.2659835053606786,-8.554444444444446
2020-12-19,@,Alabama A&M,L (2 OT),90.0,93.0,29.0,70.0,0.414,4.0,25.0,0.16,28.0,41.0,0.683,11.0,37.0,9.0,14.0,2.0,15.0,23.0,,32.0,68.0,0.471,9.0,32.0,0.281,20.0,27.0,0.741,11.0,41.0,19.0,8.0,3.0,21.0,27.0,-3.0,0,5,91.5,0,1,0,-1,74.5,77.0,0.018690402996782596,0.3195925210129945,0.53,0.477,75.75,0.0,-2.5,-0.033003300330033,-0.1666666666666572,0.4149166666666666,-0.0023350846468183145,Sun Belt,-2.5,2.0,3.0,91.5,76.0,78.0,77.0,2.0,0.025974025974025976,1,0,,2020-12-19,,South Alabama,1,90.0,93.0,9.0,4.0,W (2 OT),-0.08275513133465778,-0.11615594105125698,2,2.0,-3.866666666666667,0.414,1,0.534,0.3946666666666667,-0.059244126659857003,-0.625,-0.046594005501979716,-0.16262816807061664,-2.458333333333332,-2.458333333333332,-0.25,-0.25,-3.8791666666666664,-0.3316184753013381,0.47321722179846226,-0.2659835053606786,4.261904761904761
2021-01-01,@,Georgia Southern,W,88.0,59.0,28.0,49.0,0.571,10.0,19.0,0.526,22.0,28.0,0.786,9.0,35.0,13.0,5.0,1.0,15.0,12.0,,21.0,52.0,0.404,10.0,37.0,0.27,7.0,15.0,0.467,5.0,14.0,12.0,10.0,2.0,13.0,20.0,29.0,1,6,73.5,0,1,0,-1,77.6,80.2,-0.027441887877084403,0.2400915979958621,0.5068,0.4758,78.9,0.24000000000000005,-2.6000000000000085,-0.03295310519645131,-0.1666666666666572,0.4149166666666666,-0.0023350846468183145,Sun Belt,-2.6,-8.0,-29.0,73.5,79.0,71.0,75.0,-8.0,-0.10666666666666667,1,0,0.0,2021-01-01,,South Alabama,0,88.0,59.0,10.0,10.0,L,-0.16141168604755052,0.17255158726320013,6,2.16,-3.9545454545454533,0.4936,1,0.4166,0.44168181818181823,-0.05782652043868393,1.9500000000000028,-0.06881236306572885,-0.19685931432970807,0.4039682539682502,0.4039682539682502,-0.006666666666666288,-0.006666666666666288,-3.2394620811287504,-0.3316184753013381,-0.39475955589456363,-0.2659835053606786,0.2799761904761901
2021-01-02,@,Georgia Southern,L,49.0,62.0,18.0,53.0,0.34,6.0,19.0,0.316,7.0,7.0,1.0,9.0,31.0,4.0,3.0,3.0,18.0,17.0,,23.0,57.0,0.404,6.0,28.0,0.214,10.0,17.0,0.588,14.0,37.0,10.0,10.0,7.0,13.0,12.0,-13.0,0,7,55.5,0,1,0,-1,79.33333333333333,76.66666666666667,-0.01730587470893058,0.23430172485263312,0.5175000000000001,0.4638333333333333,78.0,0.7777777777777777,2.666666666666657,0.03418803418803407,-0.1666666666666572,0.4149166666666666,-0.0023350846468183145,Sun Belt,-2.6,-8.0,13.0,55.5,80.5,69.0,74.75,-11.5,-0.15384615384615385,1,0,0.0,2021-01-02,,South Alabama,1,49.0,62.0,6.0,6.0,W,-0.11062581137925087,0.146102967088658,7,0.7777777777777777,-3.9545454545454533,0.5065,1,0.41450000000000004,0.44168181818181823,-0.05782652043868393,1.625,-0.050283592185118624,-0.160996330453152,-1.2466931216931247,0.8039682539682502,0.6722222222222195,0.273333333333332,-1.5854225023342694,-0.3316184753013381,-0.9880572056697119,-0.2659835053606786,-0.5136353615520285
2021-01-08,@,Coastal Carolina,L,65.0,78.0,24.0,67.0,0.358,11.0,32.0,0.344,6.0,8.0,0.75,12.0,30.0,13.0,5.0,4.0,11.0,17.0,,26.0,65.0,0.4,12.0,32.0,0.375,14.0,15.0,0.933,14.0,43.0,17.0,8.0,2.0,13.0,13.0,-13.0,0,8,71.5,0,1,0,-1,75.0,74.57142857142857,-0.010667219246745685,0.2037170172064563,0.49214285714285716,0.45528571428571424,74.78571428571429,1.4693877551020407,0.4285714285714306,0.005730659025787992,-0.1666666666666572,0.4149166666666666,-0.0023350846468183145,Sun Belt,-2.6,7.333333333333333,13.0,71.5,74.2,79.4,76.8,5.200000000000003,0.06770833333333337,1,0,0.0,2021-01-08,,South Alabama,1,65.0,78.0,12.0,11.0,W,-0.033927384773913716,0.03418453277481759,6,2.16,6.0,0.42299999999999993,1,0.45120000000000005,0.3881052631578948,0.0838235294117647,-1.0071428571428527,-0.019095913331300573,-0.08313594666422848,-2.505241187384045,-0.3073376623376632,-5.2857142857142865,-10.42857142857143,-0.906855024408215,-0.3316184753013381,-1.4118412412233892,-0.2659835053606786,1.5064115646258525
2021-01-09,@,Coastal Carolina,L,69.0,83.0,23.0,52.0,0.442,9.0,22.0,0.409,14.0,22.0,0.636,5.0,23.0,9.0,8.0,2.0,13.0,16.0,,29.0,63.0,0.46,16.0,37.0,0.432,9.0,9.0,1.0,15.0,40.0,18.0,6.0,6.0,14.0,19.0,-14.0,0,9,76.0,0,1,0,-1,73.75,75.0,0.011899366709670733,0.19647563789611144,0.47537500000000005,0.44837499999999997,74.375,2.25,-1.25,-0.01680672268907563,-0.1666666666666572,0.4149166666666666,-0.0023350846468183145,Sun Belt,-2.6,7.333333333333333,14.0,76.0,72.66666666666667,79.16666666666667,75.91666666666667,6.5,0.08562019758507135,1,0,0.0,2021-01-09,,South Alabama,1,69.0,83.0,16.0,9.0,W,-0.004050677893362276,0.05803527092363436,7,3.1111111111111107,6.0,0.4121666666666666,1,0.4426666666666667,0.3881052631578948,0.0838235294117647,-0.7708333333333357,0.026278945390091603,-0.02821098231203639,-1.3172348484848495,-0.4575757575757592,-4.613095238095238,-10.42857142857143,-1.0324105718842553,-0.3316184753013381,-0.4853610860704656,-0.2659835053606786,1.278859384662957
2021-01-15,,Appalachian State,W,73.0,64.0,25.0,52.0,0.481,10.0,20.0,0.5,13.0,17.0,0.765,9.0,37.0,8.0,6.0,6.0,14.0,17.0,,25.0,65.0,0.385,8.0,32.0,0.25,6.0,9.0,0.667,10.0,29.0,17.0,5.0,1.0,10.0,15.0,9.0,1,10,68.5,1,0,0,1,73.22222222222223,75.88888888888889,0.018797337440876194,0.20477724843783907,0.4716666666666667,0.44966666666666666,74.55555555555556,3.08641975308642,-2.666666666666657,-0.03576751117734712,-0.1666666666666572,0.4149166666666666,-0.0023350846468183145,Sun Belt,-2.6,-6.6,-9.0,68.5,67.11111111111111,66.44444444444444,66.77777777777777,-0.6666666666666714,-0.00998336106489192,0,1,0.0,2021-01-15,@,South Alabama,0,73.0,64.0,8.0,10.0,L,0.027612761641930827,0.04905841935306504,10,0.12345679012345678,-0.0833333333333286,0.4547777777777778,-1,0.427,0.44295833333333334,-0.001221747098350572,3.888888888888893,0.03036721361757734,0.07519617909710906,-0.10262176095509624,-0.3244017094017096,-3.2375032375032364,2.3058275058275113,-1.311080998580997,-0.3316184753013381,0.23523459015958614,-0.2659835053606786,0.5005298331988322
