Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,result,Win,Game_Number,Mean_Score,Home,Away,Neutral,Comb_Loc,Avg_Score,Opp_Avg_Score,Avg_Threes,Opp_Avg_Threes,Avg_FG_Pct,Opp_Avg_FG_Pct,Avg_Mean_Score,Home_Pct,Avg_Result,Pct_Margin,Avg_Result_Fin,Opp_Avg_FG_Pct_Fin,Pct_Margin_Fin,Conference,Avg_Result_NC,Avg_Result_NC2,result2,Mean_Score2,Opp_Avg_Score2,Avg_Score2,Avg_Mean_Score2,Avg_Result2,Pct_Margin2,Home2,Away2,Neutral2,Date2,Loc2,Opp_name2,Win2,Opp_score2,Score2,Threes2,Opp_Threes2,W2,Avg_Threes2,Opp_Avg_Threes2,Game_Number2,Home_Pct2,Avg_Result_Fin2,Opp_Avg_FG_Pct2,Comb_Loc2,Avg_FG_Pct2,Opp_Avg_FG_Pct_Fin2,Pct_Margin_Fin2,Scoring_Pace_Diff,Matchup_Comp,Opp_Matchup_Comp,SOS,SOS_NC,Opp_SOS,Opp_SOS_NC,Prev_SOS,SOS_Fin,SOS_All,SOS_All_Fin,Opp_Prev_SOS
2020-12-02,@,Southeast Missouri State,W (1 OT),87.0,79.0,25.0,58.0,0.431,9.0,21.0,0.429,28.0,35.0,0.8,3.0,29.0,13.0,5.0,7.0,9.0,18.0,,31.0,74.0,0.419,6.0,19.0,0.316,11.0,21.0,0.524,14.0,45.0,21.0,6.0,7.0,13.0,28.0,8.0,1,1,83.0,0,1,0,-1,,,,,,,,,,,-4.280000000000001,0.4618,-0.06463304137722745,MVC,,5.0,-8.0,83.0,66.0,71.0,68.5,5.0,0.072992700729927,1,0,0,2020-12-02,,Southern Illinois,0,87.0,79.0,6.0,9.0,L (1 OT),0.10901084916371706,-0.13170618028570674,2,0.0,-2.6666666666666714,0.462,1,0.488,0.45522222222222225,-0.037894736842105335,,,,,,-4.5,-4.5,,0.34752292996857914,,0.12291778337068109,-1.4999999999999964
2020-12-11,,Murray State,W,70.0,66.0,20.0,43.0,0.465,9.0,19.0,0.474,21.0,26.0,0.808,1.0,25.0,14.0,5.0,2.0,18.0,11.0,,26.0,61.0,0.426,8.0,23.0,0.348,6.0,7.0,0.857,10.0,35.0,17.0,8.0,2.0,18.0,21.0,4.0,1,2,68.0,1,0,0,1,87.0,79.0,-0.003179534517681659,-0.08567626083806579,0.431,0.419,83.0,2.0,8.0,0.0963855421686747,-4.280000000000001,0.4618,-0.06463304137722745,MVC,8.0,-3.0,-4.0,68.0,66.66666666666667,74.66666666666667,70.66666666666667,8.0,0.11320754716981131,0,1,0,2020-12-11,@,Southern Illinois,0,70.0,66.0,8.0,9.0,L,-0.045667219246745716,-0.013524362103888576,4,0.4444444444444444,5.333333333333343,0.418,-1,0.49766666666666665,0.43533333333333335,0.07715491259795071,6.166666666666664,0.006557528203442169,0.06255075209726357,-1.0,-1.0,-6.361111111111114,-5.666666666666671,-5.000000000000002,0.34752292996857914,-2.6666666666666714,0.12291778337068109,2.4638888888888864
2020-12-17,,North Dakota,W,85.0,64.0,31.0,55.0,0.564,10.0,16.0,0.625,13.0,19.0,0.684,7.0,31.0,19.0,11.0,2.0,11.0,11.0,,23.0,55.0,0.418,11.0,31.0,0.355,7.0,9.0,0.778,5.0,23.0,19.0,6.0,1.0,17.0,15.0,21.0,1,3,74.5,1,0,0,1,78.5,72.5,0.030424682482098675,-0.023869189690095438,0.448,0.4225,75.5,0.0,6.0,0.07947019867549669,-4.280000000000001,0.4618,-0.06463304137722745,MVC,6.0,-8.0,-21.0,74.5,71.5,66.0,68.75,-5.5,-0.08,0,1,0,2020-12-17,@,Southern Illinois,0,85.0,64.0,11.0,10.0,L,-0.010494059073585527,-0.10373415231367877,7,1.75,-7.0,0.4665000000000001,-1,0.42949999999999994,0.47223076923076934,-0.09691160809371673,3.375,-0.05617898759049809,0.015826708016719083,1.7999999999999972,1.7999999999999972,-1.3740079365079378,1.3809523809523796,-4.294444444444443,0.34752292996857914,1.3333333333333357,0.12291778337068109,-1.2040521069538932
2020-12-18,,North Dakota,W,62.0,50.0,23.0,52.0,0.442,6.0,22.0,0.273,10.0,11.0,0.909,5.0,37.0,16.0,7.0,5.0,16.0,18.0,,19.0,52.0,0.365,6.0,22.0,0.273,6.0,15.0,0.4,6.0,30.0,14.0,9.0,0.0,13.0,12.0,12.0,1,4,56.0,1,0,0,1,80.66666666666667,69.66666666666667,0.033583075912640314,0.045327312537259745,0.48666666666666664,0.421,75.16666666666667,0.4444444444444444,11.0,0.14634146341463414,-4.280000000000001,0.4618,-0.06463304137722745,MVC,11.0,-11.25,-12.0,56.0,73.42857142857143,65.71428571428571,69.57142857142857,-7.714285714285722,-0.11088295687885022,0,1,0,2020-12-18,@,Southern Illinois,0,62.0,50.0,6.0,6.0,L,0.01908433354828537,-0.08006132708443334,8,2.6122448979591835,-7.0,0.4804285714285715,-1,0.4278571428571428,0.47223076923076934,-0.09691160809371673,2.797619047619051,-0.05185273016093995,0.029411588724658214,-1.371428571428576,-1.371428571428576,-0.034863945578232504,3.0357142857142847,-1.8058779761904762,0.34752292996857914,-1.4444444444444429,0.12291778337068109,-0.9183602607709779
2020-12-21,@,Butler,W,76.0,73.0,29.0,53.0,0.547,9.0,19.0,0.474,9.0,14.0,0.643,1.0,20.0,13.0,7.0,1.0,10.0,19.0,,26.0,57.0,0.456,8.0,22.0,0.364,13.0,17.0,0.765,10.0,32.0,17.0,5.0,5.0,12.0,17.0,3.0,1,5,74.5,0,1,0,-1,76.0,64.75,0.022001953685585107,0.04554899696947051,0.4755,0.407,70.375,1.25,11.25,0.15985790408525755,-4.280000000000001,0.4618,-0.06463304137722745,MVC,11.25,-2.0,-3.0,74.5,71.66666666666667,64.0,67.83333333333333,-7.666666666666671,-0.1130221130221131,1,0,0,2020-12-21,,Southern Illinois,0,76.0,73.0,8.0,9.0,L,0.014600637896111435,0.04926633557053001,4,0.0,-5.160000000000004,0.49733333333333335,1,0.4286666666666667,0.4696,-0.07806354009077163,1.2708333333333357,0.03292348149089484,0.025788454999908703,-3.25,-3.25,6.595238095238098,3.642857142857146,-0.38095238095238126,0.34752292996857914,-2.833333333333332,0.12291778337068109,-1.5978571428571424
2020-12-27,,Evansville,W,63.0,57.0,20.0,48.0,0.417,2.0,13.0,0.154,21.0,29.0,0.724,4.0,30.0,8.0,5.0,1.0,9.0,18.0,,19.0,49.0,0.388,10.0,29.0,0.345,9.0,14.0,0.643,6.0,29.0,13.0,5.0,5.0,11.0,23.0,6.0,1,6,60.0,1,0,0,1,76.0,66.4,0.025949322106637696,0.03888527645032824,0.48979999999999996,0.4168,71.2,0.24000000000000005,9.599999999999994,0.13483146067415722,-4.280000000000001,0.4618,-0.06463304137722745,MVC,9.6,-7.833333333333333,-6.0,60.0,72.66666666666667,64.83333333333333,68.75,-7.833333333333343,-0.11393939393939408,0,1,0,2020-12-27,@,Southern Illinois,0,63.0,57.0,10.0,2.0,L,0.11835224457991611,-0.010772068525906953,7,0.19444444444444442,-4.839999999999989,0.482,-1,0.39316666666666666,0.5161199999999999,-0.072045251562965,1.2250000000000014,-0.016719087174051503,0.06783921984373714,-4.9885714285714275,-4.9885714285714275,-2.1488095238095255,-2.1488095238095255,1.038775510204081,0.34752292996857914,-3.2986666666666666,0.12291778337068109,-2.5821523053665927
2020-12-28,,Evansville,L,72.0,84.0,26.0,53.0,0.491,10.0,22.0,0.455,10.0,14.0,0.714,3.0,18.0,17.0,6.0,3.0,9.0,18.0,,26.0,47.0,0.553,17.0,29.0,0.586,15.0,17.0,0.882,3.0,27.0,17.0,4.0,3.0,12.0,13.0,-12.0,0,7,78.0,1,0,0,1,73.83333333333333,64.83333333333333,-0.008783955783346786,0.0643676687444405,0.47766666666666663,0.412,69.33333333333333,0.7777777777777777,9.0,0.12980769230769232,-4.280000000000001,0.4618,-0.06463304137722745,MVC,9.6,-7.833333333333333,12.0,78.0,71.28571428571429,63.714285714285715,67.5,-7.5714285714285765,-0.11216931216931224,0,1,0,2020-12-28,@,Southern Illinois,1,72.0,84.0,17.0,10.0,W,0.13042182623691861,-0.03697125589146372,8,0.0,-4.839999999999989,0.4727142857142857,-1,0.3924285714285714,0.5161199999999999,-0.072045251562965,0.9166666666666643,0.018020928860783415,0.09162395379082348,-5.4190476190476184,-4.9885714285714275,-0.5561224489795933,-2.1488095238095255,0.4727324263038549,0.34752292996857914,-3.5555555555555536,0.12291778337068109,-3.0096655328798194
2021-01-03,@,Drake,L,55.0,73.0,20.0,49.0,0.408,6.0,14.0,0.429,9.0,12.0,0.75,3.0,25.0,8.0,3.0,3.0,12.0,7.0,,28.0,55.0,0.509,9.0,20.0,0.45,8.0,10.0,0.8,3.0,28.0,12.0,8.0,4.0,7.0,12.0,-18.0,0,8,64.0,0,1,0,-1,73.57142857142857,67.57142857142857,0.00686398741067451,0.10508028905890215,0.47957142857142854,0.4321428571428571,70.57142857142857,1.4693877551020407,6.0,0.08502024291497975,-4.280000000000001,0.4618,-0.06463304137722745,MVC,9.6,24.285714285714285,18.0,64.0,61.111111111111114,82.77777777777777,71.94444444444444,21.666666666666657,0.30115830115830106,1,0,0,2021-01-03,,Southern Illinois,1,55.0,73.0,9.0,6.0,W,-0.023591476197848293,-0.057160725740252216,10,0.0,11.18518518518519,0.40099999999999997,1,0.5188888888888888,0.4303333333333332,0.15836392239119043,-0.6865079365079367,-0.01980783940428914,-0.04978954848355334,-5.059410430839002,-5.4387301587301575,-10.356184864518196,-11.2742784992785,-0.740126085208053,0.34752292996857914,-3.7390476190476156,0.12291778337068109,4.88345127865961
2021-01-04,@,Drake,L,55.0,86.0,19.0,52.0,0.365,7.0,25.0,0.28,10.0,15.0,0.667,7.0,17.0,10.0,8.0,0.0,14.0,12.0,,34.0,57.0,0.596,9.0,15.0,0.6,9.0,10.0,0.9,12.0,37.0,13.0,8.0,5.0,17.0,14.0,-31.0,0,9,70.5,0,1,0,-1,71.25,68.25,0.007528269475058802,0.0985635499840235,0.47062499999999996,0.44175,69.75,0.5625,3.0,0.043010752688172046,-4.280000000000001,0.4618,-0.06463304137722745,MVC,9.6,24.285714285714285,31.0,70.5,60.5,81.8,71.15,21.299999999999997,0.2993675333801826,1,0,0,2021-01-04,,Southern Illinois,1,55.0,86.0,9.0,7.0,W,-0.016458347433961962,-0.05071444474851666,11,0.11000000000000001,11.18518518518519,0.40169999999999995,1,0.5179,0.4303333333333332,0.15836392239119043,-0.7000000000000028,-0.01953949862060985,-0.0402764590047553,-1.8480699855699836,-5.976911976911976,-8.488156565656563,-10.62593795093795,-2.161050024050024,0.34752292996857914,-1.873518518518515,0.12291778337068109,3.6178747294372293
2021-01-25,@,Indiana State,L,66.0,69.0,27.0,55.0,0.491,8.0,22.0,0.364,4.0,6.0,0.667,6.0,22.0,13.0,9.0,1.0,14.0,19.0,,25.0,50.0,0.5,5.0,16.0,0.313,14.0,17.0,0.824,9.0,33.0,13.0,6.0,2.0,15.0,14.0,-3.0,0,10,67.5,0,1,0,-1,69.44444444444444,70.22222222222223,0.012875637896111403,0.08520981511130127,0.4588888888888889,0.4588888888888889,69.83333333333333,0.12345679012345678,-0.7777777777777857,-0.01113762927605421,-4.280000000000001,0.4618,-0.06463304137722745,MVC,9.6,-3.75,3.0,67.5,70.91666666666667,67.16666666666667,69.04166666666667,-3.75,-0.05431502715751357,1,0,0,2021-01-25,,Southern Illinois,1,66.0,69.0,5.0,8.0,W,-0.04181220329495561,-0.03502847491234923,13,0.0,0.125,0.46875,1,0.4191666666666667,0.45225,0.0018981335020563112,0.3958333333333286,-0.021237089231446744,-0.05968927970883305,0.9469060351413303,-5.254010695187164,8.619218404144878,4.773614253393671,-1.9425351745204689,0.34752292996857914,-0.42255144032921443,0.12291778337068109,-3.8012885667625294
