Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,result,Win,Game_Number,Mean_Score,Home,Away,Neutral,Comb_Loc,Avg_Score,Opp_Avg_Score,Avg_Threes,Opp_Avg_Threes,Avg_FG_Pct,Opp_Avg_FG_Pct,Avg_Mean_Score,Home_Pct,Avg_Result,Pct_Margin,Avg_Result_Fin,Opp_Avg_FG_Pct_Fin,Pct_Margin_Fin,Conference,Avg_Result_NC,Avg_Result_NC2,result2,Mean_Score2,Opp_Avg_Score2,Avg_Score2,Avg_Mean_Score2,Avg_Result2,Pct_Margin2,Home2,Away2,Neutral2,Date2,Loc2,Opp_name2,Win2,Opp_score2,Score2,Threes2,Opp_Threes2,W2,Avg_Threes2,Opp_Avg_Threes2,Game_Number2,Home_Pct2,Avg_Result_Fin2,Opp_Avg_FG_Pct2,Comb_Loc2,Avg_FG_Pct2,Opp_Avg_FG_Pct_Fin2,Pct_Margin_Fin2,Scoring_Pace_Diff,Matchup_Comp,Opp_Matchup_Comp,SOS,SOS_NC,Opp_SOS,Opp_SOS_NC,Prev_SOS,SOS_Fin,SOS_All,SOS_All_Fin,Opp_Prev_SOS
2020-11-25,N,Bradley,L,59.0,61.0,22.0,66.0,0.333,11.0,29.0,0.379,4.0,8.0,0.5,12.0,35.0,12.0,6.0,2.0,7.0,11.0,,24.0,59.0,0.407,5.0,21.0,0.238,8.0,10.0,0.8,12.0,42.0,12.0,1.0,6.0,15.0,14.0,-2.0,0,1,60.0,0,0,1,0,,,,,,,,,,,8.466666666666654,0.4262666666666666,0.11014744145706837,MAC,,,2.0,60.0,,,,,,0,0,1.0,2020-11-25,N,Toledo,1,59.0,61.0,5.0,11.0,W,,,1,,-0.8461538461538538,,0,,0.43073076923076914,-0.01250710631040375,,,,,,,,,-1.0066895603410246,,-1.0066895603410246,
2020-11-26,N,Oakland,W,80.0,53.0,28.0,62.0,0.452,16.0,34.0,0.471,8.0,10.0,0.8,15.0,42.0,25.0,8.0,3.0,16.0,21.0,,16.0,51.0,0.314,2.0,23.0,0.087,19.0,28.0,0.679,11.0,28.0,5.0,8.0,1.0,15.0,15.0,27.0,1,2,66.5,0,0,1,0,59.0,61.0,0.24579767179441647,-0.06762272275962627,0.333,0.407,60.0,0.0,-2.0,-0.03333333333333333,8.466666666666654,0.4262666666666666,0.11014744145706837,MAC,-2.0,-52.0,-27.0,66.5,101.0,49.0,75.0,-52.0,-0.6933333333333334,0,0,1.0,2020-11-26,N,Toledo,0,80.0,53.0,2.0,16.0,L,0.11504706646753998,0.07261425175749758,2,2.0,-6.533333333333331,0.606,0,0.232,0.47653333333333336,-0.08383233532934128,-7.5,0.13359795665011692,-0.08820315119111534,2.0,2.0,52.0,52.0,-2.0,-1.0066895603410246,-0.8461538461538538,-1.0066895603410246,-52.0
2020-11-27,@,Xavier,L,73.0,76.0,22.0,57.0,0.386,10.0,19.0,0.526,19.0,24.0,0.792,5.0,34.0,13.0,3.0,1.0,13.0,19.0,,28.0,65.0,0.431,6.0,22.0,0.273,14.0,19.0,0.737,10.0,38.0,16.0,11.0,6.0,7.0,18.0,-3.0,0,3,74.5,0,1,0,-1,69.5,57.0,0.26920945084575176,-0.1293138357880991,0.3925,0.3605,63.25,0.0,12.5,0.1976284584980237,8.466666666666654,0.4262666666666666,0.11014744145706837,MAC,12.5,26.5,3.0,74.5,49.5,76.0,62.75,26.5,0.42231075697211157,1,0,0.0,2020-11-27,,Toledo,1,73.0,76.0,6.0,10.0,W,0.04173879579084827,0.08041503183550536,3,3.0,4.61904761904762,0.28250000000000003,1,0.47250000000000003,0.4172380952380952,0.06371100164203615,0.25,0.14713424672787787,-0.07346702515340303,-19.5,-19.5,-19.5,-19.5,19.5,-1.0066895603410246,-3.6897435897435926,-1.0066895603410246,19.5
2020-12-01,,Cleveland State,W,70.0,61.0,21.0,59.0,0.356,8.0,24.0,0.333,20.0,25.0,0.8,9.0,34.0,15.0,10.0,1.0,8.0,8.0,,26.0,63.0,0.413,7.0,24.0,0.292,2.0,5.0,0.4,13.0,42.0,12.0,3.0,5.0,16.0,22.0,9.0,1,4,65.5,1,0,0,1,70.66666666666667,63.333333333333336,0.21006054355648873,-0.10826120420915172,0.39033333333333337,0.38399999999999995,67.0,0.4444444444444444,7.333333333333336,0.10945273631840799,8.466666666666654,0.4262666666666666,0.11014744145706837,MAC,7.333333333333333,,-9.0,65.5,,,,,,0,1,0.0,2020-12-01,@,Toledo,0,70.0,61.0,7.0,8.0,L,,,1,,0.8846153846153868,,-1,,0.4250384615384616,0.012455997833739537,,,,-2.0,-2.0,,,2.6060606060606073,-1.0066895603410246,-0.9201465201465217,-1.0066895603410246,
2020-12-04,@,Eastern Michigan,W,91.0,74.0,31.0,61.0,0.508,11.0,31.0,0.355,18.0,25.0,0.72,12.0,33.0,19.0,4.0,1.0,10.0,14.0,,27.0,64.0,0.422,9.0,31.0,0.29,11.0,15.0,0.733,13.0,33.0,13.0,7.0,3.0,14.0,22.0,17.0,1,5,82.5,0,1,0,-1,70.5,62.75,0.1651990421514306,-0.07448053740269334,0.38175000000000003,0.39125,66.625,0.0,7.75,0.11632270168855535,8.466666666666654,0.4262666666666666,0.11014744145706837,MAC,7.75,-16.0,-17.0,82.5,83.0,67.0,75.0,-16.0,-0.21333333333333335,1,0,,2020-12-04,,Toledo,0,91.0,74.0,9.0,11.0,L,-0.13441988449194828,0.12021057765514759,2,2.0,-13.0,0.545,1,0.406,0.5011333333333333,-0.17591339648173207,-4.1875,0.14092080146344807,0.10005830917304306,-3.799999999999999,-3.799999999999999,10.666666666666657,10.666666666666657,2.691666666666667,-1.0066895603410246,-0.4689560439560445,-1.0066895603410246,-8.0
2020-12-09,@,Michigan,L,71.0,91.0,26.0,64.0,0.406,9.0,24.0,0.375,10.0,12.0,0.833,9.0,26.0,12.0,4.0,1.0,13.0,19.0,,34.0,59.0,0.576,9.0,16.0,0.563,14.0,18.0,0.778,8.0,32.0,20.0,7.0,9.0,8.0,13.0,-20.0,0,6,81.0,0,1,0,-1,74.6,65.0,0.13687778266822936,-0.04583205441158089,0.40700000000000003,0.3974,69.8,0.24000000000000005,9.599999999999994,0.1375358166189111,8.466666666666654,0.4262666666666666,0.11014744145706837,MAC,7.75,16.25,20.0,81.0,69.0,85.25,77.125,16.25,0.2106969205834684,1,0,0.0,2020-12-09,,Toledo,1,71.0,91.0,9.0,9.0,W,-0.04079708937661586,0.034301724852633164,5,5.0,10.875,0.36050000000000004,1,0.515,0.3961666666666667,0.15357458075904679,-3.6625000000000014,0.06852112111987169,0.04324135081311853,-11.183333333333334,-9.854166666666668,-7.75,-7.75,4.9608333333333325,-1.0066895603410246,-2.9751648351648354,-1.0066895603410246,4.288888888888889
2020-12-12,,UMKC,W,64.0,57.0,17.0,39.0,0.436,7.0,18.0,0.389,23.0,26.0,0.885,9.0,29.0,12.0,5.0,2.0,16.0,17.0,,22.0,46.0,0.478,6.0,16.0,0.375,7.0,11.0,0.636,5.0,21.0,11.0,6.0,0.0,10.0,24.0,7.0,1,7,60.5,1,0,0,1,74.0,69.33333333333333,0.12566482708530063,-0.039485900565427,0.4068333333333334,0.42716666666666664,71.66666666666667,0.7777777777777777,4.666666666666671,0.06511627906976751,8.466666666666654,0.4262666666666666,0.11014744145706837,MAC,2.2,-12.666666666666666,-7.0,60.5,74.33333333333333,61.666666666666664,68.0,-12.666666666666664,-0.18627450980392155,0,1,0.0,2020-12-12,@,Toledo,0,64.0,57.0,6.0,7.0,L,0.010799962220435777,0.009345593053062151,4,1.7777777777777777,-2.249999999999993,0.4746666666666666,-1,0.4406666666666667,0.46559999999999996,-0.035447026388341754,1.8333333333333357,0.0342696999552468,-0.020650574673516844,-6.351190476190477,-4.321428571428572,2.522222222222221,2.522222222222221,2.3082417582417594,-1.0066895603410246,-0.6668040293040297,-1.0066895603410246,-4.28925925925926
2020-12-16,@,Marshall,W (1 OT),96.0,87.0,34.0,75.0,0.453,10.0,30.0,0.333,18.0,23.0,0.783,12.0,45.0,17.0,10.0,1.0,15.0,18.0,,31.0,69.0,0.449,11.0,34.0,0.324,14.0,17.0,0.824,5.0,36.0,22.0,6.0,10.0,18.0,19.0,9.0,1,8,91.5,0,1,0,-1,72.57142857142857,67.57142857142857,0.1116724882898123,-0.034454594662028104,0.41100000000000003,0.43442857142857133,70.07142857142857,0.16326530612244897,5.0,0.07135575942915393,8.466666666666654,0.4262666666666666,0.11014744145706837,MAC,3.0,14.0,-9.0,91.5,64.75,78.75,71.75,14.0,0.1951219512195122,1,0,0.0,2020-12-16,,Toledo,0,96.0,87.0,11.0,10.0,L (1 OT),-0.0468576954372219,0.022382973803447337,5,0.0,7.36363636363636,0.38549999999999995,1,0.49275,0.4355909090909091,0.09660107334525933,-0.8392857142857153,0.049995623608038414,0.04018037957867302,-5.9489795918367365,-4.1904761904761925,0.8666666666666636,0.8666666666666636,2.9983766233766227,-1.0066895603410246,-0.8929748822605958,-1.0066895603410246,-1.744692460317459
2020-12-19,,Valparaiso,W,71.0,57.0,22.0,62.0,0.355,10.0,31.0,0.323,17.0,23.0,0.739,5.0,36.0,16.0,2.0,3.0,4.0,12.0,,24.0,58.0,0.414,4.0,20.0,0.2,5.0,8.0,0.625,2.0,30.0,9.0,1.0,3.0,9.0,22.0,14.0,1,9,64.0,1,0,0,1,75.5,70.0,0.09376040610803199,-0.018881504961031415,0.41625,0.4362499999999999,72.75,0.5625,5.5,0.07560137457044673,8.466666666666654,0.4262666666666666,0.11014744145706837,MAC,3.857142857142857,-2.4,-14.0,64.0,70.6,68.2,69.4,-2.3999999999999915,-0.03458213256484137,0,1,0.0,2020-12-19,@,Toledo,0,71.0,57.0,4.0,10.0,L,-0.014404127499783037,-0.0245725207441152,6,2.16,-5.346153846153847,0.422,-1,0.42300000000000004,0.44546153846153846,-0.0809787357995922,1.6749999999999972,-0.047999265870076406,0.01649156162546417,-3.524107142857143,-1.670408163265306,2.1009523809523842,2.1009523809523842,2.1418803418803405,-1.0066895603410246,0.1391015234765236,-1.0066895603410246,-4.0518715041572175
2020-12-22,,Northern Illinois,W,78.0,55.0,27.0,57.0,0.474,12.0,30.0,0.4,12.0,16.0,0.75,8.0,39.0,18.0,5.0,3.0,16.0,19.0,,22.0,60.0,0.367,1.0,15.0,0.067,10.0,17.0,0.588,13.0,32.0,3.0,10.0,2.0,14.0,19.0,23.0,1,10,66.5,1,0,0,1,75.0,68.55555555555556,0.09536452678500029,-0.026652401001781623,0.40944444444444444,0.4337777777777777,71.77777777777777,0.12345679012345678,6.444444444444443,0.08978328173374611,8.466666666666654,0.4262666666666666,0.11014744145706837,MAC,5.125,-19.4,-23.0,66.5,77.66666666666667,60.0,68.83333333333333,-17.66666666666667,-0.25665859564164656,0,1,,2020-12-22,@,Toledo,0,78.0,55.0,1.0,12.0,L,-0.13019102877055524,0.09205503703774232,7,0.7777777777777777,-15.105263157894733,0.4631666666666667,-1,0.39366666666666666,0.464421052631579,-0.21619585687382292,1.4722222222222214,0.09369517087491741,0.058905886850359246,-2.1614197530864185,-0.3690972222222211,-0.3108465608465636,-0.2730158730158763,1.9138354700854696,-1.0066895603410246,-0.4703712953712953,-1.0066895603410246,-1.9395030234315953
