Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,result,Win,Game_Number,Mean_Score,Home,Away,Neutral,Comb_Loc,Avg_Score,Opp_Avg_Score,Avg_Threes,Opp_Avg_Threes,Avg_FG_Pct,Opp_Avg_FG_Pct,Avg_Mean_Score,Home_Pct,Avg_Result,Pct_Margin,Avg_Result_Fin,Opp_Avg_FG_Pct_Fin,Pct_Margin_Fin,Conference,Avg_Result_NC,Avg_Result_NC2,result2,Mean_Score2,Opp_Avg_Score2,Avg_Score2,Avg_Mean_Score2,Avg_Result2,Pct_Margin2,Home2,Away2,Neutral2,Date2,Loc2,Opp_name2,Win2,Opp_score2,Score2,Threes2,Opp_Threes2,W2,Avg_Threes2,Opp_Avg_Threes2,Game_Number2,Home_Pct2,Avg_Result_Fin2,Opp_Avg_FG_Pct2,Comb_Loc2,Avg_FG_Pct2,Opp_Avg_FG_Pct_Fin2,Pct_Margin_Fin2,Scoring_Pace_Diff,Matchup_Comp,Opp_Matchup_Comp,SOS,SOS_NC,Opp_SOS,Opp_SOS_NC,Prev_SOS,SOS_Fin,SOS_All,SOS_All_Fin,Opp_Prev_SOS
2020-11-25,N,Northern Iowa,W,93.0,87.0,30.0,65.0,0.462,6.0,20.0,0.3,27.0,31.0,0.871,9.0,37.0,14.0,10.0,3.0,9.0,16.0,,29.0,63.0,0.46,20.0,39.0,0.513,9.0,11.0,0.818,5.0,29.0,16.0,4.0,1.0,17.0,21.0,6.0,1,1,90.0,0,0,1,0,,,,,,,,,,,5.107142857142847,0.4227857142857143,0.07253360385493264,CUSA,,,-6.0,90.0,,,,,,0,0,1.0,2020-11-25,N,Western Kentucky,0,93.0,87.0,20.0,6.0,L,,,1,,-4.173913043478265,,0,,0.4577826086956522,-0.05933250927070464,,,,,,,,,0.032173508485906645,,0.032173508485906645,
2020-11-26,N,Memphis,W,75.0,69.0,24.0,54.0,0.444,8.0,21.0,0.381,19.0,24.0,0.792,10.0,42.0,12.0,3.0,7.0,14.0,15.0,,27.0,66.0,0.409,9.0,20.0,0.45,6.0,11.0,0.545,8.0,28.0,15.0,5.0,5.0,9.0,23.0,6.0,1,2,72.0,0,0,1,0,93.0,87.0,-0.11997597500711438,0.3761308103099046,0.462,0.46,90.0,0.0,6.0,0.06666666666666667,5.107142857142847,0.4227857142857143,0.07253360385493264,CUSA,6.0,17.0,-6.0,72.0,56.0,73.0,64.5,17.0,0.26356589147286824,0,0,1.0,2020-11-26,N,Western Kentucky,0,75.0,69.0,9.0,8.0,L,-0.025853129227176253,-0.25995293353246,2,0.0,9.208333333333329,0.339,0,0.433,0.3879583333333334,0.13646187094782333,12.75,0.17660154771834952,-0.09861114767238277,-6.0,-6.0,-17.0,-17.0,6.0,0.032173508485906645,-4.173913043478265,0.032173508485906645,17.0
2020-11-27,N,West Virginia,L,64.0,70.0,27.0,62.0,0.435,4.0,17.0,0.235,6.0,8.0,0.75,7.0,26.0,13.0,4.0,3.0,8.0,16.0,,25.0,57.0,0.439,5.0,12.0,0.417,15.0,19.0,0.789,7.0,31.0,12.0,3.0,3.0,10.0,11.0,-6.0,0,3,67.0,0,0,1,0,84.0,78.0,-0.06352436210388857,0.24416794558841914,0.453,0.4345,81.0,0.0,6.0,0.07407407407407407,5.107142857142847,0.4227857142857143,0.07253360385493264,CUSA,6.0,10.0,6.0,67.0,68.5,78.5,73.5,10.0,0.1360544217687075,0,0,1.0,2020-11-27,N,Western Kentucky,1,64.0,70.0,5.0,4.0,W,-0.04600843853700959,-0.09454625991410753,3,0.0,5.185185185185176,0.397,0,0.40149999999999997,0.4397407407407407,0.0694100148735745,3.75,0.07749832804875297,-0.10598955569919465,0.75,0.75,5.0,5.0,-0.75,0.032173508485906645,2.5172101449275317,0.032173508485906645,-5.0
2020-12-01,@,Louisville,L,54.0,75.0,23.0,53.0,0.434,3.0,18.0,0.167,5.0,11.0,0.455,7.0,29.0,7.0,5.0,6.0,19.0,17.0,,26.0,55.0,0.473,8.0,18.0,0.444,15.0,20.0,0.75,8.0,33.0,16.0,9.0,1.0,11.0,18.0,-21.0,0,4,64.5,0,1,0,-1,77.33333333333333,75.33333333333333,-0.08076574141423337,0.13780307152443005,0.447,0.436,76.33333333333333,0.0,2.0,0.026200873362445417,5.107142857142847,0.4227857142857143,0.07253360385493264,CUSA,2.0,19.333333333333332,21.0,64.5,59.333333333333336,78.66666666666667,69.0,19.333333333333336,0.28019323671497587,1,0,0.0,2020-12-01,,Western Kentucky,1,54.0,75.0,8.0,3.0,W,-0.1355582604089733,0.04040822216577433,4,4.0,1.4500000000000028,0.3413333333333333,1,0.5416666666666666,0.42035,0.02156935663815549,3.6666666666666643,-0.057127926817361604,-0.1366760573577723,0.7777777777777809,0.7777777777777809,-5.5,-5.5,0.6666666666666683,0.032173508485906645,3.4065351583467467,0.032173508485906645,1.7777777777777777
2020-12-06,,Mississippi Valley State,W,96.0,69.0,33.0,68.0,0.485,8.0,26.0,0.308,22.0,31.0,0.71,19.0,49.0,21.0,9.0,6.0,14.0,15.0,,23.0,56.0,0.411,12.0,35.0,0.343,11.0,12.0,0.917,2.0,19.0,13.0,7.0,1.0,15.0,22.0,27.0,1,5,82.5,1,0,0,1,71.5,75.25,-0.09324464182416828,0.10508028905890215,0.44375,0.44525000000000003,73.375,0.3125,-3.75,-0.05110732538330494,5.107142857142847,0.4227857142857143,0.07253360385493264,CUSA,-3.75,-52.25,-27.0,82.5,110.75,58.5,84.625,-52.25,-0.6174298375184638,0,1,0.0,2020-12-06,@,Western Kentucky,0,96.0,69.0,12.0,8.0,L,0.2762192276397012,0.09956818868617917,5,5.0,-30.541666666666664,0.5705,-1,0.335,0.48441666666666655,-0.42357700086680145,-5.625,-0.09635455407568436,0.17036782643447235,6.966666666666669,6.966666666666669,22.3125,22.3125,-2.5239583333333346,0.032173508485906645,2.9174013687600606,0.032173508485906645,-19.76736111111111
2020-12-10,,Gardner-Webb,W,86.0,84.0,32.0,73.0,0.438,8.0,18.0,0.444,14.0,19.0,0.737,8.0,33.0,20.0,7.0,4.0,4.0,12.0,,31.0,58.0,0.534,12.0,19.0,0.632,10.0,15.0,0.667,4.0,31.0,17.0,1.0,10.0,14.0,19.0,2.0,1,6,85.0,1,0,0,1,76.4,74.0,-0.08577567100441216,0.12431347573394935,0.45199999999999996,0.4384,75.2,0.0,2.4000000000000057,0.03191489361702135,5.107142857142847,0.4227857142857143,0.07253360385493264,CUSA,2.4,,-2.0,85.0,,,,,,0,1,,2020-12-10,@,Western Kentucky,0,86.0,84.0,12.0,8.0,L,,,1,,2.2692307692307736,,-1,,0.41873076923076924,0.03264177040110656,,,,-2.633333333333333,-2.633333333333333,,,3.604000000000001,0.032173508485906645,-3.7744122383252843,0.032173508485906645,
2020-12-13,,Rhode Island,W,68.0,65.0,22.0,52.0,0.423,3.0,12.0,0.25,21.0,26.0,0.808,11.0,35.0,11.0,10.0,6.0,16.0,15.0,,24.0,57.0,0.421,6.0,18.0,0.333,11.0,15.0,0.733,8.0,26.0,11.0,11.0,4.0,15.0,20.0,3.0,1,7,66.5,1,0,0,1,78.0,75.66666666666667,-0.0763448749244014,0.12259898591373253,0.44966666666666666,0.4543333333333333,76.83333333333333,0.19444444444444442,2.3333333333333286,0.03036876355748367,5.107142857142847,0.4227857142857143,0.07253360385493264,CUSA,2.3333333333333335,3.3333333333333335,-3.0,66.5,73.0,76.33333333333333,74.66666666666667,3.3333333333333286,0.044642857142857074,0,1,0.0,2020-12-13,@,Western Kentucky,0,68.0,65.0,6.0,3.0,L,-0.1104675935449366,-0.032702444295669375,7,0.0,0.35999999999999943,0.39833333333333326,-1,0.4705,0.4181200000000002,0.005051922537187755,1.0833333333333286,0.04996662905855349,-0.1163753193118696,-4.011904761904762,-4.011904761904762,4.737301587301587,4.737301587301587,3.1505336617405577,0.032173508485906645,-2.767138403732608,0.032173508485906645,-1.219514361300076
2020-12-19,@,Alabama,W,73.0,71.0,27.0,60.0,0.45,3.0,11.0,0.273,16.0,21.0,0.762,11.0,31.0,10.0,11.0,3.0,16.0,23.0,,22.0,56.0,0.393,7.0,26.0,0.269,20.0,26.0,0.769,10.0,29.0,7.0,8.0,3.0,18.0,16.0,2.0,1,8,72.0,0,1,0,-1,76.57142857142857,74.14285714285714,-0.08964376508896318,0.1026606089943774,0.44585714285714284,0.44957142857142857,75.35714285714286,0.6530612244897959,2.4285714285714306,0.032227488151658795,5.107142857142847,0.4227857142857143,0.07253360385493264,CUSA,2.4285714285714284,5.0,-2.0,72.0,71.33333333333333,76.33333333333333,73.83333333333333,5.0,0.06772009029345373,1,0,0.0,2020-12-19,,Western Kentucky,0,73.0,71.0,7.0,3.0,L,0.04018742828912458,0.057970964998915187,7,0.7777777777777777,9.799999999999997,0.42983333333333335,1,0.4084999999999999,0.40676666666666667,0.13124999999999995,0.7619047619047663,-0.07208838719477126,0.06423134641340938,-2.323979591836735,-2.323979591836735,4.944444444444444,4.944444444444444,3.5750184569952013,0.032173508485906645,-2.320404346056521,0.032173508485906645,-0.6473875661375647
2020-12-22,,Tennessee Tech,W,88.0,68.0,30.0,65.0,0.462,9.0,24.0,0.375,19.0,22.0,0.864,9.0,38.0,18.0,6.0,1.0,9.0,16.0,,26.0,58.0,0.448,6.0,18.0,0.333,10.0,14.0,0.714,5.0,29.0,13.0,4.0,2.0,14.0,20.0,20.0,1,9,78.0,1,0,0,1,76.125,73.75,-0.1017017020053664,0.08817055315034872,0.446375,0.4425,74.9375,0.140625,2.375,0.0316930775646372,5.107142857142847,0.4227857142857143,0.07253360385493264,CUSA,2.375,-22.166666666666668,-20.0,78.0,78.75,58.375,68.5625,-20.375,-0.29717411121239745,0,1,,2020-12-22,@,Western Kentucky,0,88.0,68.0,6.0,9.0,L,-0.018021150112453865,-0.03733388591341236,9,2.25,-10.29629629629629,0.470375,-1,0.39475000000000005,0.4813333333333335,-0.14359504132231396,3.1875,0.06161915075581787,-0.039861444703127934,-3.3465277777777773,-3.3465277777777773,8.55758928571429,10.521230158730162,4.485376249265136,0.032173508485906645,-0.8053538027994565,0.032173508485906645,-3.1885209396258496
2021-01-01,@,Charlotte,W,67.0,63.0,25.0,50.0,0.5,5.0,14.0,0.357,12.0,14.0,0.857,4.0,29.0,14.0,11.0,1.0,15.0,20.0,,20.0,47.0,0.426,6.0,20.0,0.3,17.0,23.0,0.739,5.0,27.0,9.0,7.0,1.0,14.0,19.0,4.0,1,10,65.0,0,1,0,-1,77.44444444444444,73.11111111111111,-0.08970800629327164,0.07401363181708409,0.4481111111111111,0.4431111111111111,75.27777777777777,0.49382716049382713,4.333333333333329,0.0575645756457564,5.107142857142847,0.4227857142857143,0.07253360385493264,CUSA,4.333333333333333,4.285714285714286,-4.0,65.0,61.714285714285715,66.0,63.857142857142854,4.285714285714285,0.06711409395973153,1,0,0.0,2021-01-01,,Western Kentucky,0,67.0,63.0,6.0,5.0,L,-0.04079708937661586,0.04064230456277812,8,1.4693877551020407,-3.25,0.4092857142857143,1,0.4564285714285714,0.4505416666666667,-0.05019305019305019,5.710317460317459,-0.0603816206596905,-0.054950348063770436,-4.5097442680776005,-4.5097442680776005,-4.344480519480524,-4.344480519480524,4.2421935520619725,0.032173508485906645,-1.859902968743549,0.032173508485906645,0.5952893692349456
