Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,result,Win,Game_Number,Mean_Score,Home,Away,Neutral,Comb_Loc,Avg_Score,Opp_Avg_Score,Avg_Threes,Opp_Avg_Threes,Avg_FG_Pct,Opp_Avg_FG_Pct,Avg_Mean_Score,Home_Pct,Avg_Result,Pct_Margin,Avg_Result_Fin,Opp_Avg_FG_Pct_Fin,Pct_Margin_Fin,Conference
2020-12-15,N,St. Bonaventure,L,74.0,81.0,24.0,60.0,0.4,6.0,32.0,0.188,20.0,21.0,0.952,8.0,33.0,10.0,7.0,1.0,17.0,24.0,,30.0,65.0,0.462,1.0,14.0,0.071,20.0,28.0,0.714,9.0,29.0,15.0,8.0,2.0,10.0,17.0,-7.0,0,1,77.5,0,0,1,0,,,,,,,,,,,3.80952380952381,0.43414285714285716,0.051020408163265314,MAC
2020-12-22,,Ohio,W,90.0,70.0,35.0,55.0,0.636,14.0,25.0,0.56,6.0,9.0,0.667,6.0,34.0,18.0,2.0,3.0,14.0,19.0,,26.0,62.0,0.419,8.0,27.0,0.296,10.0,16.0,0.625,10.0,22.0,14.0,6.0,2.0,5.0,13.0,20.0,1,2,80.0,1,0,0,1,74.0,81.0,-0.07028111886064531,-0.27648732506685153,0.4,0.462,77.5,0.0,-7.0,-0.09032258064516129,3.80952380952381,0.43414285714285716,0.051020408163265314,MAC
2021-01-01,,Kent State,W,66.0,62.0,19.0,59.0,0.322,11.0,34.0,0.324,17.0,22.0,0.773,8.0,36.0,13.0,4.0,3.0,12.0,19.0,,24.0,63.0,0.381,5.0,23.0,0.217,9.0,17.0,0.529,12.0,39.0,9.0,7.0,4.0,13.0,18.0,4.0,1,3,64.0,1,0,0,1,82.0,75.5,0.05232929643269679,-0.13471641508402102,0.518,0.4405,78.75,0.75,6.5,0.08253968253968254,3.80952380952381,0.43414285714285716,0.051020408163265314,MAC
2021-01-09,@,Eastern Michigan,L,59.0,71.0,21.0,50.0,0.42,7.0,28.0,0.25,10.0,13.0,0.769,4.0,30.0,13.0,4.0,1.0,16.0,22.0,,26.0,55.0,0.473,6.0,23.0,0.261,13.0,21.0,0.619,7.0,28.0,10.0,6.0,5.0,8.0,15.0,-12.0,0,4,65.0,0,1,0,-1,76.66666666666667,71.0,0.09082346398306795,-0.11634126351233928,0.4526666666666667,0.4206666666666667,73.83333333333333,1.7777777777777777,5.666666666666671,0.07674943566591429,3.80952380952381,0.43414285714285716,0.051020408163265314,MAC
2021-01-12,@,Northern Illinois,L,65.0,67.0,25.0,60.0,0.417,9.0,29.0,0.31,6.0,13.0,0.462,5.0,25.0,16.0,3.0,0.0,11.0,15.0,,25.0,54.0,0.463,7.0,14.0,0.5,10.0,14.0,0.714,10.0,41.0,18.0,7.0,3.0,14.0,17.0,-2.0,0,5,66.0,0,1,0,-1,72.25,71.0,0.08093930571618063,-0.10225675647008575,0.4445,0.43374999999999997,71.625,0.3125,1.25,0.017452006980802792,3.80952380952381,0.43414285714285716,0.051020408163265314,MAC
2021-01-16,,Toledo,W (1 OT),95.0,94.0,34.0,67.0,0.507,14.0,40.0,0.35,13.0,15.0,0.867,11.0,35.0,12.0,4.0,4.0,12.0,24.0,,31.0,70.0,0.443,12.0,28.0,0.429,20.0,27.0,0.741,10.0,29.0,17.0,7.0,2.0,5.0,15.0,1.0,1,6,94.5,1,0,0,1,70.8,70.2,0.0847807226418742,-0.08275513133465776,0.43899999999999995,0.4396,70.5,0.0,0.5999999999999943,0.008510638297872259,3.80952380952381,0.43414285714285716,0.051020408163265314,MAC
2021-01-19,@,Bowling Green State,W,69.0,57.0,22.0,59.0,0.373,8.0,24.0,0.333,17.0,19.0,0.895,10.0,44.0,12.0,5.0,7.0,16.0,14.0,,23.0,69.0,0.333,8.0,28.0,0.286,3.0,5.0,0.6,11.0,35.0,13.0,6.0,3.0,12.0,18.0,12.0,1,7,63.0,0,1,0,-1,74.83333333333333,74.16666666666667,0.09404802096960813,-0.05060301378928184,0.4503333333333333,0.44016666666666665,74.5,0.19444444444444442,0.6666666666666572,0.008948545861297412,3.80952380952381,0.43414285714285716,0.051020408163265314,MAC
2021-01-21,,Central Michigan,W,81.0,67.0,29.0,59.0,0.492,12.0,29.0,0.414,11.0,13.0,0.846,7.0,31.0,18.0,5.0,5.0,12.0,21.0,,23.0,53.0,0.434,1.0,6.0,0.167,20.0,25.0,0.8,9.0,27.0,4.0,5.0,5.0,13.0,17.0,14.0,1,8,74.0,1,0,0,1,74.0,71.71428571428571,0.08608953751001108,-0.032647868079984155,0.43928571428571433,0.4248571428571429,72.85714285714286,0.0,2.285714285714292,0.031372549019607926,3.80952380952381,0.43414285714285716,0.051020408163265314,MAC
2021-01-23,@,Western Michigan,W,79.0,68.0,23.0,49.0,0.469,10.0,30.0,0.333,23.0,31.0,0.742,5.0,28.0,10.0,7.0,0.0,10.0,15.0,,27.0,56.0,0.482,5.0,16.0,0.313,9.0,12.0,0.75,7.0,20.0,10.0,3.0,0.0,13.0,23.0,11.0,1,9,73.5,0,1,0,-1,74.875,71.125,0.09215176477424164,-0.060448790926384166,0.445875,0.42600000000000005,73.0,0.140625,3.75,0.05136986301369863,3.80952380952381,0.43414285714285716,0.051020408163265314,MAC
2021-01-26,,Eastern Michigan,W,86.0,65.0,33.0,69.0,0.478,10.0,29.0,0.345,10.0,13.0,0.769,9.0,46.0,22.0,3.0,1.0,11.0,19.0,,22.0,60.0,0.367,9.0,30.0,0.3,12.0,17.0,0.706,3.0,28.0,8.0,6.0,1.0,14.0,17.0,21.0,1,10,75.5,1,0,0,1,75.33333333333333,70.77777777777777,0.08913050515274862,-0.0639168267820675,0.4484444444444445,0.4322222222222223,73.05555555555556,0.0,4.555555555555557,0.06235741444866922,3.80952380952381,0.43414285714285716,0.051020408163265314,MAC
