Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,result,Win,Game_Number,Mean_Score,Home,Away,Neutral,Comb_Loc,Avg_Score,Opp_Avg_Score,Avg_Threes,Opp_Avg_Threes,Avg_FG_Pct,Opp_Avg_FG_Pct,Avg_Mean_Score,Home_Pct,Avg_Result,Pct_Margin,Avg_Result_Fin,Opp_Avg_FG_Pct_Fin,Pct_Margin_Fin,Conference
2020-12-08,@,Jacksonville,W,80.0,78.0,31.0,57.0,0.544,7.0,19.0,0.368,11.0,18.0,0.611,3.0,23.0,17.0,8.0,4.0,8.0,20.0,,26.0,55.0,0.473,8.0,21.0,0.381,18.0,25.0,0.72,12.0,36.0,12.0,4.0,1.0,14.0,17.0,2.0,1,1,79.0,0,1,0,-1,,,,,,,,,,,0.5200000000000102,0.4602800000000001,0.007631347226298947,Big South
2020-12-09,N,New Orleans,W,79.0,70.0,26.0,43.0,0.605,5.0,12.0,0.417,22.0,31.0,0.71,3.0,23.0,10.0,7.0,2.0,14.0,18.0,,26.0,57.0,0.456,4.0,19.0,0.211,14.0,17.0,0.824,8.0,26.0,12.0,3.0,0.0,17.0,28.0,9.0,1,2,74.5,0,0,1,0,80.0,78.0,-0.051024362103888554,-0.005832054411580856,0.544,0.473,79.0,2.0,2.0,0.02531645569620253,0.5200000000000102,0.4602800000000001,0.007631347226298947,Big South
2020-12-16,@,Elon,L,56.0,66.0,19.0,45.0,0.422,5.0,19.0,0.263,13.0,26.0,0.5,7.0,20.0,7.0,12.0,4.0,15.0,20.0,,22.0,44.0,0.5,11.0,21.0,0.524,11.0,14.0,0.786,9.0,29.0,10.0,8.0,1.0,20.0,21.0,-10.0,0,3,61.0,0,1,0,-1,79.5,74.0,-0.08710926776426592,-0.07028111886064531,0.5745,0.4645,76.75,0.75,5.5,0.07166123778501629,0.5200000000000102,0.4602800000000001,0.007631347226298947,Big South
2020-12-19,@,NC State,L,50.0,69.0,19.0,47.0,0.404,2.0,17.0,0.118,10.0,16.0,0.625,1.0,22.0,12.0,5.0,2.0,19.0,17.0,,28.0,58.0,0.483,5.0,19.0,0.263,8.0,12.0,0.667,8.0,35.0,15.0,9.0,3.0,19.0,19.0,-19.0,0,4,59.5,0,1,0,-1,71.66666666666667,71.33333333333333,-0.07631505977830719,0.008905544438167545,0.5236666666666666,0.47633333333333333,71.5,1.7777777777777777,0.3333333333333428,0.004662004662004795,0.5200000000000102,0.4602800000000001,0.007631347226298947,Big South
2020-12-21,,UNC Wilmington,L,59.0,78.0,24.0,58.0,0.414,3.0,18.0,0.167,8.0,11.0,0.727,9.0,30.0,12.0,7.0,2.0,15.0,18.0,,28.0,60.0,0.467,8.0,24.0,0.333,14.0,19.0,0.737,12.0,36.0,12.0,7.0,1.0,13.0,15.0,-19.0,0,5,68.5,1,0,0,1,66.25,70.75,-0.09843002248124705,-0.01670457411802284,0.49375,0.478,68.5,2.8125,-4.5,-0.06569343065693431,0.5200000000000102,0.4602800000000001,0.007631347226298947,Big South
2020-12-30,@,Winthrop,L,83.0,84.0,31.0,50.0,0.62,8.0,14.0,0.571,13.0,25.0,0.52,0.0,19.0,12.0,11.0,2.0,20.0,38.0,,21.0,55.0,0.382,5.0,22.0,0.227,37.0,50.0,0.74,19.0,44.0,9.0,11.0,4.0,22.0,25.0,-1.0,0,6,83.5,0,1,0,-1,64.8,72.2,-0.10982065840018485,-0.014355387034636458,0.47780000000000006,0.4758,68.5,0.9600000000000002,-7.400000000000006,-0.10802919708029206,0.5200000000000102,0.4602800000000001,0.007631347226298947,Big South
2020-12-31,@,Winthrop,L,76.0,94.0,23.0,52.0,0.442,5.0,15.0,0.333,25.0,33.0,0.758,3.0,18.0,10.0,5.0,2.0,13.0,17.0,,37.0,63.0,0.587,9.0,20.0,0.45,11.0,18.0,0.611,11.0,39.0,19.0,6.0,2.0,18.0,27.0,-18.0,0,7,85.0,0,1,0,-1,67.83333333333333,74.16666666666667,-0.09239414097366741,-0.037119867721866096,0.5015000000000001,0.46016666666666667,71.0,1.75,-6.333333333333343,-0.08920187793427244,0.5200000000000102,0.4602800000000001,0.007631347226298947,Big South
2021-01-04,@,Gardner-Webb,W,70.0,61.0,26.0,55.0,0.473,10.0,22.0,0.455,8.0,10.0,0.8,3.0,27.0,16.0,5.0,1.0,7.0,9.0,,24.0,52.0,0.462,8.0,27.0,0.296,5.0,5.0,1.0,2.0,29.0,12.0,2.0,6.0,12.0,16.0,9.0,1,8,65.5,0,1,0,-1,69.0,77.0,-0.09613305775606248,-0.035231226667895965,0.49300000000000005,0.47828571428571426,73.0,2.6122448979591835,-8.0,-0.1095890410958904,0.5200000000000102,0.4602800000000001,0.007631347226298947,Big South
2021-01-05,@,Gardner-Webb,L,70.0,85.0,23.0,50.0,0.46,7.0,18.0,0.389,17.0,25.0,0.68,5.0,23.0,13.0,2.0,2.0,10.0,20.0,,30.0,57.0,0.526,7.0,18.0,0.389,18.0,24.0,0.75,10.0,36.0,15.0,2.0,7.0,7.0,20.0,-15.0,0,9,77.5,0,1,0,-1,69.125,75.0,-0.06940139646193558,-0.023524362103888585,0.49050000000000005,0.47625,72.0625,3.515625,-5.875,-0.08152645273200347,0.5200000000000102,0.4602800000000001,0.007631347226298947,Big South
2021-01-09,@,Longwood,W,64.0,58.0,27.0,49.0,0.551,3.0,14.0,0.214,7.0,11.0,0.636,2.0,24.0,14.0,7.0,0.0,14.0,13.0,,23.0,59.0,0.39,4.0,23.0,0.174,8.0,12.0,0.667,12.0,32.0,10.0,5.0,0.0,15.0,13.0,6.0,1,10,61.0,0,1,0,-1,69.22222222222223,76.11111111111111,-0.06312307799473932,-0.02885282925717325,0.48711111111111116,0.4817777777777778,72.66666666666667,4.444444444444445,-6.888888888888886,-0.09480122324159017,0.5200000000000102,0.4602800000000001,0.007631347226298947,Big South
