Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,result,Win,Game_Number,Mean_Score,Home,Away,Neutral,Comb_Loc,Avg_Score,Opp_Avg_Score,Avg_Threes,Opp_Avg_Threes,Avg_FG_Pct,Opp_Avg_FG_Pct,Avg_Mean_Score,Home_Pct,Avg_Result,Pct_Margin,Avg_Result_Fin,Opp_Avg_FG_Pct_Fin,Pct_Margin_Fin,Conference
2020-11-28,@,Pitt,L,74.0,83.0,30.0,62.0,0.484,3.0,19.0,0.158,11.0,14.0,0.786,9.0,25.0,17.0,10.0,0.0,12.0,16.0,,31.0,50.0,0.62,5.0,19.0,0.263,16.0,22.0,0.727,3.0,23.0,17.0,9.0,5.0,13.0,14.0,-9.0,0,1,78.5,0,1,0,-1,,,,,,,,,,,4.631578947368425,0.44226315789473686,0.06697108066971086,CAA
2020-12-02,N,Quinnipiac,W,66.0,48.0,25.0,59.0,0.424,7.0,16.0,0.438,9.0,14.0,0.643,10.0,34.0,15.0,5.0,4.0,13.0,21.0,,15.0,44.0,0.341,1.0,12.0,0.083,17.0,24.0,0.708,4.0,30.0,5.0,4.0,4.0,17.0,19.0,18.0,1,2,57.0,0,0,1,0,74.0,83.0,-0.19190274048226694,-0.1328014705376235,0.484,0.62,78.5,2.0,-9.0,-0.11464968152866242,4.631578947368425,0.44226315789473686,0.06697108066971086,CAA
2020-12-03,N,Quinnipiac,W,70.0,58.0,22.0,54.0,0.407,6.0,17.0,0.353,20.0,24.0,0.833,8.0,32.0,14.0,5.0,6.0,7.0,14.0,,22.0,56.0,0.393,5.0,17.0,0.294,9.0,12.0,0.75,6.0,30.0,15.0,2.0,5.0,12.0,23.0,12.0,1,3,64.0,0,0,1,0,70.0,65.5,-0.09923864781817429,-0.1761197819512168,0.45399999999999996,0.48050000000000004,67.75,0.75,4.5,0.06642066420664207,4.631578947368425,0.44226315789473686,0.06697108066971086,CAA
2020-12-06,,Coppin State,W,69.0,54.0,25.0,56.0,0.446,9.0,23.0,0.391,10.0,16.0,0.625,6.0,39.0,18.0,5.0,0.0,15.0,15.0,,20.0,56.0,0.357,4.0,23.0,0.174,10.0,17.0,0.588,4.0,32.0,8.0,10.0,1.0,13.0,16.0,15.0,1,4,61.5,1,0,0,1,70.0,63.0,-0.08495293353246,-0.13892118750071397,0.4383333333333333,0.45133333333333336,66.5,0.4444444444444444,7.0,0.10526315789473684,4.631578947368425,0.44226315789473686,0.06697108066971086,CAA
2020-12-12,,La Salle,L,48.0,58.0,18.0,54.0,0.333,3.0,20.0,0.15,9.0,13.0,0.692,8.0,30.0,9.0,7.0,1.0,12.0,11.0,,24.0,52.0,0.462,5.0,10.0,0.5,5.0,6.0,0.833,7.0,31.0,12.0,5.0,5.0,17.0,14.0,-10.0,0,5,53.0,1,0,0,1,69.75,60.75,-0.04470715780281331,-0.1283391769187034,0.44025,0.42775,65.25,0.0,9.0,0.13793103448275862,4.631578947368425,0.44226315789473686,0.06697108066971086,CAA
2020-12-17,,St. Joseph's,W,81.0,77.0,26.0,56.0,0.464,8.0,17.0,0.471,21.0,26.0,0.808,9.0,34.0,17.0,5.0,0.0,14.0,22.0,,24.0,56.0,0.429,4.0,24.0,0.167,25.0,33.0,0.758,8.0,28.0,11.0,6.0,2.0,12.0,22.0,4.0,1,6,79.0,1,0,0,1,65.4,60.2,-0.05664362815893448,-0.11418881393113109,0.41879999999999995,0.4346,62.8,0.24000000000000005,5.200000000000003,0.08280254777070069,4.631578947368425,0.44226315789473686,0.06697108066971086,CAA
2020-12-19,@,Fairleigh Dickinson,W,85.0,68.0,31.0,59.0,0.525,7.0,22.0,0.318,16.0,23.0,0.696,11.0,33.0,17.0,5.0,2.0,12.0,13.0,,27.0,59.0,0.458,8.0,21.0,0.381,6.0,9.0,0.667,6.0,23.0,7.0,8.0,4.0,17.0,20.0,17.0,1,7,76.5,0,1,0,-1,68.0,63.0,-0.048818479750947386,-0.1230481716276981,0.4263333333333333,0.43366666666666664,65.5,0.7777777777777777,5.0,0.07633587786259542,4.631578947368425,0.44226315789473686,0.06697108066971086,CAA
2021-01-09,@,College of Charleston,L,60.0,61.0,22.0,50.0,0.44,4.0,16.0,0.25,12.0,16.0,0.75,9.0,34.0,12.0,8.0,3.0,13.0,11.0,,24.0,52.0,0.462,8.0,16.0,0.5,5.0,8.0,0.625,3.0,22.0,8.0,7.0,4.0,11.0,15.0,-1.0,0,8,60.5,0,1,0,-1,70.42857142857143,63.714285714285715,-0.05186107609983176,-0.09827772533258813,0.4404285714285714,0.43714285714285717,67.07142857142857,0.16326530612244897,6.714285714285715,0.10010649627263048,4.631578947368425,0.44226315789473686,0.06697108066971086,CAA
2021-01-10,@,College of Charleston,L,68.0,73.0,23.0,51.0,0.451,7.0,21.0,0.333,15.0,15.0,1.0,7.0,28.0,11.0,2.0,1.0,10.0,13.0,,29.0,52.0,0.558,9.0,25.0,0.36,6.0,8.0,0.75,3.0,22.0,9.0,6.0,5.0,6.0,12.0,-5.0,0,9,70.5,0,1,0,-1,69.125,63.375,-0.05855148687784878,-0.0768379715713442,0.44037499999999996,0.44025000000000003,66.25,0.0,5.75,0.08679245283018867,4.631578947368425,0.44226315789473686,0.06697108066971086,CAA
2021-01-16,,William & Mary,W,82.0,58.0,36.0,59.0,0.61,7.0,17.0,0.412,3.0,4.0,0.75,7.0,30.0,19.0,8.0,4.0,10.0,16.0,,22.0,50.0,0.44,6.0,17.0,0.353,8.0,11.0,0.727,4.0,18.0,12.0,3.0,1.0,14.0,10.0,24.0,1,10,70.0,1,0,0,1,69.0,64.44444444444444,-0.05265479688649727,-0.06007608624181954,0.44155555555555553,0.45333333333333337,66.72222222222223,0.12345679012345678,4.555555555555557,0.06827643630308078,4.631578947368425,0.44226315789473686,0.06697108066971086,CAA
