Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,result,Win,Game_Number,Mean_Score,Home,Away,Neutral,Comb_Loc,Avg_Score,Opp_Avg_Score,Avg_Threes,Opp_Avg_Threes,Avg_FG_Pct,Opp_Avg_FG_Pct,Avg_Mean_Score,Home_Pct,Avg_Result,Pct_Margin,Avg_Result_Fin,Opp_Avg_FG_Pct_Fin,Pct_Margin_Fin,Conference
2020-11-25,N,Abilene Christian,L,47.0,70.0,15.0,51.0,0.294,3.0,21.0,0.143,14.0,17.0,0.824,11.0,38.0,5.0,6.0,2.0,22.0,26.0,,20.0,49.0,0.408,13.0,23.0,0.565,17.0,27.0,0.63,6.0,30.0,14.0,8.0,3.0,15.0,21.0,-23.0,0,1,58.5,0,0,1,0,,,,,,,,,,,1.3478260869565162,0.4258260869565217,0.019839999999999917,Southern
2020-11-26,N,Austin Peay,L,66.0,67.0,24.0,57.0,0.421,9.0,29.0,0.31,9.0,18.0,0.5,12.0,34.0,10.0,8.0,0.0,16.0,20.0,,24.0,62.0,0.387,3.0,14.0,0.214,16.0,22.0,0.727,20.0,43.0,9.0,7.0,2.0,16.0,19.0,-1.0,0,2,66.5,0,0,1,0,47.0,70.0,-0.1220350004017609,0.2436184950389686,0.294,0.408,58.5,0.0,-23.0,-0.39316239316239315,1.3478260869565162,0.4258260869565217,0.019839999999999917,Southern
2020-11-27,N,Middle Tennessee,W,57.0,43.0,20.0,58.0,0.345,4.0,22.0,0.182,13.0,19.0,0.684,7.0,37.0,11.0,12.0,2.0,18.0,17.0,,15.0,50.0,0.3,4.0,21.0,0.19,9.0,12.0,0.75,6.0,33.0,8.0,10.0,3.0,27.0,24.0,14.0,1,3,50.0,0,0,1,0,56.5,68.5,0.005059708692571607,0.036840601399761086,0.3575,0.39749999999999996,62.5,0.0,-12.0,-0.192,1.3478260869565162,0.4258260869565217,0.019839999999999917,Southern
2020-12-12,,Alabama-Birmingham,L,61.0,65.0,20.0,55.0,0.364,7.0,22.0,0.318,14.0,23.0,0.609,10.0,38.0,14.0,3.0,6.0,17.0,17.0,,22.0,61.0,0.361,6.0,18.0,0.333,15.0,19.0,0.789,10.0,37.0,8.0,8.0,6.0,11.0,21.0,-4.0,0,4,63.0,1,0,0,1,56.666666666666664,60.0,-0.03117142092741798,0.01980897122944475,0.35333333333333333,0.365,58.333333333333336,0.0,-3.3333333333333357,-0.05714285714285718,1.3478260869565162,0.4258260869565217,0.019839999999999917,Southern
2020-12-15,,Gardner-Webb,W,65.0,60.0,22.0,60.0,0.367,10.0,34.0,0.294,11.0,15.0,0.733,7.0,32.0,17.0,11.0,3.0,11.0,18.0,,20.0,52.0,0.385,11.0,28.0,0.393,9.0,13.0,0.692,7.0,37.0,13.0,6.0,3.0,17.0,18.0,5.0,1,5,62.5,1,0,0,1,57.75,61.25,-0.014823063402589876,0.004842984834886932,0.356,0.364,59.5,0.3125,-3.5,-0.058823529411764705,1.3478260869565162,0.4258260869565217,0.019839999999999917,Southern
2020-12-22,@,Alabama,L,69.0,85.0,24.0,50.0,0.48,9.0,25.0,0.36,12.0,19.0,0.632,1.0,22.0,9.0,5.0,2.0,18.0,25.0,,29.0,60.0,0.483,12.0,34.0,0.353,15.0,26.0,0.577,12.0,35.0,20.0,9.0,5.0,12.0,20.0,-16.0,0,6,77.0,0,1,0,-1,59.2,61.0,0.02093509735557081,0.05041006412561966,0.35819999999999996,0.36819999999999997,60.1,0.9600000000000002,-1.7999999999999972,-0.029950083194675493,1.3478260869565162,0.4258260869565217,0.019839999999999917,Southern
2020-12-30,,Western Carolina,W,86.0,78.0,31.0,62.0,0.5,10.0,25.0,0.4,14.0,24.0,0.583,11.0,32.0,17.0,13.0,2.0,12.0,18.0,,27.0,54.0,0.5,10.0,27.0,0.37,14.0,18.0,0.778,6.0,32.0,16.0,6.0,1.0,18.0,23.0,8.0,1,7,82.0,1,0,0,1,60.833333333333336,65.0,0.0316811173481662,0.06339871481918835,0.3785,0.3873333333333333,62.916666666666664,0.19444444444444442,-4.166666666666664,-0.06622516556291387,1.3478260869565162,0.4258260869565217,0.019839999999999917,Southern
2021-01-02,@,UNC Greensboro,W,71.0,61.0,25.0,56.0,0.446,7.0,15.0,0.467,14.0,20.0,0.7,15.0,42.0,8.0,4.0,1.0,18.0,19.0,,19.0,58.0,0.328,7.0,21.0,0.333,16.0,20.0,0.8,9.0,28.0,9.0,9.0,6.0,9.0,15.0,10.0,1,8,66.0,0,1,0,-1,64.42857142857143,66.85714285714286,0.032373642330701224,0.06468076610123963,0.39585714285714285,0.4034285714285714,65.64285714285714,0.6530612244897959,-2.4285714285714306,-0.03699673558215455,1.3478260869565162,0.4258260869565217,0.019839999999999917,Southern
2021-01-16,@,Furman,L,66.0,78.0,26.0,57.0,0.456,4.0,20.0,0.2,10.0,18.0,0.556,13.0,30.0,12.0,8.0,1.0,15.0,13.0,,29.0,56.0,0.518,8.0,26.0,0.308,12.0,15.0,0.8,10.0,33.0,16.0,6.0,4.0,16.0,15.0,-12.0,0,9,72.0,0,1,0,-1,65.25,66.125,0.02555609766622635,0.06076675320802072,0.402125,0.39399999999999996,65.6875,0.140625,-0.875,-0.013320647002854425,1.3478260869565162,0.4258260869565217,0.019839999999999917,Southern
2021-01-18,,VMI,W,92.0,81.0,33.0,58.0,0.569,16.0,30.0,0.533,10.0,12.0,0.833,10.0,36.0,15.0,3.0,2.0,11.0,20.0,,25.0,53.0,0.472,11.0,26.0,0.423,20.0,24.0,0.833,5.0,21.0,14.0,6.0,0.0,6.0,13.0,11.0,1,10,86.5,1,0,0,1,65.33333333333333,67.44444444444444,0.007904209324682887,0.052208751569917,0.4081111111111111,0.4077777777777778,66.38888888888889,0.0,-2.1111111111111143,-0.031799163179916365,1.3478260869565162,0.4258260869565217,0.019839999999999917,Southern
2021-01-20,@,Western Carolina,W,59.0,48.0,22.0,56.0,0.393,4.0,17.0,0.235,11.0,16.0,0.688,8.0,40.0,9.0,8.0,1.0,12.0,18.0,,16.0,54.0,0.296,4.0,26.0,0.154,12.0,19.0,0.632,9.0,36.0,10.0,3.0,4.0,14.0,18.0,11.0,1,11,53.5,0,1,0,-1,68.0,68.8,0.035005049660817356,0.05711517277983236,0.4242,0.41419999999999996,68.4,0.11000000000000001,-0.7999999999999972,-0.011695906432748496,1.3478260869565162,0.4258260869565217,0.019839999999999917,Southern
2021-01-23,,Furman,W,71.0,62.0,24.0,54.0,0.444,10.0,24.0,0.417,13.0,18.0,0.722,10.0,36.0,13.0,6.0,2.0,13.0,12.0,,25.0,60.0,0.417,8.0,31.0,0.258,4.0,7.0,0.571,9.0,26.0,14.0,4.0,1.0,10.0,19.0,9.0,1,12,66.5,1,0,0,1,67.18181818181819,66.9090909090909,0.02341745115727517,0.049247377026546246,0.42136363636363633,0.40345454545454545,67.04545454545455,0.0,0.2727272727272805,0.004067796610169607,1.3478260869565162,0.4258260869565217,0.019839999999999917,Southern
2021-01-30,,Citadel,W,112.0,84.0,37.0,69.0,0.536,12.0,23.0,0.522,26.0,30.0,0.867,12.0,38.0,16.0,10.0,0.0,5.0,24.0,,28.0,52.0,0.538,11.0,26.0,0.423,17.0,30.0,0.567,7.0,25.0,19.0,3.0,4.0,16.0,19.0,28.0,1,13,98.0,1,0,0,1,67.5,66.5,0.030920082340555877,0.05113729203144979,0.42324999999999996,0.4045833333333333,67.0,0.09027777777777778,1.0,0.014925373134328358,1.3478260869565162,0.4258260869565217,0.019839999999999917,Southern
2021-02-01,@,Wofford,L,62.0,67.0,23.0,57.0,0.404,11.0,31.0,0.355,5.0,6.0,0.833,13.0,31.0,9.0,9.0,1.0,14.0,15.0,,25.0,49.0,0.51,12.0,28.0,0.429,5.0,8.0,0.625,8.0,24.0,9.0,7.0,0.0,13.0,13.0,-5.0,0,14,64.5,0,1,0,-1,70.92307692307692,67.84615384615384,0.02812422791780339,0.053822576671621714,0.43192307692307697,0.4148461538461538,69.38461538461539,0.33136094674556216,3.07692307692308,0.044345898004434635,1.3478260869565162,0.4258260869565217,0.019839999999999917,Southern
2021-02-03,@,Mercer,W,70.0,64.0,28.0,55.0,0.509,6.0,18.0,0.333,8.0,15.0,0.533,9.0,30.0,8.0,6.0,2.0,8.0,13.0,,24.0,52.0,0.462,8.0,22.0,0.364,8.0,13.0,0.615,7.0,26.0,14.0,4.0,2.0,9.0,13.0,6.0,1,15,67.0,0,1,0,-1,70.28571428571429,67.78571428571429,0.040134174481477325,0.06582231861265514,0.42992857142857144,0.4216428571428571,69.03571428571429,0.07653061224489795,2.5,0.036213140196585614,1.3478260869565162,0.4258260869565217,0.019839999999999917,Southern
2021-02-06,,Chattanooga,L,65.0,67.0,22.0,49.0,0.449,12.0,23.0,0.522,9.0,13.0,0.692,6.0,31.0,13.0,3.0,2.0,12.0,15.0,,26.0,56.0,0.464,8.0,21.0,0.381,7.0,11.0,0.636,6.0,29.0,11.0,7.0,1.0,5.0,15.0,-2.0,0,16,66.0,1,0,0,1,70.26666666666667,67.53333333333333,0.033724214746206294,0.06554770107478869,0.43520000000000003,0.4243333333333333,68.9,0.0,2.7333333333333343,0.039671020803096285,1.3478260869565162,0.4258260869565217,0.019839999999999917,Southern
2021-02-10,@,Citadel,L,71.0,79.0,28.0,73.0,0.384,8.0,25.0,0.32,7.0,9.0,0.778,11.0,35.0,12.0,7.0,5.0,7.0,19.0,,28.0,57.0,0.491,8.0,26.0,0.308,15.0,21.0,0.714,7.0,37.0,21.0,4.0,10.0,11.0,13.0,-8.0,0,17,75.0,0,1,0,-1,69.9375,67.5,0.04572496765482459,0.0642534156738892,0.4360625,0.4268125,68.71875,0.06640625,2.4375,0.03547066848567531,1.3478260869565162,0.4258260869565217,0.019839999999999917,Southern
