Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,result,Win,Game_Number,Mean_Score,Home,Away,Neutral,Comb_Loc,Avg_Score,Opp_Avg_Score,Avg_Threes,Opp_Avg_Threes,Avg_FG_Pct,Opp_Avg_FG_Pct,Avg_Mean_Score,Home_Pct,Avg_Result,Pct_Margin,Avg_Result_Fin,Opp_Avg_FG_Pct_Fin,Pct_Margin_Fin,Conference
2020-11-25,@,Louisville,L,44.0,79.0,14.0,47.0,0.298,6.0,26.0,0.231,10.0,21.0,0.476,3.0,18.0,6.0,3.0,0.0,9.0,16.0,,31.0,53.0,0.585,6.0,16.0,0.375,11.0,16.0,0.688,9.0,46.0,19.0,2.0,3.0,12.0,20.0,-35.0,0,1,61.5,0,1,0,-1,,,,,,,,,,,-4.839999999999989,0.5161199999999999,-0.072045251562965,MVC
2020-11-27,N,Prairie View,L,61.0,64.0,20.0,56.0,0.357,7.0,27.0,0.259,14.0,22.0,0.636,16.0,40.0,10.0,6.0,4.0,14.0,23.0,,23.0,57.0,0.404,5.0,16.0,0.313,13.0,22.0,0.591,17.0,42.0,9.0,7.0,4.0,15.0,23.0,-3.0,0,2,62.5,0,0,1,0,44.0,79.0,0.09556654698702055,-0.08567626083806579,0.298,0.585,61.5,2.0,-35.0,-0.5691056910569106,-4.839999999999989,0.5161199999999999,-0.072045251562965,MVC
2020-12-02,@,UT-Martin,L (2 OT),87.0,93.0,26.0,61.0,0.426,15.0,34.0,0.441,20.0,29.0,0.69,8.0,37.0,19.0,4.0,5.0,17.0,23.0,,31.0,66.0,0.47,10.0,21.0,0.476,21.0,28.0,0.75,7.0,35.0,14.0,8.0,4.0,14.0,23.0,-6.0,0,3,90.0,0,1,0,-1,52.5,71.5,0.057904209324682876,-0.08275513133465778,0.3275,0.4945,62.0,0.75,-19.0,-0.3064516129032258,-4.839999999999989,0.5161199999999999,-0.072045251562965,MVC
2020-12-09,,Eastern Illinois,W,68.0,65.0,23.0,47.0,0.489,9.0,20.0,0.45,13.0,17.0,0.765,2.0,26.0,13.0,3.0,2.0,8.0,12.0,,24.0,52.0,0.462,11.0,18.0,0.611,6.0,11.0,0.545,3.0,24.0,12.0,5.0,1.0,9.0,19.0,3.0,1,4,66.5,1,0,0,1,64.0,78.66666666666667,0.12397563789611143,-0.046575209561515674,0.36033333333333334,0.48633333333333334,71.33333333333333,1.7777777777777777,-14.666666666666671,-0.2056074766355141,-4.839999999999989,0.5161199999999999,-0.072045251562965,MVC
2020-12-15,,Southeast Missouri State,W (1 OT),66.0,63.0,21.0,54.0,0.389,8.0,23.0,0.348,16.0,22.0,0.727,5.0,31.0,8.0,4.0,4.0,7.0,17.0,,23.0,55.0,0.418,8.0,16.0,0.5,9.0,15.0,0.6,8.0,38.0,9.0,4.0,0.0,16.0,24.0,3.0,1,5,64.5,1,0,0,1,65.0,75.25,0.11339871481918834,0.0054125149725233745,0.39249999999999996,0.48025,70.125,0.3125,-10.25,-0.14616755793226383,-4.839999999999989,0.5161199999999999,-0.072045251562965,MVC
2020-12-21,,Belmont,L,63.0,72.0,20.0,50.0,0.4,11.0,26.0,0.423,12.0,14.0,0.857,2.0,19.0,10.0,5.0,4.0,11.0,15.0,,26.0,47.0,0.553,4.0,13.0,0.308,16.0,19.0,0.842,4.0,31.0,9.0,6.0,2.0,13.0,20.0,-9.0,0,6,67.5,1,0,0,1,65.2,72.8,0.10058606734396419,0.0161459675664411,0.3918,0.4678,69.0,0.0,-7.599999999999994,-0.1101449275362318,-4.839999999999989,0.5161199999999999,-0.072045251562965,MVC
2020-12-27,@,Southern Illinois,L,57.0,63.0,19.0,49.0,0.388,10.0,29.0,0.345,9.0,14.0,0.643,6.0,29.0,13.0,5.0,5.0,11.0,23.0,,20.0,48.0,0.417,2.0,13.0,0.154,21.0,29.0,0.724,4.0,30.0,8.0,5.0,1.0,9.0,18.0,-6.0,0,7,60.0,0,1,0,-1,64.83333333333333,72.66666666666667,0.11835224457991611,-0.010772068525906953,0.39316666666666666,0.482,68.75,0.19444444444444442,-7.833333333333343,-0.11393939393939408,-4.839999999999989,0.5161199999999999,-0.072045251562965,MVC
2020-12-28,@,Southern Illinois,W,84.0,72.0,26.0,47.0,0.553,17.0,29.0,0.586,15.0,17.0,0.882,3.0,27.0,17.0,4.0,3.0,12.0,13.0,,26.0,53.0,0.491,10.0,22.0,0.455,10.0,14.0,0.714,3.0,18.0,17.0,6.0,3.0,9.0,18.0,12.0,1,8,78.0,0,1,0,-1,63.714285714285715,71.28571428571429,0.13042182623691861,-0.03697125589146372,0.3924285714285714,0.4727142857142857,67.5,0.0,-7.5714285714285765,-0.11216931216931224,-4.839999999999989,0.5161199999999999,-0.072045251562965,MVC
2021-01-02,,Northern Iowa,W,65.0,61.0,22.0,55.0,0.4,11.0,33.0,0.333,10.0,13.0,0.769,1.0,22.0,14.0,10.0,5.0,9.0,14.0,,23.0,51.0,0.451,0.0,11.0,0.0,15.0,17.0,0.882,5.0,38.0,12.0,7.0,2.0,16.0,17.0,4.0,1,9,63.0,1,0,0,1,66.25,71.375,0.15628695865082842,-0.01930369660476422,0.4125,0.475,68.8125,0.140625,-5.125,-0.07447774750227067,-4.839999999999989,0.5161199999999999,-0.072045251562965,MVC
2021-01-03,,Northern Iowa,W,70.0,64.0,24.0,52.0,0.462,12.0,32.0,0.375,10.0,14.0,0.714,6.0,27.0,12.0,4.0,1.0,5.0,10.0,,25.0,57.0,0.439,7.0,18.0,0.389,7.0,10.0,0.7,10.0,34.0,7.0,3.0,2.0,9.0,10.0,6.0,1,10,67.0,1,0,0,1,66.11111111111111,70.22222222222223,0.16042521772804424,-0.04770157729376201,0.4111111111111111,0.47233333333333327,68.16666666666667,0.0,-4.111111111111114,-0.060309698451507784,-4.839999999999989,0.5161199999999999,-0.072045251562965,MVC
