Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,result,Win,Game_Number,Mean_Score,Home,Away,Neutral,Comb_Loc,Avg_Score,Opp_Avg_Score,Avg_Threes,Opp_Avg_Threes,Avg_FG_Pct,Opp_Avg_FG_Pct,Avg_Mean_Score,Home_Pct,Avg_Result,Pct_Margin,Avg_Result_Fin,Opp_Avg_FG_Pct_Fin,Pct_Margin_Fin,Conference
2020-12-28,@,Colorado State,L,53.0,75.0,20.0,49.0,0.408,4.0,23.0,0.174,9.0,19.0,0.474,9.0,32.0,7.0,6.0,1.0,22.0,19.0,,24.0,50.0,0.48,12.0,28.0,0.429,15.0,21.0,0.714,6.0,30.0,17.0,8.0,3.0,13.0,20.0,-22.0,0,1,64.0,0,1,0,-1,,,,,,,,,,,-3.6363636363636402,0.4512272727272728,-0.0545702592087313,MWC
2020-12-30,@,Colorado State,L,59.0,81.0,23.0,67.0,0.343,6.0,30.0,0.2,7.0,14.0,0.5,12.0,32.0,11.0,5.0,2.0,14.0,26.0,,23.0,44.0,0.523,9.0,22.0,0.409,26.0,32.0,0.813,1.0,35.0,17.0,5.0,3.0,18.0,15.0,-22.0,0,2,70.0,0,1,0,-1,53.0,75.0,-0.08710926776426592,0.16647563789611142,0.408,0.48,64.0,2.0,-22.0,-0.34375,-3.6363636363636402,0.4512272727272728,-0.0545702592087313,MWC
2021-01-02,,Wyoming,L,74.0,78.0,27.0,55.0,0.491,5.0,16.0,0.313,15.0,22.0,0.682,8.0,31.0,11.0,8.0,5.0,16.0,23.0,,22.0,51.0,0.431,12.0,30.0,0.4,22.0,26.0,0.846,4.0,27.0,14.0,9.0,2.0,13.0,23.0,-4.0,0,3,76.0,1,0,0,1,56.0,78.0,-0.045667219246745716,0.09032179174226529,0.3755,0.5015000000000001,67.0,3.0,-22.0,-0.3283582089552239,-3.6363636363636402,0.4512272727272728,-0.0545702592087313,MWC
2021-01-04,,Wyoming,W,81.0,61.0,31.0,56.0,0.554,6.0,18.0,0.333,13.0,16.0,0.813,12.0,42.0,9.0,5.0,7.0,11.0,21.0,,22.0,57.0,0.386,5.0,17.0,0.294,12.0,18.0,0.667,7.0,23.0,6.0,4.0,0.0,7.0,15.0,20.0,1,4,71.0,1,0,0,1,62.0,78.0,-0.07158887823292082,0.10955256097303451,0.414,0.47800000000000004,70.0,0.4444444444444444,-16.0,-0.22857142857142856,-3.6363636363636402,0.4512272727272728,-0.0545702592087313,MWC
2021-01-08,,San Jose State,W,79.0,64.0,28.0,63.0,0.444,7.0,26.0,0.269,16.0,25.0,0.64,22.0,46.0,11.0,7.0,6.0,14.0,11.0,,26.0,55.0,0.473,6.0,17.0,0.353,6.0,7.0,0.857,5.0,24.0,7.0,4.0,3.0,16.0,19.0,15.0,1,5,71.5,1,0,0,1,66.75,73.75,-0.07756930592411329,0.07291631586221314,0.449,0.45500000000000007,70.25,0.0,-7.0,-0.099644128113879,-3.6363636363636402,0.4512272727272728,-0.0545702592087313,MWC
2021-01-10,,San Jose State,W,80.0,65.0,29.0,66.0,0.439,13.0,29.0,0.448,9.0,20.0,0.45,15.0,39.0,14.0,5.0,5.0,9.0,12.0,,24.0,62.0,0.387,7.0,23.0,0.304,10.0,12.0,0.833,10.0,38.0,8.0,6.0,4.0,12.0,15.0,15.0,1,6,72.5,1,0,0,1,69.2,71.8,-0.07074979562990016,0.05416366018023405,0.44800000000000006,0.4586,70.5,0.24000000000000005,-2.5999999999999943,-0.0368794326241134,-3.6363636363636402,0.4512272727272728,-0.0545702592087313,MWC
2021-01-15,@,Nevada,L,57.0,73.0,21.0,56.0,0.375,7.0,25.0,0.28,8.0,11.0,0.727,5.0,21.0,10.0,9.0,2.0,11.0,14.0,,28.0,54.0,0.519,10.0,23.0,0.435,7.0,10.0,0.7,7.0,33.0,16.0,3.0,2.0,14.0,16.0,-16.0,0,7,65.0,0,1,0,-1,71.0,70.66666666666667,-0.02479196773769138,0.04732469449988502,0.44650000000000006,0.4466666666666667,70.83333333333333,0.7777777777777777,0.3333333333333286,0.00470588235294111,-3.6363636363636402,0.4512272727272728,-0.0545702592087313,MWC
2021-01-17,@,Nevada,L,65.0,79.0,18.0,43.0,0.419,6.0,16.0,0.375,23.0,37.0,0.622,5.0,29.0,8.0,7.0,0.0,18.0,21.0,,26.0,55.0,0.473,5.0,19.0,0.263,22.0,25.0,0.88,6.0,29.0,16.0,7.0,4.0,12.0,23.0,-14.0,0,8,72.0,0,1,0,-1,69.0,71.0,-0.015387716141155694,0.0546848934293106,0.43628571428571433,0.457,70.0,0.16326530612244897,-2.0,-0.02857142857142857,-3.6363636363636402,0.4512272727272728,-0.0545702592087313,MWC
2021-01-20,@,Boise State,L,51.0,73.0,19.0,50.0,0.38,3.0,13.0,0.231,10.0,14.0,0.714,5.0,30.0,6.0,6.0,2.0,15.0,16.0,,26.0,67.0,0.388,6.0,25.0,0.24,15.0,17.0,0.882,13.0,38.0,12.0,7.0,0.0,8.0,14.0,-22.0,0,9,62.0,0,1,0,-1,68.5,72.0,-0.017903924147684158,0.030225637896111435,0.43412500000000004,0.459,70.25,0.0,-3.5,-0.0498220640569395,-3.6363636363636402,0.4512272727272728,-0.0545702592087313,MWC
2021-01-28,,New Mexico,W (1 OT),64.0,62.0,21.0,59.0,0.356,10.0,30.0,0.333,12.0,22.0,0.545,12.0,40.0,14.0,11.0,0.0,17.0,21.0,,25.0,61.0,0.41,1.0,9.0,0.111,11.0,19.0,0.579,12.0,38.0,4.0,6.0,5.0,18.0,20.0,2.0,1,10,63.0,1,0,0,1,66.55555555555556,72.11111111111111,-0.02804856911557474,0.019295360546342566,0.4281111111111111,0.4511111111111112,69.33333333333333,0.12345679012345678,-5.555555555555557,-0.08012820512820516,-3.6363636363636402,0.4512272727272728,-0.0545702592087313,MWC
