Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,result,Win,Game_Number,Mean_Score,Home,Away,Comb_Loc,Avg_Score,Opp_Avg_Score,Avg_Threes,Opp_Avg_Threes,Avg_FG_Pct,Opp_Avg_FG_Pct,Avg_Mean_Score,Home_Pct,Avg_Result,Pct_Margin,Avg_Result_Fin,Opp_Avg_FG_Pct_Fin,Pct_Margin_Fin,Conference
2021-01-04,,Boston University,L,76.0,83.0,31.0,67.0,0.463,6.0,15.0,0.4,8.0,20.0,0.4,12.0,29.0,12.0,11.0,4.0,15.0,22.0,,32.0,59.0,0.542,7.0,18.0,0.389,12.0,20.0,0.6,8.0,36.0,12.0,10.0,5.0,19.0,20.0,-7.0,0,1,79.5,1,0,1,,,,,,,,,,,-5.4375,0.46937500000000004,-0.07413719642096293,Patriot
2021-01-05,@,Boston University,W,68.0,66.0,27.0,59.0,0.458,6.0,18.0,0.333,8.0,14.0,0.571,7.0,32.0,10.0,6.0,5.0,6.0,14.0,,24.0,65.0,0.369,7.0,26.0,0.269,11.0,15.0,0.733,13.0,40.0,10.0,1.0,3.0,10.0,13.0,2.0,1,2,67.0,0,1,-1,76.0,83.0,-0.07668225684073068,-0.0605123139111175,0.463,0.542,79.5,2.0,-7.0,-0.0880503144654088,-5.4375,0.46937500000000004,-0.07413719642096293,Patriot
2021-01-09,,Army,L,68.0,83.0,25.0,54.0,0.463,11.0,29.0,0.379,7.0,12.0,0.583,6.0,29.0,15.0,4.0,3.0,21.0,20.0,,32.0,64.0,0.5,7.0,22.0,0.318,12.0,17.0,0.706,10.0,33.0,14.0,10.0,2.0,12.0,15.0,-15.0,0,3,75.5,1,0,1,72.0,74.5,-0.06352436210388857,-0.0316451674730161,0.4605,0.4555,73.25,0.0,-2.5,-0.034129692832764506,-5.4375,0.46937500000000004,-0.07413719642096293,Patriot
2021-01-10,@,Army,W,70.0,61.0,25.0,56.0,0.446,11.0,24.0,0.458,9.0,12.0,0.75,8.0,33.0,12.0,10.0,4.0,15.0,14.0,,24.0,59.0,0.407,6.0,23.0,0.261,7.0,11.0,0.636,7.0,26.0,13.0,9.0,2.0,14.0,13.0,9.0,1,4,65.5,0,1,-1,70.66666666666667,77.33333333333333,0.011947336009318965,-0.041972637965957516,0.4613333333333334,0.4703333333333333,74.0,0.4444444444444444,-6.666666666666657,-0.09009009009008996,-5.4375,0.46937500000000004,-0.07413719642096293,Patriot
2021-01-16,@,Colgate,L,55.0,95.0,23.0,55.0,0.418,2.0,18.0,0.111,7.0,13.0,0.538,6.0,28.0,17.0,3.0,6.0,15.0,17.0,,36.0,75.0,0.48,14.0,29.0,0.483,9.0,14.0,0.643,16.0,43.0,26.0,9.0,1.0,5.0,16.0,-40.0,0,5,75.0,0,1,-1,70.5,73.25,0.048177765555685925,-0.03707385015849607,0.4575,0.4545,71.875,0.0,-2.75,-0.03826086956521739,-5.4375,0.46937500000000004,-0.07413719642096293,Patriot
2021-01-17,@,Colgate,L,87.0,96.0,30.0,61.0,0.492,5.0,12.0,0.417,22.0,30.0,0.733,9.0,35.0,15.0,8.0,3.0,15.0,28.0,,28.0,58.0,0.483,11.0,21.0,0.524,29.0,40.0,0.725,7.0,31.0,23.0,10.0,3.0,12.0,20.0,-9.0,0,6,91.5,0,1,-1,67.4,77.6,0.00695041534418267,0.003485947174461934,0.44960000000000006,0.4596,72.5,0.24000000000000005,-10.199999999999989,-0.14068965517241364,-5.4375,0.46937500000000004,-0.07413719642096293,Patriot
2021-01-23,,Lehigh,L,72.0,75.0,28.0,58.0,0.483,5.0,15.0,0.333,11.0,16.0,0.688,6.0,26.0,15.0,5.0,3.0,14.0,24.0,,28.0,57.0,0.491,6.0,14.0,0.429,13.0,21.0,0.619,8.0,31.0,18.0,6.0,2.0,11.0,16.0,-3.0,0,7,73.5,1,0,1,70.66666666666667,80.66666666666667,-0.023430022481247093,0.008789687482888275,0.4566666666666667,0.4635,75.66666666666667,0.7777777777777777,-10.0,-0.13215859030837004,-5.4375,0.46937500000000004,-0.07413719642096293,Patriot
2021-01-24,,Lehigh,L,74.0,82.0,26.0,68.0,0.382,4.0,20.0,0.2,18.0,21.0,0.857,9.0,25.0,8.0,9.0,4.0,7.0,21.0,,30.0,56.0,0.536,6.0,16.0,0.375,16.0,22.0,0.727,7.0,37.0,15.0,4.0,4.0,15.0,19.0,-8.0,0,8,78.0,1,0,1,70.85714285714286,79.85714285714286,-0.03529855565227569,-0.002254236880274929,0.46042857142857146,0.46742857142857147,75.35714285714286,0.16326530612244897,-9.0,-0.11943127962085308,-5.4375,0.46937500000000004,-0.07413719642096293,Patriot
2021-01-30,,Colgate,L (1 OT),63.0,74.0,25.0,72.0,0.347,4.0,18.0,0.222,9.0,13.0,0.692,12.0,37.0,9.0,6.0,2.0,12.0,16.0,,29.0,67.0,0.433,3.0,20.0,0.15,13.0,17.0,0.765,11.0,45.0,14.0,8.0,6.0,13.0,13.0,-11.0,0,9,68.5,1,0,1,71.25,80.125,-0.050366467367046475,-0.013992380824637385,0.45062500000000005,0.47600000000000003,75.6875,0.0,-8.875,-0.11725846407927333,-5.4375,0.46937500000000004,-0.07413719642096293,Patriot
2021-01-31,,Colgate,L,60.0,78.0,24.0,59.0,0.407,5.0,16.0,0.313,7.0,10.0,0.7,9.0,35.0,11.0,3.0,11.0,14.0,16.0,,27.0,68.0,0.397,6.0,21.0,0.286,18.0,22.0,0.818,12.0,39.0,9.0,9.0,5.0,7.0,12.0,-18.0,0,10,69.0,1,0,1,70.33333333333333,79.44444444444444,-0.05760019148777479,-0.032405480985007395,0.4391111111111112,0.47122222222222226,74.88888888888889,0.12345679012345678,-9.111111111111114,-0.12166172106824931,-5.4375,0.46937500000000004,-0.07413719642096293,Patriot
2021-02-13,,Boston University,W,82.0,65.0,27.0,47.0,0.574,9.0,17.0,0.529,19.0,22.0,0.864,4.0,28.0,13.0,6.0,1.0,13.0,21.0,,20.0,55.0,0.364,4.0,15.0,0.267,21.0,26.0,0.808,11.0,27.0,4.0,7.0,0.0,11.0,22.0,17.0,1,11,73.5,1,0,1,69.3,79.3,-0.05811310669263309,-0.0373579056095632,0.4359,0.4638000000000001,74.3,0.44000000000000006,-10.0,-0.13458950201884254,-5.4375,0.46937500000000004,-0.07413719642096293,Patriot
