Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,result,Win,Game_Number,Mean_Score,Home,Away,Neutral,Comb_Loc,Avg_Score,Opp_Avg_Score,Avg_Threes,Opp_Avg_Threes,Avg_FG_Pct,Opp_Avg_FG_Pct,Avg_Mean_Score,Home_Pct,Avg_Result,Pct_Margin,Avg_Result_Fin,Opp_Avg_FG_Pct_Fin,Pct_Margin_Fin,Conference
2020-11-30,@,Seton Hall,L,64.0,86.0,24.0,54.0,0.444,9.0,20.0,0.45,7.0,9.0,0.778,9.0,25.0,11.0,8.0,5.0,21.0,25.0,,32.0,58.0,0.552,7.0,22.0,0.318,15.0,23.0,0.652,13.0,33.0,15.0,13.0,4.0,15.0,15.0,-22.0,0,1,75.0,0,1,0,-1,,,,,,,,,,,6.294117647058826,0.4004117647058823,0.09110259684972331,MAAC
2020-12-05,@,Hofstra,W,82.0,74.0,28.0,65.0,0.431,10.0,30.0,0.333,16.0,19.0,0.842,13.0,43.0,17.0,5.0,7.0,13.0,29.0,,21.0,51.0,0.412,6.0,23.0,0.261,26.0,39.0,0.667,6.0,31.0,9.0,6.0,0.0,12.0,16.0,8.0,1,2,78.0,0,1,0,-1,64.0,86.0,0.10835063789611143,-0.06933831559226067,0.444,0.552,75.0,2.0,-22.0,-0.29333333333333333,6.294117647058826,0.4004117647058823,0.09110259684972331,MAAC
2020-12-08,,Morgan State,L,72.0,83.0,27.0,58.0,0.466,6.0,25.0,0.24,12.0,15.0,0.8,9.0,27.0,15.0,6.0,5.0,17.0,21.0,,25.0,52.0,0.481,11.0,19.0,0.579,22.0,26.0,0.846,8.0,28.0,20.0,7.0,1.0,14.0,19.0,-11.0,0,3,77.5,1,0,0,1,73.0,80.0,0.07688659680022103,-0.06977436210388857,0.4375,0.482,76.5,3.0,-7.0,-0.0915032679738562,6.294117647058826,0.4004117647058823,0.09110259684972331,MAAC
2020-12-11,@,Fairfield,W,70.0,42.0,28.0,61.0,0.459,7.0,18.0,0.389,7.0,11.0,0.636,9.0,37.0,14.0,6.0,2.0,10.0,21.0,,14.0,51.0,0.275,4.0,16.0,0.25,10.0,14.0,0.714,8.0,33.0,6.0,5.0,2.0,17.0,19.0,28.0,1,4,56.0,0,1,0,-1,72.66666666666667,81.0,0.030512335143817848,-0.017228065807592285,0.447,0.48166666666666663,76.83333333333333,0.4444444444444444,-8.333333333333329,-0.10845986984815613,6.294117647058826,0.4004117647058823,0.09110259684972331,MAAC
2020-12-12,@,Fairfield,L,52.0,67.0,18.0,55.0,0.327,3.0,14.0,0.214,13.0,18.0,0.722,9.0,29.0,8.0,6.0,1.0,17.0,21.0,,23.0,54.0,0.426,5.0,18.0,0.278,16.0,23.0,0.696,11.0,36.0,12.0,7.0,5.0,13.0,16.0,-15.0,0,5,59.5,0,1,0,-1,72.0,71.25,0.01980897122944475,-0.018787519998625435,0.45,0.42999999999999994,71.625,1.25,0.75,0.010471204188481676,6.294117647058826,0.4004117647058823,0.09110259684972331,MAAC
2020-12-18,@,Rider,W,70.0,56.0,28.0,60.0,0.467,4.0,21.0,0.19,10.0,17.0,0.588,10.0,32.0,16.0,9.0,6.0,10.0,19.0,,21.0,50.0,0.42,4.0,15.0,0.267,10.0,12.0,0.833,6.0,27.0,13.0,4.0,2.0,16.0,14.0,14.0,1,6,63.0,0,1,0,-1,68.0,70.4,-0.004700832692123846,-0.03227436210388862,0.42540000000000006,0.42919999999999997,69.2,2.16,-2.4000000000000057,-0.03468208092485557,6.294117647058826,0.4004117647058823,0.09110259684972331,MAAC
2020-12-19,@,Rider,W,72.0,64.0,22.0,43.0,0.512,11.0,23.0,0.478,17.0,28.0,0.607,4.0,23.0,18.0,5.0,3.0,12.0,21.0,,20.0,52.0,0.385,1.0,9.0,0.111,23.0,29.0,0.793,8.0,30.0,4.0,4.0,1.0,9.0,26.0,8.0,1,7,68.0,0,1,0,-1,68.33333333333333,68.0,-0.02815850844535195,-0.04146553857447682,0.4323333333333334,0.42766666666666664,68.16666666666667,3.1111111111111107,0.3333333333333286,0.00488997555012218,6.294117647058826,0.4004117647058823,0.09110259684972331,MAAC
2020-12-23,,Coppin State,W,85.0,65.0,28.0,67.0,0.418,11.0,32.0,0.344,18.0,24.0,0.75,17.0,49.0,18.0,7.0,4.0,12.0,19.0,,22.0,48.0,0.458,9.0,24.0,0.375,12.0,23.0,0.522,1.0,22.0,10.0,7.0,0.0,14.0,21.0,20.0,1,8,75.0,1,0,0,1,68.85714285714286,67.42857142857143,-0.002321042601813872,-0.07199893837507504,0.4437142857142858,0.42157142857142854,68.14285714285714,4.081632653061225,1.4285714285714306,0.02096436058700213,6.294117647058826,0.4004117647058823,0.09110259684972331,MAAC
2021-02-12,,Manhattan,W,85.0,67.0,26.0,52.0,0.5,10.0,21.0,0.476,23.0,30.0,0.767,8.0,34.0,18.0,8.0,6.0,20.0,26.0,,22.0,57.0,0.386,3.0,18.0,0.167,20.0,33.0,0.606,12.0,27.0,12.0,14.0,8.0,16.0,23.0,18.0,1,9,76.0,1,0,0,1,70.875,67.125,0.009226960647434168,-0.05095452970165393,0.44050000000000006,0.426125,69.0,2.25,3.75,0.05434782608695652,6.294117647058826,0.4004117647058823,0.09110259684972331,MAAC
2021-02-13,,Manhattan,L,70.0,77.0,22.0,50.0,0.44,5.0,19.0,0.263,21.0,27.0,0.778,9.0,29.0,14.0,9.0,2.0,15.0,19.0,,23.0,52.0,0.442,8.0,18.0,0.444,23.0,32.0,0.719,14.0,31.0,16.0,8.0,2.0,14.0,24.0,-7.0,0,10,73.5,1,0,0,1,72.44444444444444,67.11111111111111,0.013162754460528614,-0.06517999124296145,0.44711111111111124,0.42166666666666663,69.77777777777777,1.1111111111111112,5.333333333333329,0.07643312101910822,6.294117647058826,0.4004117647058823,0.09110259684972331,MAAC
2021-02-17,@,Quinnipiac,L,70.0,74.0,27.0,60.0,0.45,9.0,25.0,0.36,7.0,10.0,0.7,7.0,32.0,11.0,5.0,5.0,15.0,25.0,,23.0,54.0,0.426,9.0,25.0,0.36,19.0,25.0,0.76,6.0,30.0,16.0,3.0,3.0,12.0,15.0,-4.0,0,11,72.0,0,1,0,-1,72.2,68.1,0.002265111580321888,-0.05801775417437316,0.44640000000000013,0.4237,70.15,0.44000000000000006,4.1000000000000085,0.05844618674269434,6.294117647058826,0.4004117647058823,0.09110259684972331,MAAC
2021-02-19,,Monmouth,W,91.0,86.0,31.0,56.0,0.554,8.0,19.0,0.421,21.0,28.0,0.75,5.0,32.0,20.0,11.0,9.0,25.0,30.0,,26.0,67.0,0.388,5.0,18.0,0.278,29.0,37.0,0.784,12.0,33.0,13.0,12.0,1.0,15.0,21.0,5.0,1,12,88.5,1,0,0,1,72.0,68.63636363636364,0.008445334865808451,-0.04729919654097464,0.44672727272727286,0.42390909090909096,70.31818181818181,0.8925619834710743,3.3636363636363598,0.047834518422753665,6.294117647058826,0.4004117647058823,0.09110259684972331,MAAC
2021-02-20,,Monmouth,W,88.0,65.0,27.0,60.0,0.45,13.0,28.0,0.464,21.0,23.0,0.913,11.0,42.0,16.0,7.0,5.0,17.0,21.0,,20.0,59.0,0.339,8.0,29.0,0.276,17.0,24.0,0.708,6.0,25.0,13.0,11.0,5.0,13.0,19.0,23.0,1,13,76.5,1,0,0,1,73.58333333333333,70.08333333333333,0.0024439278168362777,-0.05668726341185526,0.45566666666666683,0.42091666666666666,71.83333333333333,0.3611111111111111,3.5,0.04872389791183295,6.294117647058826,0.4004117647058823,0.09110259684972331,MAAC
2021-03-09,N,Quinnipiac,W,72.0,48.0,28.0,60.0,0.467,3.0,7.0,0.429,13.0,19.0,0.684,12.0,49.0,11.0,7.0,1.0,14.0,20.0,,16.0,57.0,0.281,7.0,26.0,0.269,9.0,20.0,0.45,7.0,25.0,12.0,5.0,2.0,12.0,17.0,24.0,1,14,60.0,0,0,1,0,74.6923076923077,69.6923076923077,0.013973063230817873,-0.048623699852232916,0.4552307692307694,0.41461538461538466,72.1923076923077,0.08284023668639054,5.0,0.06925945657964837,6.294117647058826,0.4004117647058823,0.09110259684972331,MAAC
2021-03-10,N,Siena,W,55.0,52.0,14.0,55.0,0.255,7.0,25.0,0.28,20.0,24.0,0.833,10.0,29.0,9.0,9.0,2.0,10.0,17.0,,20.0,42.0,0.476,5.0,15.0,0.333,7.0,16.0,0.438,3.0,27.0,8.0,6.0,4.0,16.0,24.0,3.0,1,15,53.5,0,0,1,0,74.5,68.14285714285714,-5.666034856910418e-06,-0.03993945644351121,0.4560714285714287,0.4050714285714286,71.32142857142857,0.07653061224489795,6.357142857142861,0.0891337005508263,6.294117647058826,0.4004117647058823,0.09110259684972331,MAAC
2021-03-12,N,Niagara,W,70.0,64.0,23.0,45.0,0.511,7.0,15.0,0.467,17.0,25.0,0.68,8.0,36.0,12.0,3.0,0.0,15.0,20.0,,19.0,53.0,0.358,7.0,29.0,0.241,19.0,26.0,0.731,9.0,25.0,12.0,9.0,1.0,10.0,23.0,6.0,1,16,67.0,0,0,1,0,73.2,67.06666666666666,0.0034155286064939117,-0.03917048536432588,0.44266666666666676,0.4098,70.13333333333334,0.07111111111111111,6.13333333333334,0.08745247148288982,6.294117647058826,0.4004117647058823,0.09110259684972331,MAAC
