Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,result,Win,Game_Number,Mean_Score,Home,Away,Neutral,Comb_Loc,Avg_Score,Opp_Avg_Score,Avg_Threes,Opp_Avg_Threes,Avg_FG_Pct,Opp_Avg_FG_Pct,Avg_Mean_Score,Home_Pct,Avg_Result,Pct_Margin,Avg_Result_Fin,Opp_Avg_FG_Pct_Fin,Pct_Margin_Fin,Conference
2020-11-25,@,Houston,L,45.0,89.0,15.0,50.0,0.3,1.0,13.0,0.077,14.0,22.0,0.636,7.0,28.0,8.0,3.0,0.0,22.0,19.0,,30.0,72.0,0.417,13.0,33.0,0.394,16.0,21.0,0.762,18.0,47.0,16.0,11.0,8.0,9.0,18.0,-44.0,0,1,67.0,0,1,0,-1,,,,,,,,,,,-6.535714285714292,0.45389285714285715,-0.0945980873610753,Southland
2020-11-27,@,Tulane,L,57.0,66.0,19.0,55.0,0.345,3.0,15.0,0.2,16.0,27.0,0.593,12.0,41.0,10.0,7.0,2.0,16.0,21.0,,20.0,62.0,0.323,10.0,29.0,0.345,16.0,23.0,0.696,12.0,39.0,8.0,6.0,4.0,14.0,22.0,-9.0,0,2,61.5,0,1,0,-1,45.0,89.0,-0.2468576954372219,0.12467788508712269,0.3,0.417,67.0,2.0,-44.0,-0.6567164179104478,-6.535714285714292,0.45389285714285715,-0.0945980873610753,Southland
2020-11-28,N,Lipscomb,L,73.0,76.0,27.0,57.0,0.474,5.0,14.0,0.357,14.0,19.0,0.737,7.0,32.0,16.0,5.0,4.0,14.0,16.0,,30.0,54.0,0.556,10.0,21.0,0.476,6.0,17.0,0.353,2.0,24.0,23.0,6.0,0.0,15.0,18.0,-3.0,0,3,74.5,0,0,1,0,51.0,77.5,-0.19587730328035916,0.1316369282186921,0.3225,0.37,64.25,3.0,-26.5,-0.41245136186770426,-6.535714285714292,0.45389285714285715,-0.0945980873610753,Southland
2020-12-05,@,Air Force,L,44.0,59.0,16.0,50.0,0.32,1.0,6.0,0.167,11.0,16.0,0.688,5.0,26.0,3.0,9.0,3.0,12.0,15.0,,21.0,41.0,0.512,9.0,21.0,0.429,8.0,11.0,0.727,1.0,28.0,16.0,9.0,4.0,15.0,16.0,-15.0,0,4,51.5,0,1,0,-1,58.333333333333336,77.0,-0.1592386478181743,0.11504706646753998,0.373,0.432,67.66666666666667,1.7777777777777777,-18.666666666666664,-0.2758620689655172,-6.535714285714292,0.45389285714285715,-0.0945980873610753,Southland
2020-12-09,@,Louisiana-Monroe,W,63.0,60.0,25.0,63.0,0.397,5.0,13.0,0.385,8.0,13.0,0.615,10.0,41.0,12.0,8.0,4.0,12.0,17.0,,25.0,57.0,0.439,5.0,19.0,0.263,5.0,14.0,0.357,6.0,35.0,13.0,7.0,2.0,15.0,15.0,3.0,1,5,61.5,0,1,0,-1,54.75,72.5,-0.17653806073402556,0.12095839651680107,0.35975,0.452,63.625,2.8125,-17.75,-0.27897838899803534,-6.535714285714292,0.45389285714285715,-0.0945980873610753,Southland
2020-12-15,,Southern Miss,L,63.0,66.0,19.0,53.0,0.358,5.0,22.0,0.227,20.0,22.0,0.909,6.0,23.0,11.0,10.0,1.0,10.0,14.0,,26.0,52.0,0.5,9.0,21.0,0.429,5.0,7.0,0.714,7.0,32.0,16.0,3.0,3.0,21.0,19.0,-3.0,0,6,64.5,1,0,0,1,56.4,70.0,-0.15394989401878217,0.08933278075325435,0.3672,0.44939999999999997,63.2,3.8400000000000007,-13.600000000000001,-0.21518987341772153,-6.535714285714292,0.45389285714285715,-0.0945980873610753,Southland
2020-12-19,@,Louisiana Tech,L,57.0,86.0,20.0,61.0,0.328,2.0,21.0,0.095,15.0,19.0,0.789,5.0,31.0,7.0,5.0,4.0,11.0,16.0,,33.0,70.0,0.471,7.0,21.0,0.333,13.0,20.0,0.65,11.0,40.0,18.0,6.0,6.0,12.0,17.0,-29.0,0,7,71.5,0,1,0,-1,57.5,69.33333333333333,-0.1396113186256277,0.09032179174226529,0.36566666666666664,0.4578333333333333,63.416666666666664,1.75,-11.833333333333329,-0.1865965834428383,-6.535714285714292,0.45389285714285715,-0.0945980873610753,Southland
2020-12-22,@,UTSA,L,66.0,88.0,24.0,56.0,0.429,7.0,21.0,0.333,11.0,17.0,0.647,7.0,34.0,9.0,1.0,5.0,20.0,29.0,,32.0,63.0,0.508,5.0,19.0,0.263,19.0,32.0,0.594,9.0,35.0,17.0,6.0,5.0,9.0,22.0,-22.0,0,8,77.0,0,1,0,-1,57.42857142857143,71.71428571428571,-0.14934525762627662,0.06296966180049396,0.36028571428571426,0.4597142857142857,64.57142857142857,2.6122448979591835,-14.285714285714278,-0.22123893805309722,-6.535714285714292,0.45389285714285715,-0.0945980873610753,Southland
2020-12-29,,Southeastern Louisiana,W,74.0,64.0,25.0,60.0,0.417,8.0,20.0,0.4,16.0,18.0,0.889,6.0,35.0,18.0,8.0,8.0,9.0,17.0,,24.0,61.0,0.393,5.0,22.0,0.227,11.0,16.0,0.688,9.0,38.0,13.0,6.0,5.0,15.0,19.0,10.0,1,9,69.0,1,0,0,1,58.5,73.75,-0.12762692620645266,0.0322383497605182,0.36887499999999995,0.46575,66.125,3.515625,-15.25,-0.23062381852551986,-6.535714285714292,0.45389285714285715,-0.0945980873610753,Southland
2021-01-02,@,Abilene Christian,L,65.0,83.0,21.0,51.0,0.412,4.0,20.0,0.2,19.0,24.0,0.792,7.0,29.0,11.0,3.0,6.0,18.0,20.0,,30.0,69.0,0.435,9.0,20.0,0.45,14.0,21.0,0.667,15.0,38.0,21.0,11.0,3.0,13.0,23.0,-18.0,0,10,74.0,0,1,0,-1,60.22222222222222,72.66666666666667,-0.10872731413340889,0.021338023217212287,0.3742222222222222,0.45766666666666667,66.44444444444444,1.9753086419753085,-12.44444444444445,-0.18729096989966565,-6.535714285714292,0.45389285714285715,-0.0945980873610753,Southland
2021-01-06,@,Nicholls State,L,69.0,76.0,27.0,71.0,0.38,5.0,18.0,0.278,10.0,12.0,0.833,10.0,33.0,8.0,4.0,1.0,4.0,13.0,,32.0,65.0,0.492,6.0,22.0,0.273,6.0,14.0,0.429,11.0,44.0,9.0,4.0,6.0,7.0,15.0,-7.0,0,11,72.5,0,1,0,-1,60.7,73.7,-0.1108884477711044,0.020261255263818334,0.37799999999999995,0.4553999999999999,67.2,2.75,-13.0,-0.19345238095238093,-6.535714285714292,0.45389285714285715,-0.0945980873610753,Southland
2021-01-09,,Houston Baptist,W,71.0,65.0,27.0,55.0,0.491,3.0,16.0,0.188,14.0,17.0,0.824,9.0,32.0,17.0,9.0,1.0,18.0,14.0,,26.0,49.0,0.531,9.0,24.0,0.375,4.0,8.0,0.5,3.0,23.0,21.0,9.0,4.0,22.0,18.0,6.0,1,12,68.0,1,0,0,1,61.45454545454545,73.9090909090909,-0.10938235026956905,0.011198885128583747,0.3781818181818181,0.45872727272727265,67.68181818181819,3.570247933884297,-12.454545454545453,-0.18401611820013428,-6.535714285714292,0.45389285714285715,-0.0945980873610753,Southland
2021-01-13,@,Sam Houston State,L,71.0,96.0,28.0,59.0,0.475,2.0,11.0,0.182,13.0,26.0,0.5,7.0,24.0,14.0,9.0,3.0,15.0,15.0,,36.0,65.0,0.554,14.0,31.0,0.452,10.0,13.0,0.769,8.0,39.0,20.0,5.0,1.0,16.0,23.0,-25.0,0,13,83.5,0,1,0,-1,62.25,73.16666666666667,-0.11673721350951105,0.017910717622762917,0.3875833333333332,0.46474999999999994,67.70833333333333,2.2569444444444446,-10.916666666666671,-0.16123076923076932,-6.535714285714292,0.45389285714285715,-0.0945980873610753,Southland
2021-01-23,@,Stephen F. Austin,L,72.0,102.0,27.0,64.0,0.422,2.0,7.0,0.286,16.0,23.0,0.696,12.0,27.0,13.0,11.0,2.0,14.0,16.0,,37.0,62.0,0.597,9.0,20.0,0.45,19.0,19.0,1.0,8.0,30.0,19.0,8.0,5.0,15.0,20.0,-30.0,0,14,87.0,0,1,0,-1,62.92307692307692,74.92307692307692,-0.12648279731171252,0.028364754939232573,0.3943076923076922,0.47161538461538455,68.92307692307692,2.9822485207100597,-12.0,-0.17410714285714288,-6.535714285714292,0.45389285714285715,-0.0945980873610753,Southland
2021-01-30,,McNeese State,W,64.0,56.0,23.0,60.0,0.383,5.0,21.0,0.238,13.0,15.0,0.867,10.0,37.0,16.0,8.0,4.0,10.0,13.0,,20.0,56.0,0.357,7.0,20.0,0.35,9.0,12.0,0.75,9.0,36.0,12.0,4.0,2.0,12.0,15.0,8.0,1,15,60.0,1,0,0,1,63.57142857142857,76.85714285714286,-0.13487267671063013,0.02104812860243116,0.3962857142857142,0.48057142857142854,70.21428571428571,3.75,-13.285714285714292,-0.18921668362156674,-6.535714285714292,0.45389285714285715,-0.0945980873610753,Southland
2021-02-03,,Incarnate Word,L,58.0,67.0,21.0,56.0,0.375,6.0,16.0,0.375,10.0,13.0,0.769,8.0,26.0,15.0,10.0,4.0,9.0,17.0,,21.0,46.0,0.457,9.0,16.0,0.563,16.0,22.0,0.727,7.0,35.0,14.0,3.0,2.0,14.0,11.0,-9.0,0,16,62.5,1,0,0,1,63.6,75.46666666666667,-0.13113442499697034,0.023048076058655553,0.39539999999999986,0.4723333333333333,69.53333333333333,2.5600000000000005,-11.866666666666667,-0.1706615532118888,-6.535714285714292,0.45389285714285715,-0.0945980873610753,Southland
2021-02-06,,Abilene Christian,L,62.0,77.0,22.0,45.0,0.489,10.0,12.0,0.833,8.0,15.0,0.533,7.0,31.0,11.0,4.0,4.0,17.0,15.0,,30.0,61.0,0.492,11.0,22.0,0.5,6.0,12.0,0.5,9.0,30.0,20.0,11.0,2.0,7.0,14.0,-15.0,0,17,69.5,1,0,0,1,63.25,74.9375,-0.12380104194578581,0.026759207537479235,0.3941249999999999,0.471375,69.09375,1.66015625,-11.6875,-0.1691542288557214,-6.535714285714292,0.45389285714285715,-0.0945980873610753,Southland
2021-02-10,,Nicholls State,L,71.0,76.0,22.0,60.0,0.367,4.0,16.0,0.25,23.0,31.0,0.742,11.0,36.0,10.0,6.0,5.0,9.0,16.0,,30.0,65.0,0.462,7.0,22.0,0.318,9.0,15.0,0.6,11.0,39.0,14.0,3.0,3.0,11.0,20.0,-5.0,0,18,73.5,1,0,0,1,63.1764705882353,75.05882352941177,-0.10682045148936345,0.03208692316256906,0.3997058823529411,0.4725882352941176,69.11764705882354,0.9965397923875433,-11.882352941176471,-0.17191489361702125,-6.535714285714292,0.45389285714285715,-0.0945980873610753,Southland
2021-02-13,@,Houston Baptist,L,75.0,80.0,24.0,62.0,0.387,8.0,21.0,0.381,19.0,20.0,0.95,13.0,34.0,10.0,11.0,7.0,15.0,20.0,,28.0,60.0,0.467,9.0,14.0,0.643,15.0,23.0,0.652,11.0,34.0,14.0,7.0,3.0,16.0,16.0,-5.0,0,19,77.5,0,1,0,-1,63.611111111111114,75.11111111111111,-0.10915754987681434,0.02819161422747235,0.3978888888888888,0.4719999999999999,69.36111111111111,0.5277777777777778,-11.5,-0.1657989587505006,-6.535714285714292,0.45389285714285715,-0.0945980873610753,Southland
2021-02-20,@,Texas A&M-Corpus Christi,L,68.0,77.0,24.0,57.0,0.421,3.0,17.0,0.176,17.0,21.0,0.81,9.0,33.0,14.0,5.0,5.0,12.0,19.0,,27.0,58.0,0.466,8.0,19.0,0.421,15.0,18.0,0.833,6.0,30.0,17.0,8.0,0.0,13.0,22.0,-9.0,0,20,72.5,0,1,0,-1,64.21052631578948,75.36842105263158,-0.10204895226782304,0.02795608482348577,0.39731578947368407,0.4717368421052631,69.78947368421052,0.8864265927977838,-11.157894736842096,-0.15987933634992446,-6.535714285714292,0.45389285714285715,-0.0945980873610753,Southland
2021-02-22,,Sam Houston State,L,71.0,77.0,24.0,68.0,0.353,5.0,19.0,0.263,18.0,25.0,0.72,17.0,41.0,10.0,7.0,4.0,11.0,19.0,,23.0,54.0,0.426,8.0,26.0,0.308,23.0,28.0,0.821,3.0,30.0,11.0,5.0,3.0,12.0,20.0,-6.0,0,21,74.0,1,0,0,1,64.4,75.45,-0.10622622545792582,0.026435876464699914,0.3984999999999999,0.4714499999999999,69.925,1.3125,-11.049999999999997,-0.15802645691812653,-6.535714285714292,0.45389285714285715,-0.0945980873610753,Southland
2021-02-24,@,Incarnate Word,W,67.0,45.0,27.0,49.0,0.551,6.0,10.0,0.6,7.0,7.0,1.0,7.0,28.0,14.0,7.0,4.0,13.0,11.0,,16.0,47.0,0.34,7.0,17.0,0.412,6.0,8.0,0.75,5.0,18.0,10.0,6.0,0.0,11.0,12.0,22.0,1,22,56.0,0,1,0,-1,64.71428571428571,75.52380952380952,-0.10601884334009162,0.025063279762441826,0.39633333333333326,0.4692857142857142,70.11904761904762,0.7981859410430838,-10.80952380952381,-0.15415959252971137,-6.535714285714292,0.45389285714285715,-0.0945980873610753,Southland
2021-02-27,,Stephen F. Austin,W (2 OT),88.0,83.0,32.0,74.0,0.432,7.0,21.0,0.333,17.0,20.0,0.85,15.0,38.0,19.0,13.0,11.0,18.0,19.0,,28.0,63.0,0.444,7.0,12.0,0.583,20.0,22.0,0.909,10.0,37.0,14.0,10.0,5.0,20.0,19.0,5.0,1,23,85.5,1,0,0,1,64.81818181818181,74.13636363636364,-0.10314568047696007,0.028597035811500804,0.4033636363636363,0.4634090909090908,69.47727272727273,1.1880165289256197,-9.318181818181827,-0.1341184167484463,-6.535714285714292,0.45389285714285715,-0.0945980873610753,Southland
2021-03-01,,Texas A&M-Corpus Christi,W,66.0,47.0,27.0,55.0,0.491,6.0,14.0,0.429,6.0,12.0,0.5,7.0,39.0,14.0,11.0,6.0,19.0,16.0,,18.0,55.0,0.327,6.0,20.0,0.3,5.0,14.0,0.357,7.0,30.0,11.0,11.0,3.0,17.0,12.0,19.0,1,24,56.5,1,0,0,1,65.82608695652173,74.52173913043478,-0.10150322604048034,0.024281938946286552,0.4046086956521739,0.4625652173913043,70.17391304347827,0.7258979206049149,-8.695652173913047,-0.12391573729863696,-6.535714285714292,0.45389285714285715,-0.0945980873610753,Southland
2021-03-06,@,McNeese State,W,60.0,51.0,23.0,55.0,0.418,9.0,18.0,0.5,5.0,8.0,0.625,5.0,27.0,13.0,7.0,3.0,7.0,13.0,,21.0,50.0,0.42,4.0,14.0,0.286,5.0,7.0,0.714,5.0,32.0,9.0,3.0,4.0,13.0,9.0,9.0,1,25,55.5,0,1,0,-1,65.83333333333333,73.375,-0.0989674000785721,0.02548756293870086,0.4082083333333333,0.45691666666666664,69.60416666666667,0.390625,-7.541666666666671,-0.10835079317569596,-6.535714285714292,0.45389285714285715,-0.0945980873610753,Southland
2021-03-10,N,Houston Baptist,W,62.0,52.0,25.0,53.0,0.472,2.0,14.0,0.143,10.0,14.0,0.714,4.0,32.0,8.0,6.0,5.0,13.0,17.0,,21.0,63.0,0.333,4.0,16.0,0.25,6.0,9.0,0.667,11.0,32.0,7.0,11.0,3.0,15.0,15.0,10.0,1,26,57.0,0,0,1,0,65.6,72.48,-0.09035363039657146,0.02256835312789951,0.4085999999999999,0.45543999999999996,69.04,0.6656000000000001,-6.88000000000001,-0.09965237543453084,-6.535714285714292,0.45389285714285715,-0.0945980873610753,Southland
2021-03-11,N,Sam Houston State,W,70.0,69.0,27.0,53.0,0.509,8.0,14.0,0.571,8.0,12.0,0.667,4.0,22.0,12.0,7.0,4.0,11.0,12.0,,28.0,61.0,0.459,10.0,22.0,0.455,3.0,5.0,0.6,13.0,37.0,15.0,5.0,4.0,15.0,12.0,1.0,1,27,69.5,0,0,1,0,65.46153846153847,71.6923076923077,-0.09495796962445263,0.019630144333879718,0.41103846153846146,0.4507307692307692,68.57692307692308,0.6390532544378699,-6.230769230769226,-0.09085810431856416,-6.535714285714292,0.45389285714285715,-0.0945980873610753,Southland
2021-03-12,N,Abilene Christian,L,71.0,93.0,29.0,56.0,0.518,7.0,15.0,0.467,6.0,8.0,0.75,5.0,23.0,9.0,6.0,8.0,16.0,17.0,,34.0,64.0,0.531,9.0,21.0,0.429,16.0,21.0,0.762,11.0,32.0,22.0,11.0,2.0,10.0,12.0,-22.0,0,28,82.0,0,0,1,0,65.62962962962963,71.5925925925926,-0.09004806413549127,0.02325784172435763,0.4146666666666666,0.451037037037037,68.61111111111111,0.6145404663923182,-5.962962962962962,-0.08690958164642373,-6.535714285714292,0.45389285714285715,-0.0945980873610753,Southland
