Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,result,Win,Game_Number,Mean_Score,Home,Away,Neutral,Comb_Loc,Avg_Score,Opp_Avg_Score,Avg_Threes,Opp_Avg_Threes,Avg_FG_Pct,Opp_Avg_FG_Pct,Avg_Mean_Score,Home_Pct,Avg_Result,Pct_Margin,Avg_Result_Fin,Opp_Avg_FG_Pct_Fin,Pct_Margin_Fin,Conference
2020-11-27,,Texas-Arlington,W,76.0,71.0,28.0,64.0,0.438,9.0,23.0,0.391,11.0,17.0,0.647,7.0,41.0,13.0,4.0,2.0,12.0,17.0,,26.0,70.0,0.371,9.0,25.0,0.36,10.0,15.0,0.667,11.0,43.0,12.0,7.0,4.0,11.0,18.0,5.0,1,1,73.5,1,0,0,1,,,,,,,,,,,8.0,0.40096296296296297,0.11663066954643628,CUSA
2020-11-29,,Northwestern State,W,91.0,77.0,30.0,58.0,0.517,11.0,23.0,0.478,20.0,25.0,0.8,8.0,34.0,16.0,5.0,1.0,11.0,17.0,,28.0,66.0,0.424,10.0,20.0,0.5,11.0,15.0,0.733,11.0,31.0,12.0,3.0,4.0,9.0,21.0,14.0,1,2,84.0,1,0,0,1,76.0,71.0,0.04173879579084827,0.0667573280369565,0.438,0.371,73.5,2.0,5.0,0.06802721088435375,8.0,0.40096296296296297,0.11663066954643628,CUSA
2020-12-03,,Louisiana-Monroe,W,78.0,62.0,29.0,60.0,0.483,9.0,25.0,0.36,11.0,19.0,0.579,15.0,47.0,10.0,6.0,3.0,17.0,14.0,,24.0,61.0,0.393,8.0,26.0,0.308,6.0,10.0,0.6,4.0,20.0,13.0,10.0,4.0,10.0,17.0,16.0,1,3,70.0,1,0,0,1,83.5,74.0,0.04575707502185994,0.07161077303124658,0.47750000000000004,0.39749999999999996,78.75,3.0,9.5,0.12063492063492064,8.0,0.40096296296296297,0.11663066954643628,CUSA
2020-12-06,@,LSU,L,55.0,86.0,19.0,66.0,0.288,5.0,29.0,0.172,12.0,25.0,0.48,14.0,31.0,6.0,7.0,0.0,12.0,23.0,,26.0,48.0,0.542,8.0,20.0,0.4,26.0,34.0,0.765,4.0,43.0,7.0,7.0,4.0,14.0,17.0,-31.0,0,4,70.5,0,1,0,-1,81.66666666666667,70.0,0.04157767871243795,0.07218992361039717,0.4793333333333334,0.39599999999999996,75.83333333333333,4.0,11.666666666666671,0.1538461538461539,8.0,0.40096296296296297,0.11663066954643628,CUSA
2020-12-09,,Southeastern Louisiana,W,78.0,69.0,28.0,58.0,0.483,10.0,20.0,0.5,12.0,18.0,0.667,7.0,29.0,17.0,9.0,2.0,9.0,17.0,,28.0,49.0,0.571,8.0,17.0,0.471,5.0,17.0,0.294,7.0,29.0,15.0,4.0,5.0,17.0,22.0,9.0,1,5,73.5,1,0,0,1,75.0,74.0,0.02647563789611146,0.04120536762584115,0.43150000000000005,0.4325,74.5,1.25,1.0,0.013422818791946308,8.0,0.40096296296296297,0.11663066954643628,CUSA
2020-12-12,@,Louisiana,L,56.0,61.0,19.0,56.0,0.339,6.0,22.0,0.273,12.0,17.0,0.706,3.0,29.0,10.0,6.0,2.0,14.0,15.0,,22.0,64.0,0.344,6.0,25.0,0.24,11.0,15.0,0.733,10.0,45.0,7.0,6.0,2.0,17.0,18.0,-5.0,0,6,58.5,0,1,0,-1,75.6,73.0,0.03568198710246068,0.039900295430357946,0.4418,0.46020000000000005,74.3,2.16,2.5999999999999943,0.034993270524898985,8.0,0.40096296296296297,0.11663066954643628,CUSA
2020-12-15,,Jackson State,W,85.0,58.0,29.0,62.0,0.468,8.0,22.0,0.364,19.0,25.0,0.76,9.0,32.0,11.0,10.0,4.0,12.0,11.0,,24.0,60.0,0.4,3.0,11.0,0.273,7.0,8.0,0.875,9.0,34.0,6.0,8.0,3.0,24.0,25.0,27.0,1,7,71.5,1,0,0,1,72.33333333333333,71.0,0.03209775771177964,0.03154606043132269,0.4246666666666667,0.44083333333333335,71.66666666666667,0.7777777777777777,1.3333333333333286,0.01860465116279063,8.0,0.40096296296296297,0.11663066954643628,CUSA
2020-12-19,,Lamar,W,86.0,57.0,33.0,70.0,0.471,7.0,21.0,0.333,13.0,20.0,0.65,11.0,40.0,18.0,6.0,6.0,12.0,17.0,,20.0,61.0,0.328,2.0,21.0,0.095,15.0,19.0,0.789,5.0,31.0,7.0,5.0,4.0,11.0,16.0,29.0,1,8,71.5,1,0,0,1,74.14285714285714,69.14285714285714,0.021735753503047905,0.008789687482888275,0.4308571428571429,0.435,71.64285714285714,1.4693877551020407,5.0,0.06979062811565305,8.0,0.40096296296296297,0.11663066954643628,CUSA
2020-12-22,@,Louisiana-Monroe,W,68.0,57.0,23.0,52.0,0.442,8.0,26.0,0.308,14.0,21.0,0.667,7.0,39.0,8.0,7.0,1.0,18.0,14.0,,24.0,63.0,0.381,5.0,19.0,0.263,4.0,10.0,0.4,9.0,34.0,12.0,11.0,3.0,15.0,22.0,11.0,1,9,62.5,0,1,0,-1,75.625,67.625,0.008789687482888275,-0.0140788907545355,0.435875,0.42162499999999997,71.625,2.25,8.0,0.11169284467713787,8.0,0.40096296296296297,0.11663066954643628,CUSA
2021-01-01,,Marshall,W,75.0,68.0,27.0,58.0,0.466,7.0,21.0,0.333,14.0,26.0,0.538,7.0,37.0,9.0,5.0,3.0,8.0,13.0,,25.0,64.0,0.391,8.0,31.0,0.258,10.0,15.0,0.667,7.0,33.0,15.0,5.0,3.0,8.0,19.0,7.0,1,10,71.5,1,0,0,1,74.77777777777777,66.44444444444444,0.011884256023897477,-0.01753774003031,0.4365555555555556,0.41711111111111104,70.61111111111111,1.1111111111111112,8.333333333333329,0.11801730920535004,8.0,0.40096296296296297,0.11663066954643628,CUSA
