Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,result,Win,Game_Number,Mean_Score,Home,Away,Neutral,Comb_Loc,Avg_Score,Opp_Avg_Score,Avg_Threes,Opp_Avg_Threes,Avg_FG_Pct,Opp_Avg_FG_Pct,Avg_Mean_Score,Home_Pct,Avg_Result,Pct_Margin,Avg_Result_Fin,Opp_Avg_FG_Pct_Fin,Pct_Margin_Fin,Conference
2020-12-05,@,Binghamton,W (1 OT),68.0,65.0,23.0,57.0,0.404,6.0,16.0,0.375,16.0,20.0,0.8,7.0,40.0,8.0,6.0,2.0,15.0,20.0,,24.0,67.0,0.358,8.0,28.0,0.286,9.0,19.0,0.474,13.0,42.0,13.0,6.0,2.0,14.0,16.0,3.0,1,1,66.5,0,1,0,-1,,,,,,,,,,,-0.1904761904761898,0.39199999999999996,-0.0029985007496251765,MAAC
2020-12-06,,Binghamton,W,64.0,60.0,27.0,62.0,0.435,3.0,15.0,0.2,7.0,11.0,0.636,4.0,29.0,5.0,8.0,4.0,9.0,17.0,,22.0,51.0,0.431,8.0,24.0,0.333,8.0,13.0,0.615,5.0,34.0,16.0,2.0,5.0,16.0,13.0,4.0,1,2,62.0,1,0,0,1,68.0,65.0,-0.048818479750947386,0.055706407126880686,0.404,0.358,66.5,2.0,3.0,0.045112781954887216,-0.1904761904761898,0.39199999999999996,-0.0029985007496251765,MAAC
2020-12-11,@,Canisius,L,72.0,81.0,27.0,56.0,0.482,6.0,19.0,0.316,12.0,16.0,0.75,7.0,31.0,11.0,4.0,0.0,14.0,13.0,,32.0,58.0,0.552,9.0,25.0,0.36,8.0,14.0,0.571,4.0,25.0,18.0,3.0,5.0,8.0,15.0,-9.0,0,3,76.5,0,1,0,-1,66.0,62.5,-0.10897890755843401,0.07047563789611144,0.4195,0.39449999999999996,64.25,0.0,3.5,0.054474708171206226,-0.1904761904761898,0.39199999999999996,-0.0029985007496251765,MAAC
2020-12-12,@,Canisius,W,56.0,52.0,19.0,49.0,0.388,3.0,16.0,0.188,15.0,20.0,0.75,11.0,37.0,7.0,9.0,4.0,20.0,19.0,,16.0,54.0,0.296,6.0,25.0,0.24,14.0,21.0,0.667,9.0,29.0,10.0,9.0,1.0,17.0,19.0,4.0,1,4,54.0,0,1,0,-1,68.0,68.66666666666667,-0.09293612680977092,0.050553307799024005,0.4403333333333333,0.447,68.33333333333333,0.4444444444444444,-0.6666666666666714,-0.00975609756097568,-0.1904761904761898,0.39199999999999996,-0.0029985007496251765,MAAC
2020-12-19,@,Manhattan,W,61.0,39.0,20.0,45.0,0.444,12.0,24.0,0.5,9.0,10.0,0.9,5.0,27.0,13.0,10.0,3.0,23.0,15.0,,13.0,44.0,0.295,2.0,22.0,0.091,11.0,14.0,0.786,6.0,24.0,4.0,11.0,1.0,25.0,15.0,22.0,1,5,50.0,0,1,0,-1,65.0,64.5,-0.10583205441158086,0.046940754175181176,0.42725,0.40925,64.75,1.25,0.5,0.007722007722007722,-0.1904761904761898,0.39199999999999996,-0.0029985007496251765,MAAC
2020-12-20,@,Manhattan,W (1 OT),72.0,67.0,19.0,43.0,0.442,2.0,12.0,0.167,32.0,40.0,0.8,9.0,35.0,9.0,4.0,5.0,20.0,24.0,,23.0,64.0,0.359,8.0,26.0,0.308,13.0,17.0,0.765,15.0,31.0,11.0,8.0,3.0,14.0,29.0,5.0,1,6,69.5,0,1,0,-1,64.2,59.4,-0.033150530328187655,0.01980897122944475,0.4306,0.38639999999999997,61.8,2.16,4.800000000000004,0.07766990291262144,-0.1904761904761898,0.39199999999999996,-0.0029985007496251765,MAAC
2021-01-01,,Niagara,W,63.0,61.0,22.0,52.0,0.423,13.0,31.0,0.419,6.0,9.0,0.667,6.0,35.0,13.0,6.0,3.0,14.0,15.0,,23.0,58.0,0.397,7.0,22.0,0.318,8.0,12.0,0.667,5.0,29.0,10.0,6.0,1.0,10.0,12.0,2.0,1,7,62.0,1,0,0,1,65.5,60.666666666666664,-0.06924955294358323,0.024387725808199368,0.43250000000000005,0.3818333333333333,63.083333333333336,3.1111111111111107,4.833333333333336,0.07661822985468959,-0.1904761904761898,0.39199999999999996,-0.0029985007496251765,MAAC
2021-01-02,,Niagara,L,72.0,86.0,27.0,51.0,0.529,11.0,26.0,0.423,7.0,13.0,0.538,4.0,28.0,16.0,1.0,6.0,10.0,19.0,,24.0,60.0,0.4,14.0,31.0,0.452,24.0,25.0,0.96,7.0,30.0,10.0,5.0,0.0,3.0,15.0,-14.0,0,8,79.0,1,0,0,1,65.14285714285714,60.714285714285715,-0.01747173052494122,0.025299167307876125,0.43114285714285716,0.38399999999999995,62.92857142857143,1.4693877551020407,4.4285714285714235,0.07037457434733249,-0.1904761904761898,0.39199999999999996,-0.0029985007496251765,MAAC
2021-01-09,@,Monmouth,L,64.0,80.0,26.0,55.0,0.473,9.0,27.0,0.333,3.0,10.0,0.3,6.0,27.0,13.0,4.0,3.0,14.0,19.0,,27.0,54.0,0.5,8.0,15.0,0.533,18.0,23.0,0.783,7.0,32.0,13.0,8.0,4.0,9.0,16.0,-16.0,0,9,72.0,0,1,0,-1,66.0,63.875,0.0046574560779296115,0.05046781010746171,0.443375,0.38599999999999995,64.9375,0.5625,2.125,0.032723772858517804,-0.1904761904761898,0.39199999999999996,-0.0029985007496251765,MAAC
2021-01-10,@,Monmouth,L,62.0,72.0,20.0,56.0,0.357,3.0,27.0,0.111,19.0,28.0,0.679,7.0,31.0,11.0,10.0,7.0,13.0,22.0,,22.0,51.0,0.431,10.0,25.0,0.4,18.0,24.0,0.75,6.0,33.0,11.0,7.0,2.0,17.0,22.0,-10.0,0,10,67.0,0,1,0,-1,65.77777777777777,65.66666666666667,0.015867529788003376,0.04180558713469007,0.4466666666666667,0.3986666666666666,65.72222222222223,1.1111111111111112,0.11111111111110006,0.0016906170752322915,-0.1904761904761898,0.39199999999999996,-0.0029985007496251765,MAAC
