Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,result,Win,Game_Number,Mean_Score,Home,Away,Neutral,Comb_Loc,Avg_Score,Opp_Avg_Score,Avg_Threes,Opp_Avg_Threes,Avg_FG_Pct,Opp_Avg_FG_Pct,Avg_Mean_Score,Home_Pct,Avg_Result,Pct_Margin,Avg_Result_Fin,Opp_Avg_FG_Pct_Fin,Pct_Margin_Fin,Conference
2020-11-25,,Arkansas-Pine Bluff,W,99.0,57.0,29.0,56.0,0.518,10.0,26.0,0.385,31.0,43.0,0.721,12.0,44.0,20.0,9.0,10.0,14.0,23.0,,18.0,66.0,0.273,3.0,20.0,0.15,18.0,26.0,0.692,13.0,32.0,6.0,6.0,3.0,15.0,26.0,42.0,1,1,78.0,1,0,0,1,,,,,,,,,,,-0.07407407407406197,0.4155925925925925,-0.0010615711252652193,Big East
2020-11-27,,Eastern Illinois,W,75.0,50.0,22.0,50.0,0.44,9.0,19.0,0.474,22.0,34.0,0.647,9.0,48.0,15.0,6.0,4.0,14.0,17.0,,16.0,61.0,0.262,7.0,24.0,0.292,11.0,18.0,0.611,9.0,27.0,11.0,7.0,3.0,12.0,23.0,25.0,1,2,62.5,1,0,0,1,99.0,57.0,-0.010494059073585527,-0.1556296252617833,0.518,0.273,78.0,2.0,42.0,0.5384615384615384,-0.07407407407406197,0.4155925925925925,-0.0010615711252652193,Big East
2020-12-01,,Oklahoma State,L,62.0,70.0,20.0,59.0,0.339,8.0,29.0,0.276,14.0,21.0,0.667,15.0,41.0,13.0,7.0,4.0,21.0,19.0,,25.0,60.0,0.417,5.0,18.0,0.278,15.0,18.0,0.833,5.0,30.0,14.0,11.0,6.0,18.0,17.0,-8.0,0,3,66.0,1,0,0,1,87.0,53.5,0.014061844792663147,-0.033150530328187655,0.479,0.2675,70.25,3.0,33.5,0.47686832740213525,-0.07407407407406197,0.4155925925925925,-0.0010615711252652193,Big East
2020-12-04,,Wisconsin,W,67.0,65.0,21.0,49.0,0.429,5.0,14.0,0.357,20.0,28.0,0.714,8.0,33.0,10.0,7.0,2.0,9.0,17.0,,21.0,56.0,0.375,7.0,24.0,0.292,16.0,19.0,0.842,10.0,31.0,11.0,5.0,4.0,10.0,22.0,2.0,1,4,66.0,1,0,0,1,78.66666666666667,59.0,0.029695976879162256,-0.059287073968295356,0.4323333333333333,0.3173333333333333,68.83333333333333,4.0,19.66666666666667,0.2857142857142858,-0.07407407407406197,0.4155925925925925,-0.0010615711252652193,Big East
2020-12-08,,Green Bay,W,82.0,68.0,30.0,62.0,0.484,10.0,23.0,0.435,12.0,12.0,1.0,9.0,37.0,15.0,3.0,5.0,9.0,15.0,,25.0,63.0,0.397,8.0,27.0,0.296,10.0,16.0,0.625,8.0,27.0,13.0,4.0,5.0,4.0,13.0,14.0,1,5,75.0,1,0,0,1,75.75,60.5,0.0033073210644282702,-0.04079708937661586,0.4315,0.33175,68.125,5.0,15.25,0.22385321100917432,-0.07407407407406197,0.4155925925925925,-0.0010615711252652193,Big East
2020-12-11,@,UCLA,L,60.0,69.0,22.0,53.0,0.415,4.0,20.0,0.2,12.0,15.0,0.8,9.0,32.0,9.0,3.0,3.0,16.0,24.0,,23.0,56.0,0.411,6.0,23.0,0.261,17.0,21.0,0.81,8.0,30.0,13.0,6.0,4.0,7.0,18.0,-9.0,0,6,64.5,0,1,0,-1,77.0,62.0,0.013748365168838761,-0.023201781458727255,0.442,0.3448,69.5,6.0,15.0,0.2158273381294964,-0.07407407407406197,0.4155925925925925,-0.0010615711252652193,Big East
2020-12-14,@,Creighton,W,89.0,84.0,30.0,56.0,0.536,12.0,21.0,0.571,17.0,26.0,0.654,13.0,40.0,19.0,5.0,5.0,12.0,22.0,,28.0,58.0,0.483,14.0,32.0,0.438,14.0,25.0,0.56,8.0,25.0,16.0,7.0,4.0,6.0,17.0,5.0,1,7,86.5,0,1,0,-1,74.16666666666667,63.166666666666664,-0.0034120025533267984,-0.028563939940300154,0.4375,0.3558333333333333,68.66666666666667,3.1111111111111107,11.000000000000007,0.16019417475728165,-0.07407407407406197,0.4155925925925925,-0.0010615711252652193,Big East
2020-12-17,,Seton Hall,L,63.0,70.0,24.0,59.0,0.407,7.0,19.0,0.368,8.0,8.0,1.0,10.0,35.0,10.0,6.0,5.0,13.0,15.0,,23.0,53.0,0.434,9.0,21.0,0.429,15.0,18.0,0.833,5.0,29.0,13.0,6.0,2.0,11.0,11.0,-7.0,0,8,66.5,1,0,0,1,76.28571428571429,66.14285714285714,0.012318334525324937,0.010449719969545634,0.45157142857142857,0.374,71.21428571428571,1.4693877551020407,10.142857142857153,0.14242728184553677,-0.07407407407406197,0.4155925925925925,-0.0010615711252652193,Big East
2020-12-20,@,Xavier,L,88.0,91.0,32.0,58.0,0.552,8.0,18.0,0.444,16.0,17.0,0.941,6.0,24.0,17.0,1.0,1.0,12.0,21.0,,30.0,56.0,0.536,13.0,24.0,0.542,18.0,26.0,0.692,10.0,28.0,21.0,10.0,3.0,11.0,16.0,-3.0,0,9,89.5,0,1,0,-1,74.625,66.625,0.01310880372525719,0.018558189490858135,0.446,0.3815,70.625,2.25,8.0,0.11327433628318584,-0.07407407407406197,0.4155925925925925,-0.0010615711252652193,Big East
2020-12-23,,Villanova,L,68.0,85.0,26.0,51.0,0.51,9.0,18.0,0.5,7.0,16.0,0.438,7.0,31.0,19.0,2.0,1.0,16.0,16.0,,29.0,60.0,0.483,13.0,33.0,0.394,14.0,16.0,0.875,5.0,26.0,17.0,6.0,1.0,4.0,18.0,-17.0,0,10,76.5,1,0,0,1,76.11111111111111,69.33333333333333,0.00618366709319168,0.032629484049957636,0.4577777777777778,0.39866666666666667,72.72222222222223,1.1111111111111112,6.777777777777786,0.0932009167303286,-0.07407407407406197,0.4155925925925925,-0.0010615711252652193,Big East
2021-01-02,@,Georgetown,W,64.0,60.0,25.0,64.0,0.391,5.0,22.0,0.227,9.0,17.0,0.529,10.0,36.0,9.0,11.0,5.0,13.0,10.0,,24.0,63.0,0.381,5.0,24.0,0.208,7.0,9.0,0.778,10.0,37.0,11.0,7.0,4.0,17.0,15.0,4.0,1,11,62.0,0,1,0,-1,75.3,70.9,0.013168864987744888,0.046137132959581106,0.46299999999999997,0.40709999999999996,73.1,1.7600000000000002,4.3999999999999915,0.060191518467852145,-0.07407407407406197,0.4155925925925925,-0.0010615711252652193,Big East
2021-01-05,,UConn,L,54.0,65.0,22.0,57.0,0.386,5.0,18.0,0.278,5.0,7.0,0.714,8.0,26.0,13.0,5.0,2.0,8.0,17.0,,24.0,58.0,0.414,8.0,16.0,0.5,9.0,13.0,0.692,14.0,41.0,14.0,2.0,3.0,10.0,14.0,-11.0,0,12,59.5,1,0,0,1,74.27272727272727,69.9090909090909,0.005937082204556965,0.03758096949559131,0.45645454545454545,0.4047272727272727,72.0909090909091,0.8925619834710743,4.36363636363636,0.06052963430012605,-0.07407407407406197,0.4155925925925925,-0.0010615711252652193,Big East
2021-01-12,,Providence,W,79.0,69.0,27.0,58.0,0.466,7.0,24.0,0.292,18.0,24.0,0.75,11.0,36.0,16.0,7.0,6.0,8.0,15.0,,24.0,59.0,0.407,9.0,19.0,0.474,12.0,15.0,0.8,8.0,28.0,16.0,6.0,1.0,10.0,20.0,10.0,1,13,74.0,1,0,0,1,72.58333333333333,69.5,0.0033527905941596603,0.0389936235076222,0.45058333333333334,0.40549999999999997,71.04166666666667,1.4444444444444444,3.0833333333333286,0.04340175953079172,-0.07407407407406197,0.4155925925925925,-0.0010615711252652193,Big East
2021-01-16,@,St. John's (NY),W,73.0,71.0,26.0,56.0,0.464,7.0,19.0,0.368,14.0,16.0,0.875,10.0,39.0,12.0,7.0,7.0,19.0,18.0,,26.0,69.0,0.377,10.0,25.0,0.4,9.0,14.0,0.643,11.0,28.0,19.0,12.0,7.0,11.0,21.0,2.0,1,14,72.0,0,1,0,-1,73.07692307692308,69.46153846153847,-0.0008927831565201383,0.04195736547086221,0.4517692307692308,0.4056153846153846,71.26923076923077,2.0710059171597632,3.615384615384613,0.05072854830005393,-0.07407407407406197,0.4155925925925925,-0.0010615711252652193,Big East
