Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,result,Win,Game_Number,Mean_Score,Home,Away,Neutral,Comb_Loc,Avg_Score,Opp_Avg_Score,Avg_Threes,Opp_Avg_Threes,Avg_FG_Pct,Opp_Avg_FG_Pct,Avg_Mean_Score,Home_Pct,Avg_Result,Pct_Margin,Avg_Result_Fin,Opp_Avg_FG_Pct_Fin,Pct_Margin_Fin,Conference
2020-11-25,,Charleston Southern,W,95.0,61.0,35.0,67.0,0.522,11.0,23.0,0.478,14.0,20.0,0.7,10.0,26.0,15.0,18.0,4.0,12.0,21.0,,21.0,44.0,0.477,5.0,11.0,0.455,14.0,22.0,0.636,5.0,29.0,7.0,6.0,1.0,31.0,20.0,34.0,1,1,78.0,1,0,0,1,,,,,,,,,,,2.9565217391304373,0.4530869565217391,0.04121212121212125,ACC
2020-11-27,,North Florida,W,86.0,51.0,34.0,61.0,0.557,8.0,18.0,0.444,10.0,14.0,0.714,8.0,26.0,20.0,10.0,6.0,5.0,12.0,,21.0,56.0,0.375,7.0,18.0,0.389,2.0,4.0,0.5,13.0,30.0,12.0,4.0,1.0,19.0,14.0,35.0,1,2,68.5,1,0,0,1,95.0,61.0,0.03384405894874304,-0.06762272275962627,0.522,0.477,78.0,2.0,34.0,0.4358974358974359,2.9565217391304373,0.4530869565217391,0.04121212121212125,ACC
2020-12-03,N,UMass-Lowell,W,90.0,59.0,34.0,65.0,0.523,12.0,28.0,0.429,10.0,18.0,0.556,11.0,32.0,18.0,9.0,3.0,10.0,19.0,,21.0,53.0,0.396,3.0,15.0,0.2,14.0,23.0,0.609,11.0,34.0,11.0,5.0,1.0,16.0,20.0,31.0,1,3,74.5,0,0,1,0,90.5,56.0,0.0013927649679346121,0.007904209324682887,0.5395000000000001,0.426,73.25,3.0,34.5,0.4709897610921502,2.9565217391304373,0.4530869565217391,0.04121212121212125,ACC
2020-12-17,@,Saint Louis,L,69.0,80.0,25.0,66.0,0.379,4.0,18.0,0.222,15.0,21.0,0.714,5.0,23.0,11.0,12.0,9.0,7.0,18.0,,26.0,58.0,0.448,5.0,12.0,0.417,23.0,31.0,0.742,13.0,50.0,16.0,4.0,3.0,20.0,17.0,-11.0,0,4,74.5,0,1,0,-1,90.33333333333333,57.0,0.029649069630428793,-0.050366467367046475,0.5340000000000001,0.416,73.66666666666667,1.7777777777777777,33.33333333333333,0.4524886877828053,2.9565217391304373,0.4530869565217391,0.04121212121212125,ACC
2020-12-19,,Campbell,W,69.0,50.0,28.0,58.0,0.483,5.0,19.0,0.263,8.0,12.0,0.667,8.0,35.0,15.0,9.0,3.0,19.0,19.0,,19.0,47.0,0.404,2.0,17.0,0.118,10.0,16.0,0.625,1.0,22.0,12.0,5.0,2.0,19.0,17.0,19.0,1,5,59.5,1,0,0,1,85.0,62.75,-0.004700832692123846,-0.07448053740269334,0.4952500000000001,0.424,73.875,0.3125,22.25,0.3011844331641286,2.9565217391304373,0.4530869565217391,0.04121212121212125,ACC
2020-12-22,,UNC,W,79.0,76.0,30.0,64.0,0.469,8.0,17.0,0.471,11.0,20.0,0.55,11.0,33.0,10.0,8.0,6.0,14.0,19.0,,31.0,70.0,0.443,2.0,12.0,0.167,12.0,17.0,0.706,16.0,41.0,15.0,8.0,7.0,18.0,19.0,3.0,1,6,77.5,1,0,0,1,81.8,60.2,-0.020125829096553582,-0.09425525911385532,0.49280000000000007,0.42000000000000004,71.0,0.9600000000000002,21.599999999999994,0.304225352112676,2.9565217391304373,0.4530869565217391,0.04121212121212125,ACC
2020-12-30,,Boston College,W,79.0,76.0,28.0,54.0,0.519,5.0,22.0,0.227,18.0,26.0,0.692,9.0,29.0,16.0,11.0,1.0,16.0,17.0,,27.0,57.0,0.474,10.0,25.0,0.4,12.0,16.0,0.75,10.0,27.0,11.0,5.0,1.0,17.0,24.0,3.0,1,7,77.5,1,0,0,1,81.33333333333333,62.833333333333336,-0.018442394890773817,-0.12254292974314587,0.4888333333333334,0.42383333333333334,72.08333333333333,1.75,18.499999999999993,0.25664739884393056,2.9565217391304373,0.4530869565217391,0.04121212121212125,ACC
2021-01-05,@,Clemson,L (1 OT),70.0,74.0,23.0,54.0,0.426,7.0,19.0,0.368,17.0,24.0,0.708,7.0,40.0,8.0,5.0,3.0,13.0,16.0,,31.0,69.0,0.449,9.0,30.0,0.3,3.0,9.0,0.333,9.0,34.0,11.0,4.0,0.0,9.0,22.0,-4.0,0,8,72.0,0,1,0,-1,81.0,64.71428571428571,-0.0331010816806081,-0.0883587991899813,0.4931428571428572,0.43100000000000005,72.85714285714286,2.6122448979591835,16.285714285714292,0.22352941176470595,2.9565217391304373,0.4530869565217391,0.04121212121212125,ACC
2021-01-09,,Miami (FL),L,59.0,64.0,22.0,59.0,0.373,7.0,23.0,0.304,8.0,12.0,0.667,15.0,37.0,11.0,6.0,4.0,15.0,19.0,,22.0,48.0,0.458,5.0,11.0,0.455,15.0,20.0,0.75,4.0,26.0,6.0,6.0,4.0,12.0,15.0,-5.0,0,9,61.5,1,0,0,1,79.625,65.875,-0.030949793815034543,-0.06874257842267414,0.48475000000000007,0.43325,72.75,1.265625,13.75,0.18900343642611683,2.9565217391304373,0.4530869565217391,0.04121212121212125,ACC
2021-01-13,@,Florida State,L,73.0,105.0,28.0,63.0,0.444,11.0,26.0,0.423,6.0,8.0,0.75,7.0,17.0,10.0,5.0,3.0,11.0,12.0,,41.0,58.0,0.707,12.0,18.0,0.667,11.0,11.0,1.0,6.0,31.0,24.0,6.0,7.0,11.0,15.0,-32.0,0,10,89.0,0,1,0,-1,77.33333333333333,65.66666666666667,-0.024731258655612653,-0.0698695397688632,0.4723333333333334,0.43600000000000005,71.5,1.9753086419753085,11.666666666666657,0.16317016317016303,2.9565217391304373,0.4530869565217391,0.04121212121212125,ACC
