Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,result,Win,Game_Number,Mean_Score,Home,Away,Neutral,Comb_Loc,Avg_Score,Opp_Avg_Score,Avg_Threes,Opp_Avg_Threes,Avg_FG_Pct,Opp_Avg_FG_Pct,Avg_Mean_Score,Home_Pct,Avg_Result,Pct_Margin,Avg_Result_Fin,Opp_Avg_FG_Pct_Fin,Pct_Margin_Fin,Conference
2020-11-25,@,Illinois,L,60.0,122.0,22.0,64.0,0.344,5.0,19.0,0.263,11.0,21.0,0.524,4.0,16.0,10.0,9.0,0.0,12.0,21.0,,44.0,75.0,0.587,17.0,31.0,0.548,17.0,24.0,0.708,18.0,58.0,31.0,5.0,4.0,15.0,18.0,-62.0,0,1,91.0,0,1,0,-1,,,,,,,,,,,-6.2105263157894655,0.44715789473684214,-0.08594319009468307,MEAC
2020-11-26,,Ohio,L,72.0,84.0,25.0,63.0,0.397,9.0,25.0,0.36,13.0,15.0,0.867,8.0,30.0,13.0,10.0,3.0,19.0,21.0,,29.0,64.0,0.453,13.0,34.0,0.382,13.0,21.0,0.619,14.0,42.0,18.0,6.0,0.0,20.0,14.0,-12.0,0,2,78.0,1,0,0,1,60.0,122.0,-0.06352436210388857,0.10450842478135736,0.344,0.587,91.0,2.0,-62.0,-0.6813186813186813,-6.2105263157894655,0.44715789473684214,-0.08594319009468307,MEAC
2020-11-27,N,Chicago State,W,74.0,44.0,26.0,58.0,0.448,10.0,23.0,0.435,12.0,17.0,0.706,7.0,31.0,20.0,5.0,1.0,9.0,20.0,,14.0,46.0,0.304,4.0,17.0,0.235,12.0,19.0,0.632,4.0,29.0,8.0,1.0,4.0,19.0,20.0,30.0,1,3,59.0,0,0,1,0,66.0,103.0,0.0046574560779296115,0.12336884177960655,0.3705,0.52,84.5,0.0,-37.0,-0.4378698224852071,-6.2105263157894655,0.44715789473684214,-0.08594319009468307,MEAC
2020-12-01,@,Charleston Southern,W,70.0,63.0,23.0,57.0,0.404,6.0,15.0,0.4,18.0,22.0,0.818,5.0,28.0,10.0,15.0,6.0,11.0,20.0,,20.0,51.0,0.392,4.0,13.0,0.308,19.0,25.0,0.76,6.0,35.0,11.0,4.0,7.0,21.0,18.0,7.0,1,4,66.5,0,1,0,-1,68.66666666666667,83.33333333333333,0.03599020100290751,0.09447563789611146,0.39633333333333337,0.448,76.0,0.0,-14.666666666666657,-0.19298245614035076,-6.2105263157894655,0.44715789473684214,-0.08594319009468307,MEAC
2020-12-03,@,Citadel,L,70.0,78.0,27.0,59.0,0.458,4.0,16.0,0.25,12.0,17.0,0.706,5.0,37.0,15.0,4.0,1.0,16.0,23.0,,27.0,65.0,0.415,11.0,37.0,0.297,13.0,20.0,0.65,9.0,35.0,17.0,5.0,7.0,12.0,17.0,-8.0,0,5,74.0,0,1,0,-1,69.0,78.25,0.01256259441785057,0.05069289029227758,0.39825,0.43400000000000005,73.625,0.3125,-9.25,-0.12563667232597622,-6.2105263157894655,0.44715789473684214,-0.08594319009468307,MEAC
2020-12-06,,Stanford,L,46.0,78.0,19.0,67.0,0.284,4.0,25.0,0.16,4.0,9.0,0.444,9.0,32.0,8.0,9.0,4.0,15.0,11.0,,32.0,78.0,0.41,8.0,28.0,0.286,6.0,7.0,0.857,18.0,56.0,19.0,8.0,6.0,13.0,14.0,-32.0,0,6,62.0,1,0,0,1,69.2,78.2,-0.018726674242616925,0.06243471717999893,0.4102,0.4302,73.7,0.9600000000000002,-9.0,-0.12211668928086838,-6.2105263157894655,0.44715789473684214,-0.08594319009468307,MEAC
2020-12-08,@,Longwood,L,60.0,77.0,22.0,56.0,0.393,7.0,24.0,0.292,9.0,13.0,0.692,4.0,19.0,10.0,9.0,3.0,13.0,14.0,,30.0,57.0,0.526,11.0,26.0,0.423,6.0,8.0,0.75,7.0,34.0,18.0,7.0,2.0,18.0,17.0,-17.0,0,7,68.5,0,1,0,-1,65.33333333333333,78.16666666666667,-0.022708035573276275,0.05108118160613273,0.38916666666666666,0.4268333333333334,71.75,0.19444444444444442,-12.833333333333343,-0.17886178861788632,-6.2105263157894655,0.44715789473684214,-0.08594319009468307,MEAC
2020-12-09,@,VCU,L,59.0,95.0,17.0,58.0,0.293,4.0,20.0,0.2,21.0,29.0,0.724,10.0,26.0,8.0,9.0,1.0,14.0,16.0,,35.0,56.0,0.625,11.0,24.0,0.458,14.0,18.0,0.778,7.0,41.0,20.0,10.0,9.0,19.0,24.0,-36.0,0,8,77.0,0,1,0,-1,64.57142857142857,78.0,-0.01485179573220713,0.06010201152248501,0.3897142857142857,0.4410000000000001,71.28571428571429,0.6530612244897959,-13.42857142857143,-0.18837675350701405,-6.2105263157894655,0.44715789473684214,-0.08594319009468307,MEAC
2020-12-12,,Western Carolina,L (1 OT),98.0,104.0,35.0,72.0,0.486,11.0,26.0,0.423,17.0,30.0,0.567,14.0,35.0,20.0,3.0,4.0,12.0,27.0,,39.0,67.0,0.582,11.0,25.0,0.44,15.0,26.0,0.577,11.0,36.0,18.0,5.0,3.0,17.0,26.0,-6.0,0,9,101.0,1,0,0,1,63.875,80.125,-0.025853129227176253,0.056210427287687104,0.377625,0.4640000000000001,72.0,1.265625,-16.25,-0.22569444444444445,-6.2105263157894655,0.44715789473684214,-0.08594319009468307,MEAC
2020-12-19,@,Charlotte,L,72.0,76.0,26.0,52.0,0.5,10.0,21.0,0.476,10.0,11.0,0.909,6.0,18.0,14.0,5.0,0.0,13.0,16.0,,28.0,47.0,0.596,6.0,17.0,0.353,14.0,19.0,0.737,7.0,26.0,18.0,7.0,2.0,15.0,15.0,-4.0,0,10,74.0,0,1,0,-1,67.66666666666667,82.77777777777777,-0.017957859640834406,0.0488917452786618,0.3896666666666666,0.47711111111111115,75.22222222222223,0.49382716049382713,-15.1111111111111,-0.2008862629246675,-6.2105263157894655,0.44715789473684214,-0.08594319009468307,MEAC
