Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,result,Win,Game_Number,Mean_Score,Home,Away,Neutral,Comb_Loc,Avg_Score,Opp_Avg_Score,Avg_Threes,Opp_Avg_Threes,Avg_FG_Pct,Opp_Avg_FG_Pct,Avg_Mean_Score,Home_Pct,Avg_Result,Pct_Margin,Avg_Result_Fin,Opp_Avg_FG_Pct_Fin,Pct_Margin_Fin,Conference
2020-11-25,N,Eastern Kentucky,L,67.0,80.0,21.0,54.0,0.389,10.0,28.0,0.357,15.0,19.0,0.789,6.0,34.0,9.0,4.0,3.0,20.0,17.0,,29.0,82.0,0.354,5.0,28.0,0.179,17.0,21.0,0.81,20.0,44.0,15.0,16.0,6.0,9.0,19.0,-13.0,0,1,73.5,0,0,1,0,,,,,,,,,,,-6.857142857142861,0.45557142857142857,-0.09542743538767401,A-Sun
2020-11-27,@,NC State,L,51.0,86.0,21.0,56.0,0.375,7.0,18.0,0.389,2.0,4.0,0.5,13.0,30.0,12.0,4.0,1.0,19.0,14.0,,34.0,61.0,0.557,8.0,18.0,0.444,10.0,14.0,0.714,8.0,26.0,20.0,10.0,6.0,5.0,12.0,-35.0,0,2,68.5,0,1,0,-1,67.0,80.0,0.1342368319259622,-0.12602436210388857,0.389,0.354,73.5,0.0,-13.0,-0.17687074829931973,-6.857142857142861,0.45557142857142857,-0.09542743538767401,A-Sun
2020-11-29,@,Miami (FL),L,59.0,77.0,21.0,67.0,0.313,12.0,40.0,0.3,5.0,8.0,0.625,9.0,30.0,15.0,8.0,6.0,15.0,17.0,,29.0,59.0,0.492,5.0,16.0,0.313,14.0,23.0,0.609,8.0,44.0,18.0,11.0,6.0,16.0,11.0,-18.0,0,3,68.0,0,1,0,-1,59.0,83.0,0.11867902772661992,-0.07858460306774398,0.382,0.4555,71.0,0.75,-24.0,-0.3380281690140845,-6.857142857142861,0.45557142857142857,-0.09542743538767401,A-Sun
2020-12-02,@,Florida State,L,58.0,86.0,19.0,50.0,0.38,11.0,27.0,0.407,9.0,12.0,0.75,8.0,25.0,14.0,6.0,1.0,23.0,15.0,,32.0,70.0,0.457,7.0,24.0,0.292,15.0,21.0,0.714,17.0,41.0,19.0,12.0,6.0,10.0,16.0,-28.0,0,4,72.0,0,1,0,-1,59.0,81.0,0.17800106162492502,-0.09130213988166636,0.359,0.4676666666666667,70.0,1.7777777777777777,-22.0,-0.3142857142857143,-6.857142857142861,0.45557142857142857,-0.09542743538767401,A-Sun
2020-12-05,@,High Point,L,74.0,85.0,28.0,60.0,0.467,8.0,25.0,0.32,10.0,14.0,0.714,10.0,36.0,19.0,1.0,6.0,16.0,20.0,,30.0,65.0,0.462,3.0,12.0,0.25,22.0,33.0,0.667,11.0,32.0,18.0,8.0,5.0,5.0,12.0,-11.0,0,5,79.5,0,1,0,-1,58.75,82.25,0.19711393576845182,-0.0855608362680223,0.36424999999999996,0.465,70.5,2.8125,-23.5,-0.3333333333333333,-6.857142857142861,0.45557142857142857,-0.09542743538767401,A-Sun
2020-12-07,,Florida Atlantic,L,77.0,79.0,29.0,57.0,0.509,15.0,33.0,0.455,4.0,6.0,0.667,2.0,27.0,17.0,1.0,3.0,15.0,18.0,,31.0,65.0,0.477,6.0,13.0,0.462,11.0,21.0,0.524,14.0,35.0,14.0,8.0,0.0,10.0,13.0,-2.0,0,6,78.0,1,0,0,1,61.8,82.8,0.15249505537183955,-0.1106258113792509,0.3848,0.46440000000000003,72.3,3.8400000000000007,-21.0,-0.29045643153526973,-6.857142857142861,0.45557142857142857,-0.09542743538767401,A-Sun
2020-12-10,@,East Carolina,L,67.0,73.0,21.0,58.0,0.362,8.0,31.0,0.258,17.0,20.0,0.85,9.0,34.0,14.0,5.0,2.0,11.0,20.0,,25.0,62.0,0.403,5.0,12.0,0.417,18.0,24.0,0.75,12.0,39.0,21.0,5.0,5.0,11.0,16.0,-6.0,0,7,70.0,0,1,0,-1,64.33333333333333,82.16666666666667,0.17611294359559332,-0.10662781037975064,0.40549999999999997,0.46649999999999997,73.25,1.75,-17.833333333333343,-0.24345847554038694,-6.857142857142861,0.45557142857142857,-0.09542743538767401,A-Sun
2020-12-12,,Florida International,W,80.0,77.0,29.0,56.0,0.518,6.0,17.0,0.353,16.0,22.0,0.727,11.0,33.0,12.0,6.0,7.0,14.0,18.0,,28.0,67.0,0.418,9.0,26.0,0.346,12.0,15.0,0.8,12.0,30.0,16.0,11.0,3.0,13.0,19.0,3.0,1,8,78.5,1,0,0,1,64.71428571428571,80.85714285714286,0.1566743133928002,-0.10681058118516065,0.3992857142857143,0.4574285714285714,72.78571428571429,2.6122448979591835,-16.142857142857153,-0.22178606476938187,-6.857142857142861,0.45557142857142857,-0.09542743538767401,A-Sun
2021-01-08,@,Jacksonville,L,65.0,66.0,23.0,52.0,0.442,10.0,29.0,0.345,9.0,13.0,0.692,7.0,24.0,13.0,4.0,1.0,18.0,14.0,,25.0,59.0,0.424,5.0,12.0,0.417,11.0,17.0,0.647,14.0,33.0,16.0,13.0,4.0,15.0,14.0,-1.0,0,9,65.5,0,1,0,-1,66.625,80.375,0.11987151031637411,-0.08957412882239557,0.41412499999999997,0.4525,73.5,1.265625,-13.75,-0.1870748299319728,-6.857142857142861,0.45557142857142857,-0.09542743538767401,A-Sun
2021-01-09,@,Jacksonville,W,70.0,68.0,24.0,54.0,0.444,13.0,28.0,0.464,9.0,13.0,0.692,10.0,37.0,18.0,3.0,2.0,15.0,14.0,,26.0,66.0,0.394,5.0,25.0,0.2,11.0,13.0,0.846,10.0,30.0,15.0,10.0,5.0,6.0,11.0,2.0,1,10,69.0,0,1,0,-1,66.44444444444444,78.77777777777777,0.12293048739443918,-0.08926484165254861,0.4172222222222222,0.44933333333333336,72.61111111111111,1.9753086419753085,-12.333333333333329,-0.1698546289211935,-6.857142857142861,0.45557142857142857,-0.09542743538767401,A-Sun
