Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,result,Win,Game_Number,Mean_Score,Home,Away,Neutral,Comb_Loc,Avg_Score,Opp_Avg_Score,Avg_Threes,Opp_Avg_Threes,Avg_FG_Pct,Opp_Avg_FG_Pct,Avg_Mean_Score,Home_Pct,Avg_Result,Pct_Margin,Avg_Result_Fin,Opp_Avg_FG_Pct_Fin,Pct_Margin_Fin,Conference
2020-11-28,@,Michigan State,L,70.0,80.0,21.0,60.0,0.35,8.0,21.0,0.381,20.0,26.0,0.769,6.0,33.0,13.0,4.0,4.0,10.0,11.0,,30.0,70.0,0.429,7.0,22.0,0.318,13.0,16.0,0.813,11.0,46.0,26.0,9.0,12.0,12.0,21.0,-10.0,0,1,75.0,0,1,0,-1,,,,,,,,,,,-1.6538461538461462,0.4451923076923079,-0.022495422443107402,ACC
2020-12-06,,Detroit,W,78.0,70.0,30.0,65.0,0.462,11.0,23.0,0.478,7.0,9.0,0.778,8.0,41.0,19.0,3.0,5.0,8.0,12.0,,27.0,71.0,0.38,8.0,28.0,0.286,8.0,10.0,0.8,9.0,37.0,13.0,5.0,2.0,7.0,14.0,8.0,1,2,74.0,1,0,0,1,70.0,80.0,0.029332780753254295,-0.051024362103888554,0.35,0.429,75.0,2.0,-10.0,-0.13333333333333333,-1.6538461538461462,0.4451923076923079,-0.022495422443107402,ACC
2020-12-08,,Ohio State,L,85.0,90.0,30.0,59.0,0.508,11.0,24.0,0.458,14.0,18.0,0.778,14.0,33.0,15.0,6.0,2.0,12.0,19.0,,29.0,62.0,0.468,11.0,23.0,0.478,21.0,24.0,0.875,11.0,29.0,12.0,8.0,4.0,8.0,17.0,-5.0,0,3,87.5,1,0,0,1,74.0,75.0,0.07161077303124658,-0.013524362103888576,0.406,0.40449999999999997,74.5,0.0,-1.0,-0.013422818791946308,-1.6538461538461462,0.4451923076923079,-0.022495422443107402,ACC
2020-12-12,@,Kentucky,W,64.0,63.0,23.0,52.0,0.442,7.0,21.0,0.333,11.0,12.0,0.917,6.0,28.0,9.0,4.0,4.0,14.0,12.0,,27.0,62.0,0.435,5.0,23.0,0.217,4.0,6.0,0.667,9.0,28.0,14.0,6.0,4.0,11.0,16.0,1.0,1,4,63.5,0,1,0,-1,77.66666666666667,80.0,0.07274173231671227,0.011475637896111446,0.44,0.42566666666666664,78.83333333333333,0.4444444444444444,-2.3333333333333286,-0.029598308668076053,-1.6538461538461462,0.4451923076923079,-0.022495422443107402,ACC
2020-12-16,,Duke,L,65.0,75.0,23.0,49.0,0.469,9.0,21.0,0.429,10.0,11.0,0.909,3.0,23.0,12.0,4.0,4.0,12.0,11.0,,31.0,60.0,0.517,8.0,15.0,0.533,5.0,5.0,1.0,7.0,30.0,8.0,8.0,2.0,8.0,13.0,-10.0,0,5,70.0,1,0,0,1,74.25,75.75,0.06021301163348519,-0.0065936690345816396,0.4405,0.428,75.0,0.0,-1.5,-0.02,-1.6538461538461462,0.4451923076923079,-0.022495422443107402,ACC
2020-12-19,N,Purdue,L,78.0,88.0,24.0,61.0,0.393,16.0,41.0,0.39,14.0,17.0,0.824,8.0,28.0,21.0,1.0,4.0,9.0,14.0,,32.0,65.0,0.492,14.0,28.0,0.5,10.0,15.0,0.667,10.0,37.0,20.0,6.0,2.0,5.0,18.0,-10.0,0,6,83.0,0,0,1,0,72.4,75.6,0.06769110750937102,-0.004000552580079031,0.4462,0.44580000000000003,74.0,0.24000000000000005,-3.1999999999999886,-0.04324324324324309,-1.6538461538461462,0.4451923076923079,-0.022495422443107402,ACC
2020-12-23,,Bellarmine,W,81.0,70.0,26.0,43.0,0.605,8.0,20.0,0.4,21.0,25.0,0.84,6.0,33.0,12.0,1.0,3.0,13.0,11.0,,27.0,54.0,0.5,11.0,20.0,0.55,5.0,6.0,0.833,0.0,15.0,18.0,3.0,1.0,6.0,20.0,11.0,1,7,75.5,1,0,0,1,73.33333333333333,77.66666666666667,0.10920291062338416,0.027677354634308815,0.4373333333333333,0.4535,75.5,0.19444444444444442,-4.333333333333343,-0.057395143487858846,-1.6538461538461462,0.4451923076923079,-0.022495422443107402,ACC
2020-12-30,,Virginia,L,57.0,66.0,18.0,45.0,0.4,5.0,20.0,0.25,16.0,21.0,0.762,3.0,30.0,13.0,3.0,1.0,7.0,11.0,,27.0,58.0,0.466,8.0,26.0,0.308,4.0,8.0,0.5,6.0,33.0,14.0,3.0,3.0,5.0,15.0,-9.0,0,8,61.5,1,0,0,1,74.42857142857143,76.57142857142857,0.08954665517058358,0.04468459311999201,0.46128571428571424,0.46014285714285713,75.5,0.6530612244897959,-2.142857142857139,-0.028382213812677335,-1.6538461538461462,0.4451923076923079,-0.022495422443107402,ACC
2021-01-02,@,UNC,L,65.0,66.0,26.0,55.0,0.473,11.0,30.0,0.367,2.0,6.0,0.333,3.0,25.0,17.0,5.0,3.0,9.0,11.0,,24.0,69.0,0.348,8.0,23.0,0.348,10.0,14.0,0.714,20.0,44.0,15.0,4.0,2.0,8.0,10.0,-1.0,0,9,65.5,0,1,0,-1,72.25,75.25,0.07574899429749554,0.04527962460707491,0.45362499999999994,0.46087500000000003,73.75,1.265625,-3.0,-0.04067796610169491,-1.6538461538461462,0.4451923076923079,-0.022495422443107402,ACC
2021-01-10,@,Virginia Tech,L,63.0,77.0,18.0,48.0,0.375,6.0,23.0,0.261,21.0,26.0,0.808,6.0,24.0,11.0,4.0,4.0,12.0,15.0,,29.0,64.0,0.453,7.0,23.0,0.304,12.0,16.0,0.75,13.0,38.0,8.0,6.0,2.0,9.0,22.0,-14.0,0,10,70.0,0,1,0,-1,71.44444444444444,74.22222222222223,0.08771980585878636,0.04575707502185994,0.4557777777777777,0.44833333333333336,72.83333333333333,0.49382716049382713,-2.7777777777777857,-0.03813882532418013,-1.6538461538461462,0.4451923076923079,-0.022495422443107402,ACC
2021-01-13,@,Virginia,L,68.0,80.0,22.0,51.0,0.431,5.0,22.0,0.227,19.0,20.0,0.95,4.0,24.0,10.0,4.0,2.0,7.0,8.0,,31.0,57.0,0.544,12.0,24.0,0.5,6.0,7.0,0.857,2.0,24.0,16.0,3.0,3.0,5.0,17.0,-12.0,0,11,74.0,0,1,0,-1,70.6,74.5,0.07741048208874601,0.036811208365910064,0.44769999999999993,0.44880000000000003,72.55,0.11000000000000001,-3.9000000000000057,-0.05375603032391462,-1.6538461538461462,0.4451923076923079,-0.022495422443107402,ACC
