Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,result,Win,Game_Number,Mean_Score,Home,Away,Neutral,Comb_Loc,Avg_Score,Opp_Avg_Score,Avg_Threes,Opp_Avg_Threes,Avg_FG_Pct,Opp_Avg_FG_Pct,Avg_Mean_Score,Home_Pct,Avg_Result,Pct_Margin,Avg_Result_Fin,Opp_Avg_FG_Pct_Fin,Pct_Margin_Fin,Conference
2020-11-25,,Seattle,L,72.0,84.0,24.0,51.0,0.471,6.0,13.0,0.462,18.0,23.0,0.783,2.0,30.0,12.0,2.0,1.0,19.0,16.0,,31.0,68.0,0.456,12.0,29.0,0.414,10.0,13.0,0.769,8.0,31.0,19.0,8.0,6.0,8.0,21.0,-12.0,0,1,78.0,1,0,0,1,,,,,,,,,,,-17.66666666666667,0.5147222222222222,-0.23160961398397678,WCC
2020-12-05,,Portland State,W,86.0,73.0,28.0,61.0,0.459,3.0,16.0,0.188,27.0,35.0,0.771,5.0,36.0,16.0,7.0,2.0,13.0,21.0,,24.0,63.0,0.381,6.0,32.0,0.188,19.0,29.0,0.655,10.0,37.0,13.0,7.0,3.0,20.0,28.0,13.0,1,2,79.5,1,0,0,1,72.0,84.0,-0.06352436210388857,0.11504706646753998,0.471,0.456,78.0,2.0,-12.0,-0.15384615384615385,-17.66666666666667,0.5147222222222222,-0.23160961398397678,WCC
2020-12-10,@,Oregon State,W (1 OT),87.0,86.0,30.0,65.0,0.462,7.0,19.0,0.368,20.0,26.0,0.769,9.0,40.0,12.0,4.0,1.0,12.0,16.0,,30.0,73.0,0.411,9.0,25.0,0.36,17.0,20.0,0.85,11.0,36.0,19.0,6.0,6.0,8.0,21.0,1.0,1,3,86.5,0,1,0,-1,79.0,78.5,-0.14263828615452148,0.030424682482098675,0.46499999999999997,0.4185,78.75,3.0,0.5,0.006349206349206349,-17.66666666666667,0.5147222222222222,-0.23160961398397678,WCC
2020-12-19,@,Oregon,L,41.0,80.0,12.0,56.0,0.214,3.0,19.0,0.158,14.0,16.0,0.875,8.0,22.0,4.0,9.0,2.0,18.0,13.0,,32.0,56.0,0.571,8.0,21.0,0.381,8.0,11.0,0.727,8.0,39.0,21.0,10.0,10.0,19.0,16.0,-39.0,0,4,60.5,0,1,0,-1,81.66666666666667,81.0,-0.1176059947569498,0.01980897122944475,0.46399999999999997,0.416,81.33333333333333,0.4444444444444444,0.6666666666666714,0.00819672131147547,-17.66666666666667,0.5147222222222222,-0.23160961398397678,WCC
2020-12-22,,Montana State,W,62.0,59.0,17.0,52.0,0.327,3.0,18.0,0.167,25.0,26.0,0.962,9.0,38.0,7.0,5.0,7.0,19.0,19.0,,22.0,60.0,0.367,6.0,20.0,0.3,9.0,13.0,0.692,7.0,30.0,10.0,6.0,1.0,17.0,23.0,3.0,1,5,60.5,1,0,0,1,71.5,80.75,-0.11422366280318927,0.011553037276916367,0.40149999999999997,0.45475,76.125,0.0,-9.25,-0.12151067323481117,-17.66666666666667,0.5147222222222222,-0.23160961398397678,WCC
2020-12-30,@,Seattle,L,68.0,84.0,22.0,64.0,0.344,7.0,22.0,0.318,17.0,23.0,0.739,6.0,31.0,9.0,8.0,5.0,10.0,20.0,,33.0,68.0,0.485,8.0,23.0,0.348,10.0,16.0,0.625,10.0,44.0,22.0,3.0,8.0,13.0,18.0,-16.0,0,6,76.0,0,1,0,-1,69.6,76.4,-0.12386918969009544,0.008465166691922876,0.38659999999999994,0.4372,73.0,0.24000000000000005,-6.800000000000011,-0.09315068493150701,-17.66666666666667,0.5147222222222222,-0.23160961398397678,WCC
2021-01-07,@,San Francisco,L,64.0,88.0,22.0,56.0,0.393,5.0,16.0,0.313,15.0,21.0,0.714,8.0,27.0,9.0,10.0,1.0,17.0,11.0,,34.0,66.0,0.515,15.0,40.0,0.375,5.0,7.0,0.714,10.0,37.0,24.0,11.0,10.0,16.0,19.0,-24.0,0,7,76.0,0,1,0,-1,69.33333333333333,77.66666666666667,-0.10438974671927317,0.0019262816729354593,0.37949999999999995,0.44516666666666665,73.5,0.0,-8.333333333333343,-0.11337868480725637,-17.66666666666667,0.5147222222222222,-0.23160961398397678,WCC
2021-01-09,,Gonzaga,L,88.0,116.0,28.0,67.0,0.418,13.0,27.0,0.481,19.0,22.0,0.864,10.0,25.0,16.0,4.0,4.0,11.0,23.0,,44.0,70.0,0.629,4.0,17.0,0.235,24.0,29.0,0.828,13.0,41.0,29.0,5.0,5.0,8.0,16.0,-28.0,0,8,102.0,1,0,0,1,68.57142857142857,79.14285714285714,-0.1010243621038886,0.03304603500802478,0.3814285714285714,0.4551428571428571,73.85714285714286,0.16326530612244897,-10.57142857142857,-0.14313346228239843,-17.66666666666667,0.5147222222222222,-0.23160961398397678,WCC
2021-01-14,,San Francisco,L,63.0,79.0,18.0,53.0,0.34,4.0,19.0,0.211,23.0,25.0,0.92,4.0,24.0,11.0,6.0,2.0,10.0,14.0,,31.0,65.0,0.477,13.0,38.0,0.342,4.0,6.0,0.667,11.0,42.0,11.0,5.0,5.0,13.0,22.0,-16.0,0,9,71.0,1,0,0,1,71.0,83.75,-0.06528492548417025,-0.009046750163590078,0.386,0.476875,77.375,0.0,-12.75,-0.16478190630048464,-17.66666666666667,0.5147222222222222,-0.23160961398397678,WCC
2021-01-16,@,Pepperdine,L,65.0,80.0,23.0,56.0,0.411,7.0,26.0,0.269,12.0,18.0,0.667,1.0,30.0,17.0,10.0,0.0,16.0,15.0,,33.0,67.0,0.493,6.0,25.0,0.24,8.0,11.0,0.727,5.0,42.0,24.0,10.0,4.0,16.0,17.0,-15.0,0,10,72.5,0,1,0,-1,70.11111111111111,83.22222222222223,-0.07105209585983152,0.01090821466513675,0.3808888888888889,0.47688888888888886,76.66666666666667,0.12345679012345678,-13.111111111111114,-0.1710144927536232,-17.66666666666667,0.5147222222222222,-0.23160961398397678,WCC
