Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,result,Win,Game_Number,Mean_Score,Home,Away,Neutral,Comb_Loc,Avg_Score,Opp_Avg_Score,Avg_Threes,Opp_Avg_Threes,Avg_FG_Pct,Opp_Avg_FG_Pct,Avg_Mean_Score,Home_Pct,Avg_Result,Pct_Margin,Avg_Result_Fin,Opp_Avg_FG_Pct_Fin,Pct_Margin_Fin,Conference
2020-11-27,N,Morehead State,W,82.0,64.0,35.0,63.0,0.556,7.0,24.0,0.292,5.0,12.0,0.417,8.0,33.0,16.0,8.0,3.0,12.0,11.0,,25.0,58.0,0.431,8.0,30.0,0.267,6.0,9.0,0.667,6.0,27.0,11.0,3.0,2.0,19.0,14.0,18.0,1,1,73.0,0,0,1,0,,,,,,,,,,,4.285714285714292,0.4646190476190477,0.05940594059405949,A-10
2020-11-29,@,Kentucky,W,76.0,64.0,29.0,67.0,0.433,7.0,25.0,0.28,11.0,14.0,0.786,5.0,28.0,15.0,10.0,2.0,10.0,24.0,,22.0,61.0,0.361,0.0,10.0,0.0,20.0,33.0,0.606,20.0,52.0,5.0,4.0,3.0,21.0,15.0,12.0,1,2,70.0,0,1,0,-1,82.0,64.0,-0.057426801128278804,0.061475637896111435,0.556,0.431,73.0,0.0,18.0,0.2465753424657534,4.285714285714292,0.4646190476190477,0.05940594059405949,A-10
2020-12-07,,Wofford,W,77.0,72.0,28.0,58.0,0.483,8.0,18.0,0.444,13.0,20.0,0.65,6.0,30.0,13.0,7.0,3.0,9.0,13.0,,27.0,61.0,0.443,12.0,34.0,0.353,6.0,11.0,0.545,12.0,39.0,14.0,6.0,1.0,14.0,19.0,5.0,1,3,74.5,1,0,0,1,79.0,64.0,-0.04770157729376201,-0.12602436210388857,0.49450000000000005,0.396,71.5,0.75,15.0,0.2097902097902098,4.285714285714292,0.4646190476190477,0.05940594059405949,A-10
2020-12-09,,Northern Iowa,W,78.0,68.0,29.0,59.0,0.492,8.0,21.0,0.381,12.0,15.0,0.8,6.0,38.0,18.0,9.0,3.0,13.0,16.0,,27.0,61.0,0.443,3.0,19.0,0.158,11.0,18.0,0.611,7.0,33.0,10.0,5.0,2.0,10.0,16.0,10.0,1,4,73.0,1,0,0,1,78.33333333333333,66.66666666666667,-0.032673298274101314,-0.013524362103888576,0.49066666666666664,0.4116666666666667,72.5,0.0,11.666666666666657,0.16091954022988492,4.285714285714292,0.4646190476190477,0.05940594059405949,A-10
2020-12-13,@,West Virginia,L,71.0,87.0,23.0,57.0,0.404,6.0,26.0,0.231,19.0,29.0,0.655,9.0,32.0,13.0,10.0,0.0,16.0,15.0,,36.0,62.0,0.581,8.0,14.0,0.571,7.0,13.0,0.538,5.0,34.0,22.0,10.0,1.0,12.0,18.0,-16.0,0,5,79.0,0,1,0,-1,78.25,67.0,-0.025984426001652128,-0.056061675536724365,0.491,0.41950000000000004,72.625,0.3125,11.25,0.1549053356282272,4.285714285714292,0.4646190476190477,0.05940594059405949,A-10
2020-12-16,@,Vanderbilt,W,78.0,67.0,30.0,51.0,0.588,6.0,15.0,0.4,12.0,16.0,0.75,1.0,24.0,14.0,8.0,3.0,10.0,15.0,,24.0,60.0,0.4,6.0,22.0,0.273,13.0,14.0,0.929,11.0,32.0,10.0,4.0,1.0,14.0,15.0,11.0,1,6,72.5,0,1,0,-1,76.8,71.0,-0.03227436210388851,-0.05155253111797303,0.47359999999999997,0.4518000000000001,73.9,0.0,5.799999999999997,0.07848443843031119,4.285714285714292,0.4646190476190477,0.05940594059405949,A-10
2020-12-18,N,Loyola (IL),W,75.0,73.0,27.0,52.0,0.519,6.0,12.0,0.5,15.0,19.0,0.789,4.0,25.0,10.0,12.0,0.0,15.0,17.0,,26.0,55.0,0.473,9.0,26.0,0.346,12.0,18.0,0.667,9.0,28.0,18.0,5.0,0.0,17.0,19.0,2.0,1,7,74.0,0,0,1,0,77.0,70.33333333333333,-0.04079708937661586,-0.05049118674843833,0.49266666666666664,0.4431666666666667,73.66666666666667,0.19444444444444442,6.666666666666671,0.09049773755656114,4.285714285714292,0.4646190476190477,0.05940594059405949,A-10
2020-12-22,,Hofstra,L,71.0,76.0,29.0,57.0,0.509,7.0,24.0,0.292,6.0,13.0,0.462,7.0,23.0,18.0,6.0,0.0,7.0,17.0,,29.0,48.0,0.604,10.0,20.0,0.5,8.0,15.0,0.533,3.0,27.0,10.0,4.0,0.0,13.0,14.0,-5.0,0,8,73.5,1,0,0,1,76.71428571428571,70.71428571428571,-0.045367937522882984,-0.03473648331600976,0.49642857142857144,0.44742857142857145,73.71428571428571,0.16326530612244897,6.0,0.08139534883720931,4.285714285714292,0.4646190476190477,0.05940594059405949,A-10
2020-12-30,@,Davidson,W,80.0,74.0,31.0,54.0,0.574,8.0,16.0,0.5,10.0,12.0,0.833,1.0,21.0,15.0,6.0,5.0,9.0,11.0,,29.0,61.0,0.475,7.0,25.0,0.28,9.0,14.0,0.643,11.0,32.0,12.0,6.0,2.0,10.0,10.0,6.0,1,9,77.0,0,1,0,-1,76.0,71.375,-0.04214278315652015,-0.01930369660476422,0.498,0.467,73.6875,0.0,4.625,0.06276505513146735,4.285714285714292,0.4646190476190477,0.05940594059405949,A-10
2021-01-02,,St. Bonaventure,L,66.0,69.0,23.0,54.0,0.426,6.0,24.0,0.25,14.0,21.0,0.667,8.0,27.0,14.0,6.0,3.0,9.0,16.0,,26.0,57.0,0.456,5.0,18.0,0.278,12.0,14.0,0.857,11.0,36.0,9.0,3.0,4.0,12.0,18.0,-3.0,0,10,67.5,1,0,0,1,76.44444444444444,71.66666666666667,-0.03881505977830718,-0.020501106289935123,0.5064444444444445,0.4678888888888889,74.05555555555556,0.12345679012345678,4.7777777777777715,0.06451612903225798,4.285714285714292,0.4646190476190477,0.05940594059405949,A-10
