Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,result,Win,Game_Number,Mean_Score,Home,Away,Neutral,Comb_Loc,Avg_Score,Opp_Avg_Score,Avg_Threes,Opp_Avg_Threes,Avg_FG_Pct,Opp_Avg_FG_Pct,Avg_Mean_Score,Home_Pct,Avg_Result,Pct_Margin,Avg_Result_Fin,Opp_Avg_FG_Pct_Fin,Pct_Margin_Fin,Conference
2020-11-25,,Sacred Heart,W,86.0,63.0,40.0,66.0,0.606,1.0,8.0,0.125,5.0,15.0,0.333,12.0,44.0,23.0,10.0,4.0,9.0,13.0,,25.0,67.0,0.373,9.0,25.0,0.36,4.0,9.0,0.444,10.0,29.0,15.0,6.0,3.0,12.0,13.0,23.0,1,1,74.5,1,0,0,1,,,,,,,,,,,1.7307692307692406,0.4216923076923077,0.025048705816866274,Big Ten
2020-11-27,,Fairleigh Dickinson,W,96.0,75.0,37.0,65.0,0.569,7.0,19.0,0.368,15.0,25.0,0.6,12.0,40.0,18.0,12.0,9.0,15.0,13.0,,29.0,68.0,0.426,8.0,22.0,0.364,9.0,12.0,0.75,9.0,29.0,13.0,10.0,2.0,17.0,22.0,21.0,1,2,85.5,1,0,0,1,86.0,63.0,-0.278640641173656,0.11504706646753998,0.606,0.373,74.5,2.0,23.0,0.3087248322147651,1.7307692307692406,0.4216923076923077,0.025048705816866274,Big Ten
2020-11-29,,Hofstra,W,70.0,56.0,24.0,55.0,0.436,4.0,14.0,0.286,18.0,29.0,0.621,8.0,45.0,17.0,8.0,7.0,15.0,16.0,,19.0,63.0,0.302,6.0,27.0,0.222,12.0,19.0,0.632,7.0,33.0,8.0,12.0,2.0,14.0,21.0,14.0,1,3,63.0,1,0,0,1,91.0,69.0,-0.1816562302357567,0.05604085528741576,0.5874999999999999,0.39949999999999997,80.0,3.0,22.0,0.275,1.7307692307692406,0.4216923076923077,0.025048705816866274,Big Ten
2020-12-08,,Syracuse,W,79.0,69.0,28.0,58.0,0.483,9.0,24.0,0.375,14.0,18.0,0.778,12.0,40.0,19.0,6.0,2.0,17.0,17.0,,24.0,58.0,0.414,7.0,26.0,0.269,14.0,20.0,0.7,7.0,24.0,16.0,10.0,1.0,12.0,16.0,10.0,1,4,74.0,1,0,0,1,84.0,64.66666666666667,-0.17066721924674572,0.0421457409888949,0.5369999999999999,0.367,74.33333333333333,4.0,19.33333333333333,0.2600896860986547,1.7307692307692406,0.4216923076923077,0.025048705816866274,Big Ten
2020-12-14,@,Maryland,W,74.0,60.0,29.0,60.0,0.483,9.0,19.0,0.474,7.0,16.0,0.438,7.0,35.0,18.0,5.0,5.0,8.0,18.0,,21.0,61.0,0.344,4.0,20.0,0.2,14.0,18.0,0.778,11.0,36.0,10.0,4.0,4.0,9.0,16.0,14.0,1,5,67.0,0,1,0,-1,82.75,65.75,-0.12319203581990065,0.028680961090027768,0.5235,0.37875,74.25,5.0,17.0,0.22895622895622897,1.7307692307692406,0.4216923076923077,0.025048705816866274,Big Ten
2020-12-20,,Illinois,W,91.0,88.0,29.0,62.0,0.468,8.0,20.0,0.4,25.0,36.0,0.694,13.0,33.0,12.0,8.0,8.0,9.0,17.0,,34.0,63.0,0.54,9.0,15.0,0.6,11.0,15.0,0.733,8.0,32.0,20.0,4.0,0.0,13.0,26.0,3.0,1,6,89.5,1,0,0,1,81.0,64.6,-0.09130213988166636,0.0022651115803219435,0.5154,0.3718,72.8,2.16,16.400000000000006,0.22527472527472536,1.7307692307692406,0.4216923076923077,0.025048705816866274,Big Ten
2020-12-23,@,Ohio State,L,68.0,80.0,24.0,58.0,0.414,10.0,25.0,0.4,10.0,17.0,0.588,3.0,23.0,12.0,3.0,3.0,9.0,21.0,,27.0,58.0,0.466,4.0,19.0,0.211,22.0,29.0,0.759,11.0,42.0,13.0,2.0,5.0,11.0,20.0,-12.0,0,7,74.0,0,1,0,-1,82.66666666666667,68.5,-0.08368565242646922,0.00034425103479757135,0.5075,0.3998333333333333,75.58333333333333,3.1111111111111107,14.166666666666671,0.18743109151047416,1.7307692307692406,0.4216923076923077,0.025048705816866274,Big Ten
2020-12-29,,Purdue,W,81.0,76.0,28.0,56.0,0.5,11.0,21.0,0.524,14.0,17.0,0.824,4.0,27.0,12.0,7.0,3.0,5.0,17.0,,29.0,59.0,0.492,7.0,26.0,0.269,11.0,14.0,0.786,9.0,31.0,14.0,2.0,2.0,8.0,15.0,5.0,1,8,78.5,1,0,0,1,80.57142857142857,70.14285714285714,-0.05820521316771837,-0.026355319334031124,0.49414285714285716,0.4092857142857143,75.35714285714286,1.4693877551020407,10.42857142857143,0.13838862559241707,1.7307692307692406,0.4216923076923077,0.025048705816866274,Big Ten
2021-01-02,,Iowa,L,75.0,77.0,31.0,71.0,0.437,9.0,23.0,0.391,4.0,12.0,0.333,15.0,36.0,19.0,11.0,8.0,10.0,21.0,,26.0,56.0,0.464,7.0,18.0,0.389,18.0,23.0,0.783,9.0,37.0,13.0,8.0,9.0,15.0,13.0,-2.0,0,9,76.0,1,0,0,1,80.625,70.875,-0.039105757452725765,-0.027810076389602867,0.494875,0.419625,75.75,2.25,9.75,0.12871287128712872,1.7307692307692406,0.4216923076923077,0.025048705816866274,Big Ten
2021-01-05,@,Michigan State,L,45.0,68.0,18.0,59.0,0.305,3.0,12.0,0.25,6.0,17.0,0.353,6.0,21.0,10.0,13.0,4.0,6.0,16.0,,23.0,49.0,0.469,6.0,14.0,0.429,16.0,19.0,0.842,8.0,43.0,16.0,5.0,8.0,15.0,15.0,-23.0,0,10,56.5,0,1,0,-1,80.0,71.55555555555556,-0.03019102877055524,-0.029362871420658798,0.48844444444444446,0.4245555555555556,75.77777777777777,3.08641975308642,8.444444444444443,0.11143695014662755,1.7307692307692406,0.4216923076923077,0.025048705816866274,Big Ten
