Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,result,Win,Game_Number,Mean_Score,Home,Away,Neutral,Comb_Loc,Avg_Score,Opp_Avg_Score,Avg_Threes,Opp_Avg_Threes,Avg_FG_Pct,Opp_Avg_FG_Pct,Avg_Mean_Score,Home_Pct,Avg_Result,Pct_Margin,Avg_Result_Fin,Opp_Avg_FG_Pct_Fin,Pct_Margin_Fin,Conference
2020-11-25,,Houston Baptist,W,69.0,45.0,28.0,61.0,0.459,7.0,26.0,0.269,6.0,13.0,0.462,11.0,39.0,15.0,8.0,7.0,10.0,14.0,,18.0,56.0,0.321,3.0,13.0,0.231,6.0,7.0,0.857,7.0,30.0,11.0,4.0,2.0,12.0,9.0,24.0,1,1,57.0,1,0,0,1,,,,,,,,,,,-4.384615384615387,0.44999999999999996,-0.0635097493036212,Big 12
2020-11-28,N,Tulsa,W,70.0,65.0,20.0,55.0,0.364,11.0,27.0,0.407,19.0,30.0,0.633,15.0,36.0,13.0,6.0,2.0,12.0,14.0,,27.0,54.0,0.5,4.0,18.0,0.222,7.0,14.0,0.5,8.0,29.0,13.0,6.0,2.0,11.0,20.0,5.0,1,2,67.5,0,0,1,0,69.0,45.0,-0.009176536016932024,-0.11352436210388855,0.459,0.321,57.0,2.0,24.0,0.42105263157894735,-4.384615384615387,0.44999999999999996,-0.0635097493036212,Big 12
2020-11-29,N,Liberty,W,56.0,52.0,20.0,50.0,0.4,4.0,15.0,0.267,12.0,16.0,0.75,4.0,33.0,6.0,4.0,1.0,10.0,13.0,,21.0,55.0,0.382,6.0,28.0,0.214,4.0,8.0,0.5,3.0,30.0,7.0,3.0,2.0,8.0,13.0,4.0,1,3,54.0,0,0,1,0,69.5,55.0,0.07496484652920499,-0.12261527119479765,0.4115,0.4105,62.25,0.75,14.5,0.23293172690763053,-4.384615384615387,0.44999999999999996,-0.0635097493036212,Big 12
2020-12-03,,Northwestern State,W,74.0,68.0,30.0,64.0,0.469,7.0,26.0,0.269,7.0,14.0,0.5,11.0,44.0,18.0,6.0,6.0,13.0,13.0,,25.0,65.0,0.385,5.0,20.0,0.25,13.0,16.0,0.813,7.0,32.0,16.0,10.0,3.0,10.0,14.0,6.0,1,4,71.0,1,0,0,1,65.0,54.0,0.024937176357649915,-0.07278362136314784,0.4076666666666666,0.40099999999999997,59.5,0.4444444444444444,11.0,0.18487394957983194,-4.384615384615387,0.44999999999999996,-0.0635097493036212,Big 12
2020-12-06,,Oklahoma,L,78.0,82.0,28.0,64.0,0.438,10.0,28.0,0.357,12.0,15.0,0.8,12.0,32.0,15.0,4.0,5.0,6.0,18.0,,28.0,54.0,0.519,6.0,18.0,0.333,20.0,24.0,0.833,7.0,30.0,17.0,4.0,3.0,8.0,13.0,-4.0,0,5,80.0,1,0,0,1,67.25,57.5,0.0098957122455538,-0.07874175340823639,0.42299999999999993,0.39699999999999996,62.375,1.25,9.75,0.156312625250501,-4.384615384615387,0.44999999999999996,-0.0635097493036212,Big 12
2020-12-09,,Providence,L,70.0,79.0,27.0,45.0,0.6,6.0,14.0,0.429,10.0,14.0,0.714,3.0,19.0,18.0,8.0,5.0,18.0,18.0,,33.0,63.0,0.524,7.0,16.0,0.438,6.0,13.0,0.462,14.0,28.0,22.0,10.0,2.0,10.0,15.0,-9.0,0,6,74.5,1,0,0,1,69.4,62.4,0.02365143040331602,-0.08275513133465781,0.426,0.42139999999999994,65.9,2.16,7.000000000000007,0.10622154779969661,-4.384615384615387,0.44999999999999996,-0.0635097493036212,Big 12
2020-12-12,N,Texas A&M,W,73.0,55.0,26.0,50.0,0.52,10.0,23.0,0.435,11.0,16.0,0.688,8.0,31.0,22.0,9.0,2.0,16.0,17.0,,18.0,47.0,0.383,4.0,17.0,0.235,15.0,21.0,0.714,8.0,25.0,11.0,10.0,1.0,20.0,18.0,18.0,1,7,64.0,0,0,1,0,69.5,65.16666666666667,0.010216645090356025,-0.07567269969979651,0.455,0.43849999999999995,67.33333333333333,3.1111111111111107,4.333333333333329,0.06435643564356429,-4.384615384615387,0.44999999999999996,-0.0635097493036212,Big 12
2020-12-16,@,Oklahoma State,W,77.0,76.0,30.0,55.0,0.545,8.0,17.0,0.471,9.0,15.0,0.6,4.0,32.0,10.0,5.0,9.0,20.0,19.0,,28.0,67.0,0.418,3.0,17.0,0.176,17.0,26.0,0.654,14.0,34.0,13.0,11.0,2.0,13.0,17.0,1.0,1,8,76.5,0,1,0,-1,70.0,63.714285714285715,0.02321033177366244,-0.07809835313527871,0.4642857142857143,0.43057142857142855,66.85714285714286,2.6122448979591835,6.285714285714285,0.094017094017094,-4.384615384615387,0.44999999999999996,-0.0635097493036212,Big 12
2020-12-22,,North Dakota State,W,89.0,82.0,34.0,58.0,0.586,11.0,24.0,0.458,10.0,19.0,0.526,4.0,28.0,23.0,4.0,4.0,11.0,16.0,,28.0,58.0,0.483,13.0,29.0,0.448,13.0,16.0,0.813,3.0,30.0,20.0,5.0,2.0,16.0,21.0,7.0,1,9,85.5,1,0,0,1,70.875,65.25,0.01980897122944475,-0.0951335575061874,0.474375,0.429,68.0625,1.265625,5.625,0.08264462809917356,-4.384615384615387,0.44999999999999996,-0.0635097493036212,Big 12
2020-12-30,,Prairie View,W,66.0,61.0,22.0,58.0,0.379,5.0,20.0,0.25,17.0,30.0,0.567,11.0,41.0,16.0,7.0,4.0,14.0,12.0,,24.0,66.0,0.364,6.0,26.0,0.231,7.0,12.0,0.583,11.0,39.0,10.0,10.0,8.0,15.0,25.0,5.0,1,10,63.5,1,0,0,1,72.88888888888889,67.11111111111111,0.024890272042452866,-0.06021310382574291,0.4867777777777778,0.435,70.0,1.9753086419753085,5.7777777777777715,0.08253968253968245,-4.384615384615387,0.44999999999999996,-0.0635097493036212,Big 12
2021-01-02,@,Kansas State,W,67.0,60.0,23.0,51.0,0.451,3.0,13.0,0.231,18.0,22.0,0.818,11.0,37.0,11.0,8.0,2.0,11.0,9.0,,24.0,65.0,0.369,7.0,25.0,0.28,5.0,7.0,0.714,11.0,29.0,15.0,6.0,1.0,9.0,18.0,7.0,1,11,63.5,0,1,0,-1,72.2,66.5,0.014730485541540828,-0.05638150496103139,0.476,0.4279,69.35,2.75,5.700000000000003,0.08219178082191786,-4.384615384615387,0.44999999999999996,-0.0635097493036212,Big 12
2021-01-05,,Kansas,L,64.0,93.0,24.0,56.0,0.429,8.0,19.0,0.421,6.0,10.0,0.6,5.0,18.0,15.0,2.0,0.0,10.0,13.0,,35.0,62.0,0.565,8.0,20.0,0.4,15.0,20.0,0.75,14.0,40.0,21.0,5.0,4.0,8.0,12.0,-29.0,0,12,78.5,1,0,0,1,71.72727272727273,65.9090909090909,-0.0017372898605426124,-0.048696775896992006,0.47372727272727266,0.4225454545454545,68.81818181818181,1.5867768595041323,5.818181818181827,0.08454425363276104,-4.384615384615387,0.44999999999999996,-0.0635097493036212,Big 12
2021-01-09,,Baylor,L,49.0,67.0,15.0,45.0,0.333,6.0,19.0,0.316,13.0,18.0,0.722,9.0,33.0,10.0,8.0,3.0,20.0,16.0,,25.0,55.0,0.455,6.0,19.0,0.316,11.0,19.0,0.579,9.0,29.0,17.0,10.0,3.0,10.0,20.0,-18.0,0,13,58.0,1,0,0,1,71.08333333333333,68.16666666666667,0.0030055323861466476,-0.0494656823972871,0.47,0.4344166666666666,69.625,2.2569444444444446,2.916666666666657,0.041891083183722186,-4.384615384615387,0.44999999999999996,-0.0635097493036212,Big 12
