Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,result,Win,Game_Number,Mean_Score,Home,Away,Neutral,Comb_Loc,Avg_Score,Opp_Avg_Score,Avg_Threes,Opp_Avg_Threes,Avg_FG_Pct,Opp_Avg_FG_Pct,Avg_Mean_Score,Home_Pct,Avg_Result,Pct_Margin,Avg_Result_Fin,Opp_Avg_FG_Pct_Fin,Pct_Margin_Fin,Conference
2020-11-25,N,Nicholls State,L,93.0,101.0,29.0,49.0,0.592,7.0,22.0,0.318,28.0,39.0,0.718,6.0,28.0,17.0,2.0,2.0,20.0,23.0,,32.0,65.0,0.492,9.0,23.0,0.391,28.0,34.0,0.824,10.0,31.0,18.0,11.0,0.0,11.0,30.0,-8.0,0,1,97.0,0,0,1,0,,,,,,,,,,,-1.5882352941176379,0.46694117647058825,-0.022249690976514087,Big West
2020-11-27,@,Santa Clara,L,63.0,66.0,21.0,62.0,0.339,5.0,23.0,0.217,16.0,18.0,0.889,3.0,33.0,10.0,9.0,3.0,12.0,26.0,,22.0,56.0,0.393,6.0,20.0,0.3,16.0,29.0,0.552,8.0,45.0,13.0,3.0,1.0,17.0,18.0,-3.0,0,2,64.5,0,1,0,-1,93.0,101.0,-0.08771791049098535,-0.04619762943062122,0.592,0.492,97.0,0.0,-8.0,-0.08247422680412371,-1.5882352941176379,0.46694117647058825,-0.022249690976514087,Big West
2020-11-28,N,Idaho State,W,70.0,61.0,26.0,54.0,0.481,6.0,18.0,0.333,12.0,14.0,0.857,4.0,25.0,16.0,12.0,3.0,13.0,17.0,,24.0,57.0,0.421,7.0,23.0,0.304,6.0,12.0,0.5,13.0,35.0,13.0,3.0,4.0,20.0,17.0,9.0,1,3,65.5,0,0,1,0,78.0,83.5,-0.08275513133465778,-0.04406328425957717,0.4655,0.4425,80.75,0.75,-5.5,-0.06811145510835913,-1.5882352941176379,0.46694117647058825,-0.022249690976514087,Big West
2021-01-22,@,UC-San Diego,L,69.0,89.0,25.0,66.0,0.379,4.0,15.0,0.267,15.0,22.0,0.682,12.0,29.0,11.0,8.0,0.0,14.0,12.0,,36.0,53.0,0.679,11.0,21.0,0.524,6.0,8.0,0.75,2.0,28.0,28.0,8.0,2.0,21.0,17.0,-20.0,0,4,79.0,0,1,0,-1,75.33333333333333,76.0,-0.07458630900654342,-0.024050677893362238,0.4706666666666666,0.43533333333333335,75.66666666666667,0.4444444444444444,-0.6666666666666714,-0.008810572687224731,-1.5882352941176379,0.46694117647058825,-0.022249690976514087,Big West
2021-01-23,@,UC-San Diego,W,78.0,71.0,26.0,55.0,0.473,9.0,20.0,0.45,17.0,21.0,0.81,9.0,29.0,16.0,9.0,4.0,18.0,22.0,,25.0,52.0,0.481,6.0,22.0,0.273,15.0,24.0,0.625,8.0,28.0,11.0,5.0,3.0,21.0,20.0,7.0,1,5,74.5,0,1,0,-1,73.75,79.25,-0.08979554854456653,-0.0012215229871693212,0.44775,0.49625,76.5,1.25,-5.5,-0.0718954248366013,-1.5882352941176379,0.46694117647058825,-0.022249690976514087,Big West
2021-01-29,,UCSB,L,51.0,72.0,18.0,58.0,0.31,3.0,14.0,0.214,12.0,16.0,0.75,9.0,28.0,7.0,6.0,1.0,12.0,13.0,,30.0,51.0,0.588,5.0,14.0,0.357,7.0,13.0,0.538,4.0,35.0,16.0,5.0,6.0,12.0,17.0,-21.0,0,6,61.5,1,0,0,1,74.6,77.6,-0.06419460339075181,-0.011977970351311262,0.4528,0.4932,76.1,2.16,-3.0,-0.03942181340341656,-1.5882352941176379,0.46694117647058825,-0.022249690976514087,Big West
2021-01-30,,UCSB,L (1 OT),86.0,89.0,27.0,61.0,0.443,8.0,19.0,0.421,24.0,29.0,0.828,9.0,33.0,9.0,4.0,3.0,13.0,25.0,,28.0,57.0,0.491,11.0,22.0,0.5,22.0,28.0,0.786,5.0,27.0,12.0,5.0,0.0,14.0,25.0,-3.0,0,7,87.5,1,0,0,1,70.66666666666667,76.66666666666667,-0.07295832436803953,-0.026567840364758122,0.429,0.509,73.66666666666667,0.7777777777777777,-6.0,-0.08144796380090497,-1.5882352941176379,0.46694117647058825,-0.022249690976514087,Big West
2021-02-05,@,Cal State Northridge,L,77.0,80.0,24.0,48.0,0.5,3.0,16.0,0.188,26.0,30.0,0.867,7.0,30.0,6.0,6.0,1.0,16.0,25.0,,25.0,49.0,0.51,8.0,18.0,0.444,22.0,33.0,0.667,4.0,20.0,14.0,11.0,1.0,11.0,26.0,-3.0,0,8,78.5,0,1,0,-1,72.85714285714286,78.42857142857143,-0.06646553857447682,-0.012977914016456926,0.431,0.5064285714285715,75.64285714285714,0.16326530612244897,-5.571428571428569,-0.07365439093484417,-1.5882352941176379,0.46694117647058825,-0.022249690976514087,Big West
2021-02-06,@,Cal State Northridge,W,75.0,63.0,27.0,61.0,0.443,10.0,22.0,0.455,11.0,15.0,0.733,15.0,43.0,13.0,6.0,3.0,16.0,17.0,,22.0,55.0,0.4,7.0,21.0,0.333,12.0,18.0,0.667,7.0,28.0,9.0,9.0,5.0,11.0,19.0,12.0,1,9,69.0,0,1,0,-1,73.375,78.625,-0.08354139787901632,-0.013047414568117477,0.439625,0.5068750000000001,76.0,0.5625,-5.25,-0.06907894736842106,-1.5882352941176379,0.46694117647058825,-0.022249690976514087,Big West
2021-02-12,,Long Beach State,W,68.0,66.0,25.0,59.0,0.424,7.0,22.0,0.318,11.0,23.0,0.478,10.0,29.0,14.0,11.0,2.0,11.0,18.0,,26.0,52.0,0.5,4.0,17.0,0.235,10.0,18.0,0.556,7.0,30.0,14.0,6.0,7.0,19.0,17.0,2.0,1,10,67.0,1,0,0,1,73.55555555555556,76.88888888888889,-0.06427964911295203,-0.010056154011403029,0.44,0.4950000000000001,75.22222222222223,1.1111111111111112,-3.3333333333333286,-0.044313146233382505,-1.5882352941176379,0.46694117647058825,-0.022249690976514087,Big West
