Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,result,Win,Game_Number,Mean_Score,Home,Away,Comb_Loc,Avg_Score,Opp_Avg_Score,Avg_Threes,Opp_Avg_Threes,Avg_FG_Pct,Opp_Avg_FG_Pct,Avg_Mean_Score,Home_Pct,Avg_Result,Pct_Margin,Avg_Result_Fin,Opp_Avg_FG_Pct_Fin,Pct_Margin_Fin,Conference
2020-11-25,@,Georgetown,L,62.0,70.0,23.0,65.0,0.354,6.0,24.0,0.25,10.0,14.0,0.714,7.0,36.0,13.0,12.0,2.0,16.0,19.0,,28.0,75.0,0.373,7.0,27.0,0.259,7.0,14.0,0.5,21.0,56.0,15.0,8.0,3.0,20.0,19.0,-8.0,0,1,66.0,0,1,-1,,,,,,,,,,,4.6499999999999915,0.39785,0.06917069542580873,AEC
2020-11-28,@,Saint Francis (PA),W,80.0,65.0,27.0,54.0,0.5,5.0,22.0,0.227,21.0,27.0,0.778,7.0,32.0,15.0,6.0,2.0,11.0,18.0,,26.0,54.0,0.481,5.0,13.0,0.385,8.0,16.0,0.5,6.0,28.0,11.0,5.0,1.0,15.0,23.0,15.0,1,2,72.5,0,1,-1,62.0,70.0,-0.023201781458727255,-0.013524362103888576,0.354,0.373,66.0,2.0,-8.0,-0.12121212121212122,4.6499999999999915,0.39785,0.06917069542580873,AEC
2020-12-07,,George Washington,W,92.0,81.0,35.0,56.0,0.625,10.0,21.0,0.476,12.0,17.0,0.706,7.0,30.0,20.0,4.0,5.0,20.0,18.0,,28.0,66.0,0.424,10.0,21.0,0.476,15.0,21.0,0.714,15.0,29.0,11.0,10.0,1.0,14.0,16.0,11.0,1,3,86.5,1,0,1,71.0,67.5,-0.08112999590670547,-0.0468576954372219,0.427,0.427,69.25,3.0,3.5,0.05054151624548736,4.6499999999999915,0.39785,0.06917069542580873,AEC
2020-12-08,,Delaware,W,76.0,61.0,26.0,49.0,0.531,7.0,15.0,0.467,17.0,25.0,0.68,6.0,32.0,12.0,2.0,2.0,13.0,17.0,,20.0,54.0,0.37,6.0,23.0,0.261,15.0,18.0,0.833,5.0,25.0,8.0,3.0,3.0,8.0,21.0,15.0,1,4,68.5,1,0,1,78.0,72.0,-0.04429359287311935,-0.007968806548332985,0.49300000000000005,0.426,75.0,0.4444444444444444,6.0,0.08,4.6499999999999915,0.39785,0.06917069542580873,AEC
2020-12-13,@,Coppin State,W,66.0,49.0,23.0,59.0,0.39,3.0,19.0,0.158,17.0,24.0,0.708,13.0,49.0,11.0,10.0,1.0,19.0,16.0,,18.0,59.0,0.305,7.0,31.0,0.226,6.0,9.0,0.667,4.0,29.0,11.0,9.0,3.0,18.0,20.0,17.0,1,5,57.5,0,1,-1,77.5,69.25,-0.04255662016840467,-0.010275264630964398,0.5025000000000001,0.41200000000000003,73.375,0.0,8.25,0.11243611584327087,4.6499999999999915,0.39785,0.06917069542580873,AEC
2020-12-19,@,Albany (NY),W,65.0,64.0,23.0,53.0,0.434,8.0,21.0,0.381,11.0,20.0,0.55,11.0,39.0,13.0,6.0,1.0,15.0,18.0,,24.0,62.0,0.387,6.0,19.0,0.316,10.0,13.0,0.769,8.0,26.0,14.0,4.0,2.0,9.0,18.0,1.0,1,6,64.5,0,1,-1,75.2,65.2,-0.06618393657197366,0.008561527466663554,0.4800000000000001,0.3906,70.2,0.24000000000000005,10.0,0.14245014245014245,4.6499999999999915,0.39785,0.06917069542580873,AEC
2020-12-20,@,Albany (NY),W,65.0,60.0,20.0,47.0,0.426,7.0,18.0,0.389,18.0,29.0,0.621,6.0,36.0,10.0,2.0,7.0,17.0,18.0,,20.0,62.0,0.323,6.0,22.0,0.273,14.0,19.0,0.737,6.0,29.0,9.0,6.0,2.0,10.0,23.0,5.0,1,7,62.5,0,1,-1,73.5,65.0,-0.048218239654908956,0.001860253280726809,0.47233333333333344,0.38999999999999996,69.25,0.7777777777777777,8.5,0.12274368231046931,4.6499999999999915,0.39785,0.06917069542580873,AEC
2020-12-27,,Binghamton,W,74.0,67.0,26.0,59.0,0.441,12.0,23.0,0.522,10.0,17.0,0.588,9.0,34.0,16.0,9.0,1.0,9.0,15.0,,22.0,53.0,0.415,12.0,25.0,0.48,11.0,16.0,0.688,7.0,35.0,9.0,4.0,3.0,13.0,15.0,7.0,1,8,70.5,1,0,1,72.28571428571429,64.28571428571429,-0.04079708937661586,-0.00019102877055526823,0.4657142857142858,0.3804285714285714,68.28571428571429,1.4693877551020407,8.0,0.11715481171548116,4.6499999999999915,0.39785,0.06917069542580873,AEC
2020-12-28,,Binghamton,L,69.0,75.0,25.0,55.0,0.455,7.0,18.0,0.389,12.0,17.0,0.706,2.0,21.0,9.0,8.0,1.0,11.0,15.0,,25.0,62.0,0.403,15.0,36.0,0.417,10.0,11.0,0.909,15.0,41.0,14.0,4.0,2.0,15.0,18.0,-6.0,0,9,72.0,1,0,1,72.5,64.625,-0.013524362103888576,0.0288354057877942,0.46262500000000006,0.38475,68.5625,0.5625,7.875,0.11485870556061988,4.6499999999999915,0.39785,0.06917069542580873,AEC
2021-01-09,@,New Hampshire,W,69.0,54.0,22.0,58.0,0.379,7.0,22.0,0.318,18.0,19.0,0.947,8.0,36.0,6.0,4.0,2.0,11.0,19.0,,20.0,58.0,0.345,6.0,24.0,0.25,8.0,13.0,0.615,10.0,35.0,7.0,3.0,4.0,11.0,17.0,15.0,1,10,61.5,0,1,-1,72.11111111111111,65.77777777777777,-0.013062112489096556,0.061475637896111435,0.46177777777777784,0.3867777777777778,68.94444444444444,0.12345679012345678,6.333333333333343,0.09186140209508475,4.6499999999999915,0.39785,0.06917069542580873,AEC
