Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,result,Win,Game_Number,Mean_Score,Home,Away,Neutral,Comb_Loc,Avg_Score,Opp_Avg_Score,Avg_Threes,Opp_Avg_Threes,Avg_FG_Pct,Opp_Avg_FG_Pct,Avg_Mean_Score,Home_Pct,Avg_Result,Pct_Margin,Avg_Result_Fin,Opp_Avg_FG_Pct_Fin,Pct_Margin_Fin,Conference
2020-11-27,N,Little Rock,W,77.0,70.0,27.0,59.0,0.458,7.0,26.0,0.269,16.0,26.0,0.615,16.0,36.0,13.0,9.0,7.0,17.0,24.0,,24.0,48.0,0.5,5.0,11.0,0.455,17.0,21.0,0.81,5.0,22.0,11.0,9.0,1.0,16.0,23.0,7.0,1,1,73.5,0,0,1,0,,,,,,,,,,,6.172413793103445,0.414448275862069,0.08750916646296746,Southern
2020-12-01,N,Winthrop,L,67.0,75.0,23.0,67.0,0.343,7.0,29.0,0.241,14.0,18.0,0.778,13.0,42.0,11.0,8.0,3.0,20.0,28.0,,22.0,54.0,0.407,6.0,15.0,0.4,25.0,37.0,0.676,9.0,40.0,11.0,10.0,2.0,18.0,18.0,-8.0,0,2,71.0,0,0,1,0,77.0,70.0,-0.04079708937661586,-0.09923864781817429,0.458,0.5,73.5,0.0,7.0,0.09523809523809523,6.172413793103445,0.414448275862069,0.08750916646296746,Southern
2020-12-02,N,Duquesne,L,68.0,81.0,28.0,64.0,0.438,9.0,25.0,0.36,3.0,9.0,0.333,12.0,33.0,15.0,5.0,7.0,19.0,25.0,,25.0,54.0,0.463,6.0,17.0,0.353,25.0,33.0,0.758,8.0,33.0,9.0,10.0,1.0,12.0,15.0,-13.0,0,3,74.5,0,0,1,0,72.0,72.5,-0.02185769543722188,-0.08593815520733683,0.4005,0.4535,72.25,0.0,-0.5,-0.006920415224913495,6.172413793103445,0.414448275862069,0.08750916646296746,Southern
2020-12-10,@,Coppin State,L,80.0,86.0,31.0,82.0,0.378,5.0,36.0,0.139,13.0,17.0,0.765,18.0,48.0,10.0,8.0,3.0,16.0,23.0,,28.0,53.0,0.528,10.0,25.0,0.4,20.0,32.0,0.625,1.0,33.0,16.0,6.0,6.0,17.0,20.0,-6.0,0,4,83.0,0,1,0,-1,70.66666666666667,75.33333333333333,0.011947336009318965,-0.08786064528972926,0.41300000000000003,0.4566666666666667,73.0,0.0,-4.666666666666657,-0.06392694063926928,6.172413793103445,0.414448275862069,0.08750916646296746,Southern
2020-12-13,,Norfolk State,W,64.0,47.0,22.0,61.0,0.361,4.0,23.0,0.174,16.0,25.0,0.64,14.0,40.0,12.0,7.0,5.0,13.0,19.0,,16.0,47.0,0.34,2.0,11.0,0.182,13.0,22.0,0.591,4.0,27.0,4.0,7.0,2.0,13.0,23.0,17.0,1,5,55.5,1,0,0,1,73.0,78.0,-0.025853129227176253,-0.05390897748850393,0.40425,0.47450000000000003,75.5,0.3125,-5.0,-0.06622516556291391,6.172413793103445,0.414448275862069,0.08750916646296746,Southern
2020-12-15,,USC Upstate,W,65.0,57.0,24.0,56.0,0.429,6.0,20.0,0.3,11.0,16.0,0.688,7.0,33.0,11.0,4.0,3.0,13.0,11.0,,20.0,55.0,0.364,7.0,22.0,0.318,10.0,16.0,0.625,5.0,31.0,9.0,5.0,2.0,14.0,15.0,8.0,1,6,61.0,1,0,0,1,71.2,71.8,-0.04386144075557391,-0.07118452923480781,0.3956,0.4476,71.5,0.0,-0.5999999999999943,-0.008391608391608312,6.172413793103445,0.414448275862069,0.08750916646296746,Southern
2020-12-19,@,Elon,W,71.0,64.0,25.0,62.0,0.403,9.0,26.0,0.346,12.0,18.0,0.667,10.0,33.0,10.0,9.0,3.0,10.0,24.0,,18.0,46.0,0.391,6.0,19.0,0.316,22.0,28.0,0.786,6.0,29.0,10.0,3.0,1.0,12.0,18.0,7.0,1,7,67.5,0,1,0,-1,70.16666666666667,69.33333333333333,-0.04274051412289098,-0.05390897748850393,0.40116666666666667,0.43366666666666664,69.75,0.19444444444444442,0.8333333333333428,0.011947431302270148,6.172413793103445,0.414448275862069,0.08750916646296746,Southern
2020-12-22,@,North Carolina A&T,W,86.0,65.0,34.0,85.0,0.4,9.0,34.0,0.265,9.0,11.0,0.818,20.0,56.0,22.0,6.0,6.0,10.0,26.0,,20.0,62.0,0.323,3.0,16.0,0.188,22.0,38.0,0.579,11.0,31.0,15.0,5.0,5.0,10.0,15.0,21.0,1,8,75.5,0,1,0,-1,70.28571428571429,68.57142857142857,-0.02693899625023005,-0.051024362103888554,0.4014285714285714,0.42757142857142855,69.42857142857143,0.0,1.7142857142857224,0.024691358024691475,6.172413793103445,0.414448275862069,0.08750916646296746,Southern
2021-01-02,,ETSU,L,61.0,71.0,19.0,58.0,0.328,7.0,21.0,0.333,16.0,20.0,0.8,9.0,28.0,9.0,9.0,6.0,9.0,15.0,,25.0,56.0,0.446,7.0,15.0,0.467,14.0,20.0,0.7,15.0,42.0,8.0,4.0,1.0,18.0,19.0,-10.0,0,9,66.0,1,0,0,1,72.25,68.125,-0.02286692265752177,-0.06581794008553993,0.40125,0.4145,70.1875,0.140625,4.125,0.058771148708815675,6.172413793103445,0.414448275862069,0.08750916646296746,Southern
2021-01-06,@,Wofford,W,84.0,75.0,30.0,64.0,0.469,11.0,27.0,0.407,13.0,19.0,0.684,14.0,35.0,13.0,10.0,3.0,11.0,21.0,,24.0,55.0,0.436,10.0,31.0,0.323,17.0,22.0,0.773,9.0,28.0,13.0,5.0,6.0,16.0,16.0,9.0,1,10,79.5,0,1,0,-1,71.0,68.44444444444444,-0.017749714216564627,-0.060277608857135345,0.3931111111111111,0.418,69.72222222222223,0.0,2.555555555555557,0.036653386454183284,6.172413793103445,0.414448275862069,0.08750916646296746,Southern
