Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,result,Win,Game_Number,Mean_Score,Home,Away,Comb_Loc,Avg_Score,Opp_Avg_Score,Avg_Threes,Opp_Avg_Threes,Avg_FG_Pct,Opp_Avg_FG_Pct,Avg_Mean_Score,Home_Pct,Avg_Result,Pct_Margin,Avg_Result_Fin,Opp_Avg_FG_Pct_Fin,Pct_Margin_Fin,Conference
2020-11-28,@,Furman,L,63.0,91.0,25.0,66.0,0.379,8.0,21.0,0.381,5.0,10.0,0.5,11.0,31.0,11.0,10.0,3.0,21.0,25.0,,28.0,52.0,0.538,8.0,22.0,0.364,27.0,34.0,0.794,7.0,38.0,19.0,11.0,4.0,19.0,18.0,-28.0,0,1,77.0,0,1,-1,,,,,,,,,,,-8.5,0.47104545454545454,-0.12170517409697364,Big South
2020-12-02,,Eastern Kentucky,L,78.0,95.0,22.0,63.0,0.349,7.0,24.0,0.292,27.0,32.0,0.844,10.0,33.0,14.0,5.0,1.0,15.0,18.0,,36.0,67.0,0.537,10.0,24.0,0.417,13.0,19.0,0.684,9.0,36.0,22.0,8.0,6.0,16.0,28.0,-17.0,0,2,86.5,1,0,1,63.0,91.0,0.06742801884849237,-0.04978809836762482,0.379,0.538,77.0,2.0,-28.0,-0.36363636363636365,-8.5,0.47104545454545454,-0.12170517409697364,Big South
2020-12-05,,Georgia Southern,L,69.0,72.0,25.0,52.0,0.481,10.0,19.0,0.526,9.0,17.0,0.529,6.0,30.0,18.0,9.0,5.0,16.0,22.0,,28.0,60.0,0.467,2.0,17.0,0.118,14.0,27.0,0.519,15.0,38.0,10.0,12.0,4.0,16.0,18.0,-3.0,0,3,70.5,1,0,1,70.5,93.0,0.005624574066324217,-0.023201781458727255,0.364,0.5375000000000001,81.75,0.0,-22.5,-0.27522935779816515,-8.5,0.47104545454545454,-0.12170517409697364,Big South
2020-12-12,,Winthrop,L,77.0,95.0,27.0,60.0,0.45,10.0,23.0,0.435,13.0,19.0,0.684,7.0,28.0,17.0,6.0,3.0,18.0,21.0,,37.0,72.0,0.514,13.0,25.0,0.52,8.0,19.0,0.421,18.0,44.0,22.0,8.0,1.0,14.0,20.0,-18.0,0,4,86.0,1,0,1,70.0,86.0,0.043618495038968585,-0.08096622256900485,0.403,0.5140000000000001,78.0,0.4444444444444444,-16.0,-0.20512820512820512,-8.5,0.47104545454545454,-0.12170517409697364,Big South
2020-12-13,,Winthrop,L,77.0,107.0,23.0,55.0,0.418,12.0,32.0,0.375,19.0,21.0,0.905,4.0,23.0,14.0,2.0,3.0,17.0,20.0,,39.0,75.0,0.52,16.0,39.0,0.41,13.0,23.0,0.565,13.0,41.0,23.0,10.0,0.0,8.0,18.0,-30.0,0,5,92.0,1,0,1,71.75,88.25,0.05232929643269679,-0.03307110431352028,0.41475,0.514,80.0,1.25,-16.5,-0.20625,-8.5,0.47104545454545454,-0.12170517409697364,Big South
2020-12-15,@,UNC Greensboro,L,57.0,65.0,20.0,55.0,0.364,7.0,22.0,0.318,10.0,16.0,0.625,5.0,31.0,9.0,5.0,2.0,14.0,15.0,,24.0,56.0,0.429,6.0,20.0,0.3,11.0,16.0,0.688,7.0,33.0,11.0,4.0,3.0,13.0,11.0,-8.0,0,6,61.0,0,1,-1,72.8,92.0,0.07383827525874886,0.006040855287415825,0.4154,0.5152,82.4,2.16,-19.200000000000003,-0.23300970873786409,-8.5,0.47104545454545454,-0.12170517409697364,Big South
2020-12-23,@,Tennessee,L,60.0,80.0,24.0,53.0,0.453,9.0,18.0,0.5,3.0,4.0,0.75,5.0,16.0,12.0,7.0,1.0,15.0,19.0,,28.0,50.0,0.56,5.0,16.0,0.313,19.0,23.0,0.826,10.0,30.0,21.0,9.0,7.0,12.0,12.0,-20.0,0,7,70.0,0,1,-1,70.16666666666667,87.5,0.07127373765858169,0.0007613521818257141,0.4068333333333333,0.5008333333333334,78.83333333333333,0.7777777777777777,-17.33333333333333,-0.2198731501057082,-8.5,0.47104545454545454,-0.12170517409697364,Big South
2020-12-30,@,High Point,L,52.0,63.0,20.0,54.0,0.37,4.0,17.0,0.235,8.0,13.0,0.615,12.0,31.0,9.0,6.0,4.0,10.0,21.0,,18.0,39.0,0.462,6.0,16.0,0.375,21.0,30.0,0.7,3.0,27.0,12.0,4.0,6.0,10.0,14.0,-11.0,0,8,57.5,0,1,-1,68.71428571428571,86.42857142857143,0.07940703082750439,-0.016003700946863764,0.41342857142857137,0.5092857142857142,77.57142857142857,0.16326530612244897,-17.714285714285722,-0.2283609576427257,-8.5,0.47104545454545454,-0.12170517409697364,Big South
2020-12-31,@,High Point,W,60.0,51.0,20.0,53.0,0.377,3.0,17.0,0.176,17.0,18.0,0.944,6.0,35.0,7.0,5.0,2.0,13.0,14.0,,21.0,56.0,0.375,6.0,20.0,0.3,3.0,6.0,0.5,4.0,28.0,13.0,5.0,4.0,13.0,18.0,9.0,1,9,55.5,0,1,-1,66.625,83.5,0.06358633207997633,-0.017117176475146045,0.408,0.503375,75.0625,0.0,-16.875,-0.2248126561199001,-8.5,0.47104545454545454,-0.12170517409697364,Big South
2021-01-04,,Longwood,W,71.0,69.0,26.0,55.0,0.473,12.0,29.0,0.414,7.0,15.0,0.467,8.0,32.0,18.0,3.0,6.0,9.0,16.0,,27.0,54.0,0.5,5.0,16.0,0.313,10.0,14.0,0.714,5.0,29.0,13.0,5.0,1.0,8.0,14.0,2.0,1,10,70.0,1,0,1,65.88888888888889,79.88888888888889,0.04060717246609458,-0.013107115928645163,0.40455555555555556,0.4891111111111111,72.88888888888889,0.12345679012345678,-14.0,-0.19207317073170732,-8.5,0.47104545454545454,-0.12170517409697364,Big South
