Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,result,Win,Game_Number,Mean_Score,Home,Away,Neutral,Comb_Loc,Avg_Score,Opp_Avg_Score,Avg_Threes,Opp_Avg_Threes,Avg_FG_Pct,Opp_Avg_FG_Pct,Avg_Mean_Score,Home_Pct,Avg_Result,Pct_Margin,Avg_Result_Fin,Opp_Avg_FG_Pct_Fin,Pct_Margin_Fin,Conference
2020-11-28,@,Texas-Rio Grande Valley,L,64.0,81.0,25.0,60.0,0.417,4.0,20.0,0.2,10.0,12.0,0.833,8.0,33.0,17.0,2.0,5.0,12.0,20.0,,26.0,61.0,0.426,10.0,23.0,0.435,19.0,26.0,0.731,9.0,34.0,19.0,7.0,4.0,8.0,14.0,-17.0,0,1,72.5,0,1,0,-1,,,,,,,,,,,-1.0454545454545467,0.44186363636363635,-0.013952077646345179,CUSA
2020-12-03,@,Oklahoma,L,66.0,105.0,23.0,67.0,0.343,8.0,30.0,0.267,12.0,14.0,0.857,11.0,37.0,6.0,8.0,3.0,18.0,21.0,,34.0,68.0,0.5,17.0,34.0,0.5,20.0,24.0,0.833,9.0,37.0,21.0,9.0,3.0,12.0,15.0,-39.0,0,2,85.5,0,1,0,-1,64.0,81.0,-0.12602436210388857,0.056846008266481785,0.417,0.426,72.5,2.0,-17.0,-0.23448275862068965,-1.0454545454545467,0.44186363636363635,-0.013952077646345179,CUSA
2020-12-16,@,Oregon State,L,61.0,73.0,21.0,60.0,0.35,6.0,27.0,0.222,13.0,17.0,0.765,12.0,34.0,9.0,3.0,4.0,14.0,28.0,,21.0,52.0,0.404,5.0,21.0,0.238,26.0,31.0,0.839,7.0,34.0,15.0,5.0,2.0,9.0,16.0,-12.0,0,3,67.0,0,1,0,-1,65.0,93.0,-0.03660128518081163,0.12195950886385337,0.38,0.46299999999999997,79.0,3.0,-28.0,-0.35443037974683544,-1.0454545454545467,0.44186363636363635,-0.013952077646345179,CUSA
2020-12-22,,Lamar,W,88.0,66.0,32.0,63.0,0.508,5.0,19.0,0.263,19.0,32.0,0.594,9.0,35.0,17.0,6.0,5.0,9.0,22.0,,24.0,56.0,0.429,7.0,21.0,0.333,11.0,17.0,0.647,7.0,34.0,9.0,1.0,5.0,20.0,29.0,22.0,1,4,77.0,1,0,0,1,63.666666666666664,86.33333333333333,-0.03080184901488331,0.05713200855248213,0.36999999999999994,0.44333333333333336,75.0,4.0,-22.666666666666664,-0.30222222222222217,-1.0454545454545467,0.44186363636363635,-0.013952077646345179,CUSA
2021-01-01,@,Rice,L,86.0,95.0,34.0,70.0,0.486,13.0,33.0,0.394,5.0,6.0,0.833,9.0,34.0,20.0,6.0,0.0,14.0,15.0,,35.0,63.0,0.556,14.0,33.0,0.424,11.0,17.0,0.647,5.0,31.0,24.0,9.0,2.0,11.0,10.0,-9.0,0,5,90.5,0,1,0,-1,69.75,81.25,-0.06621253414689932,0.04647563789611142,0.40449999999999997,0.43975000000000003,75.5,1.25,-11.5,-0.152317880794702,-1.0454545454545467,0.44186363636363635,-0.013952077646345179,CUSA
2021-01-02,@,Rice,L,69.0,84.0,25.0,68.0,0.368,5.0,21.0,0.238,14.0,18.0,0.778,15.0,35.0,14.0,5.0,3.0,14.0,20.0,,31.0,55.0,0.564,11.0,28.0,0.393,11.0,19.0,0.579,6.0,33.0,19.0,6.0,3.0,15.0,20.0,-15.0,0,6,76.5,0,1,0,-1,73.0,84.0,-0.01763395114498445,0.06504706646754,0.4208,0.4630000000000001,78.5,2.16,-11.0,-0.14012738853503184,-1.0454545454545467,0.44186363636363635,-0.013952077646345179,CUSA
2021-01-08,,North Texas,L,70.0,77.0,26.0,63.0,0.413,9.0,26.0,0.346,9.0,12.0,0.75,7.0,25.0,13.0,8.0,0.0,9.0,16.0,,27.0,52.0,0.519,10.0,23.0,0.435,13.0,16.0,0.813,5.0,28.0,20.0,6.0,5.0,11.0,13.0,-7.0,0,7,73.5,1,0,0,1,72.33333333333333,84.0,-0.030114223855040645,0.06742801884849237,0.412,0.4798333333333334,78.16666666666667,3.1111111111111107,-11.666666666666671,-0.14925373134328362,-1.0454545454545467,0.44186363636363635,-0.013952077646345179,CUSA
2021-01-09,,North Texas,W,77.0,69.0,28.0,55.0,0.509,10.0,23.0,0.435,11.0,15.0,0.733,5.0,29.0,11.0,6.0,2.0,11.0,19.0,,21.0,54.0,0.389,5.0,22.0,0.227,22.0,25.0,0.88,9.0,34.0,10.0,8.0,1.0,11.0,17.0,8.0,1,8,73.0,1,0,0,1,72.0,83.0,-0.015905314484840893,0.06857546577907186,0.4121428571428571,0.4854285714285715,77.5,1.4693877551020407,-11.0,-0.14193548387096774,-1.0454545454545467,0.44186363636363635,-0.013952077646345179,CUSA
2021-01-15,@,Louisiana Tech,L,66.0,77.0,26.0,68.0,0.382,5.0,27.0,0.185,9.0,11.0,0.818,5.0,30.0,12.0,10.0,5.0,12.0,20.0,,24.0,56.0,0.429,5.0,18.0,0.278,24.0,27.0,0.889,7.0,44.0,12.0,7.0,1.0,16.0,10.0,-11.0,0,9,71.5,0,1,0,-1,72.625,81.25,-0.00371369084743417,0.051091022511496054,0.42424999999999996,0.4733750000000001,76.9375,0.5625,-8.625,-0.11210398050365557,-1.0454545454545467,0.44186363636363635,-0.013952077646345179,CUSA
2021-01-16,@,Louisiana Tech,L,66.0,82.0,22.0,65.0,0.338,11.0,34.0,0.324,11.0,13.0,0.846,9.0,28.0,9.0,2.0,1.0,8.0,23.0,,25.0,51.0,0.49,14.0,26.0,0.538,18.0,25.0,0.72,7.0,41.0,16.0,2.0,3.0,12.0,18.0,-16.0,0,10,74.0,0,1,0,-1,71.88888888888889,80.77777777777777,-0.012133326555202273,0.033105624140953305,0.4195555555555555,0.46844444444444455,76.33333333333333,1.1111111111111112,-8.888888888888886,-0.11644832605531293,-1.0454545454545467,0.44186363636363635,-0.013952077646345179,CUSA
2021-01-22,,Southern Miss,W,70.0,64.0,22.0,53.0,0.415,7.0,20.0,0.35,19.0,24.0,0.792,7.0,35.0,12.0,3.0,6.0,13.0,13.0,,23.0,62.0,0.371,6.0,18.0,0.333,12.0,14.0,0.857,6.0,27.0,11.0,8.0,1.0,8.0,17.0,6.0,1,11,67.0,1,0,0,1,71.3,80.9,0.006251233969042702,0.04988725717917697,0.4114,0.47060000000000013,76.1,1.7600000000000002,-9.600000000000009,-0.1261498028909331,-1.0454545454545467,0.44186363636363635,-0.013952077646345179,CUSA
2021-01-23,,Southern Miss,W,78.0,72.0,27.0,69.0,0.391,13.0,34.0,0.382,11.0,17.0,0.647,11.0,35.0,14.0,6.0,2.0,7.0,18.0,,23.0,49.0,0.469,6.0,16.0,0.375,20.0,26.0,0.769,3.0,36.0,8.0,3.0,3.0,13.0,17.0,6.0,1,12,75.0,1,0,0,1,71.18181818181819,79.36363636363636,0.00448330073136044,0.043863954047314246,0.4117272727272727,0.4615454545454547,75.27272727272727,0.8925619834710743,-8.181818181818173,-0.10869565217391293,-1.0454545454545467,0.44186363636363635,-0.013952077646345179,CUSA
2021-01-28,,UTEP,W,86.0,79.0,30.0,59.0,0.508,10.0,23.0,0.435,16.0,23.0,0.696,8.0,32.0,14.0,4.0,2.0,10.0,20.0,,26.0,64.0,0.406,5.0,19.0,0.263,22.0,28.0,0.786,13.0,35.0,8.0,3.0,3.0,8.0,20.0,7.0,1,13,82.5,1,0,0,1,71.75,78.75,0.020970411415275225,0.03568198710246062,0.41,0.46216666666666684,75.25,0.3611111111111111,-7.0,-0.09302325581395349,-1.0454545454545467,0.44186363636363635,-0.013952077646345179,CUSA
2021-01-30,@,UTEP,L,51.0,69.0,18.0,61.0,0.295,2.0,17.0,0.118,13.0,18.0,0.722,7.0,27.0,1.0,6.0,3.0,8.0,16.0,,25.0,56.0,0.446,3.0,12.0,0.25,16.0,18.0,0.889,8.0,45.0,5.0,2.0,3.0,17.0,16.0,-18.0,0,14,60.0,0,1,0,-1,72.84615384615384,78.76923076923077,0.022272892383967846,0.023389700396111435,0.4175384615384615,0.45784615384615396,75.8076923076923,0.08284023668639054,-5.923076923076934,-0.07813292744799609,-1.0454545454545467,0.44186363636363635,-0.013952077646345179,CUSA
2021-02-05,@,Florida International,W,87.0,80.0,32.0,63.0,0.508,8.0,18.0,0.444,15.0,17.0,0.882,13.0,35.0,10.0,8.0,3.0,13.0,21.0,,30.0,59.0,0.508,7.0,24.0,0.292,13.0,20.0,0.65,9.0,27.0,14.0,4.0,6.0,11.0,15.0,7.0,1,15,83.5,0,1,0,-1,71.28571428571429,78.07142857142857,0.011124936493305815,0.0103548693691215,0.40878571428571425,0.45700000000000013,74.67857142857143,0.3061224489795918,-6.785714285714278,-0.09086561453849822,-1.0454545454545467,0.44186363636363635,-0.013952077646345179,CUSA
2021-02-06,@,Florida International,W,90.0,47.0,32.0,62.0,0.516,7.0,14.0,0.5,19.0,19.0,1.0,10.0,31.0,18.0,19.0,5.0,14.0,13.0,,17.0,49.0,0.347,4.0,22.0,0.182,9.0,13.0,0.692,9.0,26.0,7.0,5.0,5.0,27.0,16.0,43.0,1,16,68.5,0,1,0,-1,72.33333333333333,78.2,0.007212965085051537,0.006168732525267451,0.4154,0.4604000000000001,75.26666666666667,0.6400000000000001,-5.866666666666674,-0.0779450841452614,-1.0454545454545467,0.44186363636363635,-0.013952077646345179,CUSA
2021-02-12,,Florida Atlantic,W,84.0,80.0,34.0,72.0,0.472,6.0,18.0,0.333,10.0,11.0,0.909,8.0,39.0,18.0,4.0,3.0,6.0,15.0,,27.0,68.0,0.397,13.0,34.0,0.382,13.0,17.0,0.765,11.0,36.0,15.0,2.0,2.0,10.0,15.0,4.0,1,17,82.0,1,0,0,1,73.4375,76.25,0.0005181910876008167,0.0036887526502097923,0.4216875,0.4533125000000001,74.84375,1.0625,-2.8125,-0.037578288100208766,-1.0454545454545467,0.44186363636363635,-0.013952077646345179,CUSA
2021-02-13,,Florida Atlantic,W,86.0,75.0,33.0,65.0,0.508,10.0,21.0,0.476,10.0,14.0,0.714,7.0,31.0,20.0,3.0,0.0,8.0,19.0,,28.0,62.0,0.452,6.0,24.0,0.25,13.0,25.0,0.52,14.0,41.0,13.0,5.0,2.0,15.0,16.0,11.0,1,18,80.5,1,0,0,1,74.05882352941177,76.47058823529412,-0.006137547171402469,0.014167945588419162,0.4246470588235294,0.4500000000000001,75.26470588235294,0.5605536332179932,-2.411764705882348,-0.03204376709652201,-1.0454545454545467,0.44186363636363635,-0.013952077646345179,CUSA
2021-02-26,,Alabama-Birmingham,L,57.0,64.0,23.0,60.0,0.383,6.0,23.0,0.261,5.0,11.0,0.455,8.0,42.0,9.0,3.0,6.0,19.0,20.0,,25.0,61.0,0.41,2.0,8.0,0.25,12.0,22.0,0.545,6.0,35.0,8.0,10.0,3.0,12.0,15.0,-7.0,0,19,60.5,1,0,0,1,74.72222222222223,76.38888888888889,-0.0034871873826989863,0.009384728805202303,0.42927777777777776,0.45011111111111124,75.55555555555556,0.2345679012345679,-1.6666666666666572,-0.022058823529411638,-1.0454545454545467,0.44186363636363635,-0.013952077646345179,CUSA
2021-02-27,,Alabama-Birmingham,W,96.0,79.0,38.0,66.0,0.576,13.0,22.0,0.591,7.0,11.0,0.636,7.0,35.0,21.0,4.0,3.0,8.0,17.0,,28.0,65.0,0.431,8.0,20.0,0.4,15.0,22.0,0.682,10.0,27.0,6.0,5.0,3.0,10.0,17.0,17.0,1,20,87.5,1,0,0,1,73.78947368421052,75.73684210526316,-0.003253320734416365,-0.0008071974061819032,0.42684210526315786,0.4480000000000001,74.76315789473684,0.05540166204986149,-1.9473684210526443,-0.02604716649067247,-1.0454545454545467,0.44186363636363635,-0.013952077646345179,CUSA
2021-03-10,N,Charlotte,W,72.0,62.0,29.0,64.0,0.453,4.0,19.0,0.211,10.0,11.0,0.909,3.0,35.0,17.0,2.0,3.0,9.0,18.0,,17.0,54.0,0.315,5.0,17.0,0.294,23.0,30.0,0.767,9.0,37.0,8.0,3.0,3.0,10.0,14.0,10.0,1,21,67.0,0,0,1,0,74.9,75.9,0.0028975337572596516,-0.0012713976770110658,0.4343,0.44715000000000005,75.4,0.0,-1.0,-0.01326259946949602,-1.0454545454545467,0.44186363636363635,-0.013952077646345179,CUSA
2021-03-11,N,Western Kentucky,L,67.0,80.0,27.0,70.0,0.386,9.0,28.0,0.321,4.0,7.0,0.571,12.0,32.0,15.0,5.0,1.0,9.0,20.0,,25.0,54.0,0.463,6.0,19.0,0.316,24.0,25.0,0.96,7.0,37.0,15.0,5.0,7.0,11.0,11.0,-13.0,0,22,73.5,0,0,1,0,74.76190476190476,75.23809523809524,-0.0039702219765000435,-0.004030691217812632,0.4351904761904762,0.4408571428571429,75.0,0.0,-0.4761904761904816,-0.006349206349206421,-1.0454545454545467,0.44186363636363635,-0.013952077646345179,CUSA
