Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,result,Win,Game_Number,Mean_Score,Home,Away,Neutral,Comb_Loc,Avg_Score,Opp_Avg_Score,Avg_Threes,Opp_Avg_Threes,Avg_FG_Pct,Opp_Avg_FG_Pct,Avg_Mean_Score,Home_Pct,Avg_Result,Pct_Margin,Avg_Result_Fin,Opp_Avg_FG_Pct_Fin,Pct_Margin_Fin,Conference
2020-11-25,N,UNC Wilmington,W,98.0,76.0,36.0,64.0,0.563,10.0,21.0,0.476,16.0,20.0,0.8,7.0,34.0,17.0,9.0,4.0,11.0,21.0,,23.0,62.0,0.371,8.0,26.0,0.308,22.0,31.0,0.71,7.0,22.0,6.0,5.0,1.0,12.0,21.0,22.0,1,1,87.0,0,0,1,0,,,,,,,,,,,-5.400000000000006,0.4722000000000001,-0.07033081531648874,Southern
2020-11-27,N,Troy,L,64.0,66.0,21.0,59.0,0.356,8.0,26.0,0.308,14.0,21.0,0.667,5.0,37.0,9.0,4.0,4.0,14.0,24.0,,23.0,61.0,0.377,8.0,20.0,0.4,12.0,24.0,0.5,5.0,38.0,13.0,6.0,3.0,11.0,21.0,-2.0,0,2,65.0,0,0,1,0,98.0,76.0,-0.007401913124296722,0.0022651115803219435,0.563,0.371,87.0,0.0,22.0,0.25287356321839083,-5.400000000000006,0.4722000000000001,-0.07033081531648874,Southern
2020-11-28,@,UNC Asheville,W (1 OT),83.0,81.0,27.0,65.0,0.415,5.0,26.0,0.192,24.0,29.0,0.828,10.0,31.0,12.0,8.0,4.0,15.0,26.0,,26.0,57.0,0.456,6.0,19.0,0.316,23.0,38.0,0.605,12.0,35.0,9.0,5.0,5.0,20.0,24.0,2.0,1,3,82.0,0,1,0,-1,81.0,71.0,0.01980897122944475,0.024503806910195935,0.45949999999999996,0.374,76.0,0.0,10.0,0.13157894736842105,-5.400000000000006,0.4722000000000001,-0.07033081531648874,Southern
2020-12-06,,Tennessee Tech,W (1 OT),76.0,75.0,26.0,67.0,0.388,10.0,31.0,0.323,14.0,22.0,0.636,9.0,35.0,13.0,5.0,3.0,17.0,11.0,,29.0,65.0,0.446,7.0,26.0,0.269,10.0,15.0,0.667,10.0,40.0,13.0,9.0,2.0,18.0,24.0,1.0,1,4,75.5,1,0,0,1,81.66666666666667,74.33333333333333,-0.031891709042664085,-0.017560236543350427,0.4446666666666666,0.4013333333333333,78.0,0.4444444444444444,7.333333333333343,0.09401709401709414,-5.400000000000006,0.4722000000000001,-0.07033081531648874,Southern
2020-12-12,@,North Carolina A&T,W (1 OT),104.0,98.0,39.0,67.0,0.582,11.0,25.0,0.44,15.0,26.0,0.577,11.0,36.0,18.0,5.0,3.0,17.0,26.0,,35.0,72.0,0.486,11.0,26.0,0.423,17.0,30.0,0.567,14.0,35.0,20.0,3.0,4.0,12.0,27.0,6.0,1,5,101.0,0,1,0,-1,80.25,74.5,-0.0051131471506175585,-0.021578053379056328,0.4305,0.4125,77.375,0.0,5.75,0.07431340872374798,-5.400000000000006,0.4722000000000001,-0.07033081531648874,Southern
2020-12-15,@,VCU,L,68.0,93.0,25.0,55.0,0.455,8.0,25.0,0.32,10.0,11.0,0.909,2.0,23.0,14.0,1.0,1.0,19.0,10.0,,37.0,63.0,0.587,10.0,24.0,0.417,9.0,10.0,0.9,4.0,27.0,21.0,13.0,2.0,7.0,14.0,-25.0,0,6,80.5,0,1,0,-1,85.0,79.2,-0.0029361268097709003,-0.010494059073585527,0.4608,0.4272,82.1,0.24000000000000005,5.799999999999997,0.07064555420219241,-5.400000000000006,0.4722000000000001,-0.07033081531648874,Southern
2020-12-18,@,College of Charleston,W (1 OT),76.0,70.0,24.0,49.0,0.49,5.0,18.0,0.278,23.0,35.0,0.657,5.0,29.0,12.0,5.0,1.0,14.0,18.0,,26.0,63.0,0.413,7.0,26.0,0.269,11.0,17.0,0.647,12.0,33.0,8.0,5.0,1.0,12.0,23.0,6.0,1,7,73.0,0,1,0,-1,82.16666666666667,81.5,0.0029056581800870895,-0.006775895846219848,0.4598333333333333,0.4538333333333333,81.83333333333333,0.7777777777777777,0.6666666666666714,0.008146639511201688,-5.400000000000006,0.4722000000000001,-0.07033081531648874,Southern
2020-12-30,@,ETSU,L,78.0,86.0,27.0,54.0,0.5,10.0,27.0,0.37,14.0,18.0,0.778,6.0,32.0,16.0,6.0,1.0,18.0,23.0,,31.0,62.0,0.5,10.0,25.0,0.4,14.0,24.0,0.583,11.0,32.0,17.0,13.0,2.0,12.0,18.0,-8.0,0,8,82.0,0,1,0,-1,81.28571428571429,79.85714285714286,-0.012997121330602157,-0.007620963177233875,0.4641428571428571,0.44799999999999995,80.57142857142857,1.4693877551020407,1.4285714285714306,0.017730496453900735,-5.400000000000006,0.4722000000000001,-0.07033081531648874,Southern
2021-01-16,@,Mercer,L,76.0,78.0,19.0,51.0,0.373,8.0,23.0,0.348,30.0,36.0,0.833,5.0,24.0,11.0,6.0,0.0,12.0,22.0,,26.0,55.0,0.473,3.0,18.0,0.167,23.0,30.0,0.767,8.0,34.0,10.0,9.0,3.0,13.0,29.0,-2.0,0,9,77.0,0,1,0,-1,80.875,80.625,-0.0028597562306273416,-0.0018964551271443697,0.46862499999999996,0.45449999999999996,80.75,2.25,0.25,0.0030959752321981426,-5.400000000000006,0.4722000000000001,-0.07033081531648874,Southern
2021-01-18,@,Samford,L,78.0,82.0,25.0,52.0,0.481,8.0,23.0,0.348,20.0,27.0,0.741,5.0,32.0,13.0,5.0,1.0,19.0,23.0,,28.0,62.0,0.452,8.0,22.0,0.364,18.0,24.0,0.75,11.0,34.0,18.0,13.0,3.0,13.0,25.0,-4.0,0,10,80.0,0,1,0,-1,80.33333333333333,80.33333333333333,-0.002321042601813872,-0.023067930568618833,0.45799999999999996,0.45655555555555555,80.33333333333333,3.08641975308642,0.0,0.0,-5.400000000000006,0.4722000000000001,-0.07033081531648874,Southern
